Timestamp;GazePoint
636172501230,653;
1167611034,02889;0.7315:1.28305
1167611034,06915;0.72945:1.2752
1167611034,10413;0.71955:1.273
1167611034,1432;0.65875:1.21885
1167611034,17772;0.72755:1.2309
1167611034,21817;0.71845:1.23185
1167611034,25387;0.7207:1.24225
1167611034,29476;0.59805:0.73325
1167611034,33005;0.59755:0.70255
1167611034,36966;0.5961:0.69335
1167611034,40524;0.59995:0.69935
1167611034,44516;0.5938:0.7058
1167611034,48122;0.55665:0.6535
1167611034,52109;0.55505:0.63735
1167611034,55499;0.5596:0.6634
1167611034,58918;0.5468:0.6455
1167611034,62378;0.5538:0.65255
1167611034,65818;0.5407:0.63765
1167611034,69276;0.5494:0.64355
1167611034,72677;0.54815:0.638
1167611034,76106;0.5445:0.65255
1167611034,79596;0.539:0.63015
1167611034,83045;0.5529:0.6526
1167611034,86476;0.66915:0.65315
1167611034,89888;0.66525:0.66225
1167611034,93407;0.6612:0.6552
1167611034,96808;0.66125:0.64965
1167611035,00244;0.66085:0.6574
1167611035,03711;0.663:0.6734
1167611035,07171;0.6602:0.65795
1167611035,10596;0.4549:0.42585
1167611035,14066;0.30485:0.2346
1167611035,17487;0.3034:0.2516
1167611035,20886;0.3013:0.2518
1167611035,24324;0.2921:0.25285
1167611035,27783;0.30185:0.25005
1167611035,31188;0.2801:0.2244
1167611035,34622;0.27465:0.2134
1167611035,38031;0.2771:0.2382
1167611035,41461;0.2713:0.23315
1167611035,44882;0.2761:0.2116
1167611035,48386;0.27655:0.21795
1167611035,51823;0.2709:0.21715
1167611035,55311;0.27845:0.20925
1167611035,58747;0.28465:0.238
1167611035,62598;0.2643:0.1936
1167611035,66024;0.27395:0.2184
1167611035,69491;0.2775:0.19645
1167611035,72941;0.2714:0.19245
1167611035,76392;0.27385:0.18815
1167611035,80195;0.2686:0.20245
1167611035,83724;0.27455:0.1874
1167611035,87611;0.26955:0.47455
1167611035,91185;0.24965:0.48015
1167611035,95322;0.26145:0.49495
1167611035,98819;0.26065:0.48115
1167611036,02985;0.26165:0.47905
1167611036,06516;0.2559:0.47555
1167611036,10674;0.26085:0.4833
1167611036,14282;0.25955:0.4769
1167611036,18453;
1167611036,22014;
1167611036,24592;
1167611036,27657;0.3596:0.19985
1167611036,33958;0.38795:0.4564
1167611036,38178;
1167611036,42578;0.424:0.5086
1167611036,45006;0.4253:0.49275
1167611036,49161;0.42765:0.4965
1167611036,52885;0.4277:0.4877
1167611036,5646;0.4285:0.49505
1167611036,6008;0.42435:0.4921
1167611036,63715;0.52545:0.4464
1167611036,67434;0.5959:0.4091
1167611036,71167;0.5992:0.40585
1167611036,74819;0.5982:0.4119
1167611036,78496;0.60225:0.4008
1167611036,82228;0.59605:0.3929
1167611036,85877;0.583:0.40875
1167611036,89516;0.58505:0.40345
1167611036,93181;0.58715:0.4027
1167611036,96819;0.57815:0.40295
1167611037,0047;0.57775:0.40075
1167611037,04127;0.5726:0.4029
1167611037,078;0.63335:0.3953
1167611037,11505;0.63535:0.39465
1167611037,15209;0.6394:0.40225
1167611037,18914;0.638:0.3793
1167611037,22596;0.6364:0.39655
1167611037,26299;0.63535:0.3849
1167611037,30008;0.63975:0.38535
1167611037,33795;0.6361:0.39625
1167611037,37638;0.63075:0.3763
1167611037,41474;0.6346:0.3809
1167611037,45272;0.6564:0.34755
1167611037,49114;0.75045:0.3073
1167611037,53061;0.75855:0.2962
1167611037,5692;0.7582:0.3128
1167611037,60641;0.75385:0.2982
1167611037,64352;0.75815:0.29505
1167611037,68054;0.75005:0.2855
1167611037,72178;0.7505:0.27215
1167611037,76005;0.75755:0.2946
1167611037,80111;0.75635:0.27595
1167611037,83895;0.7503:0.2718
1167611037,88313;0.6277:0.3709
1167611037,92205;0.63065:0.37235
1167611037,96395;0.6305:0.37495
1167611038,0015;0.6296:0.36785
1167611038,04464;0.6237:0.382
1167611038,08299;0.61535:0.3819
1167611038,12528;0.35985:0.2559
1167611038,16274;0.3668:0.25975
1167611038,20524;0.3682:0.26435
1167611038,24314;0.36305:0.25565
1167611038,28594;0.35925:0.24155
1167611038,32338;0.3688:0.26775
1167611038,36605;0.32235:0.19815
1167611038,40383;0.3097:0.19315
1167611038,44073;0.31315:0.1917
1167611038,47766;0.3039:0.2073
1167611038,5148;0.283:0.2084
1167611038,5516;0.2814:0.1897
1167611038,58861;0.2784:0.2006
1167611038,6254;0.2741:0.17495
1167611038,66215;0.27755:0.1773
1167611038,6995;0.25005:0.45645
1167611038,73622;0.25045:0.47575
1167611038,77356;0.25695:0.4716
1167611038,81158;0.2516:0.48185
1167611038,84841;0.25085:0.4873
1167611038,88518;0.24945:0.46835
1167611038,92212;0.22645:0.40655
1167611038,95937;0.2228:0.4021
1167611038,99637;0.22255:0.3958
1167611039,03327;0.22795:0.39145
1167611039,06993;0.2291:0.4075
1167611039,11356;0.25845:0.228
1167611039,14993;0.2758:0.1982
1167611039,1867;0.27575:0.1937
1167611039,22319;0.27865:0.1948
1167611039,25982;0.27545:0.18755
1167611039,29722;0.27265:0.19195
1167611039,33383;0.2761:0.1777
1167611039,37047;0.2785:0.1949
1167611039,40711;0.27195:0.16905
1167611039,44813;0.28605:0.195
