Timestamp;GazePoint
636172500537,313;
1167610964,7161;0.37655:1.05945
1167610964,75969;0.3913:1.25765
1167610964,80189;0.38925:0.9656
1167610964,84575;0.39715:1.20735
1167610964,88342;0.3942:0.9727
1167610964,93424;0.4454:1.1696
1167610964,97284;0.3587:1.1744
1167610965,02614;0.30005:0.7727
1167610965,06457;0.29885:0.83
1167610965,11014;0.3108:0.87135
1167610965,14895;0.3073:0.86655
1167610965,19216;0.3057:0.8837
1167610965,23033;0.31235:0.86725
1167610965,27188;0.30275:0.85135
1167610965,30971;0.2498:0.97525
1167610965,35395;0.24405:0.9984
1167610965,39272;0.24895:1.00265
1167610965,43436;0.2514:1.02585
1167610965,47111;0.2379:0.99825
1167610965,50725;0.2452:1.0032
1167610965,54258;0.22765:0.6523
1167610965,57839;0.2235:0.36475
1167610965,61477;0.20975:0.3477
1167610965,65073;0.2182:0.3429
1167610965,68629;0.22445:0.3591
1167610965,72172;0.21855:0.3665
1167610965,75775;0.24445:0.242
1167610965,79373;0.26125:0.24835
1167610965,82939;0.25425:0.24025
1167610965,86591;0.24975:0.23725
1167610965,9018;0.25695:0.24295
1167610965,93761;0.25045:0.22945
1167610965,97338;0.2216:0.11865
1167610966,009;0.21355:0.1085
1167610966,0446;0.2158:0.11175
1167610966,08152;0.216:0.1146
1167610966,11859;0.20765:0.10355
1167610966,15506;0.20525:0.15585
1167610966,19122;0.2221:0.1667
1167610966,2272;0.21285:0.14205
1167610966,26395;0.20615:0.1254
1167610966,30044;0.20915:0.1267
1167610966,33714;0.20875:0.12175
1167610966,37379;0.21815:0.15295
1167610966,4102;0.2076:0.15405
1167610966,44645;0.2146:0.1511
1167610966,48215;0.21315:0.1274
1167610966,52224;0.2132:0.14645
1167610966,55892;0.20905:0.1257
1167610966,59595;0.425:0.14255
1167610966,63391;
1167610966,67121;
1167610966,71421;
1167610966,77832;0.7395:0.1658
1167610966,85077;
1167610966,89287;0.76295:0.1557
1167610966,91634;0.76255:0.16695
1167610966,96575;0.7495:0.15405
1167610967,00316;0.75505:0.16495
1167610967,0472;0.74915:0.16105
1167610967,08542;0.7571:0.1539
1167610967,12869;0.74935:0.16885
1167610967,16744;0.7417:0.14385
1167610967,20891;0.75675:0.15565
1167610967,24638;0.7252:0.18315
1167610967,28744;0.6761:0.23595
1167610967,32525;0.67015:0.2476
1167610967,36823;0.67265:0.25895
1167610967,40566;0.6686:0.2257
1167610967,44793;0.67085:0.2367
1167610967,4855;0.67795:0.2187
1167610967,52378;0.6787:0.25275
1167610967,56222;0.66925:0.22975
1167610967,60181;0.6744:0.2209
1167610967,64199;0.67605:0.22645
1167610967,68153;0.67465:0.23895
1167610967,72092;0.68275:0.22995
1167610967,76066;0.666:0.1696
1167610967,80099;0.6829:0.20895
1167610967,84127;0.74615:0.1807
1167610967,88061;0.74295:0.1847
1167610967,91879;0.7535:0.18055
1167610967,9567;0.7464:0.172
1167610967,99441;0.74715:0.16655
1167610968,03209;0.7491:0.17345
1167610968,06966;0.7497:0.1592
1167610968,10764;0.7498:0.17955
1167610968,14746;0.7444:0.14805
1167610968,18525;0.7471:0.1649
1167610968,22264;0.74985:0.165
1167610968,26005;0.7459:0.1647
1167610968,29722;0.74115:0.16505
1167610968,33465;0.7471:0.3532
1167610968,37231;0.7701:0.5147
1167610968,40977;0.7734:0.5145
1167610968,44761;0.762:0.5442
1167610968,48549;0.75775:0.53575
1167610968,52717;0.75945:0.50615
1167610968,56488;0.755:0.4747
1167610968,60241;0.76525:0.48115
1167610968,64033;0.7533:0.48915
1167610968,6799;0.75455:0.51045
1167610968,71992;0.75465:0.5195
1167610968,7644;0.74045:0.4521
1167610968,80486;0.73805:0.4587
1167610968,84942;0.7356:0.4624
1167610968,89036;0.73565:0.4473
1167610968,9372;0.7372:0.4501
1167610968,97769;0.7309:0.44995
1167610969,0229;0.7335:0.4499
1167610969,06334;0.73515:0.4562
1167610969,10823;0.76625:0.5124
1167610969,14707;0.77515:0.5436
1167610969,19013;0.77075:0.5546
1167610969,22777;0.7732:0.53055
1167610969,26969;0.77215:0.5338
1167610969,30953;0.76825:0.54655
1167610969,35579;0.77065:0.53615
1167610969,39537;0.7705:0.53965
1167610969,43987;
1167610969,47874;
1167610969,50541;
1167610969,53761;0.7635:0.62065
1167610969,58659;0.74485:0.4884
1167610969,62732;
1167610969,66354;0.74985:0.5501
1167610969,68887;0.75085:0.51945
1167610969,73242;0.75525:0.3752
1167610969,77212;0.7513:0.48535
1167610969,8119;0.74865:0.54255
1167610969,85328;0.79795:0.54125
1167610969,89409;0.7973:0.5469
1167610969,93474;0.7888:0.57275
1167610969,97568;0.785:0.55455
1167610970,01516;0.7854:0.55115
1167610970,05533;0.78555:0.5521
1167610970,09462;0.79205:0.53605
1167610970,13427;0.78875:0.56175
1167610970,1734;0.78895:0.5613
1167610970,21094;0.7796:0.5571
1167610970,24817;0.7981:0.53855
1167610970,28522;0.7916:0.5702
1167610970,32244;0.7904:0.55095
