Timestamp;GazePoint
636172500177,183;
1167610928,69871;0.4991:0.6645
1167610928,73238;0.38045:1.1426
1167610928,76575;0.354:1.1253
1167610928,79963;0.3522:1.1269
1167610928,83284;0.3535:1.15905
1167610928,86611;0.34375:1.14645
1167610928,89927;0.29625:1.23235
1167610928,93266;0.2887:1.20335
1167610928,96611;0.2957:1.1961
1167610928,99978;0.2994:1.2163
1167610929,03343;0.4569:0.8947
1167610929,06687;0.51515:0.6583
1167610929,10185;0.5211:0.668
1167610929,13595;0.51505:0.62595
1167610929,16999;0.50745:0.6477
1167610929,20381;0.5193:0.65755
1167610929,2377;0.51755:0.65725
1167610929,27114;0.5119:0.6407
1167610929,30495;0.5144:0.6533
1167610929,33878;0.49965:0.6726
1167610929,37244;0.48765:0.6677
1167610929,40677;0.49295:0.66905
1167610929,44043;0.50685:0.6847
1167610929,47425;0.4047:0.48905
1167610929,50777;0.38865:0.45855
1167610929,54192;0.3921:0.4611
1167610929,57593;0.3835:0.45705
1167610929,60997;0.3895:0.46785
1167610929,64379;0.3899:0.47025
1167610929,68141;0.38365:0.4488
1167610929,7147;0.38085:0.4575
1167610929,74814;0.3814:0.44385
1167610929,78169;0.3806:0.45735
1167610929,81515;0.37765:0.47305
1167610929,84871;0.37515:0.45835
1167610929,88558;0.3085:0.45195
1167610929,91907;0.3131:0.4668
1167610929,95525;0.3109:0.45185
1167610929,98946;0.3141:0.43635
1167610930,02907;0.3248:0.4983
1167610930,06345;0.30725:0.43625
1167610930,10122;0.36265:0.4
1167610930,13534;0.38195:0.36725
1167610930,17474;0.3888:0.37135
1167610930,2087;0.38165:0.36525
1167610930,24631;0.38065:0.36095
1167610930,2798;0.3746:0.35505
1167610930,31719;0.38615:0.3755
1167610930,35077;0.38335:0.3826
1167610930,38937;0.38015:0.37345
1167610930,42364;
1167610930,46134;
1167610930,48685;
1167610930,52556;0.19845:0.3211
1167610930,56972;
1167610930,60267;0.2245:0.25485
1167610930,62818;0.22345:0.2557
1167610930,67266;0.2091:0.27345
1167610930,70475;0.209:0.2724
1167610930,73889;0.2144:0.26755
1167610930,77219;0.2103:0.274
1167610930,80592;0.2256:0.2547
1167610930,83972;0.21145:0.2729
1167610930,87357;0.21365:0.27555
1167610930,90781;0.2108:0.28305
1167610930,94197;0.21495:0.2933
1167610930,97581;0.21015:0.2896
1167610931,00945;0.20845:0.2792
1167610931,04336;0.20745:0.272
1167610931,07772;0.232:0.2976
1167610931,11234;0.38555:0.36815
1167610931,14638;0.3906:0.383
1167610931,18133;0.38695:0.3903
1167610931,21573;0.38375:0.3806
1167610931,25073;0.38365:0.37535
1167610931,28686;0.385:0.36625
1167610931,32266;0.3916:0.3866
1167610931,35829;0.38405:0.3827
1167610931,39375;0.38425:0.3814
1167610931,42909;0.3899:0.3612
1167610931,46415;0.38495:0.378
1167610931,49919;0.41165:0.37985
1167610931,53593;0.68575:0.33155
1167610931,5737;0.6314:0.2158
1167610931,60825;
1167610931,64331;
1167610931,67976;
1167610931,70556;
1167610931,73405;0.76665:0.3287
1167610931,79137;
1167610931,82758;0.65795:0.29205
1167610931,85446;0.66475:0.33545
1167610931,89461;0.66395:0.33245
1167610931,93539;0.663:0.3274
1167610931,97076;0.7161:0.28665
1167610932,00987;0.7592:0.25405
1167610932,04483;0.7608:0.2696
1167610932,08572;0.7538:0.25015
1167610932,12117;0.75485:0.2559
1167610932,16092;0.7634:0.27085
1167610932,19612;0.7613:0.25225
1167610932,23575;0.88295:0.2699
1167610932,27245;0.8863:0.26045
1167610932,31436;0.8736:0.26865
1167610932,35129;0.87615:0.27555
1167610932,39215;0.88165:0.2657
1167610932,42725;0.88255:0.2509
1167610932,46298;0.8798:0.2706
1167610932,49893;0.88705:0.27645
1167610932,53449;0.8866:0.2667
1167610932,57013;0.8856:0.2539
1167610932,60584;0.88895:0.2457
1167610932,64311;0.87905:0.28455
1167610932,68055;0.8903:0.2788
1167610932,71723;0.88285:0.2343
1167610932,75398;0.8806:0.2975
1167610932,79065;0.8738:0.3529
1167610932,82745;0.87255:0.34865
1167610932,86405;0.8646:0.34515
1167610932,90069;0.87855:0.34725
1167610932,9373;0.87275:0.3463
1167610932,97395;0.87:0.34745
1167610933,01079;0.8705:0.33905
1167610933,04738;0.87175:0.3377
1167610933,08426;0.8707:0.36425
1167610933,12105;0.8731:0.34225
1167610933,15755;0.8706:0.35905
1167610933,19412;0.86665:0.34345
1167610933,2317;0.87085:0.3677
1167610933,26852;0.873:0.34585
1167610933,30495;0.8788:0.34945
1167610933,34176;0.86975:0.34615
1167610933,37854;0.864:0.35595
1167610933,41533;0.865:0.34225
1167610933,4534;0.8639:0.34155
1167610933,49445;0.66425:0.33795
1167610933,53149;0.67025:0.3363
1167610933,56939;0.67105:0.33905
1167610933,60722;0.66475:0.33985
1167610933,6444;0.6684:0.33545
1167610933,68512;0.6565:0.34105
1167610933,72319;0.66015:0.31695
1167610933,76454;0.65465:0.3414
1167610933,80228;0.6583:0.32915
1167610933,84552;0.75335:0.2596
1167610933,8833;0.7661:0.25535
1167610933,92549;0.7565:0.26275
1167610933,96332;0.75915:0.2569
1167610934,00606;0.7511:0.26385
1167610934,0437;0.75955:0.26545
1167610934,08495;0.75635:0.2677
1167610934,12213;0.80525:0.2464
1167610934,16313;0.86965:0.2066
1167610934,19997;0.8734:0.19555
1167610934,24335;0.87515:0.2087
1167610934,28221;0.87145:0.21995
1167610934,32366;0.87795:0.21175
1167610934,36144;0.8907:0.2522
1167610934,39865;0.8964:0.27265
1167610934,43593;0.89215:0.2637
1167610934,47317;0.88455:0.267
1167610934,51152;0.88825:0.26105
1167610934,54905;0.8896:0.25985
1167610934,58595;0.8894:0.26195
1167610934,62325;0.897:0.26215
1167610934,66035;0.8915:0.26375
1167610934,69792;0.8946:0.26905
1167610934,73508;0.8921:0.27685
1167610934,77221;0.89835:0.2774
1167610934,80948;0.8877:0.27265
1167610934,84651;0.87035:0.319
1167610934,88341;0.86695:0.42245
1167610934,92058;0.84995:0.4612
1167610934,95791;0.84935:0.46295
