Timestamp;GazePoint
636172502315,075;
1167611142,44466;
1167611142,47667;0.46485:1.47765
1167611142,51309;0.47295:1.50665
1167611142,54492;0.59605:1.50545
1167611142,58378;0.48375:1.57125
1167611142,61806;0.4782:1.5784
1167611142,65835;
1167611142,69008;0.40445:1.5687
1167611142,72707;
1167611142,76212;0.40875:1.54825
1167611142,81683;0.41815:1.55125
1167611142,87642;
1167611142,99416;0.419:0.5205
1167611143,10777;0.4156:0.572
1167611143,21025;0.3624:0.61745
1167611143,24619;0.3478:0.64735
1167611143,2882;0.35245:0.65625
1167611143,31928;0.34605:0.62965
1167611143,35077;0.3487:0.6242
1167611143,38215;0.35945:0.6512
1167611143,41342;0.3549:0.62965
1167611143,44514;0.364:0.63615
1167611143,47665;0.3625:0.63835
1167611143,50829;0.36745:0.65695
1167611143,54038;0.3598:0.6718
1167611143,57228;0.362:0.5937
1167611143,60438;0.36625:0.6541
1167611143,6361;
1167611143,66809;
1167611143,69319;
1167611143,71832;
1167611143,76548;0.3404:0.478
1167611143,82461;0.3415:0.641
1167611143,86621;
1167611143,90015;0.3685:0.66535
1167611143,92515;0.37105:0.65915
1167611143,9612;0.3695:0.6789
1167611143,99429;0.37585:0.67325
1167611144,02784;0.36715:0.67565
1167611144,06129;0.3756:0.66525
1167611144,09489;0.2096:0.62775
1167611144,12842;0.1855:0.64775
1167611144,16221;0.18605:0.665
1167611144,19613;0.203:0.6398
1167611144,22975;0.18915:0.62705
1167611144,26357;0.1456:0.5866
1167611144,29799;0.15565:0.6339
1167611144,33234;0.1514:0.6037
1167611144,37012;0.14585:0.6202
1167611144,40414;0.15435:0.58465
1167611144,43865;0.2003:0.3736
1167611144,47299;0.18915:0.36795
1167611144,50721;0.18295:0.3527
1167611144,54166;0.19015:0.3521
1167611144,5803;0.2451:0.3052
1167611144,61539;0.2365:0.33325
1167611144,65375;0.23815:0.31295
1167611144,6887;0.25045:0.32805
1167611144,72909;0.253:0.3348
1167611144,76409;0.3449:0.3423
1167611144,80295;0.35305:0.3654
1167611144,83739;0.3564:0.37875
1167611144,87763;0.3508:0.37675
1167611144,91298;0.35595:0.38485
1167611144,95207;0.3537:0.41795
1167611144,98637;0.35765:0.39025
1167611145,02572;0.35355:0.39185
1167611145,0611;0.35675:0.4227
1167611145,10133;0.35785:0.40245
1167611145,13681;0.3625:0.39415
1167611145,17628;0.363:0.40005
1167611145,21091;0.35195:0.41095
1167611145,24652;0.35135:0.41175
1167611145,28241;0.3544:0.40035
1167611145,31865;0.36:0.42135
1167611145,35524;0.38475:0.3194
1167611145,39124;0.3951:0.2419
1167611145,42753;0.397:0.2512
1167611145,46353;0.39645:0.2525
1167611145,50045;0.39865:0.21915
1167611145,53663;0.40385:0.25875
1167611145,5734;0.379:0.47555
1167611145,61074;0.36325:0.46435
1167611145,64821;0.3724:0.47315
1167611145,68554;0.36425:0.5009
1167611145,72286;0.3579:0.47755
1167611145,76011;0.36785:0.64165
1167611145,79725;0.35915:0.64585
1167611145,83416;0.3547:0.63145
1167611145,87127;0.36715:0.66435
1167611145,90838;0.36715:0.6532
1167611145,94538;0.3624:0.64965
1167611145,98243;0.36875:0.6509
1167611146,01983;0.3863:0.54655
1167611146,05792;0.3652:0.6557
1167611146,09515;0.3634:0.62805
1167611146,1335;0.36145:0.5822
1167611146,17074;0.3592:0.646
1167611146,20776;0.3634:0.63485
1167611146,24559;0.36545:0.64095
1167611146,28599;0.3649:0.6528
1167611146,32315;0.36735:0.39665
1167611146,36117;
1167611146,39912;
1167611146,42675;
1167611146,45887;
1167611146,48715;
1167611146,51985;
1167611146,54544;
1167611146,57872;
1167611146,60671;
1167611146,63977;0.36395:0.3802
1167611146,66787;0.36095:0.40165
1167611146,70945;0.362:0.41655
1167611146,74743;0.3682:0.4074
1167611146,78913;0.3705:0.40235
1167611146,82748;0.363:0.40085
1167611146,87023;0.35995:0.4048
1167611146,90815;0.35725:0.40435
1167611146,95144;0.355:0.39485
1167611146,99054;0.3715:0.65365
1167611147,03265;0.38275:0.6662
1167611147,07028;0.37005:0.6866
1167611147,11028;0.37345:0.6541
1167611147,14934;0.5369:0.5887
1167611147,18764;0.6424:0.5909
1167611147,22714;0.65545:0.57805
1167611147,26639;0.6454:0.48265
1167611147,30568;0.6497:0.5492
1167611147,34514;0.6316:0.58025
1167611147,38463;0.6233:0.58045
1167611147,42346;0.6332:0.56635
1167611147,46119;0.63325:0.5737
1167611147,49943;0.6319:0.53635
1167611147,53673;0.6191:0.59665
1167611147,57408;0.67065:0.5785
1167611147,61149;0.83265:0.62095
1167611147,64909;0.83145:0.60875
1167611147,68729;0.82415:0.6023
1167611147,72534;0.82225:0.60365
1167611147,7633;0.8234:0.61415
1167611147,80074;0.8159:0.61075
1167611147,838;0.74505:0.34805
1167611147,87454;0.7463:0.34295
1167611147,91168;0.7496:0.34935
1167611147,9486;0.741:0.3373
1167611147,98551;0.72955:0.30385
1167611148,02312;0.73335:0.31405
1167611148,05915;0.728:0.31605
1167611148,09584;0.7331:0.3137
1167611148,13614;0.7328:0.33
1167611148,17244;0.73445:0.3248
1167611148,20845;0.7355:0.3128
1167611148,24536;0.71945:0.38095
1167611148,28255;0.6713:0.66145
1167611148,32418;0.66155:0.7095
1167611148,3612;0.6675:0.6926
1167611148,40212;0.66675:0.687
1167611148,43908;0.6425:0.6199
1167611148,48154;0.635:0.62795
1167611148,5192;0.64005:0.6003
1167611148,56094;0.62075:0.5852
1167611148,5979;0.6203:0.58505
1167611148,63999;0.61685:0.5841
1167611148,67713;0.62075:0.57965
1167611148,71811;0.66235:0.50155
1167611148,75446;0.726:0.33085
1167611148,79612;0.72625:0.3164
1167611148,83387;0.72445:0.32855
1167611148,87634;0.72595:0.33625
1167611148,91334;0.7289:0.3405
1167611148,95433;0.7205:0.33005
1167611148,99122;0.72605:0.3409
1167611149,02825;0.7307:0.3225
1167611149,06533;0.73165:0.33615
1167611149,10226;0.72615:0.33815
1167611149,13941;0.73355:0.33455
1167611149,17752;0.7322:0.318
1167611149,21596;0.73395:0.33905
1167611149,25411;0.6353:0.6258
1167611149,29276;0.6311:0.62295
1167611149,32974;0.63095:0.6249
1167611149,36717;0.6284:0.62635
1167611149,40412;0.62395:0.6161
1167611149,44122;0.623:0.5967
1167611149,47778;0.62555:0.5969
1167611149,5154;0.62705:0.5978
1167611149,55232;0.62975:0.586
1167611149,59058;0.61995:0.5734
1167611149,62784;0.6226:0.59365
1167611149,6649;0.6223:0.5904
1167611149,70247;0.6192:0.59585
1167611149,73959;0.62255:0.5961
1167611149,77694;0.64755:0.90635
1167611149,81452;0.63335:0.93525
1167611149,85178;0.63375:0.91705
1167611149,88916;0.62635:0.9282
1167611149,92582;0.636:0.92165
1167611149,96269;
1167611149,99977;
1167611150,03223;
1167611150,05868;
1167611150,08514;
1167611150,11253;
1167611150,14107;0.6047:0.79575
1167611150,17074;0.5952:0.71455
1167611150,22868;
1167611150,26953;0.63225:0.942
1167611150,29449;0.60895:0.9297
1167611150,34433;0.58645:0.94525
1167611150,3835;0.53425:1.0678
1167611150,42809;0.52515:1.0181
1167611150,46779;0.536:1.03215
1167611150,5098;0.52455:1.01395
1167611150,54691;0.5337:1.0297
1167611150,58933;0.52805:1.03025
1167611150,62561;0.4298:0.9698
1167611150,66647;0.42305:0.9712
1167611150,70277;0.43025:0.9903
1167611150,74425;0.42645:0.98335
1167611150,78133;0.42305:0.9924
1167611150,8227;0.42315:0.9798
1167611150,85951;0.58035:0.925
1167611150,90028;0.78905:0.8732
1167611150,93592;0.78555:0.87785
1167611150,972;0.7978:0.86825
1167611151,00829;0.7995:0.88435
1167611151,04373;0.80305:0.8812
1167611151,07947;0.8171:0.89275
1167611151,11437;0.8208:0.9169
1167611151,14896;0.8206:0.91705
1167611151,18397;0.8177:0.9194
1167611151,21899;0.8288:0.854
1167611151,25378;0.85605:0.70615
1167611151,28933;0.8615:0.6848
1167611151,32638;0.8581:0.692
1167611151,36213;0.86555:0.66275
1167611151,39946;0.87105:0.6902
1167611151,43688;0.84465:0.6589
1167611151,47353;0.84175:0.662
1167611151,5106;0.8464:0.6473
1167611151,54838;0.8429:0.63385
1167611151,58688;0.8498:0.66285
1167611151,62515;
1167611151,66185;
1167611151,68861;
1167611151,71536;
1167611151,74215;
1167611151,77384;
1167611151,81862;
1167611151,86268;0.9406:0.69345
1167611151,88679;0.93305:0.7067
1167611151,9278;0.9352:0.6944
1167611151,9687;0.92905:0.6893
1167611152,01071;0.9255:0.69255
1167611152,0479;0.87765:0.67975
1167611152,08448;0.66445:0.57895
1167611152,12021;0.6687:0.5847
1167611152,15775;0.66855:0.5883
1167611152,19738;0.6655:0.58675
1167611152,2338;0.65705:0.5815
1167611152,27417;0.6367:0.57235
1167611152,31091;0.6307:0.59035
1167611152,3543;0.6431:0.6052
1167611152,3917;0.63335:0.5756
1167611152,43339;0.6395:0.60515
1167611152,46997;0.6497:0.55005
1167611152,51284;0.6513:0.44725
1167611152,55012;0.64985:0.4518
1167611152,5915;0.6565:0.4526
1167611152,62837;0.66015:0.4378
1167611152,66915;0.65315:0.4569
1167611152,70542;0.6563:0.45985
1167611152,74651;0.6513:0.4608
1167611152,7829;0.65485:0.4601
1167611152,81988;0.6523:0.4631
1167611152,85942;0.6639:0.4975
1167611152,89532;0.6602:0.5046
1167611152,93206;0.66135:0.5101
1167611152,96817;0.6621:0.50405
1167611153,00452;0.66665:0.5432
1167611153,04162;0.637:0.58835
1167611153,07869;0.6321:0.6063
1167611153,11567;0.63115:0.611
1167611153,15272;0.63735:0.5893
1167611153,18932;0.6384:0.58955
1167611153,22699;0.64065:0.60785
1167611153,26367;0.635:0.61715
1167611153,30019;0.634:0.59295
1167611153,33712;0.63215:0.60715
1167611153,37395;0.4815:0.6264
1167611153,4111;0.3625:0.62665
1167611153,44812;0.35875:0.65385
1167611153,48611;0.3598:0.6372
1167611153,52299;0.3545:0.6386
1167611153,56;0.35915:0.67985
1167611153,59709;0.3594:0.6391
1167611153,63425;0.3609:0.6413
1167611153,67238;0.36455:0.6369
1167611153,71097;0.364:0.61995
1167611153,74913;0.367:0.61505
1167611153,78682;0.3653:0.63105
1167611153,82388;0.3525:0.416
