Timestamp;GazePoint
0874,07413;
1167610874,11094;
1167610874,15363;
1167610874,19617;
1167610874,23877;
1167610874,2674;
1167610874,29146;0.4101:0.28945
1167610874,34143;0.4062:0.2785
1167610874,40463;0.4086:0.26825
1167610874,45148;0.41065:0.2642
1167610874,51141;0.40605:0.27655
1167610874,57031;0.4102:0.2857
1167610874,6291;0.40715:0.3006
1167610874,68888;0.41535:0.30815
1167610874,74849;0.4124:0.26655
1167610874,81509;0.4079:0.2836
1167610874,88189;0.40875:0.2785
1167610874,94124;0.41035:0.2734
1167610875,00066;0.40735:0.29545
1167610875,05961;0.3649:0.459
1167610875,11895;0.413:0.28115
1167610875,19014;0.41055:0.2782
1167610875,25835;0.408:0.28845
1167610875,31812;0.40545:0.18745
1167610875,38949;0.4187:0.2968
1167610875,45316;0.39865:0.31925
1167610875,53168;0.3462:0.3236
1167610875,57346;0.33825:0.32365
1167610875,6161;0.34115:0.34405
1167610875,65495;0.34695:0.36245
1167610875,69716;0.3598:0.3699
1167610875,73458;0.3508:0.33805
1167610875,77718;0.35005:0.3415
1167610875,81557;0.3548:0.34845
1167610875,85769;0.34925:0.35235
1167610875,89553;0.3413:0.3309
1167610875,93732;0.35615:0.3542
1167610875,97554;0.34865:0.36115
1167610876,02046;0.3567:0.3506
1167610876,05986;0.35085:0.3541
1167610876,10273;0.3487:0.3639
1167610876,14046;0.3383:0.36055
1167610876,1782;0.34275:0.35365
1167610876,21598;0.3395:0.35015
1167610876,25356;0.3403:0.3482
1167610876,29161;0.3354:0.3564
1167610876,32931;0.34395:0.36455
1167610876,36733;0.3496:0.3845
1167610876,40567;0.34115:0.3832
1167610876,44374;0.343:0.42725
1167610876,48206;0.34495:0.4268
1167610876,52018;0.348:0.4144
1167610876,55827;0.3436:0.3865
1167610876,59627;0.33605:0.38865
1167610876,63419;0.346:0.4268
1167610876,67207;0.3402:0.38965
1167610876,70939;0.34235:0.41465
1167610876,74682;0.32435:0.3946
1167610876,78532;0.33765:0.41255
1167610876,82377;0.33475:0.4039
1167610876,86116;0.348:0.4152
1167610876,89888;0.354:0.45235
1167610876,93679;0.3521:0.40265
1167610876,97474;0.35525:0.42605
1167610877,01263;0.34195:0.4178
1167610877,05054;0.3566:0.41005
1167610877,08837;0.34905:0.40925
1167610877,12617;0.34885:0.42715
1167610877,1657;0.36665:0.4553
1167610877,21256;0.34865:0.44715
1167610877,28678;0.3491:0.45415
1167610877,43118;0.34455:0.4725
1167610877,55853;0.34365:0.4414
1167610877,64762;0.3493:0.435
1167610877,69022;0.3489:0.4485
1167610877,73567;0.35165:0.4486
1167610877,77512;0.3511:0.44625
1167610877,81807;0.34575:0.43875
1167610877,85715;0.3515:0.45295
1167610877,90174;0.34905:0.45135
1167610877,94061;0.3486:0.45185
1167610877,98351;0.36505:0.4796
1167610878,02124;0.3602:0.45845
1167610878,06256;0.3499:0.45625
1167610878,10141;0.3517:0.44615
1167610878,1455;0.36435:0.4529
1167610878,18485;0.35535:0.45715
1167610878,2279;0.35165:0.44135
1167610878,26621;0.3501:0.4487
1167610878,30415;0.35945:0.44845
1167610878,34098;0.3539:0.445
1167610878,37889;0.35145:0.4356
1167610878,41876;0.36085:0.4471
1167610878,45843;0.35065:0.42485
1167610878,49771;0.3515:0.4729
1167610878,53676;0.34755:0.44445
1167610878,57588;0.3523:0.44715
1167610878,61418;0.34625:0.4608
1167610878,65276;0.35265:0.44835
1167610878,69117;0.3529:0.4536
1167610878,72999;0.35625:0.44865
1167610878,76893;0.35295:0.4508
1167610878,80778;0.3489:0.4364
1167610878,84665;0.35665:0.44605
1167610878,88589;0.3509:0.4456
1167610878,92623;0.34885:0.4434
1167610878,96553;0.36445:0.44885
1167610879,00489;0.3526:0.46115
1167610879,04713;0.35495:0.4487
1167610879,08869;0.34305:0.4468
1167610879,12866;0.3562:0.45555
1167610879,1688;0.35105:0.446
1167610879,20862;0.3461:0.44935
1167610879,24779;0.3617:0.4512
1167610879,28613;0.36195:0.45195
1167610879,32749;0.37245:0.4609
1167610879,36717;0.3561:0.44475
1167610879,40857;0.3518:0.46345
