Timestamp;GazePoint
636172511362,523;
1167612047,02225;0.37445:0.46585
1167612047,05986;0.38695:0.47255
1167612047,10658;0.38225:0.47205
1167612047,15335;0.3848:0.4695
1167612047,1996;0.39:0.46905
1167612047,24862;0.38195:0.47475
1167612047,29385;0.33565:0.47315
1167612047,34906;0.32165:0.47285
1167612047,40012;0.3241:0.45825
1167612047,44977;0.42895:0.47395
1167612047,49465;0.43145:0.47975
1167612047,53812;0.4275:0.48695
1167612047,58217;0.4287:0.4709
1167612047,6323;0.42555:0.4787
1167612047,67754;0.4306:0.48255
1167612047,7274;0.51325:0.44575
1167612047,7726;0.5942:0.4319
1167612047,8163;0.59135:0.4338
1167612047,86286;0.59685:0.42405
1167612047,91508;0.5906:0.42485
1167612047,95513;0.5923:0.423
1167612047,99869;
1167612048,03861;0.57265:0.61615
1167612048,07347;0.5596:0.6023
1167612048,11242;
1167612048,15206;
1167612048,18011;0.6145:0.58155
1167612048,2092;0.6193:0.5613
1167612048,24871;0.62535:0.5654
1167612048,28906;0.6202:0.5334
1167612048,32915;0.6292:0.5673
1167612048,36937;0.623:0.56515
1167612048,41043;0.39655:0.6992
1167612048,451;0.39315:0.70335
1167612048,49152;0.38825:0.70125
1167612048,5319;0.3937:0.69455
1167612048,57198;
1167612048,61266;
1167612048,64214;
1167612048,67157;0.3872:0.68465
1167612048,70494;0.53045:0.90905
1167612048,74585;0.53005:0.8809
1167612048,78731;0.53365:0.8788
1167612048,82771;0.5247:0.86245
1167612048,87535;0.56455:0.8792
1167612048,91614;0.56965:0.88065
1167612048,96376;0.5635:0.8988
1167612049,01153;0.64755:0.8975
1167612049,05897;0.8375:0.88345
1167612049,1119;0.838:0.894
1167612049,1603;0.8347:0.908
1167612049,20119;0.91065:0.75875
1167612049,24192;0.9116:0.73195
1167612049,28631;
1167612049,33499;0.8972:0.77455
1167612049,37334;0.91165:0.7785
1167612049,41286;0.90665:0.82785
1167612049,4601;0.9055:0.83735
1167612049,5019;0.90955:0.84305
1167612049,54899;0.8926:0.84505
1167612049,59092;0.9067:0.8356
1167612049,64513;0.9099:0.83165
1167612049,68767;0.89985:0.8317
1167612049,73461;0.90565:0.3239
1167612049,77636;0.90365:0.26015
1167612049,8328;0.9054:0.1459
1167612049,87787;0.9076:0.2618
1167612049,9381;0.9195:0.232
1167612049,98578;0.91715:0.21705
1167612050,03348;0.90365:0.24555
1167612050,07563;0.6067:0.1729
1167612050,12456;0.6015:0.1673
1167612050,17565;0.5619:0.1572
1167612050,2179;0.27555:0.1642
1167612050,2604;0.40695:0.2056
1167612050,30381;0.27395:0.16575
1167612050,34707;0.27385:0.19025
1167612050,38922;0.2736:0.17665
1167612050,43306;0.23475:0.2251
1167612050,47641;0.23115:0.2238
1167612050,51981;0.2275:0.2207
1167612050,56307;0.4504:0.23865
1167612050,60523;0.22925:0.228
1167612050,64846;0.2383:0.2359
1167612050,69021;0.22545:0.22925
1167612050,73213;0.2309:0.23405
1167612050,77474;0.23415:0.2971
1167612050,81692;0.2379:0.28995
1167612050,85981;
1167612050,9028;
1167612050,93289;
1167612050,97136;0.22915:0.4767
1167612051,0087;0.2383:0.4776
1167612051,05015;0.23875:0.46755
1167612051,11216;0.22915:0.47905
1167612051,16215;0.19915:0.7556
1167612051,21282;0.2032:0.77385
1167612051,25611;0.2002:0.77145
1167612051,31076;0.1953:0.77005
1167612051,36242;0.1716:0.86475
1167612051,40898;0.1861:0.8815
1167612051,45138;0.17105:0.88325
1167612051,50753;
1167612051,55;0.0456:0.8409
1167612051,59651;
1167612051,63798;
1167612051,68975;
1167612051,74255;
1167612051,79173;0.3911:0.7126
1167612051,83009;
1167612051,88413;
1167612051,92271;
1167612051,95996;
1167612052,00226;0.4268:0.67845
1167612052,04798;0.57055:0.59475
1167612052,09087;
1167612052,13284;0.5682:0.58395
1167612052,16383;0.5651:0.58425
1167612052,20492;0.56715:0.6038
1167612052,24641;0.6156:0.5295
1167612052,28767;0.6157:0.53145
1167612052,33654;0.63075:0.54625
1167612052,38621;0.6347:0.5386
1167612052,42856;0.6228:0.5306
1167612052,47014;0.6458:0.3748
1167612052,51229;0.6557:0.37415
1167612052,55455;0.6421:0.39185
1167612052,59648;0.6451:0.38025
1167612052,63859;0.64495:0.3664
1167612052,6796;0.73115:0.25285
1167612052,72793;0.73425:0.2387
1167612052,77167;0.7453:0.2545
1167612052,82054;0.80365:0.2693
1167612052,86236;0.79855:0.2935
1167612052,90444;0.79545:0.25785
1167612052,95619;0.7867:0.26235
1167612053,00132;0.7932:0.26015
1167612053,04976;0.78765:0.2692
1167612053,09249;0.7929:0.2766
1167612053,14682;0.79225:0.3261
1167612053,19697;0.79915:0.32455
1167612053,24693;0.98335:0.4898
1167612053,28872;0.80155:0.31945
1167612053,33435;0.80045:0.3176
1167612053,37722;0.7939:0.32315
1167612053,42437;0.7918:0.32975
1167612053,46765;0.7944:0.3307
1167612053,51657;0.7915:0.3194
1167612053,5594;0.79455:0.31265
1167612053,60779;0.79015:0.3088
1167612053,65129;0.7949:0.31775
1167612053,70012;0.7992:0.3192
1167612053,74218;
1167612053,79055;
1167612053,83481;
1167612053,86146;0.7723:0.5748
1167612053,92879;
1167612053,97909;0.76145:0.5314
1167612054,00297;0.7463:0.5556
1167612054,04977;0.7585:0.5513
1167612054,0985;0.69155:0.7795
1167612054,14669;0.6784:0.7543
1167612054,18768;0.68275:0.75495
1167612054,22825;0.6819:0.7614
1167612054,26912;0.68475:0.7635
1167612054,31737;0.68655:0.75595
1167612054,35791;0.6851:0.74455
1167612054,39906;0.6816:0.7557
1167612054,4394;
1167612054,48056;
1167612054,50682;
1167612054,53333;
1167612054,55941;
1167612054,59343;0.77725:1.1123
1167612054,63384;
1167612054,68457;0.7931:0.86245
1167612054,707;0.78045:0.90305
1167612054,75598;0.774:0.9258
1167612054,80499;0.77695:0.9071
1167612054,8545;0.77415:0.91535
1167612054,89681;0.7957:0.96225
1167612054,93968;0.8841:1.2923
1167612054,98325;0.8809:1.30945
1167612055,03645;0.88065:1.28995
1167612055,08611;0.7906:1.09415
1167612055,14064;0.6489:0.747
1167612055,18449;0.63795:0.7524
1167612055,22653;0.6443:0.75915
1167612055,27617;0.6566:0.73
1167612055,3221;0.6483:0.7572
1167612055,37207;0.65925:0.74785
1167612055,41865;0.64185:0.5717
1167612055,46775;0.6441:0.59225
1167612055,51644;0.6379:0.5876
1167612055,5665;0.6353:0.60955
1167612055,61957;0.62455:0.56275
1167612055,66161;0.62165:0.5809
1167612055,70952;0.6212:0.5581
1167612055,75233;0.6291:0.571
1167612055,79882;0.693:0.31235
1167612055,8478;0.69305:0.3093
1167612055,89499;0.68965:0.32615
1167612055,93665;0.7353:0.3231
1167612055,99033;0.8698:0.2894
1167612056,03977;0.7973:0.26625
1167612056,08627;0.7967:0.2597
1167612056,12862;0.78995:0.2712
1167612056,17234;0.7953:0.28585
1167612056,2162;0.7955:0.27395
1167612056,25981;0.7885:0.2838
1167612056,30363;0.78975:0.22415
1167612056,34699;0.8014:0.21075
1167612056,3902;0.7937:0.21725
1167612056,43346;0.7988:0.2271
1167612056,47719;0.79955:0.22245
1167612056,52066;0.76875:0.2538
1167612056,56413;0.7752:0.21245
1167612056,60829;0.76985:0.2462
1167612056,65266;0.74335:0.25135
1167612056,69677;0.2014:0.23705
1167612056,74113;0.19435:0.2334
1167612056,78517;0.1949:0.24365
1167612056,82894;0.1958:0.23115
1167612056,87281;0.2016:0.223
1167612056,91661;0.26375:0.2344
1167612056,96748;0.2056:0.249
1167612057,00993;0.2052:0.25215
1167612057,05313;
1167612057,0956;
1167612057,13978;
1167612057,18751;
1167612057,23051;
1167612057,27291;
1167612057,31533;
1167612057,36199;
1167612057,40439;
1167612057,44911;
1167612057,47536;
1167612057,51386;0.1986:0.5768
1167612057,55931;
