Timestamp;GazePoint
636172508956,525;
1167611806,46815;0.47715:0.56185
1167611806,50665;0.4832:0.57845
1167611806,54455;0.4786:0.5712
1167611806,58175;0.4707:0.5866
1167611806,61963;0.47565:0.5705
1167611806,66284;0.47005:0.58305
1167611806,69964;0.471:0.5834
1167611806,74269;0.2576:0.5065
1167611806,77947;0.26:0.50745
1167611806,8164;0.2666:0.5055
1167611806,85311;0.27245:0.5105
1167611806,88985;0.2639:0.5031
1167611806,92651;0.26685:0.51325
1167611806,96325;0.27015:0.48545
1167611806,99998;0.2549:0.46325
1167611807,03682;0.25745:0.455
1167611807,07889;0.2546:0.46145
1167611807,11556;0.26315:0.46295
1167611807,15893;0.2666:0.4576
1167611807,19605;0.2633:0.4503
1167611807,23314;0.26685:0.4422
1167611807,27444;0.26565:0.44005
1167611807,31239;0.26795:0.4285
1167611807,35631;0.2111:0.18055
1167611807,39445;0.2168:0.1689
1167611807,43972;0.2181:0.1737
1167611807,47872;0.20965:0.17125
1167611807,52174;0.2027:0.17475
1167611807,55945;0.18865:0.18835
1167611807,60398;0.19615:0.187
1167611807,64266;0.1865:0.18665
1167611807,68717;0.70365:0.2024
1167611807,73174;0.45465:0.35845
1167611807,7769;0.76015:0.21995
1167611807,82355;0.7564:0.2144
1167611807,8676;0.7991:0.18735
1167611807,9124;0.80555:0.1861
1167611807,95899;0.80255:0.17545
1167611808,0039;0.79605:0.1866
1167611808,04732;0.797:0.17405
1167611808,09263;0.7979:0.19675
1167611808,13242;0.69935:0.2486
1167611808,17823;0.701:0.2611
1167611808,2241;0.7049:0.24745
1167611808,26906;0.6954:0.2583
1167611808,30796;0.70975:0.2548
1167611808,3541;0.7073:0.2306
1167611808,39355;0.71:0.2375
1167611808,43296;0.51315:0.2047
1167611808,47242;0.2045:0.20835
1167611808,51215;0.2009:0.1951
1167611808,5597;0.2007:0.19995
1167611808,60696;0.2119:0.19335
1167611808,64653;0.20835:0.1946
1167611808,69971;0.19265:0.2181
1167611808,74627;0.1962:0.20705
1167611808,79239;0.1966:0.18665
1167611808,83241;0.1928:0.2021
1167611808,87857;0.19045:0.19285
1167611808,92445;0.19485:0.18985
1167611808,97087;0.18265:0.1996
1167611809,01033;0.2692:0.1862
1167611809,05428;0.774:0.15955
1167611809,09364;0.7518:0.14465
1167611809,13483;0.74895:0.15455
1167611809,19181;0.7539:0.1642
1167611809,24565;
1167611809,29873;
1167611809,34844;
1167611809,39344;0.80505:0.17125
1167611809,4448;
1167611809,49393;
1167611809,53684;
1167611809,56339;
1167611809,61054;0.69385:0.37005
1167611809,64193;0.7564:0.2472
1167611809,68431;0.70375:0.2589
1167611809,73053;0.6981:0.2512
1167611809,7801;0.69965:0.2313
1167611809,82328;0.70405:0.23355
1167611809,87217;0.7013:0.2443
1167611809,91584;0.7035:0.16405
1167611809,96407;0.7051:0.2578
1167611810,00688;0.7403:0.16355
1167611810,05014;0.75425:0.4845
1167611810,09425;0.7452:0.49645
1167611810,13976;0.7467:0.489
1167611810,18995;0.7493:0.4722
1167611810,23082;0.7474:0.4997
1167611810,27273;0.8069:0.57015
1167611810,32111;0.80165:0.58425
1167611810,36099;0.80135:0.58535
1167611810,40083;0.80275:0.5728
1167611810,44788;0.80115:0.5852
1167611810,48788;0.7996:0.589
1167611810,53429;0.79865:0.5702
1167611810,58158;0.80625:0.5728
1167611810,6212;0.8079:0.57265
1167611810,66079;0.81205:0.5493
1167611810,70045;0.7601:0.46025
1167611810,74009;0.75125:0.4752
1167611810,77955;0.76985:0.43825
1167611810,83396;0.76035:0.47825
1167611810,87615;0.76355:0.2761
1167611810,91873;0.76145:0.34685
1167611810,96164;0.759:0.4437
1167611811,01482;0.49365:0.3954
1167611811,06486;0.39735:0.5776
1167611811,10682;0.21985:0.4686
1167611811,1508;0.22165:0.51985
1167611811,20017;0.2532:0.50765
1167611811,24977;0.2868:0.46865
1167611811,29192;0.2944:0.4586
1167611811,34413;0.27405:0.42935
1167611811,38629;0.30155:0.49195
1167611811,43595;0.2685:0.38145
1167611811,48925;0.28175:0.2985
1167611811,53812;0.46715:0.351
1167611811,58079;0.32735:0.4817
1167611811,64012;0.7349:0.15465
1167611811,68241;0.71795:0.2168
1167611811,73122;0.717:0.1557
1167611811,77633;
1167611811,82522;
1167611811,87253;
1167611811,9236;0.79905:0.10465
1167611811,96999;
1167611812,02086;0.81965:0.144
1167611812,06595;
1167611812,1121;0.8059:0.16805
1167611812,16875;0.819:0.0593
1167611812,21525;
1167611812,25923;
1167611812,30343;
1167611812,34687;0.8108:0.1251
1167611812,3924;
1167611812,43947;
1167611812,48331;
1167611812,50999;
1167611812,53695;
1167611812,57089;0.7791:0.2724
1167611812,63725;0.79865:0.1804
1167611812,68829;
1167611812,73772;
1167611812,76466;0.80465:0.1632
1167611812,81212;0.79975:0.17685
1167611812,8621;0.80535:0.14735
1167611812,91433;0.79515:0.1616
1167611812,96018;0.7588:0.1746
1167611813,00165;0.7625:0.18415
1167611813,04584;0.75915:0.1882
1167611813,09331;
1167611813,13589;0.70315:0.12215
1167611813,17945;0.69815:0.2463
1167611813,22511;0.6982:0.2014
1167611813,27098;0.695:0.26755
1167611813,31757;
1167611813,36083;
1167611813,41636;0.707:0.27265
1167611813,4633;0.69365:0.21115
1167611813,56121;0.70385:0.2064
1167611813,69999;0.75795:0.4411
1167611813,84905;0.7555:0.5602
1167611813,93081;0.7602:0.68975
1167611813,98476;0.7573:0.5573
1167611814,03361;0.7607:0.4692
1167611814,08165;0.8067:0.5565
1167611814,12899;0.8108:0.5652
1167611814,17914;0.81715:0.55735
1167611814,22185;0.80755:0.54075
1167611814,27069;0.79565:0.58825
1167611814,31775;0.8005:0.43305
1167611814,37483;0.805:0.58235
1167611814,41798;0.7692:0.43965
1167611814,46363;0.7673:0.397
1167611814,50891;0.77155:0.4029
1167611814,55349;0.7721:0.38415
1167611814,59794;0.7663:0.41125
1167611814,64245;0.7631:0.41
1167611814,70122;0.7808:0.15765
1167611814,74589;0.78245:0.12865
1167611814,79426;0.77765:0.1617
1167611814,83524;
1167611814,88412;
1167611814,92636;0.79605:0.1757
1167611814,96449;0.79775:0.16195
1167611815,01588;0.80255:0.1549
1167611815,06413;0.80005:0.1783
1167611815,11607;0.76255:0.8092
1167611815,17073;0.7832:0.85115
1167611815,21736;0.78725:0.8536
1167611815,26323;0.77495:0.85405
1167611815,30878;0.7604:0.9208
1167611815,35487;0.7621:0.94055
1167611815,4008;0.76885:0.9317
1167611815,45737;0.76475:0.93185
1167611815,50168;0.7619:0.9116
1167611815,54772;0.72965:0.8968
1167611815,59447;0.73455:0.907
1167611815,63953;0.70705:0.93225
1167611815,68935;0.71865:0.8436
1167611815,74184;0.72355:0.8435
1167611815,79087;0.7246:0.84745
1167611815,8453;0.7197:0.83545
1167611815,88976;0.7791:0.52105
1167611815,95174;0.7875:0.49805
1167611816,00155;0.79075:0.46605
1167611816,05036;0.7918:0.49985
1167611816,09324;0.7919:0.50905
1167611816,14253;0.78875:0.5087
1167611816,19385;0.7948:0.4828
1167611816,2412;0.78865:0.50425
1167611816,28398;0.77725:0.49525
1167611816,33371;0.77195:0.49885
1167611816,378;0.7673:0.40015
1167611816,42646;0.7695:0.50695
1167611816,47809;0.77395:0.5115
1167611816,54197;0.7778:0.4959
1167611816,59265;0.77005:0.5215
1167611816,63563;0.77875:0.50185
1167611816,68636;0.764:0.43965
1167611816,73044;0.7602:0.397
1167611816,77722;0.75395:0.3836
1167611816,82337;0.75595:0.3911
1167611816,86612;0.75745:0.2767
1167611816,9094;0.7522:0.41235
1167611816,95422;0.75505:0.4087
1167611817,00167;0.74665:0.43675
1167611817,04649;0.7505:0.42725
1167611817,08886;0.7523:0.41795
1167611817,12969;0.70075:0.4821
1167611817,17323;0.6416:0.48355
1167611817,21436;0.2676:0.5325
1167611817,25586;0.2759:0.52205
1167611817,30731;0.27975:0.51245
1167611817,35695;0.36875:0.52635
1167611817,40071;0.27375:0.52095
1167611817,44527;0.3001:0.50415
1167611817,49131;0.305:0.4977
1167611817,53875;0.30375:0.50465
1167611817,58211;0.30925:0.59455
1167611817,6278;0.2975:0.4884
1167611817,67224;0.29845:0.4832
1167611817,72308;0.27525:0.32385
1167611817,77037;0.272:0.4217
1167611817,82193;0.2747:0.42005
1167611817,86817;0.2682:0.42075
1167611817,91964;0.26625:0.3923
1167611817,9645;0.271:0.41495
1167611818,01442;0.39885:0.42535
1167611818,05892;0.5866:0.44025
1167611818,10819;0.6697:0.4695
1167611818,15458;0.66395:0.47125
1167611818,20382;0.65685:0.49235
1167611818,24751;0.7604:0.4911
1167611818,30232;0.7537:0.48125
1167611818,34465;0.7651:0.49195
1167611818,40164;0.7604:0.4935
