Timestamp;GazePoint
636172508570,063;
1167611767,82587;0.48045:0.53885
1167611767,86431;0.47465:0.53445
1167611767,90173;0.4789:0.5334
1167611767,93999;0.47625:0.54265
1167611767,9841;0.48145:0.5348
1167611768,02162;0.4829:0.5377
1167611768,05914;0.4794:0.5315
1167611768,09656;0.48655:0.5443
1167611768,1401;0.47065:0.5235
1167611768,17738;0.45755:0.4829
1167611768,21832;0.40755:0.44655
1167611768,25552;0.32785:0.436
1167611768,29951;0.3362:0.42
1167611768,33706;0.3355:0.41385
1167611768,37448;0.34235:0.42765
1167611768,41562;0.3485:0.43445
1167611768,45397;0.3546:0.4397
1167611768,50217;0.3542:0.4524
1167611768,54046;0.35465:0.45265
1167611768,58431;0.34515:0.44715
1167611768,62289;0.305:0.45335
1167611768,67172;0.2982:0.4363
1167611768,70957;0.2931:0.43815
1167611768,75345;0.29685:0.4346
1167611768,79226;0.2942:0.4256
1167611768,83444;0.2909:0.425
1167611768,87268;0.28835:0.4374
1167611768,92225;0.29545:0.43885
1167611768,96125;0.29455:0.4397
1167611769,00597;0.3023:0.43465
1167611769,04493;0.5166:0.3858
1167611769,08852;0.52795:0.38425
1167611769,13444;0.5218:0.37135
1167611769,17476;0.5131:0.3798
1167611769,21477;0.6532:0.33975
1167611769,26186;0.6816:0.3526
1167611769,30852;0.6761:0.3377
1167611769,34877;0.6749:0.35445
1167611769,3888;0.6694:0.3549
1167611769,42907;0.6673:0.34205
1167611769,469;0.66365:0.35995
1167611769,51573;0.6683:0.35095
1167611769,55571;0.72855:0.6437
1167611769,59657;0.7334:0.65655
1167611769,63641;0.7309:0.64345
1167611769,67597;0.7195:0.6348
1167611769,71609;0.73785:0.63115
1167611769,7624;0.7168:0.6304
1167611769,80214;0.70285:0.637
1167611769,84863;0.69935:0.6301
1167611769,88863;0.706:0.6505
1167611769,93512;0.69145:0.65575
1167611769,98087;0.7036:0.64115
1167611770,02639;0.69645:0.65055
1167611770,06396;0.69215:0.64645
1167611770,10873;0.7273:0.6219
1167611770,15317;
1167611770,20017;0.72935:0.6279
1167611770,22689;0.7325:0.62565
1167611770,26445;0.7173:0.62645
1167611770,30217;0.7279:0.61825
1167611770,35179;0.74265:0.6307
1167611770,39941;0.73335:0.6174
1167611770,43765;0.7261:0.62645
1167611770,4795;0.8142:0.56375
1167611770,52415;0.8293:0.5524
1167611770,56812;0.84715:0.53245
1167611770,6066;0.8477:0.5267
1167611770,65699;0.87215:0.51805
1167611770,69446;0.8806:0.4964
