Timestamp;GazePoint
636172511029,884;
1167612013,78139;
1167612013,8178;
1167612013,85184;
1167612013,9148;
1167612013,96042;0.52065:0.61365
1167612013,991;0.50955:0.6193
1167612014,04825;0.5131:0.62225
1167612014,08764;0.56405:0.6158
1167612014,128;0.30195:0.56115
1167612014,16861;0.3086:0.5808
1167612014,21711;0.31065:0.5826
1167612014,26066;0.3064:0.5776
1167612014,30025;0.25295:0.53885
1167612014,34772;0.25285:0.52595
1167612014,38859;0.2449:0.534
1167612014,43407;0.3566:0.62525
1167612014,47558;0.3689:0.62895
1167612014,52793;0.366:0.63235
1167612014,56942;0.3662:0.62885
1167612014,62271;
1167612014,67011;
1167612014,71013;
1167612014,74656;
1167612014,7778;
1167612014,81916;0.36105:0.6201
1167612014,84533;
1167612014,89827;0.34375:0.4774
1167612014,92791;
1167612014,98291;0.3335:0.3942
1167612015,01251;0.33005:0.3851
1167612015,06517;0.33455:0.38095
1167612015,10761;0.33955:0.39445
1167612015,16788;0.33575:0.3786
1167612015,20763;0.3421:0.45985
1167612015,25685;0.3428:0.4581
1167612015,31338;0.3418:0.4618
1167612015,36161;0.33625:0.4553
1167612015,4031;0.339:0.47735
1167612015,45262;0.32535:0.45455
1167612015,49396;0.3221:0.46645
1167612015,54189;0.3354:0.4668
1167612015,58942;0.3595:0.40965
1167612015,6314;0.3541:0.3936
1167612015,6838;0.3365:0.36775
1167612015,76275;0.335:0.3747
1167612015,83238;0.32925:0.2775
1167612015,89534;0.3342:0.3667
1167612015,95651;0.3301:0.2644
1167612016,0227;0.3375:0.33295
1167612016,08518;0.3665:0.30705
1167612016,15695;0.63335:0.5099
1167612016,23227;0.63645:0.5376
1167612016,30366;0.62845:0.54765
1167612016,36776;0.63015:0.5085
1167612016,43488;0.6301:0.5135
1167612016,49908;0.62985:0.5157
1167612016,57174;0.7253:0.3254
1167612016,63566;0.72955:0.3455
1167612016,71221;0.71765:0.31995
1167612016,77789;0.7625:0.19525
1167612016,85952;0.76225:0.2304
1167612016,93657;
1167612017,01261;
1167612017,05143;
1167612017,08697;
1167612017,12658;
1167612017,1726;
1167612017,20445;
1167612017,24177;
1167612017,27368;
1167612017,30897;0.75665:0.7849
1167612017,33927;0.7526:0.77545
1167612017,37629;0.7664:0.7662
1167612017,41778;0.74545:0.7524
1167612017,46098;0.75305:0.77715
1167612017,50257;0.65405:0.88555
1167612017,54412;0.6818:0.8614
1167612017,58982;0.65765:0.8876
1167612017,63263;0.67405:0.85455
1167612017,67434;0.6898:0.8282
1167612017,71517;0.7693:0.477
1167612017,75578;0.7627:0.45895
1167612017,79737;0.75085:0.4849
1167612017,83814;0.76355:0.48925
1167612017,87896;0.7635:0.27375
1167612017,91953;0.7603:0.2811
1167612017,96168;0.74785:0.2849
1167612018,0039;
1167612018,04688;0.8301:0.2736
1167612018,08591;0.4316:0.17245
1167612018,15361;0.4197:0.1601
1167612018,28676;0.30835:0.19515
1167612018,43238;
1167612018,53063;
1167612018,57949;
1167612018,61555;0.17305:0.8843
1167612018,66487;
1167612018,71613;0.15965:0.95995
1167612018,75195;0.15375:0.93985
1167612018,79727;0.2127:0.97595
1167612018,83738;0.16425:0.924
1167612018,8829;0.1504:0.96055
1167612018,92299;0.11425:0.92045
1167612018,96314;0.11545:0.9222
1167612019,00862;0.3841:0.81925
1167612019,04952;0.39085:0.81175
1167612019,09639;0.3841:0.81165
1167612019,15119;0.3929:0.8248
1167612019,19611;0.3925:0.8116
1167612019,23678;0.4021:0.8235
1167612019,29012;0.551:0.8789
1167612019,33112;0.5502:0.86635
1167612019,37698;0.55465:0.86015
1167612019,4176;0.55355:0.8563
1167612019,46522;0.59835:0.8867
1167612019,51382;0.59295:0.87605
1167612019,56111;0.59275:0.89785
1167612019,59979;0.59275:0.87855
