Timestamp;GazePoint
1704,09698;
1167611704,13961;
1167611704,18332;
1167611704,2213;
1167611704,26505;
1167611704,3089;
1167611704,3434;
1167611704,37378;0.14915:0.19985
1167611704,428;0.1669:0.1624
1167611704,48908;0.153:0.19145
1167611704,53716;0.1578:0.19525
1167611704,60271;0.1534:0.21025
1167611704,66612;0.15435:0.21315
1167611704,73295;0.1579:0.21445
1167611704,7951;0.15745:0.217
1167611704,85517;0.15115:0.20335
1167611704,91748;0.16005:0.20845
1167611704,97916;0.15875:0.1858
1167611705,04553;0.15735:0.2115
1167611705,10406;0.1599:0.20375
1167611705,16376;0.15645:0.19195
1167611705,22493;0.15605:0.19575
1167611705,28381;0.1613:0.2063
1167611705,34262;0.1595:0.1799
1167611705,40553;0.1602:0.1718
1167611705,46513;0.2089:0.1752
1167611705,52818;0.42015:0.2203
1167611705,58969;0.4129:0.22435
1167611705,63795;0.4153:0.22195
1167611705,67687;0.4058:0.21855
1167611705,72051;0.41205:0.2254
1167611705,75929;0.4099:0.2318
1167611705,80341;0.41725:0.21235
1167611705,84234;0.4188:0.23055
1167611705,88624;0.41135:0.22145
1167611705,92632;0.41255:0.21885
1167611705,96943;0.41135:0.2231
1167611706,00868;0.39805:0.209
1167611706,05433;0.4051:0.20185
1167611706,09548;0.40815:0.20205
1167611706,14009;0.3971:0.21535
1167611706,17976;0.4028:0.20365
1167611706,22067;0.4014:0.20925
1167611706,2594;0.3993:0.2218
1167611706,29746;0.40445:0.20755
1167611706,33964;0.39575:0.2215
1167611706,3823;0.3994:0.2199
1167611706,42308;0.40095:0.2196
1167611706,46178;0.4008:0.2111
1167611706,49987;0.3973:0.21245
1167611706,53967;0.40435:0.21425
1167611706,58063;0.4026:0.2071
1167611706,62206;0.40795:0.1957
1167611706,66257;0.40665:0.2064
1167611706,70388;0.4028:0.21365
1167611706,7426;0.4018:0.1984
1167611706,78256;0.4033:0.20935
1167611706,82338;0.4116:0.1967
1167611706,86569;0.4045:0.1978
1167611706,90719;0.4053:0.2334
1167611706,94754;0.40045:0.2294
1167611706,98833;0.40455:0.2404
1167611707,02832;0.4087:0.2335
1167611707,06926;0.40445:0.23135
1167611707,11019;0.40255:0.22775
1167611707,15029;0.4043:0.2364
1167611707,19138;0.39865:0.24365
1167611707,23458;0.409:0.22585
1167611707,27389;0.40595:0.229
1167611707,3135;0.399:0.2309
1167611707,35356;0.40795:0.23135
1167611707,39351;0.4109:0.2135
1167611707,43752;0.4076:0.218
1167611707,47849;0.4085:0.2189
1167611707,52334;0.40845:0.2296
1167611707,56311;0.4067:0.22985
1167611707,61046;0.37885:0.2393
1167611707,65032;0.20615:0.33275
1167611707,69531;0.21425:0.33605
1167611707,73671;0.21725:0.34725
1167611707,78275;0.2155:0.3467
1167611707,82317;0.20915:0.34395
1167611707,86993;0.21055:0.34625
1167611707,91189;0.2138:0.3427
1167611707,95722;0.21165:0.3438
1167611708,00047;0.2127:0.3434
1167611708,04765;0.2118:0.3552
1167611708,08845;0.21425:0.3514
1167611708,133;0.20865:0.3549
1167611708,17319;0.21415:0.3586
1167611708,2149;0.20965:0.3471
1167611708,25533;0.2095:0.34775
1167611708,29558;0.20005:0.35865
1167611708,34413;0.2007:0.36555
1167611708,38554;0.202:0.36265
1167611708,42588;0.2009:0.35905
1167611708,46646;0.2034:0.3667
1167611708,50711;0.19605:0.3609
1167611708,5467;0.20645:0.3582
1167611708,58527;0.20455:0.36015
1167611708,62482;0.1997:0.3586
1167611708,66385;0.1981:0.3529
1167611708,70169;0.19845:0.3674
1167611708,7394;0.19965:0.35995
1167611708,77715;0.1983:0.373
1167611708,81461;0.19465:0.36225
1167611708,85338;0.1961:0.36525
1167611708,89881;0.20295:0.36605
1167611708,93613;0.20255:0.36555
1167611708,97323;0.1989:0.3662
1167611709,0177;0.1983:0.3699
1167611709,05516;0.1984:0.36685
1167611709,09239;0.19745:0.36665
1167611709,12953;0.1995:0.3702
1167611709,17309;0.2004:0.3696
