Timestamp;GazePoint
9755,01318;
1167609755,0561;
1167609755,09899;
1167609755,14194;
1167609755,1791;
1167609755,22199;
1167609755,26494;
1167609755,30788;
1167609755,35081;
1167609755,3942;
1167609755,43175;
1167609755,47506;
1167609755,51372;0.32695:0.16345
1167609755,55012;
1167609755,62205;
1167609755,65028;
1167609755,7304;0.46235:0.54215
1167609755,77987;0.4828:0.47555
1167609755,85506;0.4732:0.534
1167609755,93505;0.45105:0.53905
1167609756,01317;0.47545:0.51315
1167609756,09094;0.448:0.46465
1167609756,16736;0.43705:0.50535
1167609756,23098;0.4353:0.5398
1167609756,30793;0.201:0.48205
1167609756,38372;0.2272:0.5066
1167609756,44681;0.22185:0.439
1167609756,51325;0.2246:0.4342
1167609756,57799;0.2222:0.44195
1167609756,63378;0.2258:0.4453
1167609756,69397;0.22545:0.45885
1167609756,74771;0.2236:0.48025
1167609756,80166;0.2354:0.44695
1167609756,85771;0.2197:0.4525
1167609756,91518;0.2189:0.45035
1167609756,95205;0.2157:0.4449
1167609756,98876;0.2232:0.45705
1167609757,02535;0.2168:0.4728
1167609757,06178;0.2165:0.47945
1167609757,10442;0.2227:0.4557
1167609757,1481;0.2212:0.4611
1167609757,18529;0.22405:0.4857
1167609757,22252;0.21715:0.47515
1167609757,26628;0.21935:0.46255
1167609757,30923;0.2238:0.4555
1167609757,34731;0.2219:0.4846
1167609757,38525;0.2174:0.48995
1167609757,42984;0.221:0.48185
1167609757,47375;0.2212:0.4706
1167609757,51177;0.22125:0.46475
1167609757,54983;0.22065:0.4678
1167609757,58789;0.2216:0.46945
1167609757,62525;0.2212:0.4645
1167609757,66168;0.22135:0.4653
1167609757,69972;0.2181:0.4544
1167609757,73789;0.4027:0.4629
1167609757,78006;0.4684:0.4682
1167609757,81687;0.46355:0.4827
1167609757,85348;0.45785:0.4765
1167609757,89182;0.46105:0.47395
1167609757,92977;0.46225:0.46155
1167609757,97073;0.4426:0.50325
1167609758,00816;0.44215:0.48985
1167609758,0551;0.44195:0.47695
1167609758,09255;0.4477:0.47045
1167609758,13523;0.44475:0.47445
1167609758,17284;0.43605:0.4845
1167609758,21547;0.4405:0.48085
1167609758,25231;0.447:0.4826
1167609758,30025;0.4448:0.4878
1167609758,34294;0.44135:0.47715
1167609758,3838;0.44185:0.4891
1167609758,42145;0.4458:0.4698
1167609758,46889;0.43535:0.46955
1167609758,50623;0.44795:0.46085
1167609758,54896;0.4412:0.45485
1167609758,58692;0.4363:0.4573
1167609758,62851;0.40015:0.45655
1167609758,66622;0.22165:0.4234
1167609758,70527;0.22235:0.4415
1167609758,74321;0.2238:0.4428
1167609758,78024;0.2188:0.4583
1167609758,81921;0.2284:0.44025
1167609758,86908;0.2258:0.42545
1167609758,90652;0.22235:0.4293
1167609758,94414;0.2225:0.4364
1167609758,9826;0.2204:0.41985
1167609759,02028;0.22445:0.42865
1167609759,0578;0.21665:0.4363
1167609759,09524;0.22305:0.4326
1167609759,13354;0.22625:0.4393
1167609759,17187;0.22595:0.45105
1167609759,21011;0.22325:0.44
1167609759,2541;0.2204:0.4413
1167609759,29229;0.22185:0.4635
1167609759,33051;0.225:0.45765
1167609759,37421;0.21805:0.4411
1167609759,4124;0.22225:0.44475
1167609759,45614;0.21925:0.4407
1167609759,49421;0.4422:0.5164
1167609759,53169;0.4507:0.5052
1167609759,57509;0.44175:0.53135
1167609759,61175;0.4392:0.5061
1167609759,65514;0.44695:0.51835
1167609759,69182;0.43965:0.5253
1167609759,73815;0.441:0.50975
1167609759,77995;0.44375:0.51245
1167609759,81636;0.4437:0.51335
1167609759,85835;0.45035:0.51315
1167609759,89468;0.44465:0.49765
1167609759,93564;0.49175:0.5107
1167609759,97321;0.49215:0.50615
1167609760,0137;0.48665:0.5219
1167609760,05143;0.48245:0.5084
1167609760,09474;0.4821:0.51355
1167609760,13299;0.4826:0.5086
1167609760,17375;0.4849:0.5254
1167609760,21006;0.4837:0.51535
1167609760,25144;0.47955:0.51655
1167609760,2878;0.48065:0.52775
1167609760,32825;0.4741:0.53655
1167609760,36391;0.46885:0.53785
1167609760,4034;0.46925:0.5304
1167609760,43953;0.47545:0.52795
1167609760,48096;0.47175:0.52475
1167609760,51779;0.4656:0.5339
1167609760,55715;0.46285:0.53005
1167609760,59234;0.46445:0.53855
1167609760,62912;0.4628:0.53165
1167609760,66592;0.4646:0.5291
1167609760,70214;0.4665:0.54385
1167609760,73871;0.4666:0.5339
1167609760,77412;0.47005:0.51635
1167609760,80987;0.4713:0.51665
1167609760,84626;0.4679:0.51245
1167609760,88195;0.47185:0.51865
1167609760,91919;0.47065:0.50875
1167609760,95669;0.47145:0.50575
1167609760,99328;0.4641:0.5115
1167609761,02944;0.4682:0.51245
1167609761,06627;0.4669:0.50425
1167609761,10275;0.43305:0.50545
1167609761,13926;0.43815:0.49715
1167609761,17673;0.4386:0.5136
1167609761,21424;0.43255:0.55005
1167609761,25255;0.4346:0.53045
1167609761,30098;0.435:0.52835
1167609761,34398;0.4384:0.5199
1167609761,38696;0.4426:0.53435
1167609761,43;0.43725:0.5099
1167609761,47299;0.44475:0.52135
1167609761,5099;0.444:0.52955
1167609761,55215;0.43955:0.49375
1167609761,5943;0.4473:0.49525
1167609761,63312;0.4461:0.49915
1167609761,67283;0.44525:0.52395
1167609761,70975;0.44565:0.51095
1167609761,75222;0.4471:0.5122
1167609761,7891;0.4361:0.5068
1167609761,82611;0.4364:0.5214
1167609761,86731;0.4372:0.49845
1167609761,91236;0.43515:0.51865
1167609761,95467;0.4368:0.5343
1167609761,99914;0.44:0.52245
1167609762,05564;0.4752:0.646
1167609762,0943;0.4845:0.6335
1167609762,13605;0.4833:0.64735
1167609762,17387;0.4875:0.65715
1167609762,21563;0.4814:0.65405
1167609762,25277;0.50365:0.67045
1167609762,29391;0.5038:0.68205
1167609762,3319;0.51045:0.6583
1167609762,3736;0.5019:0.6758
1167609762,41111;0.5024:0.6566
1167609762,45311;0.49585:0.6686
1167609762,49028;0.49775:0.66305
1167609762,53127;0.4974:0.6722
1167609762,56684;0.49595:0.5415
1167609762,60294;0.4898:0.26945
1167609762,63926;0.49265:0.28845
1167609762,67634;0.48785:0.30195
1167609762,7125;0.492:0.2859
1167609762,74848;0.48555:0.28895
1167609762,78422;0.48275:0.28505
1167609762,8194;0.4897:0.2912
1167609762,85535;0.48845:0.29605
1167609762,89125;0.4839:0.29255
1167609762,92811;0.49085:0.2903
1167609762,96414;0.4883:0.29465
1167609763,00118;0.4494:0.31845
1167609763,03791;0.44265:0.30535
1167609763,07526;0.4528:0.32525
1167609763,11188;0.4471:0.3162
1167609763,1483;0.4439:0.28515
1167609763,18472;0.44995:0.3041
1167609763,22228;0.4499:0.3004
1167609763,25925;0.44475:0.3252
1167609763,29625;0.4398:0.32025
1167609763,33949;0.4432:0.3213
1167609763,38393;0.4429:0.31975
1167609763,42797;0.44495:0.31815
1167609763,47197;0.44075:0.30385
1167609763,51636;0.4428:0.31095
1167609763,5548;0.44335:0.3071
1167609763,59206;0.44165:0.31055
1167609763,64032;0.4428:0.3444
1167609763,67918;0.44365:0.3321
1167609763,71861;0.4818:0.34235
1167609763,7625;0.47825:0.35935
1167609763,802;0.48365:0.3514
1167609763,84812;0.4813:0.34345
1167609763,88611;0.4773:0.3524
1167609763,92784;0.482:0.33515
1167609763,97196;0.48025:0.3582
1167609764,01523;0.48155:0.34305
1167609764,05996;0.4861:0.3498
1167609764,10352;0.4801:0.34235
1167609764,14287;0.48565:0.3343
1167609764,18796;0.4799:0.3461
1167609764,22757;0.47205:0.2392
1167609764,27092;0.4682:0.2227
1167609764,31477;0.47105:0.20925
1167609764,35672;0.46535:0.2147
1167609764,39567;0.47835:0.19275
1167609764,44497;0.4646:0.20725
1167609764,48406;0.46955:0.23815
1167609764,52697;0.46635:0.2432
1167609764,56515;0.4633:0.23455
1167609764,60212;0.4618:0.24065
1167609764,63989;0.4665:0.24
1167609764,6783;0.45885:0.22285
1167609764,71687;0.47305:0.2453
1167609764,7553;0.4683:0.23715
1167609764,79384;0.4579:0.23935
1167609764,83228;0.4667:0.2395
1167609764,87081;0.4682:0.25655
1167609764,90934;0.46555:0.23675
1167609764,95311;0.4666:0.24605
1167609764,99153;0.4625:0.2338
1167609765,02932;0.4671:0.23345
1167609765,0665;0.4608:0.2353
1167609765,10337;0.4627:0.2577
1167609765,14119;0.4638:0.23925
1167609765,17893;0.46125:0.24325
1167609765,21647;0.46295:0.251
1167609765,25413;0.4582:0.263
1167609765,29182;0.4613:0.2544
1167609765,33541;0.4213:0.2485
1167609765,3733;0.41925:0.2409
1167609765,41048;0.4163:0.2367
1167609765,44732;0.4146:0.23925
1167609765,48421;0.41815:0.2548
1167609765,52091;0.4167:0.25025
1167609765,55823;0.32445:0.28395
1167609765,5955;0.18505:0.3306
1167609765,6347;0.19035:0.32015
1167609765,67006;0.1933:0.3187
1167609765,70543;0.19415:0.32605
1167609765,74083;0.1958:0.3107
1167609765,77624;0.19245:0.30905
1167609765,81226;0.1914:0.30335
1167609765,85118;0.1867:0.3057
1167609765,88644;0.16235:0.3166
1167609765,9254;0.16495:0.3177
1167609765,96076;0.16145:0.31975
1167609766,00146;0.163:0.32415
1167609766,03666;0.16035:0.30935
1167609766,0757;0.15825:0.30015
1167609766,1103;0.1614:0.3017
1167609766,15092;0.16405:0.31435
1167609766,18596;0.16075:0.31085
1167609766,22545;0.12845:0.3294
1167609766,26068;0.13175:0.3392
1167609766,30016;0.13615:0.34075
1167609766,33617;0.12485:0.3245
1167609766,37685;0.1336:0.3321
1167609766,41307;0.11115:0.316
1167609766,45271;0.04075:0.2571
1167609766,48797;0.04915:0.26785
1167609766,52428;0.0513:0.274
1167609766,5601;0.0643:0.0945
1167609766,59735;0.06485:0.09355
1167609766,63389;0.06785:0.10405
1167609766,67079;0.06455:0.09415
1167609766,70695;0.0603:0.09745
1167609766,74272;0.05575:0.0895
1167609766,77964;0.03915:0.0721
1167609766,81585;0.0397:0.0764
1167609766,85143;0.03525:0.0763
1167609766,88767;0.03575:0.0612
1167609766,92863;0.0374:0.0655
1167609766,97127;0.03295:0.0665
1167609767,00771;0.0261:0.0547
1167609767,04399;0.05585:0.0827
1167609767,0811;0.27835:0.2679
1167609767,11736;0.27555:0.26375
1167609767,15442;0.2704:0.25555
1167609767,19088;0.2703:0.25205
1167609767,22711;0.27045:0.2607
1167609767,26356;0.2662:0.2555
1167609767,29916;0.26195:0.25005
1167609767,33516;0.2684:0.24425
1167609767,37206;0.3013:0.2698
1167609767,40856;0.3019:0.26845
1167609767,44578;0.3053:0.274
1167609767,48132;0.3009:0.27175
1167609767,51784;0.30345:0.28935
1167609767,55769;0.29895:0.2668
1167609767,59281;0.29905:0.27415
1167609767,62816;0.29605:0.27375
1167609767,66437;0.34505:0.27875
1167609767,69991;0.42075:0.27365
1167609767,73991;0.42095:0.2859
1167609767,77658;0.4202:0.28205
1167609767,81673;0.41945:0.27905
1167609767,85312;0.419:0.27895
1167609767,8951;0.41975:0.27235
1167609767,93173;0.4169:0.27975
1167609767,97296;0.41825:0.26745
1167609768,00871;0.3917:0.2802
1167609768,04916;0.2818:0.2982
1167609768,08514;0.28525:0.2938
1167609768,1259;0.28445:0.2846
1167609768,16275;0.2879:0.29955
1167609768,20338;0.28715:0.30945
1167609768,24034;0.2885:0.28965
1167609768,28135;0.29315:0.29515
1167609768,31811;0.2803:0.294
1167609768,35838;0.28155:0.291
1167609768,39383;0.2846:0.30665
1167609768,4302;0.2893:0.2978
1167609768,46648;0.29235:0.3099
1167609768,50275;0.29:0.3051
1167609768,53822;0.29135:0.3104
1167609768,57436;0.28975:0.2909
1167609768,61025;0.2877:0.2986
1167609768,64568;0.28805:0.29285
1167609768,68198;0.29015:0.2705
1167609768,71815;0.2918:0.2778
1167609768,75516;0.29345:0.2857
1167609768,79225;0.2859:0.28575
1167609768,83007;0.2816:0.26885
1167609768,86787;0.2854:0.2883
1167609768,90577;0.28575:0.27945
1167609768,94194;0.2898:0.31135
1167609768,97758;0.2868:0.2832
1167609769,0136;0.28765:0.28915
1167609769,04972;0.28605:0.2935
1167609769,08593;0.1332:0.24605
1167609769,12223;0.1341:0.25045
1167609769,15847;0.1369:0.2579
1167609769,1941;0.1259:0.2436
1167609769,22981;0.13355:0.27275
1167609769,26535;0.1358:0.2578
1167609769,30081;0.1295:0.25585
1167609769,33639;0.1325:0.26065
1167609769,37339;0.1672:0.23175
1167609769,40988;0.16735:0.23335
1167609769,45068;0.1643:0.234
1167609769,48737;0.1686:0.25025
1167609769,52436;0.15725:0.20645
1167609769,56142;0.1596:0.1973
1167609769,59762;0.15985:0.20745
1167609769,63535;0.16585:0.2173
1167609769,67488;0.1615:0.20985
1167609769,71141;0.16125:0.20495
1167609769,75209;0.16375:0.20635
1167609769,78938;0.1578:0.19555
1167609769,83225;0.15215:0.1783
1167609769,86976;0.1527:0.1773
1167609769,91143;0.183:0.1869
1167609769,94833;0.18905:0.19765
1167609769,99128;0.18625:0.2013
1167609770,0289;0.1865:0.19995
1167609770,07041;0.19025:0.20015
1167609770,1064;0.19285:0.1866
1167609770,14797;0.19425:0.19915
1167609770,18485;
1167609770,22608;0.2103:0.20795
1167609770,25211;0.20995:0.20155
1167609770,29265;
1167609770,32824;0.21325:0.20595
1167609770,35394;0.21245:0.20605
1167609770,38959;0.20675:0.18065
1167609770,42499;0.2061:0.19595
1167609770,46044;0.20975:0.1994
1167609770,49653;0.2096:0.2037
1167609770,53219;0.2086:0.20425
1167609770,56778;0.2051:0.20735
1167609770,60336;0.21045:0.21155
1167609770,63906;0.20735:0.19185
1167609770,6753;0.2039:0.19565
1167609770,71123;0.21185:0.1892
1167609770,74769;0.22005:0.1927
1167609770,7839;0.223:0.19895
1167609770,81995;0.2188:0.19615
1167609770,85614;
1167609770,89374;0.21925:0.20065
1167609770,93645;0.2238:0.1977
1167609770,97383;0.22315:0.20525
1167609771,01074;0.2268:0.1923
1167609771,04744;0.2255:0.18975
1167609771,08389;0.2174:0.18765
1167609771,12037;0.22235:0.1856
1167609771,15673;0.2252:0.21705
1167609771,19358;0.22425:0.1933
1167609771,23045;0.22455:0.2034
1167609771,26712;0.22465:0.19085
1167609771,30363;0.2257:0.19695
1167609771,34005;0.2252:0.2003
1167609771,38012;0.1986:0.20095
1167609771,41617;0.19795:0.1963
1167609771,45245;0.19975:0.21335
1167609771,48859;0.2011:0.19595
1167609771,52426;0.1988:0.1904
1167609771,56021;0.19925:0.1926
1167609771,60046;0.19815:0.1986
1167609771,63726;0.2199:0.1976
1167609771,67886;0.21805:0.2038
1167609771,71733;0.21765:0.1821
1167609771,76105;0.21725:0.1884
1167609771,79897;0.21615:0.1968
1167609771,84206;0.21625:0.1944
1167609771,8807;0.2151:0.2065
1167609771,9248;0.20555:0.18925
1167609771,96252;0.2002:0.19865
1167609772,00393;0.19615:0.20135
1167609772,04012;0.1956:0.1788
1167609772,08096;0.19255:0.1885
1167609772,11844;0.1914:0.17715
1167609772,16223;0.175:0.18685
1167609772,20096;0.1719:0.1832
1167609772,24344;0.17525:0.19025
1167609772,2813;0.16975:0.1836
1167609772,31927;0.17825:0.1927
1167609772,35563;0.188:0.1932
1167609772,39243;0.18855:0.19055
1167609772,42989;0.19115:0.19355
1167609772,46763;0.18805:0.19405
1167609772,50498;0.1857:0.1882
1167609772,54241;0.1849:0.18315
1167609772,57977;0.1844:0.1777
1167609772,6163;0.1858:0.17515
1167609772,65284;0.18385:0.1831
1167609772,68954;0.19:0.1874
1167609772,7268;
1167609772,76438;
1167609772,80352;0.2048:0.3961
1167609772,83813;0.19325:0.2028
1167609772,87618;0.191:0.17315
1167609772,9128;0.19715:0.18175
1167609772,94962;0.1921:0.1753
1167609772,98656;0.1942:0.1723
1167609773,02324;0.1987:0.1884
1167609773,0599;0.2026:0.1932
1167609773,09691;0.1982:0.2011
1167609773,13372;0.20335:0.2145
1167609773,17112;0.20605:0.20805
1167609773,20918;0.2025:0.2079
1167609773,24637;0.1932:0.2056
1167609773,28438;0.1979:0.2082
1167609773,32577;0.19935:0.2023
1167609773,36174;0.19585:0.20515
1167609773,3982;0.18045:0.1989
1167609773,43468;0.18255:0.19315
1167609773,47094;
1167609773,50641;
1167609773,54233;
1167609773,56791;
1167609773,59397;
1167609773,61967;
1167609773,65955;0.19155:0.2452
1167609773,70809;0.1894:0.20695
1167609773,74963;0.16825:0.21195
1167609773,78513;0.1693:0.1955
1167609773,82715;0.1672:0.21495
1167609773,86382;0.17045:0.2127
1167609773,90508;0.16565:0.18335
1167609773,94123;0.1655:0.1995
