Timestamp;GazePoint
636217385687,151;
1167611466,38042;
1167611466,41415;
1167611466,47414;
1167611466,53735;
1167611466,63467;
1167611466,70173;
1167611466,80012;
1167611466,85671;
1167611466,90359;
1167611466,93727;
1167611466,97485;
1167611467,00887;
1167611467,04617;
1167611467,08016;
1167611467,11598;
1167611467,15037;
1167611467,1865;
1167611467,22107;
1167611467,25808;
1167611467,29368;
1167611467,33092;
1167611467,36692;
1167611467,40497;
1167611467,4417;
1167611467,48019;
1167611467,5174;
1167611467,55627;
1167611467,59513;
1167611467,64692;
1167611467,69214;
1167611467,72935;
1167611467,76824;
1167611467,80541;
1167611467,8443;
1167611467,88136;
1167611467,9199;
1167611467,95828;
1167611467,99509;
1167611468,0302;
1167611468,06316;
1167611468,09616;
1167611468,12757;
1167611468,15709;
1167611468,18505;
1167611468,21135;
1167611468,23697;
1167611468,26269;
1167611468,28828;
1167611468,3139;
1167611468,33966;
1167611468,36532;
1167611468,39105;
1167611468,41678;
1167611468,44246;
1167611468,46819;
1167611468,49398;
1167611468,53924;
1167611468,58441;
1167611468,62957;
1167611468,67484;
1167611468,71431;
1167611468,75944;
1167611468,79917;
1167611468,82728;
1167611468,85812;
1167611468,88949;
1167611468,92038;
1167611468,95114;
1167611468,98193;
1167611469,01275;
1167611469,04366;
1167611469,07438;
1167611469,10513;
1167611469,13592;
1167611469,1669;
1167611469,19772;
1167611469,24221;
1167611469,28679;
1167611469,33144;
1167611469,37428;
1167611469,41135;
1167611469,45422;
1167611469,48538;
1167611469,52135;
1167611469,56447;
1167611469,60278;
1167611469,64154;
1167611469,67981;
1167611469,71787;
1167611469,75681;0.5461:0.0775
1167611469,78969;
1167611469,8232;0.4421:0.3731
1167611469,84873;
1167611469,8803;
1167611469,9127;0.3914:0.471
1167611469,94114;
1167611469,98817;
1167611470,01421;
1167611470,04649;0.3894:0.4975
1167611470,07324;0.38865:0.4584
1167611470,10836;0.4518:0.50035
1167611470,14484;0.8548:0.756
1167611470,18539;0.9041:0.782
1167611470,22589;
1167611470,26818;
1167611470,29484;
1167611470,3223;
1167611470,34915;
1167611470,37654;
1167611470,40438;
1167611470,43277;
1167611470,46156;
1167611470,49078;
1167611470,52043;
1167611470,54998;
1167611470,5795;
1167611470,60886;
1167611470,63824;
1167611470,66744;
1167611470,71215;
1167611470,75686;
1167611470,80161;
1167611470,84637;
1167611470,88527;
1167611470,92993;
1167611470,96331;0.89065:0.38055
1167611471,00127;
1167611471,05028;0.87715:0.384
1167611471,08228;0.8859:0.39065
1167611471,12213;0.89625:0.162
1167611471,16042;
1167611471,19683;
1167611471,22272;
1167611471,24866;
1167611471,27443;
1167611471,30092;
1167611471,32816;
1167611471,35585;
1167611471,38406;
