Timestamp;GazePoint
636217385024,043;
1167611400,06307;0.5167:0.48025
1167611400,10409;0.5005:0.5007
1167611400,14035;0.4966:0.48885
1167611400,18073;0.4955:0.49385
1167611400,21756;0.50005:0.4827
1167611400,25924;0.50135:0.4941
1167611400,29761;0.4931:0.498
1167611400,33754;0.4083:0.50455
1167611400,37315;0.274:0.52945
1167611400,40973;0.2589:0.53515
1167611400,44632;0.2573:0.55005
1167611400,48268;0.2658:0.5444
1167611400,51946;0.25615:0.5329
1167611400,55574;0.20545:0.5664
1167611400,59146;0.1958:0.55665
1167611400,62714;0.20295:0.5532
1167611400,66267;0.19655:0.56275
1167611400,6981;
1167611400,73362;0.2011:0.57195
1167611400,75931;0.19515:0.55965
1167611400,79568;0.18685:0.5841
1167611400,83142;
1167611400,86841;0.1266:0.6717
1167611400,89444;0.12495:0.66935
1167611400,93592;0.1147:0.66525
1167611400,97313;0.1125:0.6675
1167611401,00895;0.1161:0.6601
1167611401,04493;
1167611401,08075;0.1278:0.6592
1167611401,11049;
1167611401,14488;0.1136:0.63465
1167611401,1708;0.11415:0.68815
1167611401,2051;0.11245:0.66475
1167611401,23967;0.1135:0.66075
1167611401,27495;0.12265:0.6817
1167611401,31025;0.11565:0.68825
1167611401,34499;0.11055:0.66795
1167611401,37995;0.17735:0.60825
1167611401,41895;0.1937:0.54625
1167611401,45306;0.1921:0.5639
1167611401,48699;0.18805:0.5714
1167611401,52142;0.187:0.55935
1167611401,55526;
1167611401,59085;0.21025:0.4587
1167611401,61677;0.30885:0.50435
1167611401,65592;0.30975:0.5334
1167611401,68997;0.312:0.53345
1167611401,7289;
1167611401,76354;
1167611401,79522;
1167611401,82541;
1167611401,85995;
1167611401,88511;
1167611401,92077;0.2196:0.0801
1167611401,95129;0.22135:0.11005
1167611401,99083;0.2214:0.08045
1167611402,02479;0.22075:0.0868
1167611402,06365;0.22745:0.1038
1167611402,09825;0.21975:0.1041
1167611402,13845;0.19915:0.08895
1167611402,17344;0.2043:0.08305
1167611402,21191;0.21185:0.0735
1167611402,24545;0.20445:0.0754
1167611402,27968;0.58945:0.23905
1167611402,31378;
1167611402,34888;0.759:0.4227
1167611402,38113;0.7496:0.4251
1167611402,41594;0.75205:0.42
1167611402,45075;0.75585:0.4288
1167611402,48541;0.7484:0.42975
1167611402,5209;0.75845:0.42565
1167611402,55555;0.7188:0.4023
1167611402,58948;0.7377:0.40805
1167611402,62292;0.7351:0.4087
1167611402,65732;0.72605:0.40955
1167611402,69189;0.69565:0.30955
1167611402,72682;0.6934:0.1975
1167611402,76192;0.6992:0.17695
1167611402,797;0.6843:0.1715
1167611402,83238;0.7004:0.17675
1167611402,86776;0.70455:0.1668
1167611402,90341;0.7205:0.17035
1167611402,93885;0.8227:0.2115
1167611402,9753;0.8396:0.2083
1167611403,01139;0.83965:0.21835
1167611403,04914;0.84275:0.2122
1167611403,08626;0.83955:0.20625
1167611403,12296;0.84125:0.2154
1167611403,15959;0.84305:0.21515
1167611403,20054;0.84635:0.21555
1167611403,23599;0.74335:0.6226
1167611403,27253;0.76145:0.724
1167611403,31363;0.75615:0.73255
1167611403,34971;0.75485:0.73245
1167611403,38538;0.7489:0.741
1167611403,42119;0.75205:0.7564
1167611403,45755;0.75105:0.81505
1167611403,49783;0.7498:0.82425
1167611403,53466;0.7426:0.81715
1167611403,57619;0.75145:0.81865
1167611403,61316;0.74285:0.81295
1167611403,65566;0.74835:0.81875
1167611403,69309;0.67115:0.7182
1167611403,73568;0.63585:0.5832
1167611403,77379;0.64245:0.5704
1167611403,8176;0.63585:0.5726
1167611403,85718;0.63855:0.5609
1167611403,90023;0.64735:0.5696
1167611403,94;0.65805:0.56685
1167611403,98139;0.7483:0.43975
1167611404,01983;0.7623:0.43655
1167611404,06234;0.73875:0.5093
1167611404,10153;
1167611404,14241;
1167611404,18314;
1167611404,21814;0.5897:0.4905
1167611404,25986;0.6078:0.5022
1167611404,29418;0.61435:0.4353
1167611404,32979;0.625:0.3975
1167611404,36498;0.61895:0.3754
1167611404,40199;0.6262:0.36405
1167611404,43752;0.6091:0.37325
1167611404,47487;0.6145:0.3657
1167611404,51211;0.6108:0.36235
1167611404,55022;0.6206:0.3522
1167611404,58756;0.61495:0.35875
1167611404,62354;0.3464:0.5307
1167611404,66089;0.2805:0.57015
1167611404,69817;0.2863:0.57025
1167611404,73509;0.28075:0.57655
1167611404,77195;0.27975:0.57435
1167611404,80883;0.2839:0.5708
1167611404,84531;0.29105:0.5679
1167611404,88187;0.31815:0.4867
1167611404,91784;0.31595:0.52915
1167611404,95436;0.31425:0.52295
1167611404,99017;0.3141:0.4828
1167611405,02634;0.32015:0.51785
1167611405,0995;0.26635:0.77955
1167611405,22468;0.2673:0.7735
1167611405,34162;0.30115:0.74955
1167611405,43407;0.28985:0.73925
1167611405,48309;0.29835:0.7555
1167611405,52296;0.2977:0.75665
1167611405,55945;0.2917:0.75405
1167611405,60113;0.29965:0.74685
1167611405,63806;0.29455:0.7453
1167611405,6791;0.30095:0.73045
1167611405,71518;0.2986:0.75395
1167611405,75619;0.29745:0.7513
1167611405,79306;0.29625:0.74695
1167611405,83457;0.21235:0.54845
1167611405,87097;0.2019:0.34435
1167611405,91261;0.2118:0.32585
1167611405,9501;0.20725:0.3337
1167611405,99297;0.2058:0.32915
1167611406,03009;0.21315:0.33015
1167611406,07156;0.20195:0.33125
1167611406,10829;0.26015:0.2231
1167611406,14592;0.2613:0.2238
