Timestamp;GazePoint
636217384692,084;
1167611366,92873;
1167611366,96453;
1167611367,00035;
1167611367,03618;
1167611367,07331;
1167611367,10914;
1167611367,15423;
1167611367,19939;
1167611367,24446;
1167611367,28731;
1167611367,32453;
1167611367,36736;
1167611367,39889;
1167611367,43174;
1167611367,47115;0.23565:0.43345
1167611367,50995;
1167611367,55005;0.2358:0.4564
1167611367,58425;0.23515:0.4723
1167611367,61826;0.24095:0.5474
1167611367,65382;0.22585:0.56425
1167611367,69443;0.2404:0.5621
1167611367,72885;0.22685:0.55325
1167611367,7681;0.23925:0.57225
1167611367,8046;0.23475:0.5505
1167611367,841;0.28535:0.66925
1167611367,87751;0.3069:0.679
1167611367,91371;0.2993:0.69665
1167611367,9492;0.30115:0.69965
1167611367,98499;0.29865:0.6883
1167611368,02063;0.30105:0.68375
1167611368,05637;0.2286:0.6947
1167611368,09228;0.0348:0.69055
1167611368,12812;0.0377:0.7111
1167611368,16446;0.02965:0.7092
1167611368,20018;0.0283:0.7013
1167611368,23675;0.0389:0.7145
1167611368,27375;0.0362:0.70705
1167611368,30971;
1167611368,34563;0.043:0.6164
1167611368,37795;0.04995:0.62195
1167611368,41419;
1167611368,45079;
1167611368,47695;
1167611368,50759;
1167611368,5341;
1167611368,56093;
1167611368,5878;0.03635:0.61005
1167611368,61491;0.04185:0.59365
1167611368,64918;0.0343:0.6135
1167611368,68434;0.0933:0.6096
1167611368,7195;0.28675:0.64505
1167611368,75513;0.30255:0.6345
1167611368,79148;0.3072:0.64325
1167611368,82697;0.3105:0.6178
1167611368,86592;0.3051:0.64315
1167611368,90111;0.3104:0.64155
1167611368,93691;0.3053:0.64025
1167611368,97212;0.29135:0.66555
1167611369,00728;0.2923:0.68015
1167611369,04664;0.29325:0.6804
1167611369,08223;0.2969:0.67515
1167611369,12119;0.3175:0.63525
1167611369,15684;
1167611369,198;0.389:0.68755
1167611369,22432;
1167611369,26494;0.8142:0.7294
1167611369,29152;0.8019:0.74075
1167611369,33544;0.8022:0.74275
1167611369,37251;0.80555:0.74435
1167611369,41436;0.8484:0.6754
1167611369,45088;0.8431:0.6698
1167611369,49344;0.8394:0.6636
1167611369,53087;0.84595:0.66
1167611369,57393;0.83495:0.66435
1167611369,612;0.8383:0.6666
1167611369,65279;0.84245:0.66075
1167611369,68908;0.84195:0.6637
1167611369,72493;0.83215:0.50045
1167611369,76238;0.81745:0.4295
1167611369,79726;0.80845:0.42065
1167611369,83454;0.81095:0.4277
1167611369,87013;0.8188:0.4207
1167611369,90588;0.80875:0.4282
1167611369,94113;0.81355:0.43835
1167611369,9762;0.8016:0.44675
1167611370,0113;0.7399:0.4663
1167611370,0469;0.7469:0.47165
1167611370,08288;0.745:0.4634
1167611370,11812;0.74265:0.46085
1167611370,15341;0.69255:0.4848
1167611370,18941;0.7063:0.48305
1167611370,22541;0.6997:0.4864
1167611370,26157;0.70505:0.4763
1167611370,29791;0.7018:0.4794
1167611370,33424;0.7029:0.49095
1167611370,37077;0.70305:0.48455
1167611370,40713;0.7024:0.4886
1167611370,44379;0.68055:0.2731
1167611370,48013;0.69755:0.2737
1167611370,51568;
1167611370,55215;0.6855:0.2817
1167611370,57938;0.6837:0.2788
1167611370,61651;0.68515:0.27955
1167611370,65271;0.43275:0.2958
1167611370,68923;0.3744:0.31975
1167611370,73035;0.36435:0.3383
1167611370,76647;0.3699:0.31815
1167611370,80288;0.36175:0.3293
1167611370,83938;0.37195:0.3285
1167611370,87685;0.34555:0.3891
1167611370,91409;0.3438:0.37865
1167611370,95378;0.3492:0.38385
1167611370,99069;0.34805:0.38
1167611371,03148;0.3017:0.3927
1167611371,0687;0.30245:0.3821
1167611371,1121;0.29935:0.3814
1167611371,14978;0.31085:0.36805
1167611371,19154;0.29955:0.39055
1167611371,22986;0.19325:0.30505
1167611371,27827;0.16935:0.3081
