Timestamp;GazePoint
636217383957,702;
1167611293,46335;0.49375:0.47725
1167611293,50208;0.49575:0.48335
1167611293,54054;0.48885:0.48675
1167611293,57928;0.4966:0.47825
1167611293,61838;0.49585:0.49235
1167611293,65622;0.4982:0.4945
1167611293,69445;0.49665:0.48805
1167611293,73297;0.33225:0.48575
1167611293,77151;0.2943:0.4828
1167611293,80854;0.2858:0.4814
1167611293,84617;0.28025:0.4794
1167611293,88828;0.2859:0.4821
1167611293,928;0.2811:0.478
1167611293,96791;0.2832:0.4795
1167611294,00534;0.2837:0.4679
1167611294,04882;0.292:0.4798
1167611294,08622;0.2907:0.47875
1167611294,12395;0.2903:0.4823
1167611294,16128;0.2875:0.49055
1167611294,19839;0.2896:0.48155
1167611294,23929;0.3382:0.3399
1167611294,27681;0.3785:0.188
1167611294,316;0.3817:0.172
1167611294,35211;0.3797:0.18245
1167611294,39356;0.37805:0.1878
1167611294,42986;0.37975:0.18035
1167611294,47011;0.3731:0.2023
1167611294,50509;0.38305:0.181
1167611294,54571;0.38465:0.1727
1167611294,58149;0.43955:0.10605
1167611294,621;0.44675:0.0788
1167611294,65616;0.4483:0.0904
1167611294,69678;0.44995:0.0825
1167611294,73287;0.4466:0.0832
1167611294,7743;0.45055:0.09885
1167611294,80979;0.446:0.08135
1167611294,84951;0.45165:0.07955
1167611294,88597;0.4543:0.07695
1167611294,9229;0.45295:0.08315
1167611294,96048;0.44995:0.09375
1167611295,00245;0.4535:0.08
1167611295,03914;0.44915:0.08695
1167611295,07511;0.4457:0.08315
1167611295,11231;0.4568:0.0625
1167611295,14938;0.45745:0.0672
1167611295,18612;0.4726:0.08115
1167611295,22353;
1167611295,26117;
1167611295,29685;0.7009:0.30755
1167611295,33296;0.7147:0.26425
1167611295,37027;0.7091:0.2359
1167611295,40898;0.7175:0.21775
1167611295,4476;0.70925:0.21555
1167611295,48466;0.71935:0.21585
1167611295,52308;0.70415:0.22285
1167611295,56087;0.7204:0.2104
1167611295,59893;0.6823:0.2201
1167611295,63566;0.5408:0.079
1167611295,67317;0.53155:0.0706
1167611295,71253;0.5329:0.0848
1167611295,7561;0.54575:0.06185
1167611295,79383;0.53395:0.07325
1167611295,83119;0.5419:0.0813
1167611295,86934;0.50805:0.0934
1167611295,90734;0.33285:0.09245
1167611295,94674;0.3138:0.07575
1167611295,98269;0.3181:0.0774
1167611296,01816;0.3142:0.0956
1167611296,05309;0.3152:0.09755
1167611296,0881;0.32115:0.088
1167611296,12334;0.31495:0.07655
1167611296,16319;0.32125:0.08985
1167611296,19909;0.3224:0.0877
1167611296,23946;0.32515:0.09335
1167611296,27597;0.1854:0.3825
1167611296,31748;0.2042:0.418
1167611296,35396;0.2041:0.42555
1167611296,39946;0.20475:0.42605
1167611296,43558;0.21195:0.41915
1167611296,4772;0.2111:0.428
1167611296,51447;0.2114:0.42005
1167611296,55688;0.2069:0.4321
1167611296,59413;0.2006:0.42175
1167611296,63618;0.30425:0.36785
1167611296,6741;0.3041:0.34545
1167611296,71734;0.2935:0.3385
1167611296,75424;0.30275:0.35135
1167611296,79615;0.3005:0.34645
1167611296,83274;0.35395:0.0869
1167611296,86897;0.36355:0.10175
1167611296,90414;0.3584:0.08305
1167611296,9408;0.3597:0.0802
1167611296,97739;0.3696:0.06775
1167611297,01328;0.36295:0.0883
1167611297,04947;0.36205:0.0665
1167611297,08616;0.36255:0.0783
