Timestamp;GazePoint
636192221416,991;
1167610143,14712;
1167610143,19;
1167610143,23292;
1167610143,27586;
1167610143,31925;
1167610143,35677;
1167610143,4001;
1167610143,44344;
1167610143,48674;
1167610143,53005;
1167610143,57344;
1167610143,61109;
1167610143,65442;
1167610143,69773;
1167610143,74107;
1167610143,77926;
1167610143,81748;
1167610143,86571;
1167610143,90399;
1167610143,94831;
1167610143,99649;
1167610144,04029;
1167610144,09439;0.3891:0.33545
1167610144,13231;0.39285:0.3468
1167610144,16986;0.41565:0.40845
1167610144,21143;0.40525:0.38935
1167610144,26305;0.41335:0.39125
1167610144,31133;0.41125:0.4092
1167610144,35914;0.41165:0.40255
1167610144,40589;0.41465:0.4067
1167610144,44406;0.40675:0.3975
1167610144,48173;0.40815:0.40575
1167610144,5236;0.4034:0.4012
1167610144,56712;0.3805:0.54825
1167610144,60564;0.3726:0.6319
1167610144,64812;0.38255:0.6697
1167610144,69418;0.39075:0.62395
1167610144,73606;0.39055:0.6051
1167610144,77306;0.38495:0.6034
1167610144,81064;0.3906:0.61165
1167610144,84798;0.40065:0.6034
1167610144,88492;0.54205:0.51835
1167610144,9261;0.5437:0.52185
1167610144,96411;0.54635:0.51895
1167610145,00486;0.54355:0.5127
1167610145,04259;0.5452:0.5199
1167610145,08658;0.47925:0.56585
1167610145,12475;0.30875:0.75445
1167610145,16739;0.3112:0.75415
1167610145,205;0.3099:0.75445
1167610145,24806;0.3113:0.7504
1167610145,28612;0.313:0.75705
1167610145,32978;0.0974:0.79235
1167610145,36722;0.1022:0.7913
1167610145,41152;0.1354:0.78585
1167610145,4507;0.0668:0.7853
1167610145,49747;0.0678:0.7718
1167610145,53775;0.05965:0.7803
1167610145,58132;0.06225:0.7744
1167610145,62069;0.0624:0.7756
1167610145,66054;0.06085:0.76625
1167610145,7003;0.0569:0.7614
1167610145,74054;0.0572:0.7777
1167610145,78129;0.05775:0.82275
1167610145,82226;0.05495:0.82285
1167610145,86288;0.0518:0.8182
1167610145,90258;0.0511:0.8259
1167610145,94312;0.0577:0.8185
1167610145,98418;0.0545:0.8226
1167610146,02532;0.05205:0.8128
1167610146,06686;0.0565:0.80395
1167610146,10598;0.06185:0.8082
1167610146,14381;0.06165:0.81535
1167610146,18355;0.0598:0.75705
1167610146,2253;0.0587:0.7546
1167610146,26653;0.0535:0.75315
1167610146,30744;
1167610146,34719;0.0565:0.76115
1167610146,38056;0.05415:0.7557
1167610146,4182;0.06155:0.76155
1167610146,45692;0.0633:0.75305
1167610146,49524;0.05455:0.7573
1167610146,5328;0.06505:0.752
1167610146,57012;0.06245:0.7496
1167610146,60651;0.05315:0.74835
1167610146,64317;0.06005:0.7549
1167610146,68349;0.0611:0.7541
1167610146,72092;0.06245:0.7515
1167610146,75928;
1167610146,79777;
1167610146,83167;
1167610146,86577;
1167610146,89539;
1167610146,92935;
1167610146,96046;
1167610146,99263;
