Timestamp;GazePoint
636192220744,032;
1167610075,81655;0.49785:0.39375
1167610075,85037;0.4934:0.39065
1167610075,88448;0.49925:0.3927
1167610075,91837;0.49475:0.401
1167610075,9527;0.49805:0.3918
1167610075,9867;0.49565:0.40075
1167610076,02062;0.49435:0.3959
1167610076,05549;0.50025:0.40325
1167610076,09308;0.2737:0.39225
1167610076,12691;0.26085:0.3783
1167610076,16129;0.25895:0.3887
1167610076,19543;0.2601:0.3837
1167610076,22912;0.26045:0.37945
1167610076,26364;0.28885:0.40965
1167610076,30089;0.2903:0.404
1167610076,33706;0.2927:0.4107
1167610076,37609;0.29165:0.41665
1167610076,41074;0.292:0.40285
1167610076,45169;0.2828:0.3785
1167610076,48662;0.28305:0.3607
1167610076,52662;0.28225:0.3615
1167610076,56212;0.26315:0.4057
1167610076,60351;0.19905:0.52575
1167610076,63961;0.1965:0.52775
1167610076,68195;0.2004:0.5483
1167610076,72012;0.19325:0.5375
1167610076,76064;0.1954:0.5438
1167610076,79715;0.195:0.5438
1167610076,8391;0.19755:0.54085
1167610076,87679;0.1915:0.5328
1167610076,92065;0.19535:0.54515
1167610076,95773;0.1976:0.5377
1167610076,99612;0.19805:0.5304
1167610077,03414;0.1921:0.56925
1167610077,07339;0.1904:0.57885
1167610077,11307;0.1968:0.56915
1167610077,15315;0.1963:0.5735
1167610077,19216;0.19015:0.58055
1167610077,23176;0.19725:0.57065
1167610077,27228;0.19025:0.5734
1167610077,31248;0.1955:0.60005
1167610077,35284;0.19285:0.59835
1167610077,39243;0.19135:0.60645
1167610077,43179;0.19465:0.61205
1167610077,47071;0.19655:0.5963
1167610077,50937;0.1889:0.60185
1167610077,54808;
1167610077,58624;
1167610077,61444;0.1074:0.6762
1167610077,64242;0.1031:0.6703
1167610077,67912;0.1033:0.6855
1167610077,7164;0.0991:0.67385
1167610077,75378;0.13415:0.64085
1167610077,79113;0.1878:0.5482
1167610077,82737;0.188:0.5306
1167610077,86421;0.1887:0.5378
1167610077,90173;0.18845:0.53095
1167610077,93928;0.1892:0.52905
1167610077,97711;0.18725:0.53405
1167610078,01937;0.1943:0.5314
1167610078,05674;0.1861:0.52965
1167610078,09311;0.193:0.51935
1167610078,13026;0.1921:0.528
1167610078,16779;0.1928:0.53675
1167610078,21005;0.11645:0.64035
1167610078,24789;0.086:0.7075
1167610078,28952;0.0899:0.71725
1167610078,32884;0.0908:0.71675
1167610078,37456;0.1063:0.7173
1167610078,41529;0.10165:0.71475
1167610078,45958;0.10315:0.71835
1167610078,49948;0.10905:0.7143
1167610078,54451;0.10595:0.7277
1167610078,58572;0.10235:0.7224
