Timestamp;GazePoint
636192218044,888;
1167609805,96622;0.4956:0.47995
1167609805,99976;0.48795:0.48415
1167609806,0362;0.49715:0.48135
1167609806,07019;0.49095:0.4599
1167609806,10754;0.48845:0.458
1167609806,1413;0.4908:0.447
1167609806,18059;0.48935:0.45335
1167609806,21482;0.48825:0.45285
1167609806,25271;0.4874:0.4525
1167609806,28643;0.4934:0.4528
1167609806,32567;0.48855:0.4811
1167609806,35986;0.497:0.4409
1167609806,39848;0.49745:0.4529
1167609806,43223;0.48965:0.46205
1167609806,47015;0.48615:0.4547
1167609806,50478;0.46165:0.4957
1167609806,54388;0.46355:0.49825
1167609806,57867;0.4582:0.50425
1167609806,61713;0.4635:0.4965
1167609806,65075;0.46305:0.50325
1167609806,6848;0.5574:0.3543
1167609806,71879;0.56935:0.3253
1167609806,75264;0.5735:0.33135
1167609806,78665;0.5741:0.34655
1167609806,82049;0.6074:0.363
1167609806,85435;0.61085:0.3638
1167609806,88829;0.60435:0.37595
1167609806,92206;0.6129:0.38215
1167609806,95576;0.6121:0.3684
1167609806,98868;0.6146:0.36275
1167609807,02237;0.4354:0.2799
1167609807,05589;0.40055:0.2896
1167609807,08916;0.3915:0.2844
1167609807,12277;0.38895:0.2963
1167609807,15592;0.3925:0.28765
1167609807,18909;0.37365:0.29565
1167609807,22216;0.3692:0.29195
1167609807,25522;0.3649:0.2978
1167609807,28913;0.3662:0.30735
1167609807,3227;0.36615:0.2998
1167609807,35615;0.3701:0.29525
1167609807,38968;0.36375:0.3023
1167609807,42337;0.36025:0.3047
1167609807,45687;0.35615:0.29385
1167609807,49068;0.3621:0.29745
1167609807,52445;0.3632:0.2882
1167609807,55766;0.3636:0.291
1167609807,59142;0.36125:0.30835
1167609807,62509;0.355:0.3157
1167609807,65887;0.36365:0.28835
1167609807,69187;0.3677:0.29805
1167609807,72816;0.36955:0.3084
1167609807,7613;0.36325:0.30875
1167609807,79529;0.3668:0.30295
1167609807,82896;0.4535:0.26145
1167609807,86257;0.6678:0.259
1167609807,89615;0.664:0.2796
1167609807,9324;0.6663:0.27035
1167609807,96522;0.6626:0.28425
1167609808,00166;0.667:0.2593
1167609808,03474;0.6639:0.275
1167609808,07294;0.6709:0.2678
1167609808,10554;0.6617:0.26465
1167609808,14282;0.83895:0.2325
1167609808,17541;0.8486:0.2334
1167609808,21459;0.84175:0.2328
1167609808,24816;0.8372:0.24065
1167609808,28551;0.8048:0.2328
1167609808,31858;0.7985:0.23835
1167609808,35575;0.79975:0.229
1167609808,3889;0.7951:0.2328
1167609808,42706;0.8046:0.2219
1167609808,46016;0.8014:0.2236
1167609808,49736;0.9512:0.237
1167609808,52995;0.9663:0.2322
1167609808,56397;0.9554:0.23185
1167609808,59733;0.9594:0.19265
1167609808,63386;0.9598:0.2009
1167609808,66813;0.9588:0.2034
1167609808,70218;0.8553:0.18005
1167609808,73611;0.79685:0.1989
1167609808,77022;0.7855:0.2045
1167609808,80436;0.78955:0.2006
1167609808,83795;0.7914:0.20915
1167609808,87093;0.79065:0.1967
1167609808,90492;0.67255:0.25535
1167609808,93854;0.65965:0.2735
1167609808,97156;0.66005:0.2816
1167609809,00487;0.66185:0.26135
1167609809,0377;0.6803:0.27375
1167609809,07052;0.675:0.2691
1167609809,10368;0.6826:0.2482
1167609809,13684;0.68305:0.24365
1167609809,16968;0.68395:0.2419
1167609809,2029;0.682:0.25995
1167609809,23619;0.68135:0.2526
1167609809,26944;0.68285:0.2439
1167609809,30247;0.68335:0.25795
1167609809,33614;0.6801:0.2591
1167609809,3694;0.68455:0.2933
1167609809,40278;0.684:0.261
1167609809,43649;0.6806:0.2354
1167609809,47495;0.68325:0.24455
1167609809,50883;0.68105:0.22795
1167609809,54295;0.6774:0.2345
1167609809,57744;0.6815:0.2595
1167609809,61405;0.6798:0.2506
1167609809,65184;0.68145:0.24885
1167609809,6853;0.67795:0.2413
1167609809,71883;0.6768:0.2424
