Timestamp;GazePoint
636192218876,626;
1167609889,1305;0.5096:0.4265
1167609889,16819;0.50295:0.46425
1167609889,20292;0.5045:0.4734
1167609889,24172;0.5067:0.47715
1167609889,2775;0.5058:0.47075
1167609889,31892;0.50975:0.4751
1167609889,3542;0.51215:0.46345
1167609889,39366;0.49955:0.4554
1167609889,42898;0.6076:0.41715
1167609889,46985;0.7026:0.4141
1167609889,50473;0.6976:0.3919
1167609889,54457;0.70615:0.4152
1167609889,57964;0.7076:0.4166
1167609889,61925;0.7081:0.40995
1167609889,65464;0.70795:0.40855
1167609889,69459;0.6649:0.30245
1167609889,72963;0.667:0.28795
1167609889,76644;0.66485:0.2973
1167609889,7992;0.66885:0.30495
1167609889,83243;0.6725:0.29465
1167609889,86562;0.6489:0.31275
1167609889,89869;0.64915:0.3135
1167609889,93184;0.647:0.3114
1167609889,96511;0.65175:0.31995
1167609889,99887;0.6461:0.31065
1167609890,03162;0.70455:0.3496
1167609890,06485;0.7108:0.35595
1167609890,09885;0.7011:0.33665
1167609890,1328;0.7055:0.35475
1167609890,16606;0.70415:0.35005
1167609890,20009;0.5152:0.31615
1167609890,23378;0.18745:0.38405
1167609890,26755;0.1931:0.389
1167609890,30319;0.1901:0.38925
1167609890,33714;0.20285:0.3889
1167609890,37284;0.2015:0.3933
1167609890,40874;0.2155:0.3696
1167609890,44452;0.22055:0.3111
1167609890,48028;0.21775:0.30695
1167609890,51515;0.2164:0.3053
1167609890,55012;0.21465:0.31215
1167609890,58418;0.2197:0.26125
1167609890,61844;0.22425:0.25165
1167609890,65299;0.22825:0.2547
1167609890,68825;0.221:0.2518
1167609890,724;0.22525:0.2514
1167609890,75883;0.23085:0.24745
1167609890,79383;0.12195:0.2877
1167609890,82872;0.108:0.2996
1167609890,86794;0.1129:0.2952
1167609890,90371;0.1109:0.28385
1167609890,94051;0.10565:0.28655
1167609890,97475;0.0997:0.32325
1167609891,00988;0.09895:0.32005
1167609891,04887;0.09935:0.31215
1167609891,08477;0.09575:0.3184
1167609891,12445;0.19505:0.2076
1167609891,16239;0.34295:0.09015
1167609891,20471;0.3578:0.07545
1167609891,24107;0.3545:0.0855
1167609891,2818;0.3579:0.09195
1167609891,31777;0.3588:0.07465
1167609891,35891;0.35505:0.08305
1167609891,39611;0.35595:0.08055
1167609891,43269;0.3017:0.0637
1167609891,47163;0.3063:0.06955
1167609891,50735;0.30635:0.0714
1167609891,54714;0.3067:0.0684
1167609891,58309;0.3014:0.0654
1167609891,62268;0.35435:0.1011
1167609891,65848;0.35385:0.1262
1167609891,69739;0.35835:0.11595
1167609891,73145;0.35425:0.1226
1167609891,76557;0.3537:0.1067
1167609891,79965;0.3544:0.1086
1167609891,83414;0.3467:0.1305
1167609891,86811;0.3155:0.08845
1167609891,90218;0.31385:0.08965
1167609891,93662;0.3131:0.08765
1167609891,97167;0.316:0.11065
1167609892,00642;0.32215:0.0946
1167609892,04075;0.3174:0.1027
1167609892,0752;0.32165:0.09795
1167609892,10932;0.31325:0.0926
1167609892,14391;0.32535:0.08565
1167609892,17809;0.32065:0.09355
1167609892,21307;0.21285:0.35245
1167609892,24778;0.2034:0.38235
1167609892,28283;0.1973:0.36955
1167609892,31818;0.198:0.37035
1167609892,3531;0.203:0.36115
1167609892,38813;0.19795:0.38435
1167609892,42287;0.2363:0.26695
1167609892,45745;0.24025:0.26295
1167609892,49163;0.23595:0.2578
1167609892,52568;0.2374:0.2521
1167609892,55978;0.23925:0.26615
1167609892,59485;0.23955:0.2595
1167609892,63048;0.3614:0.30135
1167609892,6652;0.3594:0.2932
1167609892,69957;0.35845:0.2969
1167609892,73446;0.35835:0.30825
1167609892,76879;0.33845:0.31275
1167609892,80727;0.3388:0.31825
1167609892,84209;0.34325:0.32275
1167609892,87622;0.34355:0.31375
1167609892,91082;0.34135:0.3212
1167609892,94568;0.3156:0.3657
1167609892,985;0.2555:0.4039
1167609893,02096;0.25265:0.41095
1167609893,05978;0.2536:0.41455
1167609893,09493;0.25545:0.3962
1167609893,13569;0.25315:0.404
1167609893,17076;0.2131:0.3505
1167609893,21191;0.2141:0.33605
1167609893,2482;0.2192:0.33515
1167609893,2896;0.21485:0.35025
1167609893,32491;0.2153:0.33425
1167609893,36476;0.21355:0.3335
1167609893,39958;0.15255:0.3824
1167609893,43478;0.1522:0.41145
1167609893,47354;0.1452:0.41775
1167609893,50866;0.14655:0.41365
1167609893,54819;0.14385:0.4092
1167609893,58312;0.14675:0.4035
1167609893,62296;0.2108:0.3068
1167609893,65713;0.2617:0.2832
1167609893,6919;0.2642:0.27855
1167609893,72713;0.26565:0.28495
1167609893,76225;0.27:0.27965
1167609893,79778;0.2966:0.28035
1167609893,83315;0.33765:0.30735
1167609893,86868;0.34225:0.30735
1167609893,9036;0.34255:0.29945
1167609893,93856;0.34265:0.29455
1167609893,97351;0.34235:0.30305
1167609894,00932;0.2448:0.2442
1167609894,04473;0.22485:0.2427
1167609894,07878;0.2266:0.2497
1167609894,11312;0.2211:0.2501
1167609894,14782;0.22635:0.24025
1167609894,18279;0.2226:0.2345
1167609894,21766;0.2189:0.23705
1167609894,25193;0.21785:0.23125
1167609894,28764;0.2142:0.23305
1167609894,3231;0.2205:0.2358
1167609894,35884;0.21355:0.25205
1167609894,39364;0.22085:0.23695
1167609894,42713;0.2222:0.24375
1167609894,4619;0.21625:0.24455
1167609894,49626;0.22315:0.2542
1167609894,53133;0.2145:0.2679
1167609894,56621;0.2085:0.32915
1167609894,60092;0.20975:0.3344
1167609894,63521;0.20795:0.33035
1167609894,66949;0.20955:0.3344
1167609894,70742;0.2171:0.3102
1167609894,74112;0.2193:0.25725
1167609894,77506;0.2204:0.2721
1167609894,8087;0.22585:0.2561
1167609894,84264;0.2286:0.275
1167609894,8764;0.22435:0.266
1167609894,91363;0.22645:0.2553
1167609894,94831;0.22025:0.25685
1167609894,98652;0.20045:0.3136
1167609895,02157;0.2132:0.33435
1167609895,06175;0.213:0.3275
1167609895,09657;0.2105:0.3201
1167609895,13619;0.2114:0.33045
1167609895,17123;0.22445:0.2715
1167609895,21175;0.2188:0.25455
1167609895,24773;0.2213:0.2471
1167609895,28725;0.21975:0.23835
1167609895,32285;0.2262:0.24445
1167609895,36229;0.2217:0.2449
1167609895,3978;0.22525:0.24475
1167609895,43697;0.2261:0.2394
1167609895,47173;0.2221:0.2533
1167609895,51041;0.22665:0.24695
1167609895,54435;0.2918:0.39595
1167609895,57852;0.2931:0.43955
1167609895,61278;0.2892:0.44225
1167609895,64764;0.29255:0.4468
1167609895,68172;0.28815:0.4461
1167609895,71576;0.2805:0.45155
1167609895,74968;0.21005:0.5759
1167609895,78375;0.2164:0.57165
1167609895,81941;0.21155:0.57585
1167609895,85338;0.2132:0.57675
1167609895,88733;0.21785:0.5813
1167609895,92196;0.19555:0.6047
1167609895,95666;0.199:0.5991
1167609895,99152;0.19985:0.59985
1167609896,02616;0.1986:0.5971
1167609896,0607;0.19995:0.5976
1167609896,0954;0.19555:0.59755
1167609896,1303;0.2035:0.59835
1167609896,1651;0.15735:0.5254
1167609896,20013;0.1405:0.5076
1167609896,2352;0.13705:0.51125
1167609896,2709;0.14255:0.5062
1167609896,30716;0.14165:0.5253
1167609896,34345;0.1412:0.51195
1167609896,37976;0.1071:0.4968
1167609896,41588;0.1119:0.5264
1167609896,45242;0.114:0.52025
1167609896,48913;0.1076:0.51045
1167609896,52512;0.11405:0.49525
1167609896,56113;0.2823:0.48665
1167609896,60062;0.27935:0.48745
1167609896,6356;0.28275:0.48045
1167609896,67111;0.27965:0.4788
1167609896,7068;0.27735:0.47815
1167609896,74251;0.2614:0.4758
1167609896,77811;0.25615:0.4758
1167609896,8163;0.25775:0.4847
1167609896,8515;0.2581:0.4694
1167609896,89052;0.25625:0.4769
1167609896,9257;0.5237:0.4418
1167609896,96696;0.8019:0.46195
1167609897,00445;0.81915:0.46305
1167609897,04518;0.82085:0.46275
1167609897,08107;0.8236:0.4533
1167609897,12397;0.8164:0.45705
1167609897,16013;0.82175:0.4554
1167609897,20133;0.82325:0.4535
1167609897,2371;0.8162:0.44855
1167609897,27623;0.85085:0.5698
1167609897,31124;0.8472:0.56165
1167609897,35188;0.8405:0.55085
1167609897,38783;0.8423:0.55345
1167609897,42811;0.71295:0.68135
1167609897,46346;0.6342:0.76895
1167609897,4988;0.6309:0.7867
1167609897,53627;0.6375:0.77885
1167609897,57228;0.6322:0.78105
1167609897,60814;0.626:0.78705
1167609897,64398;0.54115:0.8058
1167609897,67993;0.5173:0.81165
1167609897,71563;0.5158:0.81105
1167609897,75213;0.51355:0.80455
