Timestamp;GazePoint
729,54753;
1167609729,5901;
1167609729,633;
1167609729,67018;
1167609729,71309;
1167609729,75595;
1167609729,78012;0.11095:0.2237
1167609729,80947;0.10395:0.40555
1167609729,87099;0.1216:0.44325
1167609729,92884;0.11695:0.3612
1167609729,97345;0.11575:0.4213
1167609730,03417;0.11815:0.31155
1167609730,08384;0.1018:0.42785
1167609730,13693;0.1205:0.44345
1167609730,18614;0.1261:0.44675
1167609730,23964;0.1236:0.4648
1167609730,28956;0.1185:0.45345
1167609730,34485;0.1211:0.44995
1167609730,39682;0.1295:0.44555
1167609730,4521;0.23835:0.4206
1167609730,50189;0.4365:0.34325
1167609730,5523;0.43465:0.35075
1167609730,6017;0.43185:0.3645
1167609730,65213;0.42105:0.32305
1167609730,70257;0.41945:0.3628
1167609730,7531;0.42535:0.3577
1167609730,80378;0.4235:0.33545
1167609730,85805;0.4205:0.3334
1167609730,89584;0.42485:0.3223
1167609730,93129;0.4211:0.3161
1167609730,96712;0.4016:0.3247
1167609731,00309;0.31865:0.30085
1167609731,03883;0.3126:0.3076
1167609731,07465;0.31245:0.29215
1167609731,1106;0.31325:0.29285
1167609731,14621;0.30465:0.30435
1167609731,18219;0.3101:0.30285
1167609731,21795;0.3069:0.2963
1167609731,25397;0.3049:0.29635
1167609731,28991;0.3074:0.30145
1167609731,32572;0.3084:0.29275
1167609731,3618;0.30595:0.30245
1167609731,39776;0.30665:0.29645
1167609731,43371;0.31185:0.30455
1167609731,4697;0.3089:0.29435
1167609731,50576;0.3106:0.29535
1167609731,54511;0.3117:0.28695
1167609731,58068;0.30625:0.29515
1167609731,61888;0.3074:0.29655
1167609731,65675;0.30345:0.2841
1167609731,69459;0.303:0.29605
1167609731,73414;0.31055:0.30335
1167609731,77298;0.3083:0.3025
1167609731,81565;0.3089:0.2833
1167609731,85167;0.30465:0.2987
1167609731,89383;0.31115:0.2966
1167609731,92991;0.30515:0.2973
1167609731,97011;0.3095:0.28695
1167609732,00843;0.31205:0.29885
1167609732,0499;0.30985:0.29565
1167609732,08627;0.3074:0.2887
1167609732,12694;0.30845:0.291
1167609732,16216;0.3098:0.30445
1167609732,20194;0.30265:0.28825
1167609732,23823;0.30745:0.3046
1167609732,27941;0.30525:0.3026
1167609732,31595;0.30875:0.29295
1167609732,35648;0.30385:0.3005
1167609732,39197;0.30225:0.29205
1167609732,42715;0.3061:0.30105
1167609732,46189;0.30255:0.2984
1167609732,49646;0.3052:0.294
1167609732,53068;0.3024:0.2988
1167609732,56489;0.3036:0.2961
1167609732,59985;0.30045:0.3036
1167609732,63474;0.3043:0.30005
1167609732,66876;0.30515:0.2993
1167609732,70277;0.3037:0.3041
1167609732,73653;0.30215:0.30895
1167609732,76988;0.303:0.3004
1167609732,80328;0.30395:0.3019
1167609732,83695;0.3028:0.29955
1167609732,87106;0.3035:0.3071
1167609732,90479;0.3064:0.3043
1167609732,93889;0.30215:0.29965
1167609732,97334;0.29915:0.3062
1167609733,0076;0.29765:0.29745
1167609733,04207;0.2991:0.31085
1167609733,07659;0.30315:0.3057
1167609733,11111;0.3005:0.30385
1167609733,14641;0.3051:0.31435
1167609733,18174;0.3025:0.30315
1167609733,21623;0.30395:0.30775
1167609733,2516;0.3035:0.30315
1167609733,28676;0.30615:0.30485
1167609733,32121;0.30215:0.29965
1167609733,35575;0.3047:0.3124
1167609733,39022;0.3057:0.293
