Timestamp;GazePoint
636183474339,534;
1167609989,9909;0.48475:0.50475
1167609990,02494;0.4848:0.5025
1167609990,06411;0.48495:0.5008
1167609990,09914;0.4961:0.51945
1167609990,13835;0.48295:0.51595
1167609990,17252;0.4931:0.50655
1167609990,21046;0.49185:0.50425
1167609990,24516;0.48175:0.5091
1167609990,28414;0.48395:0.51045
1167609990,31934;0.3039:0.47475
1167609990,3571;0.3046:0.4791
1167609990,39;0.2947:0.4773
1167609990,42398;0.2894:0.4748
1167609990,45812;0.2892:0.47515
1167609990,49311;0.296:0.46665
1167609990,52718;0.2935:0.47945
1167609990,56059;0.29675:0.48175
1167609990,59367;0.29515:0.4737
1167609990,62772;0.30095:0.4697
1167609990,66167;0.29015:0.4771
1167609990,69562;0.29345:0.48755
1167609990,73053;0.5921:0.5393
1167609990,76641;0.6765:0.6644
1167609990,80132;0.6852:0.57125
1167609990,83536;0.6739:0.5753
1167609990,86988;0.68435:0.56145
1167609990,90558;0.67465:0.58425
1167609990,94172;0.6617:0.6638
1167609990,97567;0.66235:0.6311
1167609991,01014;0.6584:0.6236
1167609991,04562;0.6615:0.6254
1167609991,08416;
1167609991,12065;
1167609991,14822;
1167609991,17597;
1167609991,23316;0.6978:0.11765
1167609991,28076;
1167609991,32388;0.6994:0.1068
1167609991,36564;0.69815:0.11075
1167609991,41436;0.69865:0.13005
1167609991,45812;0.31115:0.0662
1167609991,49831;0.20655:0.09045
1167609991,5369;0.2164:0.09845
1167609991,57292;0.25435:0.1115
1167609991,61369;0.25775:0.12145
1167609991,66084;0.25525:0.12215
1167609991,70161;0.24925:0.12745
1167609991,75209;0.21065:0.1417
1167609991,78995;0.20995:0.1355
1167609991,82647;0.2132:0.134
1167609991,87284;0.2176:0.1476
1167609991,9147;0.2133:0.1345
1167609991,95493;0.4093:0.258
1167609991,99642;0.4731:0.3008
1167609992,03739;0.6361:0.3889
1167609992,07375;0.6286:0.395
1167609992,11389;0.63235:0.3952
1167609992,1493;0.7597:0.5459
1167609992,18911;0.7644:0.55355
1167609992,22546;0.76205:0.56725
1167609992,27262;0.7712:0.5639
1167609992,31566;0.7654:0.56755
1167609992,36216;0.74555:0.56955
1167609992,40327;0.74:0.5774
1167609992,44693;0.74045:0.5554
1167609992,48954;0.75805:0.7161
1167609992,5267;0.77475:0.85495
1167609992,57569;0.77025:0.8855
1167609992,61283;0.7718:0.89015
1167609992,65308;0.76765:0.8909
1167609992,69015;0.76715:0.88555
1167609992,72887;0.7436:0.9033
1167609992,77126;0.7424:0.91695
1167609992,81037;0.7517:0.90565
1167609992,84966;0.74675:0.906
1167609992,88826;0.73865:0.90915
1167609992,92788;0.7416:0.91125
1167609992,9667;0.75335:0.90755
1167609993,00885;0.7458:0.9155
1167609993,04858;0.7367:0.9021
1167609993,09131;0.5666:0.66145
1167609993,13372;0.34655:0.55575
1167609993,17138;0.3361:0.55205
1167609993,21286;0.34985:0.5729
1167609993,2496;0.34465:0.55045
1167609993,29111;0.3342:0.53875
1167609993,32762;0.33415:0.5511
1167609993,36463;0.31275:0.50475
1167609993,40183;0.29645:0.50845
1167609993,44253;0.3004:0.52695
1167609993,47952;0.29065:0.5223
1167609993,52108;0.3393:0.56315
1167609993,57026;0.32805:0.52245
1167609993,61285;0.3362:0.5291
1167609993,65518;0.33205:0.53185
1167609993,69414;0.3245:0.51765
1167609993,74159;0.4992:0.59625
1167609993,77862;0.68225:0.59985
1167609993,82351;0.69995:0.58695
1167609993,86906;0.70255:0.58925
1167609993,91308;0.6571:0.62915
1167609993,95237;0.6656:0.6299
1167609994,00054;0.6541:0.63055
1167609994,03911;0.65505:0.6436
1167609994,08837;0.65305:0.6552
1167609994,12666;0.6536:0.6418
1167609994,17396;0.66:0.6442
1167609994,2181;0.65785:0.6285
1167609994,26241;0.65735:0.64105
1167609994,30151;0.727:0.82
1167609994,34915;0.74795:0.84085
1167609994,38514;0.74315:0.85845
1167609994,42175;0.74245:0.8533
1167609994,45826;0.7447:0.8388
1167609994,49477;0.7624:0.8761
1167609994,53072;0.7644:0.8858
1167609994,56787;0.76245:0.9005
1167609994,60522;0.76445:0.87655
1167609994,6427;0.77065:0.885
1167609994,67995;0.7603:0.8939
1167609994,71717;0.6751:0.56225
1167609994,75418;0.6627:0.5667
1167609994,79017;0.6686:0.56785
1167609994,82767;0.6631:0.5691
1167609994,86575;0.66625:0.6431
1167609994,90894;0.66235:0.61425
1167609994,9572;0.66365:0.62385
1167609994,99351;0.666:0.6161
1167609995,04017;0.671:0.61475
1167609995,08225;0.66325:0.61805
1167609995,11881;0.6614:0.60975
1167609995,16077;0.6682:0.6157
1167609995,19833;
1167609995,23972;
1167609995,26485;0.65705:0.75805
1167609995,30951;0.6653:0.58775
1167609995,3449;
1167609995,38482;0.7662:0.8189
1167609995,41165;0.7551:0.8383
1167609995,45689;0.758:0.8505
1167609995,49783;0.75165:0.85515
1167609995,53587;0.77035:0.8791
1167609995,57364;0.774:0.9083
1167609995,61261;0.77465:0.9156
1167609995,65299;0.7525:0.90585
1167609995,692;0.7538:0.9139
1167609995,73882;0.7598:0.9122
1167609995,78225;0.75585:0.89305
1167609995,83156;0.7656:0.213
1167609995,87519;0.7653:0.26815
1167609995,92316;0.7632:0.2904
1167609995,96812;0.76735:0.2801
1167609996,0177;0.68665:0.26
1167609996,06108;0.6807:0.2523
1167609996,11336;0.67645:0.242
1167609996,1594;0.67575:0.24515
1167609996,20486;0.68355:0.2255
1167609996,25222;0.68645:0.2255
1167609996,3036;0.6873:0.2292
1167609996,34541;0.69175:0.22885
1167609996,39657;0.6827:0.2299
1167609996,4422;0.69135:0.2226
1167609996,48835;0.6887:0.2373
1167609996,53416;0.6867:0.23055
1167609996,57996;0.69135:0.2288
1167609996,6208;0.68055:0.23155
1167609996,66591;0.48095:0.1655
1167609996,71209;0.1674:0.1298
1167609996,75294;0.1525:0.1246
1167609996,79008;0.19455:0.15565
1167609996,82608;0.20125:0.1576
1167609996,86315;0.1926:0.16675
1167609996,89828;0.21565:0.1272
1167609996,93331;0.2105:0.134
1167609996,96828;0.2138:0.13645
1167609997,00372;0.21395:0.12955
1167609997,03911;0.208:0.11875
1167609997,07435;0.2092:0.1322
1167609997,11056;0.2166:0.14185
1167609997,14799;0.20645:0.12895
1167609997,18514;0.64165:0.1274
1167609997,2218;0.79205:0.15545
1167609997,25878;0.79515:0.1666
1167609997,29412;0.7628:0.1676
1167609997,33499;0.7603:0.1904
1167609997,37414;0.7577:0.19295
1167609997,42133;0.7687:0.14875
1167609997,46638;0.7705:0.1323
1167609997,51376;0.7686:0.1691
1167609997,55177;0.76135:0.1548
1167609997,59909;0.76375:0.16295
1167609997,64152;0.7677:0.1592
1167609997,69494;0.76485:0.15595
1167609997,74479;0.75455:0.15545
1167609997,79879;0.76615:0.1634
