Timestamp;GazePoint
636183473821,244;
1167609938,14735;0.49555:0.4332
1167609938,1707;0.50015:0.4352
1167609938,21811;0.4902:0.43115
1167609938,25647;0.5005:0.45655
1167609938,29053;0.4997:0.45975
1167609938,3297;0.4948:0.4282
1167609938,36894;0.4922:0.4316
1167609938,40727;0.49875:0.4495
1167609938,44754;0.49105:0.43535
1167609938,4913;0.4889:0.42315
1167609938,53127;0.2034:0.47895
1167609938,57189;0.18505:0.48355
1167609938,60937;0.1724:0.47645
1167609938,6552;0.2127:0.5219
1167609938,69574;0.20975:0.51895
1167609938,73615;0.2054:0.50065
1167609938,77116;0.2102:0.5116
1167609938,80971;0.2151:0.52305
1167609938,84385;0.24135:0.7118
1167609938,88255;0.24115:0.7066
1167609938,91839;0.23395:0.70905
1167609938,95798;0.23975:0.71275
1167609938,99287;0.30935:0.70675
1167609939,03268;0.31915:0.7118
1167609939,0695;0.32055:0.7086
1167609939,10649;0.32015:0.7136
1167609939,14253;0.313:0.72565
1167609939,17958;0.3208:0.70915
1167609939,21619;0.31725:0.7222
1167609939,25333;0.36435:0.71405
1167609939,29073;0.69895:0.5691
1167609939,32669;0.6895:0.56145
1167609939,36156;
1167609939,39562;
1167609939,42143;0.7017:0.55885
1167609939,44727;0.6825:0.51565
1167609939,48263;0.6245:0.3748
1167609939,51753;0.61955:0.36425
1167609939,55246;0.618:0.357
1167609939,58745;0.61815:0.36425
1167609939,62285;0.62335:0.36465
1167609939,65773;0.6119:0.3618
1167609939,69261;0.6182:0.3746
1167609939,72741;0.56285:0.35825
1167609939,76237;0.3708:0.2951
1167609939,79682;0.3618:0.30325
1167609939,83366;0.3689:0.29805
1167609939,86864;0.3607:0.30395
1167609939,90266;0.3627:0.3096
1167609939,93763;0.3602:0.30165
1167609939,97251;0.39475:0.32665
1167609940,00666;0.4018:0.30695
1167609940,04121;0.398:0.30125
1167609940,07679;0.39985:0.3053
1167609940,11215;0.39505:0.32585
1167609940,14982;0.3952:0.3194
1167609940,18454;0.39535:0.31735
1167609940,21953;0.38985:0.31355
1167609940,25485;0.38455:0.32135
1167609940,2896;0.3867:0.3199
1167609940,33241;0.38845:0.30855
1167609940,36759;0.39045:0.3169
1167609940,40618;0.39185:0.3179
1167609940,44086;0.24455:0.58025
1167609940,48222;0.24345:0.57405
1167609940,51843;0.24345:0.5787
1167609940,55941;0.24305:0.59055
1167609940,59573;0.18015:0.37435
1167609940,63696;0.1824:0.38445
1167609940,6723;0.1798:0.37295
1167609940,71324;0.17805:0.38525
1167609940,74939;0.2048:0.4007
1167609940,79308;0.20615:0.39375
1167609940,82781;0.20405:0.41535
1167609940,86853;0.20575:0.4085
1167609940,90432;0.2051:0.41425
1167609940,9438;0.2055:0.414
1167609940,97762;0.23025:0.40665
1167609941,01251;0.6524:0.28265
1167609941,04663;0.7484:0.26925
1167609941,08296;0.74245:0.28395
1167609941,11715;0.7428:0.2834
