Timestamp;GazePoint
9852,14789;
1167609852,18473;
1167609852,22728;
1167609852,26983;
1167609852,31246;
1167609852,35512;
1167609852,39434;0.13755:0.2192
1167609852,4325;0.12495:0.3697
1167609852,507;0.14485:0.3286
1167609852,55588;0.14325:0.3993
1167609852,59697;0.1352:0.3942
1167609852,65094;0.1403:0.3738
1167609852,70944;0.14555:0.35605
1167609852,76632;0.1454:0.3185
1167609852,80968;0.1386:0.4009
1167609852,86975;0.1532:0.36925
1167609852,92455;0.1523:0.34545
1167609852,98354;0.37095:0.4111
1167609853,03774;0.3585:0.39205
1167609853,09613;0.3688:0.4231
1167609853,14858;0.36035:0.44065
1167609853,20554;0.35895:0.4139
1167609853,2587;0.3728:0.41285
1167609853,31554;0.3585:0.43295
1167609853,3688;0.36195:0.45775
1167609853,43198;0.42785:0.3984
1167609853,48987;0.43775:0.4104
1167609853,54807;0.43675:0.405
1167609853,59049;0.4354:0.41825
1167609853,6263;0.42555:0.42405
1167609853,66219;0.4439:0.4132
1167609853,70383;0.4295:0.42565
1167609853,74011;0.44085:0.40595
1167609853,78324;0.44495:0.398
1167609853,82013;0.4433:0.39735
1167609853,85718;0.44895:0.40805
1167609853,89413;0.4338:0.4143
1167609853,93124;0.4252:0.4248
1167609853,96828;0.44885:0.39955
1167609854,00975;0.3604:0.40005
1167609854,04628;0.22705:0.3317
1167609854,08258;0.22465:0.3206
1167609854,1201;0.2196:0.33555
1167609854,15753;0.22155:0.33425
1167609854,19507;0.20475:0.3257
1167609854,23199;0.21445:0.3216
1167609854,27555;0.21395:0.34285
1167609854,31277;0.21985:0.33305
1167609854,35059;0.21675:0.33365
1167609854,3876;0.2103:0.33515
1167609854,42494;0.2125:0.3431
1167609854,46251;0.21095:0.32475
1167609854,50516;0.02805:0.3732
1167609854,542;0.0339:0.38575
1167609854,59034;0.0344:0.3922
1167609854,63511;0.0316:0.389
1167609854,66976;0.0325:0.39735
1167609854,71099;0.03775:0.3849
1167609854,74668;0.03055:0.3921
1167609854,78228;0.02675:0.3845
1167609854,82679;0.0251:0.39855
1167609854,86886;0.01995:0.37485
1167609854,90869;0.03015:0.378
1167609854,95555;0.0242:0.38555
1167609855,00228;0.03625:0.3917
1167609855,03877;0.02685:0.41225
1167609855,07917;0.02115:0.39275
1167609855,11634;0.02455:0.3861
1167609855,16475;0.2848:0.3814
1167609855,20728;
1167609855,25333;
1167609855,27912;
1167609855,30563;0.3423:0.71155
1167609855,35991;0.34535:0.40245
1167609855,40186;
1167609855,43721;0.35955:0.3848
1167609855,47086;0.35765:0.3915
1167609855,51034;0.34235:0.4121
1167609855,55131;0.34985:0.4012
1167609855,59754;0.3542:0.39995
1167609855,63856;0.3621:0.4049
1167609855,6798;0.3473:0.3935
1167609855,71598;0.2716:0.42685
1167609855,7572;0.13415:0.40335
1167609855,79357;0.1249:0.40915
1167609855,83166;0.1262:0.416
1167609855,87048;0.12335:0.43045
1167609855,9138;0.127:0.41925
1167609855,95822;0.12795:0.41675
1167609856,00324;0.11305:0.42835
