Timestamp;GazePoint
636215517089,33;
1167610017,1551;974.4:567.756
1167610017,19215;958.656:549.504
1167610017,22877;967.68:551.232
1167610017,26515;967.488:543.402
1167610017,30296;964.992:545.94
1167610017,34115;
1167610017,37946;967.2:550.206
1167610017,41222;970.944:553.932
1167610017,45483;968.064:536.058
1167610017,49308;1152.0:563.004
1167610017,53078;1393.536:627.966
1167610017,56797;1403.808:624.834
1167610017,60653;1402.08:633.42
1167610017,64459;1399.584:623.97
1167610017,68279;1398.432:630.936
1167610017,71969;1403.904:634.122
1167610017,75726;1406.016:635.31
1167610017,79455;1409.664:617.112
1167610017,83267;1415.52:612.738
1167610017,87052;1398.048:620.946
1167610017,90767;1398.72:614.25
1167610017,94543;1397.664:643.788
1167610017,98292;1346.016:693.198
1167610018,02109;1332.0:795.204
1167610018,06284;1321.248:811.944
1167610018,09984;1322.88:813.618
1167610018,13738;1315.68:785.106
1167610018,17392;1322.88:842.454
1167610018,21066;1313.088:858.384
1167610018,25075;1310.016:864.648
1167610018,28786;1316.832:852.93
1167610018,32888;1308.768:877.77
1167610018,36589;1309.44:875.286
1167610018,40888;1308.48:879.984
1167610018,44646;1312.608:885.276
1167610018,48814;1292.448:756.27
1167610018,52568;1289.568:710.748
1167610018,56978;1289.184:705.294
1167610018,60913;1294.848:703.458
1167610018,65081;1288.416:715.77
1167610018,68962;1291.392:710.424
1167610018,73312;1288.416:696.924
1167610018,77241;1296.288:695.196
1167610018,8169;1294.464:697.356
1167610018,85663;1106.016:870.858
1167610018,90011;1107.168:874.368
1167610018,93774;1106.304:865.026
1167610018,9759;1105.056:861.3
1167610019,0138;1129.92:937.332
1167610019,05306;1132.8:912.168
1167610019,09185;1125.888:910.818
1167610019,13135;1146.048:929.232
1167610019,17166;1147.296:934.092
1167610019,21372;1129.248:918.918
1167610019,25699;1143.648:935.28
1167610019,29893;570.624:846.234
1167610019,33968;589.152:861.678
1167610019,3787;543.168:868.374
1167610019,41744;544.512:851.85
1167610019,45876;586.464:870.912
1167610019,50065;586.368:842.562
1167610019,54012;584.16:876.636
1167610019,58041;586.176:856.494
1167610019,62031;592.416:856.764
1167610019,66026;590.784:851.796
1167610019,69881;339.936:899.856
1167610019,73729;335.904:927.126
1167610019,7759;342.432:927.936
1167610019,81421;357.216:917.838
1167610019,85367;348.96:893.592
1167610019,89474;345.696:906.228
1167610019,93586;360.288:922.05
1167610019,9808;350.016:906.768
1167610020,01974;371.424:916.596
1167610020,05945;359.52:928.53
1167610020,09921;359.424:895.536
1167610020,14037;365.76:918.864
1167610020,18447;359.232:896.994
1167610020,22554;348.96:912.87
1167610020,27025;374.976:908.928
1167610020,31154;374.496:905.256
1167610020,35683;362.88:921.78
1167610020,39665;370.656:929.178
1167610020,44053;349.632:908.28
1167610020,48011;339.552:912.762
1167610020,52598;347.808:914.922
1167610020,56594;368.064:889.488
1167610020,60962;203.52:903.96
1167610020,64961;130.176:899.208
1167610020,69374;115.008:915.624
1167610020,73414;124.704:912.114
1167610020,77813;137.568:902.934
1167610020,81783;122.976:905.904
1167610020,86175;157.92:306.99
1167610020,90077;186.816:289.062
1167610020,94123;188.448:266.814
1167610020,98162;188.544:281.988
1167610021,02297;182.592:283.5
1167610021,06309;187.584:278.856
1167610021,10286;429.6:170.586
1167610021,14166;417.504:174.69
1167610021,1799;420.096:168.75
1167610021,21915;421.44:164.7
1167610021,25816;421.728:167.346
1167610021,29632;427.584:174.366
1167610021,33452;
1167610021,37423;
1167610021,41377;140.256:186.678
1167610021,44908;146.016:168.966
1167610021,49054;147.84:187.002
1167610021,53248;147.84:200.772
1167610021,57485;332.064:179.118
1167610021,61758;520.128:165.996
1167610021,65948;512.064:161.298
1167610021,7003;519.744:170.154
1167610021,741;514.56:166.374
1167610021,78196;502.272:174.528
1167610021,82376;502.56:174.798
1167610021,86388;970.368:121.662
1167610021,90594;1126.368:130.032
1167610021,95187;1117.92:124.524
1167610021,99326;1116.672:126.198
1167610022,03354;1108.032:136.188
1167610022,07275;1109.856:127.764
1167610022,11324;1595.424:51.3
1167610022,15799;1601.088:38.772
1167610022,20181;1549.728:96.39
1167610022,24507;1551.936:105.948
1167610022,29123;1552.608:87.372
1167610022,3383;1553.472:91.854
1167610022,37861;1549.056:85.914
1167610022,42486;1556.736:88.074
1167610022,46412;1551.84:83.7
1167610022,51042;1553.088:92.34
1167610022,55036;1559.424:81.324
1167610022,59543;1557.312:86.292
1167610022,63552;1556.16:74.628
1167610022,68171;1548.768:69.876
1167610022,72409;1542.432:87.426
1167610022,7708;1547.712:92.718
1167610022,81325;1555.584:76.464
1167610022,86476;1551.84:70.794
1167610022,90599;1573.92:65.88
1167610022,94927;1570.176:74.088
1167610022,99167;1572.672:63.45
1167610023,03564;1571.904:74.088
1167610023,07894;1573.728:82.566
1167610023,12192;1578.816:71.982
1167610023,16512;1575.936:75.816
1167610023,20721;1567.776:81.702
1167610023,25186;1572.576:86.13
1167610023,29465;1567.2:87.048
1167610023,3353;1817.28:259.578
1167610023,37736;1792.032:262.008
1167610023,41925;1791.552:264.114
1167610023,46005;1781.664:265.302
1167610023,50148;1786.08:269.028
1167610023,54894;1766.496:208.548
1167610023,5911;1764.288:205.362
1167610023,6334;1760.16:205.308
1167610023,67623;1486.944:405.054
1167610023,7201;1462.752:413.586
1167610023,76156;1463.616:402.192
1167610023,80359;1470.912:410.724
1167610023,84537;1463.712:405.378
1167610023,88761;1494.24:324.054
1167610023,93386;1493.856:340.254
1167610023,97358;1491.264:328.644
1167610024,01628;1487.904:343.764
1167610024,05993;1494.816:331.452
1167610024,10235;1468.992:332.694
1167610024,14853;1164.0:372.978
1167610024,18978;1180.224:390.096
1167610024,23487;1178.688:367.632
1167610024,27677;1178.016:386.478
1167610024,32413;1111.968:390.744
1167610024,36551;1112.064:381.078
1167610024,41586;1112.832:379.026
1167610024,45498;1110.912:384.858
1167610024,50161;1109.472:393.012
1167610024,54274;1106.688:384.534
1167610024,5878;1107.264:394.632
1167610024,62821;1115.04:392.634
1167610024,67366;1107.36:640.71
1167610024,71575;1061.472:696.762
1167610024,76115;1070.784:680.13
1167610024,80093;1067.712:680.454
1167610024,84612;1067.808:686.178
1167610024,88519;1067.232:677.754
1167610024,92558;1657.152:854.55
1167610024,96615;1662.048:855.468
1167610025,00789;1668.768:848.61
1167610025,04764;1677.504:852.12
1167610025,08788;1666.176:853.686
1167610025,13027;1750.656:892.134
1167610025,17127;1750.656:888.138
1167610025,21366;1744.128:883.548
1167610025,25346;1754.112:889.056
1167610025,29293;1825.92:745.632
1167610025,33245;1840.8:734.292
1167610025,37245;1833.888:736.884
1167610025,41246;1830.72:732.672
1167610025,4519;1840.32:722.736
1167610025,49224;1833.312:734.508
1167610025,53256;1831.872:733.968
1167610025,57332;1853.568:716.472
1167610025,61276;1847.616:720.198
1167610025,65321;1834.08:727.65
1167610025,69296;1841.088:719.55
1167610025,73376;1826.112:737.424
1167610025,77377;1827.744:729.162
1167610025,81423;1734.912:874.584
1167610025,85379;1744.32:863.784
1167610025,89418;1735.104:880.578
1167610025,93896;1735.392:852.444
1167610025,97924;1735.296:876.798
1167610026,01864;1727.424:883.224
1167610026,05911;1731.168:874.854
1167610026,09887;1739.616:871.776
1167610026,14466;1745.184:873.072
1167610026,18562;1746.816:885.492
1167610026,2312;1740.576:877.284
1167610026,27142;1599.072:734.076
1167610026,31773;1601.856:722.358
1167610026,3586;1598.784:709.128
1167610026,40425;1600.512:723.924
1167610026,44416;1607.04:692.226
1167610026,49055;1609.152:718.362
1167610026,53141;1606.656:714.15
1167610026,57745;1608.672:731.16
1167610026,61834;1611.36:706.32
1167610026,66344;1834.56:707.67
1167610026,70482;1847.712:705.618
1167610026,75023;1850.496:704.106
1167610026,7912;1840.8:725.112
1167610026,83384;1845.408:710.64
1167610026,87239;1837.44:722.898
1167610026,91088;1846.176:705.78
1167610026,94897;1845.408:701.946
1167610026,98815;1839.936:727.92
1167610027,0268;1833.024:698.976
1167610027,065;1783.008:396.468
1167610027,1037;1771.68:409.59
1167610027,14608;1765.824:413.64
1167610027,18756;1773.888:415.044
1167610027,22708;1774.176:404.082
1167610027,26544;1768.416:412.992
1167610027,3037;1773.312:393.12
1167610027,34232;1789.44:270.918
1167610027,38198;1788.288:195.642
1167610027,42089;1792.32:190.728
1167610027,45974;1791.648:204.336
1167610027,49975;1792.896:196.236
1167610027,53958;1796.544:207.684
1167610027,57961;1792.128:193.266
1167610027,61981;1795.68:201.906
1167610027,65895;1794.432:204.606
1167610027,69895;1751.616:167.778
1167610027,7393;1751.904:175.122
1167610027,77976;1747.776:173.826
1167610027,82092;1749.984:171.72
1167610027,86241;1749.984:166.86
1167610027,90365;1753.056:165.726
1167610027,9454;1755.456:170.532
1167610027,98494;1756.32:158.652
1167610028,02851;1754.016:167.778
1167610028,06828;1456.704:344.628
1167610028,11187;1406.976:424.44
1167610028,15231;1411.104:421.794
1167610028,19672;1405.344:411.588
1167610028,23705;1421.472:408.618
1167610028,28383;1412.832:412.452
1167610028,32438;1408.512:411.426
1167610028,36933;1139.136:573.318
1167610028,41134;1118.4:653.022
1167610028,45867;1123.008:654.804
1167610028,5007;1130.112:654.858
1167610028,54655;1092.0:644.598
1167610028,5877;1022.016:628.668
1167610028,635;1031.616:634.608
1167610028,67727;1033.056:634.608
