Timestamp;GazePoint
636215516396,13;
1167609947,82068;940.608:544.752
1167609947,85595;938.112:552.258
1167609947,89107;923.904:551.772
1167609947,92684;931.872:549.666
1167609947,96213;928.992:543.348
1167609947,99636;914.112:566.568
1167609948,03118;927.936:549.504
1167609948,06557;922.08:561.816
1167609948,09953;920.928:558.09
1167609948,13332;915.936:568.512
1167609948,16684;560.064:490.59
1167609948,20157;452.544:497.448
1167609948,23664;470.784:502.038
1167609948,27215;471.744:484.596
1167609948,30716;469.632:481.086
1167609948,34273;452.256:495.99
1167609948,37831;460.032:501.066
1167609948,41385;461.472:495.936
1167609948,44869;470.304:479.412
1167609948,48336;467.328:498.96
1167609948,51794;562.08:494.64
1167609948,55324;564.288:503.928
1167609948,58823;566.112:506.52
1167609948,62339;564.192:510.03
1167609948,6584;567.552:490.428
1167609948,69375;586.944:519.48
1167609948,729;593.856:517.59
1167609948,76468;597.408:506.088
1167609948,80048;593.76:506.196
1167609948,83623;585.888:509.274
1167609948,87709;586.464:507.762
1167609948,91336;586.656:509.976
1167609948,95045;590.304:519.534
1167609948,98687;446.208:195.048
1167609949,02297;449.664:183.654
1167609949,06025;448.512:174.258
1167609949,09866;446.784:178.794
1167609949,13595;454.944:179.604
1167609949,17714;405.696:139.698
1167609949,21352;412.512:136.026
1167609949,2565;414.432:132.3
1167609949,29516;412.896:136.566
1167609949,3376;415.392:143.802
1167609949,37519;413.664:146.556
1167609949,41917;412.608:141.534
1167609949,45821;424.704:139.806
1167609949,5001;413.664:142.776
1167609949,53713;412.992:139.752
1167609949,57793;413.568:118.638
1167609949,61648;407.424:134.784
1167609949,65787;415.584:137.484
1167609949,69491;459.648:187.218
1167609949,73717;454.656:186.84
1167609949,77473;456.096:179.118
1167609949,81312;454.56:182.682
1167609949,85088;459.552:183.384
1167609949,88784;466.944:175.23
1167609949,92635;460.704:172.314
1167609949,96418;460.704:174.96
1167609950,00121;424.416:145.746
1167609950,03927;426.336:144.882
1167609950,07656;424.032:139.374
1167609950,11378;418.752:145.8
1167609950,15108;417.984:132.948
1167609950,18822;419.328:138.402
1167609950,22525;422.592:140.022
1167609950,26354;508.704:184.95
1167609950,30174;569.088:269.136
1167609950,33908;569.568:261.954
1167609950,37622;568.416:268.542
1167609950,41413;565.92:268.596
1167609950,45097;566.976:252.882
1167609950,48846;561.408:271.512
1167609950,52554;567.744:274.968
1167609950,56307;563.808:244.998
1167609950,60037;554.496:251.046
1167609950,63789;554.784:248.562
1167609950,67447;556.32:246.726
1167609950,71224;552.096:575.856
1167609950,74938;547.872:576.18
1167609950,78997;548.352:579.096
1167609950,83064;553.056:585.684
1167609950,86812;547.776:579.798
1167609950,9059;583.2:549.072
1167609950,94611;588.768:535.95
1167609950,98376;582.72:534.384
1167609951,0255;580.512:545.67
1167609951,06822;585.984:536.058
1167609951,11414;590.112:525.744
1167609951,15538;579.936:514.566
1167609951,20098;575.616:534.762
1167609951,24055;576.576:531.576
1167609951,28459;574.08:528.066
1167609951,32276;583.2:523.26
1167609951,36587;573.984:527.148
1167609951,40505;485.088:732.672
1167609951,4491;423.072:1016.658
1167609951,4869;435.936:999.648
1167609951,53118;441.6:1019.736
1167609951,57158;449.088:1062.18
1167609951,61619;438.624:1009.53
1167609951,65684;442.848:1023.3
1167609951,69907;470.976:903.528
1167609951,73607;460.896:888.732
1167609951,77396;480.0:880.038
1167609951,81252;480.192:871.938
1167609951,84994;479.712:878.796
1167609951,88784;449.376:723.384
1167609951,92531;438.144:539.298
1167609951,9648;435.84:527.364
1167609952,00357;433.92:543.024
1167609952,04211;439.008:534.492
1167609952,08014;431.232:542.43
1167609952,11882;443.424:525.096
1167609952,15788;433.632:538.218
1167609952,19663;441.792:527.148
1167609952,23512;438.048:536.976
1167609952,27307;432.672:534.276
1167609952,31071;432.192:531.198
1167609952,34869;439.488:539.298
1167609952,38649;435.168:530.28
1167609952,42444;431.52:474.498
1167609952,46242;438.528:163.512
1167609952,50134;436.896:152.28
1167609952,53995;448.704:133.974
