Timestamp;GazePoint
636215517901,776;
1167610098,32849;984.576:512.352
1167610098,3823;959.232:535.14
1167610098,43267;955.776:503.442
1167610098,48522;985.056:467.478
1167610098,53792;970.176:542.538
1167610098,58937;976.896:511.596
1167610098,64297;1040.832:459.486
1167610098,69108;1067.904:483.408
1167610098,74251;721.824:481.626
1167610098,79419;561.792:515.916
1167610098,84797;679.68:424.872
1167610098,89653;660.672:419.58
1167610098,94956;719.808:354.294
1167610099,00142;701.856:374.004
1167610099,05941;712.128:376.218
1167610099,11719;773.376:322.326
1167610099,17313;1215.456:430.704
1167610099,22515;1231.008:401.868
1167610099,28879;1194.528:431.406
1167610099,34088;1211.424:415.206
1167610099,39711;1207.296:398.412
1167610099,43241;1421.28:534.546
1167610099,47281;1431.744:573.534
1167610099,50852;1431.744:575.532
1167610099,55027;1424.16:579.636
1167610099,58792;1433.952:561.384
1167610099,62998;1419.456:545.724
1167610099,66606;1408.032:537.084
1167610099,70311;1406.88:536.976
1167610099,74195;1401.696:533.412
1167610099,78013;1399.488:542.268
1167610099,8183;1702.464:733.32
1167610099,85539;1702.464:737.37
1167610099,8925;1698.624:735.75
1167610099,93061;1700.352:743.85
1167610099,96808;1689.792:735.318
1167610100,00578;1661.184:734.886
1167610100,04231;1657.728:746.604
1167610100,07937;
1167610100,11628;1661.472:749.034
1167610100,14881;1648.992:758.7
1167610100,18513;1654.752:733.32
1167610100,22334;1652.256:734.022
1167610100,2609;1653.984:736.884
1167610100,2995;1651.2:742.338
1167610100,33759;1659.264:732.672
1167610100,37593;1650.432:726.732
1167610100,41405;1663.008:728.73
1167610100,4516;1661.952:734.238
1167610100,49013;1658.688:727.812
1167610100,53112;1671.36:717.174
1167610100,56997;1728.864:537.246
1167610100,60872;1694.688:273.672
1167610100,64746;1682.304:258.498
1167610100,68791;1689.504:280.476
1167610100,73547;1710.816:280.584
1167610100,77649;1699.968:278.1
1167610100,81822;1534.56:219.51
1167610100,8577;1530.72:233.334
1167610100,89535;1539.456:220.698
1167610100,93645;1624.704:681.318
1167610100,97555;1645.056:717.498
1167610101,01888;1632.864:685.746
1167610101,05776;1640.544:698.76
1167610101,10269;1637.76:703.026
1167610101,14134;1622.784:700.704
1167610101,18475;1358.88:571.806
1167610101,22383;1365.024:565.056
1167610101,26876;1369.632:558.306
1167610101,30882;1378.176:537.462
1167610101,35293;1368.288:546.156
1167610101,39266;1387.872:535.14
1167610101,43708;1393.92:530.334
1167610101,47848;1392.576:524.556
1167610101,52311;1387.872:532.926
1167610101,56275;1380.384:528.39
1167610101,60595;1395.744:525.474
1167610101,64472;1396.608:513.972
1167610101,68381;1396.416:533.898
1167610101,72162;1396.992:525.366
1167610101,7602;1395.648:520.83
1167610101,79728;1392.96:513.81
1167610101,83419;991.68:686.232
1167610101,87226;708.384:793.584
1167610101,91124;723.264:779.868
1167610101,95006;718.848:776.196
1167610101,98741;732.0:786.51
1167610102,02449;727.968:788.292
1167610102,06277;631.296:780.57
1167610102,0998;570.624:781.812
1167610102,13652;569.952:779.274
1167610102,17418;572.064:793.746
1167610102,21213;577.248:808.38
1167610102,25046;570.048:788.994
1167610102,28854;600.576:794.61
1167610102,32761;599.52:798.12
1167610102,36493;597.696:771.228
