Timestamp;GazePoint
636215516753,381;
1167609983,5686;883.968:745.686
1167609983,60316;879.648:583.524
1167609983,63912;883.968:569.808
1167609983,67454;883.008:575.748
1167609983,71021;880.8:578.394
1167609983,74595;878.304:571.428
1167609983,78115;885.504:573.588
1167609983,81782;886.848:563.76
1167609983,85315;889.344:556.524
1167609983,88784;512.64:536.652
1167609983,92311;464.64:540.702
1167609983,95761;462.144:545.778
1167609983,99165;462.432:547.992
1167609984,02567;474.336:529.524
1167609984,05976;466.944:524.07
1167609984,09414;477.888:538.002
1167609984,12891;470.688:537.732
1167609984,16381;375.648:487.458
1167609984,19806;376.8:492.858
1167609984,23187;370.56:478.116
1167609984,26564;378.432:488.808
1167609984,29916;378.528:495.126
1167609984,3335;378.24:491.562
1167609984,36827;369.984:484.056
1167609984,40427;382.08:484.92
1167609984,43871;326.112:476.604
1167609984,47307;326.208:456.678
1167609984,50713;322.848:472.5
1167609984,54138;336.192:466.722
1167609984,57569;294.336:457.164
1167609984,60913;291.744:469.584
1167609984,6462;298.08:480.438
1167609984,67896;302.304:472.878
1167609984,71225;293.568:474.174
1167609984,74611;288.384:476.442
1167609984,77977;296.832:477.522
1167609984,81328;286.944:468.828
1167609984,8508;294.048:465.75
1167609984,8854;285.408:484.596
1167609984,92319;285.792:471.042
1167609984,95732;299.808:478.008
1167609984,99711;305.856:478.224
1167609985,03213;286.368:475.632
1167609985,07137;294.816:474.606
1167609985,10698;297.504:478.224
1167609985,14684;569.376:391.77
1167609985,18187;612.768:337.554
1167609985,2207;615.456:336.528
1167609985,2551;614.976:341.604
1167609985,2943;617.28:336.312
1167609985,32932;609.6:345.87
1167609985,36892;614.208:339.768
1167609985,40429;610.368:104.706
1167609985,44384;617.856:106.704
1167609985,47867;600.288:107.514
1167609985,51353;620.352:101.79
1167609985,54886;621.024:108.108
1167609985,58415;604.32:105.84
1167609985,61932;640.896:94.77
1167609985,65433;895.872:94.068
1167609985,69011;902.4:106.164
1167609985,72607;904.128:95.634
1167609985,76219;906.624:94.662
1167609985,79887;914.208:94.176
1167609985,83553;911.616:89.316
1167609985,87215;908.736:86.13
1167609985,91048;959.808:214.92
1167609985,94911;1001.952:894.618
1167609985,98664;994.752:912.33
1167609986,02668;997.44:918.864
1167609986,06612;1009.728:912.222
1167609986,10322;993.696:907.092
1167609986,13949;1085.088:881.982
1167609986,17879;1363.68:634.23
1167609986,2153;1376.448:612.954
1167609986,25297;1422.816:593.622
1167609986,29213;1418.688:579.528
1167609986,33193;1409.856:590.706
1167609986,37091;1411.968:592.974
1167609986,40965;1421.088:575.856
1167609986,44733;1420.8:580.554
1167609986,4846;1428.288:562.68
1167609986,5266;1415.232:567.378
1167609986,56439;1528.32:578.232
1167609986,60139;1550.976:561.6
1167609986,63956;1536.576:568.08
1167609986,67832;1547.904:568.188
1167609986,71719;1549.632:591.786
1167609986,75777;1543.008:574.506
1167609986,79531;1536.576:570.456
1167609986,83681;1546.56:572.13
1167609986,87369;1540.512:575.1
1167609986,9171;1452.672:441.018
1167609986,95469;1415.808:311.472
1167609986,9971;1412.832:307.692
1167609987,03357;1408.704:312.768
1167609987,07652;1416.48:307.8
1167609987,11559;1419.168:311.094
1167609987,15835;1413.024:312.444
1167609987,19665;1418.496:304.668
1167609987,2386;1408.8:306.666
1167609987,27667;1413.6:317.898
1167609987,31914;1434.336:403.704
1167609987,35789;1437.984:413.748
1167609987,39941;1444.512:405.486
1167609987,43723;1442.88:406.512
1167609987,47572;1406.304:404.406
1167609987,51511;1413.216:408.078
1167609987,55487;1402.656:402.786
1167609987,59416;1416.192:416.502
1167609987,63219;1399.104:401.814
1167609987,67014;1406.112:410.562
1167609987,70727;1401.504:402.948
1167609987,7459;1391.808:406.134
1167609987,7864;1404.672:416.178
1167609987,82698;1409.472:388.962
1167609987,86609;1549.056:432.756
1167609987,90398;1613.472:445.122
1167609987,94491;1604.16:449.982
1167609987,98578;1589.376:452.844
1167609988,02663;1595.04:437.13
1167609988,06678;1594.464:452.52
1167609988,10678;1583.712:449.604
1167609988,14707;1581.696:443.232
1167609988,18799;1572.192:443.88
1167609988,22964;1577.664:447.228
1167609988,2718;1585.44:435.834
1167609988,31307;1581.888:438.426
1167609988,35309;1586.4:443.826
1167609988,39414;1573.632:459.108
1167609988,43595;1480.224:418.338
1167609988,48115;1469.088:425.304
1167609988,51875;1470.432:428.976
1167609988,55922;1466.304:423.036
1167609988,60019;1473.312:420.876
1167609988,64074;1471.968:409.158
1167609988,68456;1471.392:415.368
1167609988,72531;1474.752:422.118
1167609988,77199;1463.328:411.966
1167609988,81406;1464.96:426.006
1167609988,86015;1472.256:420.822
1167609988,90257;1392.0:409.212
1167609988,94872;1402.272:404.46
1167609988,99038;1396.512:401.274
1167609989,03923;1394.784:406.404
1167609989,08054;1411.392:412.02
1167609989,1276;1408.224:395.874
1167609989,16762;1391.424:414.342
1167609989,21095;1398.336:414.72
1167609989,25062;1389.792:399.708
