Timestamp;Action;ActionArgs;LeftEye;RightEye
1167609795,72457;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,76715;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,80395;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,84651;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,88651;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,92319;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,9615;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609795,99848;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,03557;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,07266;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,11118;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,14821;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,18469;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,22109;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,25906;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,29553;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,33997;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,38466;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,42911;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,47244;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,51008;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,55338;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,58569;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,62064;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,66117;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167609796,69948;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,75753;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,79343;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,83075;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,86899;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,90564;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,94386;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609796,98219;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,02048;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,05862;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,09735;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,13552;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,17377;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,21843;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,26311;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,3077;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,35233;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,39112;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,43568;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,47269;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,5089;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,5475;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,58614;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,62324;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,66041;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,6976;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,73555;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,77278;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,80927;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,84641;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,88508;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,92975;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609797,97448;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,019;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,06282;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,10087;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,14466;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,1778;EyeTracking;OnlyLeftEyeTracked;[0,1767,0,2980];[-,-]
1167609798,21379;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,27021;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,30911;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,34668;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,38566;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,4235;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,46125;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,49889;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,53727;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,57491;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,61181;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,65008;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,68842;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,73317;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,77783;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,82321;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,86784;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,90678;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,95134;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609798,98645;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,02553;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,06462;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,1037;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,14275;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,18118;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,22021;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,25934;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,29773;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,33613;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,37454;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,41294;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,45781;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,50271;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,54756;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,59171;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,6302;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,67441;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,70463;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167609799,73967;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609799,79986;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167609799,83832;EyeTracking;BothEyesTracked;[0,4285,0,3874];[0,4099,0,3280] 
1167609799,88193;EyeTracking;OnlyLeftEyeTracked;[0,4513,0,4230];[-,-]
1167609799,93115;EyeTracking;BothEyesTracked;[0,4490,0,3937];[0,4124,0,4559] 
1167609799,96508;EyeTracking;BothEyesTracked;[0,4500,0,4241];[0,4127,0,4495] 
1167609800,0183;EyeTracking;BothEyesTracked;[0,4432,0,3726];[0,4203,0,4303] 
1167609800,07155;EyeTracking;BothEyesTracked;[0,4532,0,4062];[0,4186,0,4479] 
1167609800,12392;EyeTracking;BothEyesTracked;[0,4452,0,4191];[0,4103,0,4351] 
1167609800,17619;EyeTracking;BothEyesTracked;[0,4581,0,3994];[0,4246,0,4124] 
1167609800,22834;EyeTracking;BothEyesTracked;[0,4553,0,3951];[0,4021,0,4824] 
1167609800,2807;EyeTracking;BothEyesTracked;[0,4556,0,4245];[0,4080,0,4748] 
1167609800,33206;EyeTracking;BothEyesTracked;[0,4563,0,4166];[0,4211,0,4302] 
1167609800,38331;EyeTracking;BothEyesTracked;[0,4535,0,4260];[0,4186,0,4395] 
1167609800,43508;EyeTracking;BothEyesTracked;[0,4635,0,4044];[0,4266,0,3827] 
1167609800,49455;EyeTracking;BothEyesTracked;[0,4341,0,3484];[0,4225,0,4324] 
1167609800,55669;EyeTracking;BothEyesTracked;[0,4446,0,3348];[0,4244,0,4376] 
1167609800,61735;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,66869;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,69459;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,72189;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,74799;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,77524;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,80377;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,83267;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,86192;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,89152;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,92126;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,95124;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609800,98146;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,0119;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,04264;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,08732;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,13205;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,17686;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,22164;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,26055;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,30524;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,34997;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,38334;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,4172;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,45158;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,49005;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,52451;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167609801,55888;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,61281;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167609801,65121;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,69585;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,72909;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,76263;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,80107;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,83955;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,87372;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,91215;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,94648;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609801,98079;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,01922;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,05768;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,09195;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,12635;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,17105;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,21593;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,25889;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,29607;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,33895;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,38188;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,42481;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,46772;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,50616;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,54464;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,58308;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,62156;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,66005;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,69853;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,73699;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,77551;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,81394;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,85284;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,89137;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,92983;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609802,97463;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,01367;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,05835;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,10305;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,14785;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,19264;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,23584;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,27975;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,31814;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,35658;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,395;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,43352;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,47196;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,51049;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,54892;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,58743;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,62587;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,66439;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,70284;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,74187;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,78667;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,83137;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,87608;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609803,92086;EyeTracking;NoEyesTracked;[-,-];[-,-]
