Timestamp;Action;ActionArgs;LeftEye;RightEye
1167609784,27456;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,31871;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,35712;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,40135;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,44549;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,49095;EyeTracking;OnlyRightEyeTracked;[-,-];[0,0138,0,3688] 
1167609784,53113;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,92747;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609784,98369;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609785,36174;EyeTracking;BothEyesTracked;[0,1528,0,2865];[0,1110,0,2770] 
1167609785,45168;EyeTracking;BothEyesTracked;[0,1230,0,2171];[0,0265,-0,2995] 
1167609785,74817;EyeTracking;BothEyesTracked;[0,2279,0,2959];[0,1755,0,1937] 
1167609785,80506;EyeTracking;BothEyesTracked;[0,2363,0,3084];[0,1942,0,3066] 
1167609785,90855;EyeTracking;BothEyesTracked;[0,2168,0,3273];[0,2054,0,2419] 
1167609785,95613;EyeTracking;BothEyesTracked;[0,2207,0,3267];[0,2043,0,2856] 
1167609786,06296;EyeTracking;BothEyesTracked;[0,2115,0,3199];[0,2027,0,3501] 
1167609786,15618;EyeTracking;BothEyesTracked;[0,2402,0,2872];[0,1695,0,1741] 
1167609786,26173;EyeTracking;BothEyesTracked;[0,2402,0,3130];[0,2130,0,3232] 
1167609786,37461;EyeTracking;BothEyesTracked;[0,2233,0,3770];[0,2155,0,3215] 
1167609786,43547;EyeTracking;BothEyesTracked;[0,2209,0,3090];[0,2320,0,4813] 
1167609786,55461;EyeTracking;BothEyesTracked;[0,2413,0,2722];[0,2439,0,4021] 
1167609786,65337;EyeTracking;BothEyesTracked;[0,4535,0,2020];[0,3801,0,3131] 
1167609786,73835;EyeTracking;BothEyesTracked;[0,4087,0,2644];[0,3846,0,3907] 
1167609786,78287;EyeTracking;BothEyesTracked;[0,4245,0,2643];[0,4059,0,3071] 
1167609786,82979;EyeTracking;BothEyesTracked;[0,4238,0,2607];[0,4059,0,3184] 
1167609786,87524;EyeTracking;BothEyesTracked;[0,4142,0,2890];[0,3989,0,3459] 
1167609786,91989;EyeTracking;BothEyesTracked;[0,3283,0,2972];[0,3155,0,2906] 
1167609786,96209;EyeTracking;BothEyesTracked;[0,2522,0,2520];[0,2117,0,2428] 
1167609787,00428;EyeTracking;BothEyesTracked;[0,2209,0,2031];[0,2188,0,2248] 
1167609787,04881;EyeTracking;BothEyesTracked;[0,2547,0,2178];[0,2222,0,2260] 
1167609787,07955;EyeTracking;BothEyesTracked;[0,2676,0,2257];[0,2152,0,2725] 
1167609787,11008;EyeTracking;BothEyesTracked;[0,2874,0,2099];[0,2240,0,2268] 
1167609787,14035;EyeTracking;BothEyesTracked;[0,2874,0,2059];[0,2369,0,2467] 
1167609787,17073;EyeTracking;BothEyesTracked;[0,2308,0,1589];[0,2145,0,2276] 
1167609787,20117;EyeTracking;BothEyesTracked;[0,2711,0,2168];[0,2243,0,2417] 
1167609787,23182;EyeTracking;BothEyesTracked;[0,2383,0,1495];[0,2306,0,2493] 
1167609787,26219;EyeTracking;BothEyesTracked;[0,2723,0,1835];[0,2196,0,2945] 
1167609787,29255;EyeTracking;BothEyesTracked;[0,2552,0,1585];[0,2199,0,2707] 
1167609787,32288;EyeTracking;BothEyesTracked;[0,2463,0,1919];[0,2356,0,2327] 
1167609787,35322;EyeTracking;BothEyesTracked;[0,3008,0,2256];[0,2401,0,2322] 
1167609787,38365;EyeTracking;BothEyesTracked;[0,2762,0,1909];[0,2313,0,2412] 
1167609787,41398;EyeTracking;BothEyesTracked;[0,2839,0,2074];[0,2241,0,2028] 
1167609787,44431;EyeTracking;BothEyesTracked;[0,2771,0,2086];[0,2294,0,2570] 
1167609787,4746;EyeTracking;BothEyesTracked;[0,2761,0,2183];[0,2423,0,2565] 
1167609787,50496;EyeTracking;BothEyesTracked;[0,2595,0,1678];[0,2301,0,2335] 
1167609787,53535;EyeTracking;BothEyesTracked;[0,2592,0,2077];[0,2492,0,2340] 
1167609787,56579;EyeTracking;BothEyesTracked;[0,2070,0,1616];[0,2514,0,2180] 
1167609787,59619;EyeTracking;BothEyesTracked;[0,3011,0,1696];[0,2428,0,1742] 
1167609787,62661;EyeTracking;BothEyesTracked;[0,3186,0,2101];[0,2727,0,2829] 
1167609787,65712;EyeTracking;BothEyesTracked;[0,3135,0,2428];[0,2767,0,2534] 
1167609787,68759;EyeTracking;BothEyesTracked;[0,2902,0,2112];[0,2480,0,2096] 
1167609787,71808;EyeTracking;BothEyesTracked;[0,2783,0,1765];[0,2786,0,2364] 
1167609787,74844;EyeTracking;BothEyesTracked;[0,2822,0,1934];[0,2680,0,2068] 
1167609787,7789;EyeTracking;BothEyesTracked;[0,2457,0,1116];[0,2668,0,2388] 
1167609787,8095;EyeTracking;BothEyesTracked;[0,2976,0,1982];[0,2554,0,1938] 
1167609787,84019;EyeTracking;BothEyesTracked;[0,2872,0,1515];[0,2568,0,2442] 
1167609787,87091;EyeTracking;BothEyesTracked;[0,2956,0,1843];[0,2658,0,2064] 
1167609787,90193;EyeTracking;BothEyesTracked;[0,2968,0,1728];[0,2567,0,2481] 
