Timestamp;GazePoint
636172497874,811;
1167610698,50584;531.072:1269.54
1167610698,54138;511.488:1259.658
1167610698,5789;520.512:1257.174
1167610698,62712;520.128:1241.568
1167610698,6673;510.24:1265.382
1167610698,71234;532.416:1240.272
1167610698,75586;690.816:949.158
1167610698,79984;849.216:701.892
1167610698,84632;861.792:700.974
1167610698,89421;847.584:704.16
1167610698,94241;
1167610698,9882;790.656:682.452
1167610699,02994;797.28:681.264
1167610699,07243;790.464:694.656
1167610699,11973;801.024:666.684
1167610699,16945;790.656:675.81
1167610699,21443;805.92:682.722
1167610699,26526;805.728:688.122
1167610699,31137;971.904:618.192
1167610699,36007;969.504:620.946
1167610699,40966;970.848:629.154
1167610699,45722;
1167610699,50399;
1167610699,55891;
1167610699,61096;
1167610699,65314;
1167610699,6933;
1167610699,74321;640.32:530.388
1167610699,78963;1169.76:563.598
1167610699,8338;1196.832:550.044
1167610699,8781;1186.464:556.524
1167610699,9327;1238.88:563.598
1167610699,97598;1218.048:568.458
1167610700,02672;1219.104:562.464
1167610700,07312;1215.456:567.54
1167610700,12583;1226.592:557.226
1167610700,17381;1325.376:644.166
1167610700,22676;
1167610700,27775;1802.208:713.502
1167610700,31714;1785.024:751.626
1167610700,36483;
1167610700,4274;1768.416:727.542
1167610700,47919;1765.44:759.078
1167610700,52614;1759.68:806.814
1167610700,57184;1750.752:892.836
1167610700,61939;1743.168:891.486
1167610700,66584;1743.936:889.488
1167610700,71126;1753.728:879.228
1167610700,75595;1749.504:880.2
1167610700,80151;1744.608:874.152
1167610700,8476;1752.48:871.992
1167610700,89441;1773.696:860.058
1167610700,93888;1765.536:864.54
1167610700,98332;1744.992:871.776
1167610701,02777;1752.48:869.454
1167610701,07575;1752.576:872.046
1167610701,1243;1764.576:861.192
1167610701,17372;1760.064:866.754
1167610701,22047;1759.104:868.644
1167610701,26727;1797.792:574.668
1167610701,31586;1781.472:248.724
1167610701,36376;1771.872:266.112
1167610701,41639;1781.568:182.196
1167610701,46114;1794.528:189.216
1167610701,50612;1818.816:86.562
1167610701,55157;1805.952:110.106
1167610701,60132;1802.016:106.704
1167610701,64614;1258.656:141.696
1167610701,69595;1140.096:133.704
1167610701,74165;1162.944:129.114
1167610701,79692;1148.544:114.858
1167610701,84542;841.344:97.254
1167610701,89985;863.712:53.622
1167610701,95053;866.592:107.568
1167610702,00675;845.952:105.732
1167610702,05779;938.208:94.554
1167610702,11352;1048.416:265.032
1167610702,16267;
1167610702,21545;1082.496:93.636
1167610702,25386;
1167610702,3035;
1167610702,33509;
1167610702,37181;1075.392:115.938
1167610702,41155;731.904:171.288
1167610702,45321;
1167610702,49955;
1167610702,568;
1167610702,61185;493.92:245.322
1167610702,65264;510.048:241.92
1167610702,69633;516.096:231.606
1167610702,7407;516.768:209.682
1167610702,78663;516.576:145.746
1167610702,82844;506.4:135.0
1167610702,87381;533.568:182.736
1167610702,91765;523.584:137.322
1167610702,96179;584.64:75.114
1167610703,00524;522.912:138.078
1167610703,04767;553.44:76.464
1167610703,08854;
1167610703,1297;519.072:166.212
1167610703,16965;551.328:162.756
1167610703,20973;551.712:165.51
1167610703,25131;532.992:179.172
1167610703,29258;382.752:699.57
1167610703,33453;389.952:712.476
1167610703,37947;386.496:710.694
1167610703,42087;361.728:698.112
1167610703,46643;395.712:701.352
1167610703,50686;415.2:815.724
1167610703,54791;408.96:865.512
1167610703,5895;416.832:867.024
1167610703,63039;244.8:879.876
1167610703,67593;226.176:874.314
1167610703,71874;220.128:864.27
1167610703,7667;223.872:874.854
1167610703,80919;223.2:857.79
1167610703,86042;212.064:847.854
1167610703,90646;214.56:859.248
1167610703,95653;205.728:855.144
1167610703,99944;197.952:848.448
1167610704,05049;214.464:855.522
1167610704,09769;202.176:861.948
1167610704,1479;564.0:747.144
1167610704,19394;795.552:716.202
1167610704,2432;787.584:712.368
1167610704,28757;794.112:693.684
1167610704,33979;779.232:718.038
1167610704,38555;784.32:708.21
1167610704,4363;821.088:880.848
1167610704,47906;833.472:936.09
1167610704,52948;808.608:959.688
1167610704,57223;819.936:952.668
1167610704,61409;758.208:846.126
1167610704,65595;360.096:368.388
1167610704,69929;324.576:354.672
1167610704,74591;316.032:341.388
1167610704,78966;335.712:370.71
1167610704,83813;322.464:372.762
1167610704,88424;317.664:372.06
1167610704,92792;330.432:374.814
1167610704,97118;222.048:184.302
1167610705,01408;229.824:182.142
1167610705,05819;239.424:186.084
1167610705,10009;713.664:239.76
1167610705,14541;1131.456:287.118
1167610705,19009;1164.288:265.842
1167610705,23782;1130.88:349.434
1167610705,28764;1197.984:342.468
1167610705,33759;1246.752:392.04
1167610705,387;1246.848:386.424
1167610705,43657;1259.904:388.26
1167610705,48499;1251.36:539.784
1167610705,53708;1243.2:635.634
1167610705,58378;1232.736:662.256
1167610705,63216;1260.768:641.466
1167610705,67827;1268.64:643.41
1167610705,72891;1249.248:574.56
1167610705,77494;1242.432:572.886
1167610705,82513;1230.912:584.982
1167610705,87111;1236.48:561.816
1167610705,92313;872.736:450.306
1167610705,97033;
1167610706,02357;901.44:423.36
1167610706,05653;
1167610706,10835;
1167610706,15528;641.28:589.734
1167610706,19106;235.968:830.25
1167610706,23233;326.208:562.734
1167610706,28511;258.816:760.59
1167610706,33245;
1167610706,38528;
1167610706,43945;
1167610706,48427;
1167610706,52422;
1167610706,55687;
1167610706,60856;
1167610706,64153;
1167610706,67489;
1167610706,70845;
1167610706,74215;
1167610706,77613;
1167610706,81411;
1167610706,8521;
1167610706,89026;
1167610706,92871;
1167610706,96609;
1167610707,01159;
1167610707,05296;
1167610707,08385;
1167610707,12025;
1167610707,16197;1471.104:842.184
