Timestamp;GazePoint
636172495241,641;
1167610435,21916;965.856:430.596
1167610435,25815;969.888:440.586
1167610435,29707;988.896:422.82
1167610435,33591;994.56:456.948
1167610435,37451;981.216:414.234
1167610435,41315;993.12:457.272
1167610435,45152;984.288:445.122
1167610435,48909;844.128:439.776
1167610435,53025;683.712:430.974
1167610435,56713;685.632:442.206
1167610435,60464;690.144:435.888
1167610435,64184;689.28:415.314
1167610435,6792;636.672:422.226
1167610435,72081;619.968:438.372
1167610435,75976;632.16:428.922
1167610435,8028;638.112:470.286
1167610435,84284;586.272:442.206
1167610435,88976;578.688:440.856
1167610435,92953;580.416:456.732
1167610435,9738;608.64:435.834
1167610436,01309;604.8:431.622
1167610436,0582;678.144:498.636
1167610436,09824;669.792:532.116
1167610436,14369;676.032:588.6
1167610436,18344;680.256:544.698
1167610436,22768;665.76:547.182
1167610436,26779;689.856:566.568
1167610436,31259;701.184:524.502
1167610436,35297;707.04:557.712
1167610436,39695;672.576:551.232
1167610436,43582;683.712:585.144
1167610436,47522;680.928:547.668
1167610436,51444;685.536:579.474
1167610436,55382;659.232:561.762
1167610436,59459;683.328:537.462
1167610436,63623;674.592:529.038
1167610436,67837;673.92:561.924
1167610436,72012;683.328:563.274
1167610436,76215;681.216:577.368
1167610436,80367;668.832:572.076
1167610436,84615;681.984:575.91
1167610436,88835;679.68:552.15
1167610436,92951;669.792:563.004
1167610436,97051;689.568:585.468
1167610437,01114;669.408:572.238
1167610437,05343;671.904:575.64
1167610437,09535;672.0:600.912
1167610437,13757;681.312:597.51
1167610437,1798;687.552:595.944
1167610437,22333;649.056:544.644
1167610437,26521;612.768:488.808
1167610437,30695;602.4:489.672
1167610437,34948;594.912:497.88
1167610437,39279;603.744:490.536
1167610437,43789;584.64:442.26
1167610437,48611;581.184:443.988
1167610437,53012;597.216:439.938
1167610437,57388;573.6:444.96
1167610437,61791;561.792:418.716
1167610437,66274;577.152:440.046
1167610437,71108;583.296:428.112
1167610437,75518;544.032:297.054
1167610437,80417;518.208:212.22
1167610437,84882;526.368:222.21
1167610437,90139;481.92:175.716
1167610437,95572;464.544:127.548
1167610438,00063;468.576:117.558
1167610438,04209;488.352:129.924
1167610438,09219;468.48:133.056
1167610438,13408;476.544:137.214
1167610438,18173;465.024:129.762
1167610438,22452;518.592:111.726
1167610438,2727;511.968:111.132
1167610438,31419;495.072:117.558
1167610438,36034;
1167610438,40212;474.912:161.028
1167610438,44543;
1167610438,48807;461.76:165.132
1167610438,53831;
1167610438,57906;458.592:157.194
1167610438,62448;670.56:370.17
1167610438,66306;685.44:431.784
1167610438,70655;693.12:450.414
1167610438,75054;699.456:405.648
1167610438,79494;704.352:441.072
1167610438,83972;696.768:453.654
1167610438,88076;698.592:441.828
1167610438,92487;576.384:545.238
1167610438,97048;575.616:543.186
1167610439,01344;564.096:534.276
1167610439,05871;571.296:517.428
1167610439,1059;577.344:545.238
1167610439,14987;
1167610439,1929;652.8:539.082
1167610439,26233;651.552:554.742
1167610439,30324;648.768:555.228
1167610439,35036;681.696:571.698
1167610439,39721;690.528:576.504
1167610439,44214;787.392:533.898
1167610439,48678;1366.944:514.404
1167610439,53342;1380.672:521.586
1167610439,57674;1384.8:499.662
1167610439,62052;1385.76:501.336
1167610439,66647;1447.68:477.468
1167610439,71034;1451.808:502.956
1167610439,75974;1470.72:478.494
1167610439,80162;1466.112:494.37
1167610439,85012;1460.448:481.086
1167610439,89078;1476.48:471.42
1167610439,93939;1534.56:578.394
1167610439,98055;1513.728:576.72
1167610440,02719;1535.04:567.648
1167610440,06748;1537.344:557.928
1167610440,11798;1464.768:567.0
1167610440,15922;811.392:585.414
1167610440,20409;709.152:595.188
1167610440,24727;713.088:625.914
1167610440,29642;724.416:613.008
1167610440,34197;714.432:606.636
1167610440,39259;690.144:584.55
1167610440,43535;700.992:597.726
1167610440,48279;693.792:612.522
1167610440,52374;704.256:597.348
1167610440,56489;677.568:572.4
1167610440,60574;687.072:576.288
1167610440,64682;653.088:529.956
1167610440,68854;644.16:521.424
1167610440,73038;651.84:527.418
1167610440,77085;638.304:494.154
1167610440,81166;624.576:506.466
1167610440,852;640.8:513.378
1167610440,89434;636.96:523.8
1167610440,93706;585.504:459.162
1167610440,97752;595.104:491.886
1167610441,01716;608.064:463.968
1167610441,05797;603.648:443.88
1167610441,09748;599.616:454.626
1167610441,13953;581.184:467.262
1167610441,17952;599.04:453.438
1167610441,22027;602.016:439.83
1167610441,26252;586.56:453.006
1167610441,30568;589.344:466.236
1167610441,3475;596.928:458.514
1167610441,38851;581.952:465.48
1167610441,42972;600.96:463.59
1167610441,47133;598.752:462.618
