Timestamp;GazePoint
636172494827,367;
1167610393,79518;954.624:523.152
1167610393,83913;970.464:525.69
1167610393,87837;973.632:501.93
1167610393,9233;950.688:496.314
1167610393,96239;971.616:510.246
1167610394,00431;971.52:517.104
1167610394,042;973.248:521.748
1167610394,08549;970.368:499.986
1167610394,12428;978.528:529.956
1167610394,16555;938.4:502.848
1167610394,20235;924.768:514.944
1167610394,23939;923.232:506.466
1167610394,27973;886.752:444.42
1167610394,31649;819.744:399.924
1167610394,35908;803.232:395.442
1167610394,39741;795.456:370.332
1167610394,43895;794.88:387.558
1167610394,47627;770.4:359.586
1167610394,51363;794.976:383.346
1167610394,55051;780.096:350.082
1167610394,5864;778.368:347.058
1167610394,62286;780.96:362.178
1167610394,65914;788.16:345.006
1167610394,6955;774.624:364.554
1167610394,73152;787.296:394.362
1167610394,76788;778.56:360.234
1167610394,80421;
1167610394,84074;
1167610394,87436;722.976:722.52
1167610394,90048;709.92:420.12
1167610394,9323;
1167610394,96907;704.064:424.44
1167610394,99512;709.152:423.306
1167610395,03534;721.92:433.35
1167610395,07089;709.632:419.256
1167610395,10731;446.688:312.174
1167610395,14396;409.632:256.662
1167610395,18078;452.832:288.468
1167610395,21764;481.44:213.408
1167610395,2626;406.08:251.424
1167610395,29839;408.864:261.036
1167610395,33513;397.056:249.966
1167610395,37239;404.352:216.756
1167610395,40897;402.72:243.432
1167610395,44575;392.256:258.66
1167610395,48236;
1167610395,52238;398.112:245.43
1167610395,57262;505.824:268.596
1167610395,60991;1012.512:395.118
1167610395,64673;1069.344:401.652
1167610395,68554;1075.2:446.85
1167610395,72626;1066.656:442.422
1167610395,76429;1134.336:483.354
1167610395,80639;1144.8:502.038
1167610395,84359;1162.08:494.046
1167610395,88668;1163.136:496.53
1167610395,92508;1165.344:473.904
1167610395,9691;1167.264:482.436
1167610396,00666;1181.28:480.384
1167610396,05225;1177.056:468.504
1167610396,09229;1183.872:454.896
1167610396,13816;1194.72:442.26
1167610396,17918;1224.96:435.942
1167610396,22586;1220.16:458.46
1167610396,26482;1220.64:448.848
1167610396,30905;1232.16:425.574
1167610396,34845;1255.872:397.818
1167610396,38922;1381.344:291.87
1167610396,42671;1375.296:292.41
1167610396,46577;1367.712:288.36
1167610396,50331;1367.712:267.678
1167610396,54214;1500.0:268.488
1167610396,57909;1503.744:260.442
1167610396,61613;1510.464:271.998
1167610396,6529;1507.2:261.468
1167610396,68825;1504.704:269.19
1167610396,72487;1495.392:281.88
1167610396,76244;1516.992:254.772
1167610396,80084;1502.88:266.706
1167610396,8385;1513.92:269.028
1167610396,87609;1509.312:244.134
1167610396,91171;1506.24:270.162
1167610396,94814;1516.416:249.804
1167610396,98192;1516.704:277.236
1167610397,02053;1498.368:264.708
1167610397,0556;1531.68:261.144
1167610397,09315;1541.856:271.296
1167610397,13171;1526.784:295.056
1167610397,16828;1539.648:281.232
1167610397,20808;1532.64:273.888
1167610397,24833;1690.176:329.454
1167610397,28689;1701.6:297.702
1167610397,33038;1675.872:312.12
1167610397,36971;1694.496:299.16
1167610397,40915;1705.824:287.55
1167610397,44785;1682.304:290.52
1167610397,48892;1754.4:358.236
1167610397,52714;1765.248:344.466
1167610397,56576;1759.392:359.694
1167610397,60423;1755.456:355.698
1167610397,64219;1760.16:349.488
1167610397,68438;1754.688:357.75
1167610397,72226;1764.864:355.104
1167610397,76481;1751.328:361.908
1167610397,80383;1736.256:351.378
1167610397,84712;1772.064:329.994
1167610397,88444;1790.016:290.952
