Timestamp;GazePoint
636172495611,112;
1167610472,22023;
1167610472,26354;
1167610472,3069;
1167610472,35071;
1167610472,38867;
1167610472,43237;
1167610472,47613;
1167610472,51989;
1167610472,56372;
1167610472,60746;
1167610472,64557;
1167610472,68929;
1167610472,73305;
1167610472,77086;561.984:511.218
1167610472,79512;557.568:553.176
1167610472,8602;550.944:515.538
1167610472,90408;551.712:522.45
1167610472,94114;556.704:527.742
1167610472,97925;543.264:504.738
1167610473,01707;554.88:536.544
1167610473,05443;475.968:614.682
1167610473,09607;426.72:652.752
1167610473,13414;424.8:631.314
1167610473,17814;449.664:648.0
1167610473,21658;438.624:665.064
1167610473,25437;442.944:642.114
1167610473,29618;433.728:613.818
1167610473,33497;515.904:613.818
1167610473,37697;867.744:311.796
1167610473,41588;887.808:277.506
1167610473,46287;872.448:277.02
1167610473,50225;872.544:257.094
1167610473,54695;879.936:235.71
1167610473,58572;866.976:158.22
1167610473,63106;862.08:147.852
1167610473,67043;859.584:151.74
1167610473,7141;723.168:153.63
1167610473,75165;721.92:126.738
1167610473,79493;711.84:135.324
1167610473,83306;710.208:127.17
1167610473,87697;672.48:72.252
1167610473,91513;658.368:104.76
1167610473,95511;653.376:82.728
1167610473,9981;673.44:102.87
1167610474,03827;677.376:87.642
1167610474,07895;677.376:97.902
1167610474,11853;646.656:105.732
1167610474,15753;623.808:82.674
1167610474,19705;616.224:94.122
1167610474,23681;628.32:83.268
1167610474,27684;643.008:47.358
1167610474,31635;
1167610474,35648;436.8:289.224
1167610474,39697;520.032:183.492
1167610474,4381;
1167610474,47968;497.856:178.092
1167610474,52175;506.112:166.158
1167610474,56826;455.328:295.218
1167610474,61029;
1167610474,6572;416.928:263.682
1167610474,68627;459.936:265.302
1167610474,76049;456.384:270.432
1167610474,8102;460.608:263.79
1167610474,8563;463.488:263.952
1167610474,90379;362.688:180.252
1167610474,94992;215.136:78.57
1167610474,99374;213.312:82.134
1167610475,04178;207.648:88.236
1167610475,08528;192.96:74.196
1167610475,13072;176.256:74.466
1167610475,17815;168.0:74.79
1167610475,22424;175.008:72.738
1167610475,27332;157.152:69.336
1167610475,3192;641.088:97.632
1167610475,36854;624.288:95.364
1167610475,4127;637.824:84.51
1167610475,46293;638.88:98.172
1167610475,50692;
1167610475,55744;
1167610475,61659;610.272:193.536
1167610475,69328;570.72:229.662
1167610475,74542;
1167610475,79123;489.888:262.602
1167610475,81808;531.648:255.312
1167610475,87079;510.336:319.41
1167610475,91609;483.936:273.024
1167610475,96689;
1167610476,01161;474.528:295.11
1167610476,08565;654.144:269.352
1167610476,12807;667.296:354.51
1167610476,17412;695.232:291.168
1167610476,22179;660.096:361.314
1167610476,26897;685.44:349.38
1167610476,31293;661.728:315.684
1167610476,35954;667.584:327.942
1167610476,40509;782.976:854.118
1167610476,44909;800.064:834.084
1167610476,49512;779.328:840.186
1167610476,53885;801.408:862.65
1167610476,58065;773.28:878.58
1167610476,62266;717.792:877.284
1167610476,66641;686.304:925.56
1167610476,71142;690.624:916.65
1167610476,75728;692.256:927.936
1167610476,80325;687.36:940.248
1167610476,84819;761.184:799.2
1167610476,8916;768.192:793.314
1167610476,93218;753.6:787.05
1167610476,97394;765.504:803.196
1167610477,01612;771.264:798.93
1167610477,06045;772.896:786.024
1167610477,10206;763.872:784.026
1167610477,14614;769.536:784.62
1167610477,18685;699.072:570.078
1167610477,22666;699.456:561.006
1167610477,26645;691.296:564.894
1167610477,30569;691.776:577.044
1167610477,34676;694.464:574.236
1167610477,38983;690.24:614.52
1167610477,43284;699.456:587.736
1167610477,47579;707.328:594.81
1167610477,51598;715.296:585.576
1167610477,5643;701.28:608.58
1167610477,60471;706.464:598.212
1167610477,65232;721.536:601.506
1167610477,6935;713.184:596.322
1167610477,74172;701.184:597.78
1167610477,78421;641.28:607.554
1167610477,83462;653.76:603.774
1167610477,87897;638.304:611.172
1167610477,92788;632.064:630.828
1167610477,9715;650.88:611.604
1167610478,02348;637.728:610.038
1167610478,07065;647.904:611.604
1167610478,11909;657.984:613.926
1167610478,17121;527.328:554.526
1167610478,21609;517.056:549.18
1167610478,26356;522.144:551.34
1167610478,31028;521.664:551.34
1167610478,35509;520.224:564.408
1167610478,39892;515.136:549.99
1167610478,44176;522.816:537.516
1167610478,48427;521.184:551.124
1167610478,52806;527.04:536.598
1167610478,5714;433.44:587.034
1167610478,61484;425.568:570.996
1167610478,6587;448.512:557.55
1167610478,70298;436.416:572.346
1167610478,74627;446.88:584.01
1167610478,78948;426.24:582.606
1167610478,8328;442.08:575.154
1167610478,87707;503.04:523.422
1167610478,92465;497.952:546.966
1167610478,96953;513.888:533.142
1167610479,01467;517.344:543.834
1167610479,05984;462.528:418.068
1167610479,10532;444.192:339.984
1167610479,1511;467.808:423.846
1167610479,20063;477.984:455.76
1167610479,26286;462.528:476.01
1167610479,30725;469.152:459.918
1167610479,35351;462.144:459.162
1167610479,40316;485.76:371.844
1167610479,44764;461.088:451.332
1167610479,49863;465.12:422.82
1167610479,54581;474.24:463.914
1167610479,59909;461.088:456.57
1167610479,64365;467.232:452.142
1167610479,6945;420.0:543.24
1167610479,73848;436.224:495.936
1167610479,79188;1106.112:502.902
1167610479,83716;1395.36:546.75
1167610479,89053;1415.808:529.524
1167610479,94522;1392.288:534.33
1167610480,00052;1398.72:549.774
1167610480,04652;1418.112:559.872
1167610480,09757;1398.624:557.064
1167610480,13947;1410.144:533.682
1167610480,18938;1455.456:466.56
1167610480,23215;1441.92:483.354
1167610480,27333;1432.224:469.206
1167610480,31611;1433.76:470.556
1167610480,35825;804.096:451.116
1167610480,40034;571.968:508.41
1167610480,44273;589.92:492.426
1167610480,48651;567.648:501.498
1167610480,52936;488.256:539.622
1167610480,57144;485.856:546.588
1167610480,61453;472.8:523.368
1167610480,65764;464.928:515.16
