Timestamp;Action;ActionArgs;LeftEye;RightEye
0327,69944;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,74198;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,78625;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,82468;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,86884;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,91312;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610327,93892;EyeTracking;BothEyesTracked;[0,3029,0,2107];[0,2617,0,2232]
1167610327,96957;EyeTracking;BothEyesTracked;[0,1963,0,2551];[0,1544,0,2866]
1167610328,05025;EyeTracking;BothEyesTracked;[0,1923,0,2848];[0,1432,0,2665]
1167610328,12179;EyeTracking;BothEyesTracked;[0,1915,0,2655];[0,1502,0,2801]
1167610328,18658;EyeTracking;BothEyesTracked;[0,1912,0,2708];[0,1529,0,2923]
1167610328,24947;EyeTracking;BothEyesTracked;[0,1854,0,2820];[0,1585,0,2935]
1167610328,31211;EyeTracking;BothEyesTracked;[0,1820,0,2728];[0,1535,0,2969]
1167610328,37482;EyeTracking;BothEyesTracked;[0,1852,0,2739];[0,1515,0,2888]
1167610328,43818;EyeTracking;BothEyesTracked;[0,1872,0,2895];[0,1511,0,2887]
1167610328,50222;EyeTracking;BothEyesTracked;[0,1817,0,2615];[0,1494,0,2853]
1167610328,57199;EyeTracking;BothEyesTracked;[0,1787,0,2516];[0,1526,0,2755]
1167610328,63645;EyeTracking;BothEyesTracked;[0,1794,0,2623];[0,1527,0,2698]
1167610328,70181;EyeTracking;BothEyesTracked;[0,1826,0,2532];[0,1513,0,2973]
1167610328,76865;EyeTracking;BothEyesTracked;[0,1766,0,2663];[0,1453,0,2843]
1167610328,83644;EyeTracking;BothEyesTracked;[0,1688,0,2514];[0,1556,0,2974]
1167610328,90893;EyeTracking;BothEyesTracked;[0,1770,0,2670];[-0,1776,0,5261]
1167610328,97874;EyeTracking;BothEyesTracked;[0,1767,0,2447];[0,1533,0,3090]
1167610329,04814;EyeTracking;BothEyesTracked;[0,1688,0,2546];[0,1481,0,2890]
1167610329,1212;EyeTracking;BothEyesTracked;[0,1766,0,2515];[0,1559,0,2992]
1167610329,1913;EyeTracking;BothEyesTracked;[0,1712,0,2548];[0,1472,0,3098]
1167610329,26791;EyeTracking;BothEyesTracked;[0,1836,0,3045];[0,1658,0,2947]
1167610329,34817;EyeTracking;BothEyesTracked;[0,1787,0,2837];[0,1726,0,3067]
1167610329,40062;EyeTracking;BothEyesTracked;[0,1784,0,3035];[0,1684,0,3025]
1167610329,44443;EyeTracking;BothEyesTracked;[0,1660,0,3068];[0,1692,0,3259]
