Timestamp;GazePoint
636189762198,517;
1167609956,12442;
1167609956,15819;
1167609956,19453;
1167609956,24109;
1167609956,27797;
1167609956,32523;826.656:342.144
1167609956,37248;741.792:402.84
1167609956,41213;748.032:383.778
1167609956,44915;734.88:397.656
1167609956,48796;757.536:397.818
1167609956,54313;801.216:406.404
1167609956,59205;1366.464:444.69
1167609956,64366;1376.448:455.274
1167609956,68378;1379.712:437.346
1167609956,73952;1381.728:458.352
1167609956,79029;1374.24:465.264
1167609956,83372;1387.776:449.28
1167609956,87366;1381.536:473.742
1167609956,92969;1375.104:447.336
1167609956,97006;1342.176:709.722
1167609957,01318;1326.432:762.048
1167609957,05183;1325.664:764.586
1167609957,10712;1332.096:777.6
1167609957,15638;1343.616:753.3
1167609957,21019;1290.432:773.982
1167609957,24778;1281.792:787.806
1167609957,28946;1288.896:749.142
1167609957,33671;1282.656:759.618
1167609957,38991;1257.312:788.562
1167609957,43774;1259.712:835.326
1167609957,48983;1278.912:844.56
1167609957,52569;1274.496:849.204
1167609957,57149;1277.856:836.73
1167609957,60865;1263.84:860.76
1167609957,65485;1264.416:853.146
1167609957,69131;1262.208:850.662
1167609957,72794;1280.736:827.766
1167609957,76508;1262.88:853.2
1167609957,80256;1405.536:375.462
1167609957,83991;1437.984:328.698
1167609957,87681;1437.792:325.89
1167609957,91461;1430.016:328.266
1167609957,95208;1423.776:320.22
1167609957,98943;1427.52:321.894
1167609958,02789;1430.496:327.348
1167609958,06529;1433.472:329.022
1167609958,10271;1470.432:291.276
1167609958,14054;1468.416:286.902
1167609958,17991;1479.84:287.334
1167609958,21793;1483.008:291.222
1167609958,25753;1480.128:297.54
1167609958,29653;1476.48:282.42
1167609958,33498;
1167609958,37264;
1167609958,3988;
1167609958,42509;
1167609958,45113;
1167609958,48145;
1167609958,5278;1424.928:370.494
1167609958,58343;
1167609958,62377;1410.528:378.216
1167609958,64589;1399.392:375.84
1167609958,6909;1397.856:379.998
1167609958,73019;1311.168:562.032
1167609958,77319;1246.944:750.762
1167609958,81282;1240.128:756.216
1167609958,85838;1235.52:765.72
1167609958,90024;1241.088:750.222
1167609958,94686;1235.616:726.84
1167609958,98748;1240.896:741.906
1167609959,03185;1331.904:586.386
1167609959,07319;1304.64:592.704
1167609959,12071;1308.0:595.566
1167609959,1611;1301.472:590.976
1167609959,20406;1311.36:578.826
1167609959,24346;1310.784:593.514
1167609959,28668;1313.088:579.474
1167609959,32623;1310.208:572.238
1167609959,37126;1306.368:586.764
1167609959,41184;1308.384:585.306
1167609959,45606;1308.576:601.938
1167609959,49537;1307.04:588.384
1167609959,5371;1314.24:592.38
1167609959,57633;1315.872:602.964
1167609959,61732;1304.064:609.012
1167609959,65711;1304.64:613.71
