Timestamp;GazePoint
636189761513,228;
1167609887,57733;994.464:522.234
1167609887,61518;985.728:510.462
1167609887,65298;1005.12:439.182
1167609887,69438;976.512:536.058
1167609887,73236;1004.928:450.576
1167609887,76958;995.04:511.272
1167609887,80666;1017.216:434.16
1167609887,84377;958.464:513.81
1167609887,8841;594.144:440.586
1167609887,92154;551.136:419.472
1167609887,9614;578.496:389.502
1167609887,99825;553.344:439.722
1167609888,05232;585.216:366.39
1167609888,09099;573.408:388.962
1167609888,14015;436.896:575.154
1167609888,18681;457.056:583.794
1167609888,23012;429.024:560.25
1167609888,26624;459.744:541.296
1167609888,30853;401.184:592.758
1167609888,34414;405.504:581.094
1167609888,3857;412.224:583.254
1167609888,4224;393.888:564.246
1167609888,46413;409.632:566.028
1167609888,50192;401.664:573.48
1167609888,54223;399.552:583.254
1167609888,57949;407.328:606.906
1167609888,61671;411.648:560.952
1167609888,65317;404.16:591.192
1167609888,68994;402.816:589.788
1167609888,72569;404.256:588.438
1167609888,7634;434.784:546.966
1167609888,80197;401.76:591.408
1167609888,83943;421.728:591.786
1167609888,87694;778.368:500.958
1167609888,9137;1470.144:383.508
1167609888,95149;1435.104:449.712
1167609888,98869;1387.488:429.624
1167609889,02716;1392.384:429.138
1167609889,06976;1392.192:429.246
1167609889,10641;1396.704:454.194
1167609889,14385;1377.6:386.532
1167609889,18088;1401.6:410.886
1167609889,21793;1422.336:383.994
1167609889,25478;1405.824:390.69
1167609889,29099;1414.656:374.112
1167609889,32725;1419.648:375.192
1167609889,36361;1408.416:379.188
1167609889,40212;1411.104:380.97
1167609889,44092;1423.104:378.108
1167609889,47896;1409.664:320.868
1167609889,51709;1411.392:375.084
1167609889,55512;1407.36:378.108
1167609889,59268;1410.912:358.776
1167609889,63448;1420.32:380.754
1167609889,67246;1410.72:378.756
1167609889,71169;1362.816:152.28
1167609889,75049;1349.76:132.138
1167609889,78863;1352.832:160.326
1167609889,83087;1346.4:142.668
1167609889,86912;1347.456:152.064
1167609889,91237;628.896:209.25
1167609889,95074;409.248:223.182
1167609889,99612;418.176:219.24
1167609890,03434;441.504:228.96
1167609890,07643;422.688:224.748
1167609890,11364;413.76:213.678
1167609890,15582;400.992:97.686
1167609890,1934;359.04:55.458
1167609890,2353;359.04:65.772
1167609890,27269;
1167609890,31483;
1167609890,3569;
1167609890,3976;395.808:49.842
1167609890,43494;370.272:71.442
1167609890,47642;366.624:68.958
1167609890,51308;362.784:67.932
1167609890,54985;381.6:71.766
1167609890,58646;392.64:42.498
1167609890,62362;373.92:70.362
1167609890,66116;369.888:75.924
1167609890,6982;372.096:73.656
1167609890,73563;380.544:66.906
1167609890,77328;386.88:62.478
1167609890,81051;382.752:90.828
1167609890,84818;368.928:57.672
1167609890,88592;383.424:78.57
1167609890,92377;386.496:63.828
1167609890,96158;1256.352:149.958
1167609890,99914;1274.88:138.942
1167609891,03735;1261.344:165.24
1167609891,07649;1264.224:154.062
1167609891,11524;1272.576:166.05
1167609891,15434;1256.064:156.6
1167609891,19254;1282.656:194.832
1167609891,23054;1447.68:493.398
1167609891,26827;1452.48:525.528
1167609891,30628;1433.568:510.624
1167609891,34397;1435.392:504.792
1167609891,38466;1423.968:526.392
1167609891,4249;1432.32:506.412
1167609891,46475;1411.488:381.888
1167609891,50377;1423.296:406.512
1167609891,54178;1419.456:411.534
1167609891,58415;1419.936:391.122
1167609891,62254;1418.688:401.976
1167609891,66033;1425.6:380.916
1167609891,69909;1428.768:393.552
1167609891,73792;1474.56:484.056
1167609891,78092;1478.688:512.892
1167609891,82016;1409.664:343.548
1167609891,86342;1330.176:145.746
1167609891,90306;1338.528:167.022
1167609891,94932;1325.568:169.992
1167609891,98999;1322.496:132.948
1167609892,03454;1336.608:164.376
1167609892,0731;1616.352:182.952
1167609892,11786;1671.36:194.454
1167609892,15895;1676.928:193.158
1167609892,2029;1671.456:200.448
1167609892,24246;1674.432:193.104
1167609892,28672;1686.24:145.152
1167609892,3259;1676.736:130.356
1167609892,36915;1667.616:154.602
1167609892,40727;1672.704:143.748
1167609892,45118;1679.52:143.478
1167609892,48893;1681.728:197.316
1167609892,52887;1670.016:171.936
1167609892,56706;1677.408:179.604
1167609892,60597;1671.072:181.44
1167609892,64518;1663.776:165.564
1167609892,68432;928.32:177.498
1167609892,72345;
1167609892,76283;456.672:199.854
1167609892,79729;451.584:196.398
1167609892,83546;472.896:213.03
1167609892,87334;464.448:224.532
1167609892,91141;513.024:178.038
1167609892,94931;527.04:212.544
1167609892,98782;408.288:97.632
1167609893,02582;387.168:75.438
1167609893,0636;385.632:92.556
1167609893,10128;387.168:106.974
1167609893,13847;383.904:90.45
1167609893,17615;383.808:80.838
1167609893,21375;357.984:92.826
1167609893,2515;350.4:96.066
1167609893,28933;
1167609893,32721;
1167609893,36865;333.12:237.492
1167609893,4046;257.856:741.258
1167609893,44122;277.44:774.738
1167609893,48054;310.464:758.538
1167609893,51926;301.248:716.904
1167609893,55933;277.344:768.96
1167609893,59608;257.664:663.39
1167609893,63938;234.336:726.894
1167609893,67709;248.256:725.706
1167609893,71619;235.584:709.506
1167609893,75673;241.824:735.156
1167609893,79623;219.648:722.088
1167609893,83923;238.368:712.962
1167609893,88192;236.64:724.95
1167609893,92732;236.16:677.862
1167609893,9673;234.816:713.664
1167609894,01012;241.824:696.438
1167609894,05042;229.92:713.664
1167609894,09596;268.032:711.72
1167609894,13654;619.008:480.546
1167609894,18314;668.256:540.162
1167609894,22239;678.336:542.484
1167609894,26569;671.904:512.676
1167609894,30517;685.344:511.434
1167609894,34931;682.176:407.754
1167609894,38881;697.056:482.49
1167609894,43135;689.184:451.386
1167609894,47041;532.032:419.202
1167609894,51058;560.544:387.612
1167609894,55264;542.016:396.414
1167609894,59147;544.896:352.836
1167609894,63015;546.624:396.252
1167609894,66817;535.296:409.59
1167609894,70763;415.68:487.998
1167609894,74724;359.232:648.432
1167609894,78811;357.6:622.944
1167609894,82862;362.4:623.592
1167609894,86777;410.208:561.654
1167609894,90696;399.072:563.706
