Timestamp;GazePoint
636189761155,698;
1167609851,84985;921.504:478.224
1167609851,88748;919.296:470.394
1167609851,9205;898.368:483.516
1167609851,95925;923.808:463.482
1167609851,99339;935.424:479.25
1167609852,03158;924.768:481.41
1167609852,06512;918.912:489.024
1167609852,09891;922.368:473.04
1167609852,13269;920.832:462.672
1167609852,16609;914.4:493.074
1167609852,19989;933.696:490.212
1167609852,23381;925.44:471.042
1167609852,2683;919.104:509.868
1167609852,3026;917.856:491.832
1167609852,33663;864.864:357.534
1167609852,37123;877.92:326.916
1167609852,40542;868.8:348.03
1167609852,4397;868.992:336.258
1167609852,4735;823.68:372.222
1167609852,50743;668.256:411.156
1167609852,54138;672.192:423.306
1167609852,57615;663.744:414.126
1167609852,61072;649.92:402.678
1167609852,64516;665.472:403.812
1167609852,67996;661.824:417.042
1167609852,71415;670.08:410.346
1167609852,74876;667.872:415.152
1167609852,78316;669.696:409.914
1167609852,81796;651.648:399.708
1167609852,85269;575.52:495.99
1167609852,88728;376.224:573.642
1167609852,9216;341.088:576.18
1167609852,95718;351.552:591.138
1167609852,99185;349.92:601.29
1167609853,02649;347.04:578.232
1167609853,06113;351.168:597.942
1167609853,09582;366.432:634.392
1167609853,13279;353.376:645.408
1167609853,16739;332.256:623.376
1167609853,20283;349.824:644.49
1167609853,23813;339.072:626.832
1167609853,27287;232.896:573.048
1167609853,31288;261.408:600.912
1167609853,34867;376.224:457.056
1167609853,38708;324.384:484.002
1167609853,42842;279.072:573.372
1167609853,46838;915.36:527.85
1167609853,50199;1229.184:565.704
1167609853,542;1248.576:560.358
1167609853,57689;1242.816:553.392
1167609853,61749;1248.96:560.844
1167609853,65312;1254.528:557.55
1167609853,6927;1376.256:603.774
1167609853,72758;1262.688:563.22
1167609853,76657;523.008:456.03
1167609853,80196;450.144:459.162
1167609853,84576;452.736:457.92
1167609853,88226;461.952:458.298
1167609853,92229;462.912:456.462
1167609853,95657;446.784:463.212
1167609853,99132;462.72:462.996
1167609854,02681;461.184:474.984
1167609854,06216;462.72:458.19
1167609854,09797;445.152:484.218
1167609854,13378;321.504:466.182
1167609854,16854;331.584:466.074
1167609854,20399;340.512:465.588
1167609854,23934;314.4:458.676
1167609854,27457;322.176:494.91
1167609854,30991;340.608:468.018
1167609854,34543;149.76:548.532
1167609854,38161;179.808:523.908
1167609854,41651;271.104:377.136
1167609854,45194;242.496:304.344
1167609854,48938;246.528:513.27
1167609854,52185;242.784:516.78
1167609854,55581;305.568:634.824
1167609854,59107;276.288:602.046
1167609854,62487;291.648:595.188
1167609854,66021;298.368:606.204
1167609854,6942;301.728:621.162
1167609854,72862;297.12:628.182
1167609854,76274;291.072:621.054
1167609854,79666;295.584:611.82
1167609854,83106;236.64:407.268
1167609854,86539;242.112:393.984
1167609854,89977;263.904:418.716
1167609854,93523;233.088:424.602
1167609854,97091;253.536:415.746
1167609855,00999;307.296:671.868
1167609855,04417;297.696:641.088
1167609855,07932;295.392:632.34
1167609855,1137;300.096:635.688
1167609855,14854;306.24:628.992
1167609855,18286;300.384:645.624
1167609855,22093;314.496:643.68
1167609855,25692;302.784:623.214
1167609855,29525;330.24:650.916
1167609855,33053;285.504:436.698
1167609855,37124;272.256:445.662
1167609855,40829;281.28:400.14
1167609855,44877;272.256:439.938
1167609855,48478;286.656:471.69
1167609855,52543;273.12:433.512
1167609855,56119;281.76:439.236
1167609855,60089;331.584:372.546
1167609855,63611;311.136:358.398
1167609855,67569;285.984:443.988
1167609855,71127;342.048:221.508
1167609855,75172;309.024:233.604
1167609855,78841;314.688:210.546
1167609855,8286;321.6:227.556
1167609855,86444;311.424:230.202
1167609855,9011;317.76:229.068
1167609855,937;321.888:227.178
1167609855,97358;324.768:199.422
1167609856,01063;299.04:242.676
1167609856,04771;318.528:212.76
1167609856,08407;312.768:206.388
1167609856,11978;305.952:213.354
1167609856,15614;319.008:198.072
1167609856,19086;323.328:219.024
1167609856,22682;326.688:196.344
1167609856,26163;314.112:202.662
1167609856,29688;319.392:216.162
1167609856,33211;328.8:206.874
1167609856,36783;307.584:209.088
1167609856,40355;
1167609856,44056;
1167609856,47572;
1167609856,51091;
1167609856,54567;
1167609856,58149;
1167609856,61809;
1167609856,65387;
1167609856,68927;
1167609856,72662;
1167609856,76195;
1167609856,79786;
1167609856,8339;
1167609856,86916;
1167609856,90914;
1167609856,9456;
1167609856,98207;
1167609857,01795;
