Timestamp;GazePoint
636189763527,234;
1167610088,95127;880.128:506.25
1167610088,98716;879.84:507.006
1167610089,02344;884.64:509.652
1167610089,05908;884.256:514.728
1167610089,09542;878.4:513.216
1167610089,13091;879.744:504.738
1167610089,16639;881.664:513.0
1167610089,20114;887.328:505.872
1167610089,23553;879.264:502.794
1167610089,27059;887.808:507.654
1167610089,3054;507.84:460.35
1167610089,34023;489.312:474.606
1167610089,37612;499.872:465.588
1167610089,41184;495.264:470.664
1167610089,44729;502.368:476.28
1167610089,48308;495.168:466.02
1167610089,51976;486.432:468.828
1167610089,55569;565.44:523.422
1167610089,59234;575.136:517.212
1167610089,62813;575.904:521.154
1167610089,66768;577.44:525.15
1167610089,7034;574.464:525.366
1167610089,73946;612.096:519.426
1167610089,77539;609.792:501.39
1167610089,81171;609.408:496.098
1167610089,84766;608.256:490.698
1167610089,88709;577.92:362.232
1167610089,92407;582.336:374.112
1167610089,96477;605.568:367.416
1167610090,00191;583.488:380.538
1167610090,04762;582.624:363.96
1167610090,08689;603.168:372.114
1167610090,12816;609.312:355.212
1167610090,16969;614.496:359.856
1167610090,21644;607.968:363.042
1167610090,25949;620.352:357.372
1167610090,3054;619.488:358.398
1167610090,34665;620.928:367.092
1167610090,39087;628.8:378.378
1167610090,43348;623.328:365.256
1167610090,48012;636.768:368.442
1167610090,52146;608.16:370.872
1167610090,5667;637.44:362.988
1167610090,61506;625.344:369.09
1167610090,65642;632.832:373.842
1167610090,69771;633.6:369.306
1167610090,73898;639.744:445.392
1167610090,78066;678.048:639.63
1167610090,82358;671.04:646.164
1167610090,86687;659.616:658.8
1167610090,90843;671.712:647.082
1167610090,95054;674.688:644.004
1167610090,99265;682.08:645.948
1167610091,0346;662.112:661.23
1167610091,07674;674.304:639.522
1167610091,12841;696.576:631.962
1167610091,17072;695.328:619.272
1167610091,21425;693.024:623.322
1167610091,25721;684.192:619.164
1167610091,29942;688.608:623.592
1167610091,3426;688.416:623.214
1167610091,38531;690.528:616.41
1167610091,42892;623.232:364.986
1167610091,47322;632.928:390.366
1167610091,51679;645.12:383.076
1167610091,56089;647.328:391.446
1167610091,6054;645.216:392.904
1167610091,6568;639.168:378.432
1167610091,70331;618.624:384.966
1167610091,74742;636.096:377.838
1167610091,80216;1081.248:345.114
1167610091,85008;1407.936:368.064
1167610091,89383;1375.968:370.278
1167610091,9435;1410.24:373.032
1167610091,98673;1392.288:380.214
1167610092,03606;1421.856:273.186
1167610092,07878;1413.216:289.386
1167610092,12735;1409.952:289.008
1167610092,16929;1385.184:295.65
1167610092,21762;1279.872:478.278
1167610092,26132;1163.616:642.6
1167610092,30754;1154.016:634.986
1167610092,34971;1150.944:628.02
1167610092,39539;1146.144:636.876
1167610092,43738;1154.4:625.968
1167610092,4828;1149.408:635.148
1167610092,5239;1139.52:640.98
1167610092,56869;1136.448:634.014
1167610092,60841;1146.432:618.678
1167610092,64762;1154.496:603.828
1167610092,68769;1118.304:564.84
1167610092,72685;1136.736:567.756
1167610092,77382;1146.912:557.334
1167610092,81308;1130.016:564.408
1167610092,85197;1156.32:563.868
1167610092,89116;1152.48:568.89
1167610092,92966;1169.28:560.898
1167610092,96865;1133.664:580.608
1167610093,00875;1159.2:560.142
1167610093,0548;974.688:109.62
1167610093,0953;
1167610093,13829;979.68:141.966
1167610093,1772;985.824:139.104
1167610093,21763;987.264:128.304
1167610093,25849;976.704:124.848
1167610093,29862;1169.76:611.226
1167610093,33916;1226.4:640.386
1167610093,39123;1224.768:654.696
1167610093,43156;1228.896:627.912
1167610093,47227;1221.312:631.854
1167610093,51437;1215.36:620.406
1167610093,55615;1416.864:811.512
1167610093,59617;1442.4:783.108
1167610093,63896;1392.576:819.342
1167610093,68208;1425.312:808.11
1167610093,72124;1497.792:529.2
1167610093,76088;1473.888:253.422
1167610093,80177;1460.64:248.022
1167610093,84724;1474.08:248.724
1167610093,89172;1468.992:243.27
1167610093,94418;1474.56:249.588
1167610093,9861;1414.656:292.518
1167610094,03375;1418.784:298.674
1167610094,0756;1428.768:293.49
1167610094,12167;1427.04:297.702
1167610094,16295;1420.704:291.06
1167610094,21116;1421.472:302.616
1167610094,25386;680.064:314.82
1167610094,30084;308.064:269.838
1167610094,34308;310.176:284.364
1167610094,3893;354.624:279.504
1167610094,43137;
1167610094,48205;354.624:276.642
1167610094,52447;361.056:259.632
1167610094,57097;
1167610094,61305;480.768:870.804
1167610094,65523;
1167610094,69682;
1167610094,73846;
1167610094,77863;
1167610094,81825;806.784:719.226
1167610094,86022;784.128:737.748
1167610094,90127;788.256:744.984
1167610094,94449;783.648:744.444
1167610094,98625;781.152:739.368
1167610095,02634;895.392:869.13
1167610095,06716;887.616:854.388
1167610095,10838;898.656:848.88
1167610095,14835;874.752:878.526
1167610095,18861;865.632:877.014
1167610095,22747;876.288:878.418
