Timestamp;Action;ActionArgs;LeftEye;RightEye
9786,10274;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609786,14527;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609786,18784;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609786,22471;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609786,26726;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609786,30574;EyeTracking;BothEyesTracked;[0,2031,0,1613];[0,1591,0,2262]
1167609786,34695;EyeTracking;BothEyesTracked;[0,1862,0,1833];[0,1778,0,2437]
1167609786,40913;EyeTracking;BothEyesTracked;[0,1858,0,1708];[0,1515,0,2309]
1167609786,45317;EyeTracking;BothEyesTracked;[0,1966,0,1670];[0,1611,0,2085]
1167609786,51793;EyeTracking;BothEyesTracked;[0,1688,0,2359];[0,1631,0,2351]
1167609786,58181;EyeTracking;BothEyesTracked;[0,1727,0,2706];[0,1665,0,2524]
1167609786,63687;EyeTracking;BothEyesTracked;[0,1667,0,2692];[0,1618,0,2480]
1167609786,69318;EyeTracking;BothEyesTracked;[0,1689,0,2586];[-0,0380,0,5795]
1167609786,74895;EyeTracking;BothEyesTracked;[0,1726,0,2645];[0,2165,0,1282]
1167609786,80643;EyeTracking;BothEyesTracked;[0,2406,0,4594];[0,2625,0,4707]
1167609786,8632;EyeTracking;BothEyesTracked;[0,2469,0,5049];[0,2672,0,5215]
1167609786,92493;EyeTracking;BothEyesTracked;[0,2437,0,5133];[0,2561,0,3991]
1167609786,98133;EyeTracking;BothEyesTracked;[0,2593,0,4752];[0,2736,0,5095]
1167609787,03973;EyeTracking;BothEyesTracked;[0,2558,0,4909];[0,2726,0,4892]
1167609787,09931;EyeTracking;BothEyesTracked;[0,2524,0,4764];[0,2510,0,4416]
1167609787,15651;EyeTracking;BothEyesTracked;[0,2526,0,4766];[0,2689,0,4989]
1167609787,20345;EyeTracking;BothEyesTracked;[0,2574,0,4867];[0,2661,0,4840]
1167609787,2625;EyeTracking;BothEyesTracked;[0,2622,0,4748];[0,2663,0,4766]
1167609787,3195;EyeTracking;BothEyesTracked;[0,2625,0,4820];[0,2618,0,4776]
1167609787,37906;EyeTracking;BothEyesTracked;[0,2607,0,4811];[0,2600,0,4810]
1167609787,43438;EyeTracking;BothEyesTracked;[0,2817,0,4739];[0,2365,0,4486]
1167609787,49693;EyeTracking;BothEyesTracked;[0,2787,0,4496];[0,2413,0,4549]
1167609787,53554;EyeTracking;BothEyesTracked;[0,2839,0,4836];[0,2375,0,4455]
1167609787,57491;EyeTracking;BothEyesTracked;[0,2829,0,4471];[0,2440,0,4609]
1167609787,61012;EyeTracking;BothEyesTracked;[0,2821,0,4738];[0,2383,0,4237]
1167609787,65038;EyeTracking;BothEyesTracked;[0,2778,0,4539];[0,2425,0,4404]
1167609787,68673;EyeTracking;BothEyesTracked;[0,2725,0,4497];[0,2374,0,4258]
1167609787,72559;EyeTracking;BothEyesTracked;[0,2855,0,4451];[0,2358,0,4295]
1167609787,76143;EyeTracking;BothEyesTracked;[0,2872,0,3067];[0,2352,0,3911]
1167609787,7998;EyeTracking;BothEyesTracked;[0,2872,0,4247];[0,2215,0,4318]
1167609787,84193;EyeTracking;BothEyesTracked;[0,2818,0,4359];[0,2306,0,3813]
1167609787,8815;EyeTracking;BothEyesTracked;[0,2793,0,4144];[0,2332,0,4203]
1167609787,91676;EyeTracking;BothEyesTracked;[0,3001,0,4626];[0,2369,0,3848]
1167609787,95488;EyeTracking;BothEyesTracked;[0,2753,0,4033];[0,2365,0,3905]
1167609787,9889;EyeTracking;BothEyesTracked;[0,2838,0,4373];[0,2355,0,3981]
1167609788,02406;EyeTracking;BothEyesTracked;[0,2855,0,4313];[0,2408,0,4513]
1167609788,05885;EyeTracking;BothEyesTracked;[0,2827,0,4425];[0,2401,0,4147]
1167609788,0932;EyeTracking;BothEyesTracked;[0,2846,0,4296];[0,2427,0,4093]
1167609788,12844;EyeTracking;BothEyesTracked;[0,2817,0,4653];[0,2418,0,4098]
1167609788,16423;EyeTracking;BothEyesTracked;[0,2854,0,4371];[0,2338,0,4125]
1167609788,19919;EyeTracking;BothEyesTracked;[0,2895,0,4352];[0,2313,0,4071]
1167609788,23377;EyeTracking;BothEyesTracked;[0,2777,0,4375];[0,2318,0,4042]
1167609788,26974;EyeTracking;BothEyesTracked;[0,2660,0,4373];[0,2191,0,4449]
1167609788,30407;EyeTracking;BothEyesTracked;[0,2469,0,4151];[0,2074,0,4551]
1167609788,34013;EyeTracking;BothEyesTracked;[0,2481,0,4340];[0,2175,0,4415]
1167609788,37612;EyeTracking;BothEyesTracked;[0,2630,0,4624];[0,2103,0,4391]
1167609788,4116;EyeTracking;BothEyesTracked;[0,2622,0,4532];[0,2253,0,4134]
1167609788,44778;EyeTracking;BothEyesTracked;[0,2585,0,4476];[0,2107,0,4206]
1167609788,48326;EyeTracking;BothEyesTracked;[0,2655,0,4287];[0,2103,0,4399]
1167609788,51899;EyeTracking;BothEyesTracked;[0,2558,0,4676];[0,2137,0,4603]
1167609788,55449;EyeTracking;BothEyesTracked;[0,2567,0,4397];[0,2165,0,4683]
1167609788,59007;EyeTracking;BothEyesTracked;[0,2597,0,4356];[0,2175,0,4612]
1167609788,62557;EyeTracking;BothEyesTracked;[0,2531,0,4347];[0,2129,0,4567]
1167609788,66171;EyeTracking;BothEyesTracked;[0,2579,0,4359];[0,2239,0,4462]
1167609788,69808;EyeTracking;BothEyesTracked;[0,2640,0,4390];[0,2149,0,4358]
1167609788,73415;EyeTracking;BothEyesTracked;[0,2631,0,4569];[0,2120,0,4317]
1167609788,77013;EyeTracking;BothEyesTracked;[0,2537,0,4665];[0,2244,0,4628]
1167609788,80652;EyeTracking;BothEyesTracked;[0,2560,0,4425];[0,2177,0,4395]
1167609788,84284;EyeTracking;BothEyesTracked;[0,2584,0,4545];[0,2291,0,4878]
1167609788,87946;EyeTracking;BothEyesTracked;[0,2498,0,4111];[0,2198,0,4459]
1167609788,91597;EyeTracking;BothEyesTracked;[0,2570,0,4510];[0,2124,0,4978]
1167609788,95276;EyeTracking;BothEyesTracked;[0,2491,0,4178];[0,2292,0,4479]
1167609788,98931;EyeTracking;BothEyesTracked;[0,2507,0,4486];[0,2199,0,4639]
1167609789,02536;EyeTracking;BothEyesTracked;[0,2536,0,4597];[0,2113,0,4489]
1167609789,06562;EyeTracking;BothEyesTracked;[0,2481,0,4460];[0,2281,0,4509]
1167609789,10209;EyeTracking;BothEyesTracked;[0,2513,0,4392];[0,2335,0,4733]
1167609789,13855;EyeTracking;BothEyesTracked;[0,2512,0,4278];[0,2201,0,4353]
1167609789,17585;EyeTracking;BothEyesTracked;[0,2488,0,4555];[0,2140,0,4165]
1167609789,2137;EyeTracking;BothEyesTracked;[0,2561,0,4693];[0,2269,0,4314]
1167609789,25491;EyeTracking;BothEyesTracked;[0,2645,0,4183];[0,2357,0,4273]
1167609789,29352;EyeTracking;BothEyesTracked;[0,2472,0,4681];[0,2189,0,4395]
1167609789,33513;EyeTracking;BothEyesTracked;[0,2509,0,4418];[0,2314,0,4394]
1167609789,37269;EyeTracking;BothEyesTracked;[0,2472,0,4594];[0,2253,0,4303]
1167609789,41679;EyeTracking;BothEyesTracked;[0,2458,0,4496];[0,2329,0,4246]
1167609789,45607;EyeTracking;BothEyesTracked;[0,2456,0,4459];[0,2309,0,4265]
1167609789,49883;EyeTracking;BothEyesTracked;[0,2498,0,4442];[0,2305,0,4451]
1167609789,53709;EyeTracking;BothEyesTracked;[0,2480,0,4418];[0,2389,0,4503]
1167609789,58176;EyeTracking;BothEyesTracked;[0,2406,0,4538];[0,2316,0,4338]
1167609789,62051;EyeTracking;BothEyesTracked;[0,2482,0,4435];[0,2262,0,4402]
1167609789,66371;EyeTracking;BothEyesTracked;[0,2434,0,4580];[0,2460,0,3799]
1167609789,70245;EyeTracking;BothEyesTracked;[0,2415,0,4402];[0,2390,0,4328]
1167609789,74434;EyeTracking;BothEyesTracked;[0,2438,0,4419];[0,2371,0,4254]
1167609789,78329;EyeTracking;BothEyesTracked;[0,2462,0,4452];[0,2396,0,4069]
1167609789,82556;EyeTracking;BothEyesTracked;[0,2500,0,4420];[0,2361,0,4210]
1167609789,86379;EyeTracking;BothEyesTracked;[0,2545,0,4335];[0,2373,0,4406]
1167609789,90412;EyeTracking;BothEyesTracked;[0,2471,0,4410];[0,2325,0,4289]
1167609789,9405;EyeTracking;BothEyesTracked;[0,2446,0,4437];[0,2386,0,3467]
1167609789,97806;EyeTracking;BothEyesTracked;[0,2408,0,4371];[0,2372,0,4277]
1167609790,0152;EyeTracking;BothEyesTracked;[0,2440,0,4263];[0,2379,0,4279]
1167609790,05222;EyeTracking;BothEyesTracked;[0,2513,0,4420];[0,2422,0,4052]
1167609790,08929;EyeTracking;BothEyesTracked;[0,2451,0,4340];[0,2346,0,4294]
1167609790,12652;EyeTracking;BothEyesTracked;[0,2546,0,4469];[0,2380,0,4290]
1167609790,1636;EyeTracking;BothEyesTracked;[0,2514,0,4539];[0,2464,0,4574]
1167609790,20065;EyeTracking;BothEyesTracked;[0,2494,0,4349];[0,2328,0,4154]
1167609790,23753;EyeTracking;BothEyesTracked;[0,2605,0,4219];[0,2347,0,4163]
1167609790,27511;EyeTracking;BothEyesTracked;[0,2551,0,4507];[0,2338,0,4465]
1167609790,31195;EyeTracking;BothEyesTracked;[0,2499,0,4209];[0,2341,0,3935]
1167609790,34927;EyeTracking;BothEyesTracked;[0,2505,0,4521];[0,2443,0,4339]
1167609790,38634;EyeTracking;BothEyesTracked;[0,2579,0,4460];[0,2459,0,4587]
1167609790,42365;EyeTracking;BothEyesTracked;[0,2488,0,4585];[0,2347,0,4138]
1167609790,46113;EyeTracking;BothEyesTracked;[0,2442,0,4598];[0,2316,0,4190]
1167609790,49943;EyeTracking;BothEyesTracked;[0,2451,0,4519];[0,2288,0,4210]
1167609790,53664;EyeTracking;BothEyesTracked;[0,2467,0,4465];[0,2433,0,3784]
1167609790,57409;EyeTracking;BothEyesTracked;[0,2409,0,3986];[0,2367,0,4319]
1167609790,61097;EyeTracking;BothEyesTracked;[0,2450,0,4615];[0,2425,0,4408]
1167609790,64899;EyeTracking;BothEyesTracked;[0,2469,0,4420];[0,2388,0,4066]
1167609790,68753;EyeTracking;BothEyesTracked;[0,3749,0,4793];[0,4288,0,4841]
1167609790,72537;EyeTracking;BothEyesTracked;[0,4977,0,4912];[0,5134,0,4546]
1167609790,76267;EyeTracking;BothEyesTracked;[0,4992,0,5012];[0,5228,0,4426]
1167609790,79955;EyeTracking;BothEyesTracked;[0,4936,0,5109];[0,5191,0,4317]
1167609790,83674;EyeTracking;BothEyesTracked;[0,5034,0,4757];[0,5212,0,4375]
1167609790,87393;EyeTracking;BothEyesTracked;[0,5274,0,5302];[0,5471,0,5328]
1167609790,91141;EyeTracking;BothEyesTracked;[0,5213,0,5425];[0,5446,0,4908]
1167609790,94906;EyeTracking;BothEyesTracked;[0,5235,0,5437];[0,5412,0,4778]
1167609790,99012;EyeTracking;BothEyesTracked;[0,5278,0,5479];[0,5454,0,5023]
1167609791,02738;EyeTracking;BothEyesTracked;[0,5264,0,5371];[0,5403,0,4895]
1167609791,06446;EyeTracking;BothEyesTracked;[0,5327,0,5383];[0,5393,0,5071]
1167609791,10178;EyeTracking;BothEyesTracked;[0,5312,0,5397];[0,5322,0,5354]
1167609791,1389;EyeTracking;BothEyesTracked;[0,5304,0,5337];[0,5478,0,4853]
1167609791,17536;EyeTracking;BothEyesTracked;[0,5386,0,5878];[0,5369,0,5201]
1167609791,21579;EyeTracking;BothEyesTracked;[0,5390,0,5717];[0,5283,0,5421]
1167609791,25253;EyeTracking;BothEyesTracked;[0,5486,0,5563];[0,5237,0,5334]
1167609791,29209;EyeTracking;BothEyesTracked;[0,5432,0,5803];[0,5335,0,5531]
1167609791,32828;EyeTracking;BothEyesTracked;[0,5426,0,5674];[0,5357,0,5054]
1167609791,36925;EyeTracking;BothEyesTracked;[0,5493,0,5729];[0,5329,0,5325]
1167609791,40514;EyeTracking;BothEyesTracked;[0,5549,0,5473];[0,5243,0,5428]
1167609791,44478;EyeTracking;BothEyesTracked;[0,5560,0,5608];[0,5177,0,5603]
1167609791,48073;EyeTracking;BothEyesTracked;[0,3333,0,5741];[0,3049,0,5565]
1167609791,52296;EyeTracking;BothEyesTracked;[0,2808,0,5654];[0,2377,0,5606]
1167609791,56;EyeTracking;BothEyesTracked;[0,2840,0,5868];[0,2312,0,5487]
1167609791,60087;EyeTracking;BothEyesTracked;[0,2764,0,5750];[0,2373,0,5550]
1167609791,63723;EyeTracking;BothEyesTracked;[0,2921,0,5906];[0,2271,0,5477]
1167609791,67686;EyeTracking;BothEyesTracked;[0,2837,0,5645];[0,2316,0,5799]
1167609791,71482;EyeTracking;BothEyesTracked;[0,2838,0,5699];[0,2385,0,5551]
1167609791,75543;EyeTracking;BothEyesTracked;[0,2786,0,5863];[0,2372,0,5790]
1167609791,79261;EyeTracking;BothEyesTracked;[0,2789,0,5806];[0,2393,0,5466]
1167609791,83217;EyeTracking;BothEyesTracked;[0,2832,0,5652];[0,2314,0,5368]
1167609791,8674;EyeTracking;BothEyesTracked;[0,2841,0,5685];[0,2383,0,5353]
1167609791,90258;EyeTracking;BothEyesTracked;[0,2826,0,5615];[0,2426,0,5498]
1167609791,9382;EyeTracking;BothEyesTracked;[0,2771,0,5948];[0,2322,0,5281]
1167609791,97369;EyeTracking;BothEyesTracked;[0,2806,0,5541];[0,2336,0,5443]
1167609792,00914;EyeTracking;BothEyesTracked;[0,2811,0,5742];[0,2301,0,5430]
1167609792,04458;EyeTracking;BothEyesTracked;[0,2785,0,5740];[0,2435,0,5613]
1167609792,08135;EyeTracking;BothEyesTracked;[0,2753,0,5974];[0,2353,0,5310]
1167609792,11922;EyeTracking;BothEyesTracked;[0,2830,0,5810];[0,2502,0,5630]
1167609792,15714;EyeTracking;BothEyesTracked;[0,2721,0,5742];[0,2460,0,5583]
1167609792,19436;EyeTracking;BothEyesTracked;[0,2736,0,5519];[0,2348,0,5671]
1167609792,2324;EyeTracking;BothEyesTracked;[0,2684,0,5794];[0,2378,0,5334]
1167609792,26949;EyeTracking;BothEyesTracked;[0,2763,0,5742];[0,2440,0,5493]
1167609792,30999;EyeTracking;BothEyesTracked;[0,2694,0,5831];[0,2527,0,5486]
1167609792,34807;EyeTracking;BothEyesTracked;[0,2766,0,5800];[0,2336,0,5442]
1167609792,38576;EyeTracking;BothEyesTracked;[0,2765,0,5591];[0,2505,0,5517]
1167609792,42409;EyeTracking;BothEyesTracked;[0,2775,0,5687];[0,2406,0,5933]
1167609792,4622;EyeTracking;BothEyesTracked;[0,2750,0,5913];[0,2414,0,5585]
1167609792,50053;EyeTracking;BothEyesTracked;[0,2858,0,5829];[0,2484,0,5623]
1167609792,53899;EyeTracking;BothEyesTracked;[0,2716,0,5722];[0,2608,0,5640]
1167609792,57789;EyeTracking;BothEyesTracked;[0,2836,0,5780];[0,2628,0,5672]
1167609792,61626;EyeTracking;BothEyesTracked;[0,2825,0,5552];[0,2519,0,5534]
1167609792,65431;EyeTracking;BothEyesTracked;[0,2792,0,5909];[0,2520,0,5551]
1167609792,69254;EyeTracking;BothEyesTracked;[0,2747,0,5964];[0,2507,0,5243]
1167609792,73073;EyeTracking;BothEyesTracked;[0,2697,0,5618];[0,2465,0,5565]
1167609792,76834;EyeTracking;BothEyesTracked;[0,2825,0,5488];[0,2556,0,5659]
1167609792,80658;EyeTracking;BothEyesTracked;[0,2760,0,5636];[0,2451,0,5651]
1167609792,84445;EyeTracking;BothEyesTracked;[0,2806,0,5644];[0,2556,0,5335]
1167609792,88237;EyeTracking;BothEyesTracked;[0,2740,0,5712];[0,2510,0,5813]
1167609792,92423;EyeTracking;BothEyesTracked;[0,2763,0,5781];[0,2593,0,5434]
1167609792,96221;EyeTracking;BothEyesTracked;[0,2671,0,5681];[0,2534,0,5365]
1167609793,00033;EyeTracking;BothEyesTracked;[0,2753,0,5689];[0,2518,0,5758]
1167609793,03833;EyeTracking;BothEyesTracked;[0,2756,0,5511];[0,2506,0,5656]
1167609793,0764;EyeTracking;BothEyesTracked;[0,2716,0,5769];[0,2529,0,5492]
