Timestamp;GazePoint
636189740716,604;
1167610095,16957;920.16:531.144
1167610095,20545;903.744:567.324
1167610095,24112;900.096:564.894
1167610095,27747;920.928:561.222
1167610095,3142;929.088:529.308
1167610095,35115;917.568:543.456
1167610095,38812;926.496:546.048
1167610095,42594;921.888:565.434
1167610095,4636;900.864:538.596
1167610095,50076;962.304:604.26
1167610095,53655;970.08:603.288
1167610095,57306;1012.224:591.894
1167610095,61039;977.28:596.16
1167610095,6486;1007.328:605.394
1167610095,68422;981.408:596.214
1167610095,72012;1017.888:616.248
1167610095,75583;1014.528:602.316
1167610095,79193;955.968:604.422
1167610095,83159;950.592:597.942
1167610095,86821;1182.144:652.32
1167610095,90845;1249.152:703.944
1167610095,9453;1234.752:674.028
1167610095,98721;1226.4:673.11
1167610096,02423;1216.032:682.29
1167610096,06526;1248.672:661.986
1167610096,1012;1222.464:681.75
1167610096,14262;1312.8:431.622
1167610096,17946;1307.328:401.058
1167610096,22069;1316.448:406.944
1167610096,2577;1336.128:427.518
1167610096,29836;1320.672:396.792
1167610096,3359;1156.224:493.776
1167610096,37743;1142.784:479.952
1167610096,41527;1167.264:473.418
1167610096,45544;1156.128:468.18
1167610096,49209;1149.888:481.086
1167610096,5289;1053.696:613.332
1167610096,5658;1059.36:617.706
1167610096,60297;1042.464:617.76
1167610096,63958;1083.744:620.784
1167610096,6763;1058.304:623.214
1167610096,71339;1048.224:621.81
1167610096,74997;391.968:283.338
1167610096,78668;384.288:291.6
1167610096,82449;419.04:299.106
1167610096,8616;431.136:315.306
1167610096,89887;414.048:277.938
1167610096,93614;439.488:320.058
1167610096,97354;431.904:319.572
1167610097,0111;360.48:324.108
1167610097,05516;202.464:279.936
1167610097,09276;196.608:290.412
1167610097,13033;206.208:258.39
1167610097,16809;233.952:280.368
1167610097,20593;252.96:420.39
1167610097,24361;268.992:510.786
1167610097,28152;248.544:513.378
1167610097,31935;252.192:498.042
1167610097,35736;263.616:513.486
1167610097,39565;340.32:601.074
1167610097,43377;339.36:607.662
1167610097,4716;349.92:621.162
1167610097,5099;337.728:606.366
1167610097,55236;293.856:575.748
1167610097,59054;295.2:624.294
1167610097,62834;570.432:590.598
1167610097,66675;628.608:581.202
1167610097,70474;633.216:579.636
1167610097,74642;608.352:581.85
1167610097,7858;600.672:623.484
1167610097,82861;608.928:587.25
1167610097,8678;497.472:729.216
1167610097,9191;486.048:835.65
1167610097,95885;488.256:820.422
1167610098,00181;467.904:800.442
1167610098,04047;450.144:804.438
1167610098,08478;466.56:842.346
1167610098,12378;513.312:844.236
1167610098,16706;792.48:824.202
1167610098,20589;816.096:826.848
1167610098,2491;814.176:820.53
1167610098,28863;796.032:825.12
1167610098,33313;784.896:826.578
1167610098,37215;613.248:833.868
1167610098,41609;443.712:849.042
1167610098,45412;447.744:840.402
1167610098,49548;436.032:840.024
1167610098,53316;442.464:855.468
1167610098,57038;577.152:451.386
1167610098,60809;641.184:349.326
1167610098,6464;633.6:357.102
1167610098,6841;621.888:380.808
1167610098,72172;635.04:407.7
1167610098,7593;621.504:387.666
1167610098,79691;624.384:391.878
1167610098,83428;639.456:393.228
1167610098,8719;554.784:280.044
1167610098,90939;
1167610098,94768;
1167610098,97506;529.152:202.716
1167610099,00288;545.664:196.128
1167610099,03974;529.344:193.752
1167610099,07846;535.776:194.994
1167610099,11625;542.4:197.694
1167610099,15414;533.28:192.564
1167610099,19235;513.024:184.194
1167610099,2302;516.48:174.042
1167610099,268;522.144:175.824
1167610099,30667;517.536:165.78
1167610099,34528;507.36:169.506
1167610099,38422;547.68:185.544
1167610099,42349;528.864:173.988
1167610099,46315;528.096:187.866
1167610099,50643;525.408:181.872
1167610099,54542;539.424:194.94
1167610099,5854;523.296:198.234
1167610099,62517;530.688:193.644
