Timestamp;GazePoint
636189738174,999;
1167609841,07015;995.52:548.532
1167609841,10579;976.032:553.878
1167609841,14138;964.224:547.236
1167609841,17712;1020.48:575.478
1167609841,21291;989.568:555.93
1167609841,24851;985.632:551.016
1167609841,28419;985.92:573.048
1167609841,31987;974.304:556.47
1167609841,35558;989.952:581.148
1167609841,39223;697.632:546.426
1167609841,42786;661.632:542.916
1167609841,46358;654.624:534.06
1167609841,49922;677.76:550.044
1167609841,53491;674.592:545.778
1167609841,57057;647.616:540.702
1167609841,60612;635.52:545.454
1167609841,64528;639.072:541.728
1167609841,68054;645.984:538.326
1167609841,71609;656.928:535.356
1167609841,7518;613.44:527.526
1167609841,78733;569.952:487.026
1167609841,8273;609.12:484.542
1167609841,86369;589.728:470.34
1167609841,903;600.672:472.176
1167609841,93845;615.744:491.4
1167609841,97956;610.656:503.982
1167609842,01589;599.136:484.488
1167609842,05519;604.704:473.472
1167609842,09066;645.216:491.022
1167609842,13215;1388.256:450.468
1167609842,16822;1421.088:463.968
1167609842,21017;1390.08:460.08
1167609842,24647;1405.92:468.666
1167609842,28628;1398.912:475.632
1167609842,32171;1471.584:500.364
1167609842,36206;1450.752:493.614
1167609842,3987;1478.88:484.434
1167609842,43859;1466.112:486.702
1167609842,47421;1461.6:489.24
1167609842,51042;1476.768:469.368
1167609842,54674;1436.64:435.726
1167609842,58312;1440.864:437.994
1167609842,61945;1424.064:431.406
1167609842,65589;1421.568:458.082
1167609842,69241;1437.6:428.058
1167609842,72911;1454.208:432.486
1167609842,76574;1432.992:423.576
1167609842,80265;1433.088:436.86
1167609842,8394;
1167609842,87596;
1167609842,90134;
1167609842,92745;
1167609842,95325;
1167609842,97909;721.92:747.63
1167609843,02737;
1167609843,06514;642.336:474.066
1167609843,0875;660.096:454.896
1167609843,12408;643.68:467.154
1167609843,16151;584.16:476.01
1167609843,1984;562.656:460.134
1167609843,23512;564.96:470.61
1167609843,27209;536.928:477.63
1167609843,30923;556.32:465.588
1167609843,34657;569.184:490.482
1167609843,38374;561.984:481.356
1167609843,42098;580.512:498.582
1167609843,45812;418.848:653.778
1167609843,49534;425.856:659.934
1167609843,53621;396.48:683.586
1167609843,5734;429.024:668.898
1167609843,61084;434.976:666.144
1167609843,64827;466.848:619.704
1167609843,68564;445.824:611.388
1167609843,72667;462.912:617.49
1167609843,76495;434.016:626.832
1167609843,80683;436.416:601.128
1167609843,84507;539.712:605.124
1167609843,88843;1518.624:355.698
1167609843,92676;1479.648:364.392
1167609843,97066;1492.128:378.108
1167609844,00852;1470.624:378.864
1167609844,0517;1459.584:378.108
1167609844,09013;1489.728:279.45
1167609844,13208;1459.104:160.38
1167609844,17006;1456.416:182.574
1167609844,20843;1448.256:195.858
1167609844,25062;1438.56:193.212
1167609844,28909;1446.048:177.498
1167609844,3318;1468.416:190.836
1167609844,36995;1458.912:185.004
1167609844,41243;963.072:667.926
1167609844,44941;942.912:841.59
1167609844,48841;923.424:832.626
1167609844,52612;943.968:836.136
1167609844,56369;958.272:842.508
1167609844,60214;927.456:820.584
1167609844,64061;811.296:798.876
1167609844,67898;848.352:783.324
1167609844,71733;860.928:758.484
1167609844,75498;897.12:738.45
1167609844,79269;912.0:629.64
1167609844,83038;952.32:651.456
1167609844,86818;942.912:617.166
1167609844,90589;919.488:642.114
1167609844,94354;912.672:641.196
1167609844,9812;921.696:644.328
1167609845,01907;684.192:895.914
1167609845,05661;558.72:989.55
1167609845,09469;576.576:981.936
1167609845,13214;506.4:976.05
1167609845,16981;579.072:981.774
1167609845,20729;501.6:914.49
1167609845,24482;496.512:916.38
1167609845,28214;499.296:891.54
1167609845,31958;520.608:904.284
1167609845,3583;514.176:913.086
1167609845,39593;482.688:913.14
1167609845,43345;612.864:818.478
1167609845,47105;696.096:586.71
1167609845,51317;668.928:582.012
1167609845,55061;657.984:591.246
1167609845,5884;647.04:600.318
1167609845,62593;659.424:612.414
1167609845,66341;575.04:540.108
1167609845,70486;558.528:455.76
1167609845,74315;542.688:452.52
1167609845,78505;564.0:455.274
1167609845,82333;573.408:441.936
1167609845,86687;576.192:450.306
1167609845,90536;598.08:452.304
1167609845,94732;566.784:437.4
1167609845,9853;587.616:454.086
1167609846,02888;575.712:461.16
1167609846,06759;548.16:439.236
1167609846,11011;600.288:460.782
1167609846,14814;500.352:182.034
1167609846,19047;475.872:157.734
1167609846,22929;489.312:205.848
1167609846,27264;475.68:179.82
1167609846,31132;499.2:176.526
1167609846,35412;498.144:186.3
1167609846,3916;436.416:124.902
1167609846,42989;435.84:108.486
1167609846,46888;448.704:98.28
1167609846,50747;479.808:102.978
1167609846,55336;431.232:95.256
1167609846,59266;440.544:125.442
1167609846,63194;425.952:119.448
1167609846,67114;425.76:117.396
1167609846,71032;414.24:133.974
1167609846,74927;432.672:138.834
1167609846,78813;437.856:136.458
1167609846,82737;440.448:118.8
1167609846,86676;421.248:125.28
1167609846,90589;426.72:113.022
1167609846,94541;448.224:104.49
1167609846,98515;1455.552:117.774
1167609847,02433;1499.52:126.792
1167609847,06623;1483.296:133.272
1167609847,10607;1450.368:151.362
1167609847,14543;1486.464:136.35
1167609847,18482;1489.92:35.1
1167609847,22448;1518.912:45.252
1167609847,27109;1500.96:42.498
1167609847,31079;1502.208:47.898
1167609847,35049;1504.416:71.658
1167609847,39033;1503.36:65.394
1167609847,43395;1487.808:93.636
1167609847,47343;1531.968:53.406
1167609847,51317;1518.912:80.19
1167609847,55317;
1167609847,59309;1552.416:651.834
1167609847,62097;1519.968:692.172
1167609847,66427;1513.248:654.48
1167609847,70484;1510.272:678.24
1167609847,74953;1539.264:651.24
1167609847,7902;1500.576:597.024
1167609847,8375;1497.216:457.974
1167609847,87848;1491.072:455.004
1167609847,9252;1508.544:456.678
1167609847,97494;1502.4:466.344
1167609848,02234;1476.0:471.96
1167609848,06442;1549.536:818.748
1167609848,10989;1505.28:950.292
1167609848,15111;1475.328:952.236
1167609848,19482;1475.712:941.868
1167609848,23536;1433.28:992.682
1167609848,28119;1483.296:961.956
1167609848,32626;1521.888:943.92
1167609848,37131;1489.248:943.272
1167609848,41509;1491.36:936.306
1167609848,45896;1459.68:939.546
1167609848,49844;1491.936:931.662
1167609848,54225;1474.08:964.44
1167609848,5862;1486.56:952.884
1167609848,63065;1456.8:931.122
1167609848,67162;1443.456:949.806
1167609848,71618;1428.0:956.934
1167609848,76089;1448.16:964.764
1167609848,80118;
1167609848,84125;
1167609848,8676;
1167609848,89427;591.648:1700.46
1167609848,92044;370.848:1263.006
1167609848,95857;
1167609848,99879;442.272:963.144
1167609849,02515;455.136:932.202
1167609849,06522;443.712:959.958
1167609849,10816;469.92:938.844
1167609849,14758;445.152:946.944
1167609849,19209;459.744:929.286
1167609849,23049;456.096:939.114
1167609849,27357;
1167609849,31707;
1167609849,35006;
1167609849,3828;
1167609849,41652;
1167609849,45449;469.44:939.33
1167609849,48855;
1167609849,52915;
1167609849,56074;
1167609849,59451;
1167609849,6274;
1167609849,66544;
1167609849,69999;
1167609849,74023;
1167609849,78446;
1167609849,84219;474.336:912.87
1167609849,89341;455.904:954.936
1167609849,94232;452.928:608.31
1167609849,98284;435.264:578.124
1167609850,03069;430.08:619.488
1167609850,07656;435.168:615.708
1167609850,12343;448.992:611.766
1167609850,1648;424.416:614.682
1167609850,2109;427.872:603.45
1167609850,25319;527.808:544.644
1167609850,29992;561.6:501.714
1167609850,34193;571.2:528.66
1167609850,38747;595.008:507.6
1167609850,42822;610.848:526.608
1167609850,46928;623.904:529.092
1167609850,51074;612.96:513.648
1167609850,5526;576.096:522.126
1167609850,59544;586.752:499.824
1167609850,63682;571.104:521.478
1167609850,68175;963.072:407.646
1167609850,72254;1477.92:324.864
1167609850,77021;1442.592:247.266
1167609850,81283;1429.248:223.182
1167609850,85387;1447.776:333.126
1167609850,89681;1417.92:163.188
1167609850,94726;1449.216:134.73
1167609850,98922;1420.32:144.558
1167609851,03061;1428.384:132.354
1167609851,07156;1456.8:136.35
1167609851,1124;1431.936:129.654
1167609851,1532;1437.312:154.656
1167609851,19383;1466.88:151.416
1167609851,23453;1539.36:598.644
1167609851,27486;1514.88:591.138
1167609851,31779;1545.504:586.44
1167609851,35883;1545.216:608.526
1167609851,39973;1532.928:595.944
1167609851,44064;1506.912:522.882
1167609851,48592;1504.8:525.852
1167609851,52705;1511.232:513.324
1167609851,568;1521.696:507.6
1167609851,60965;1509.888:505.71
1167609851,65064;1525.632:514.512
1167609851,69575;1479.744:417.906
1167609851,73783;1455.552:433.134
1167609851,78389;1462.56:415.26
1167609851,82583;1456.512:436.536
1167609851,87359;1465.92:437.832
1167609851,9158;1440.288:427.626
1167609851,96232;1440.192:437.562
1167609852,00326;522.144:551.448
1167609852,05046;494.112:561.384
1167609852,09361;490.944:527.418
1167609852,14034;516.864:552.312
1167609852,18121;513.984:570.51
1167609852,22811;496.32:557.712
1167609852,27045;547.488:559.818
1167609852,31795;540.576:557.064
1167609852,361;541.824:558.63
