Timestamp;GazePoint
636189739583,049;
1167609981,83395;941.664:603.342
1167609981,87806;908.64:612.684
1167609981,93157;967.68:620.19
1167609981,97611;1021.92:619.758
1167609982,02797;
1167609982,07518;
1167609982,10664;
1167609982,13517;957.12:534.546
1167609982,17889;
1167609982,21438;
1167609982,24651;
1167609982,27307;
1167609982,30506;727.296:452.196
1167609982,33213;739.584:431.46
1167609982,37309;
1167609982,41113;
1167609982,44761;
1167609982,48006;
1167609982,51141;
1167609982,53959;
1167609982,57295;
1167609982,60198;
1167609982,63608;
1167609982,66546;
1167609982,69676;
1167609982,72757;
1167609982,7579;472.416:478.116
1167609982,80415;
1167609982,83827;
1167609982,87113;
1167609982,8985;
1167609982,92412;511.2:434.214
1167609982,95013;469.728:501.282
1167609982,98653;494.88:727.812
1167609983,02348;490.752:721.008
1167609983,06044;539.04:750.384
1167609983,09755;492.0:750.438
1167609983,13447;504.672:748.764
1167609983,17152;534.528:749.844
1167609983,20846;570.144:766.152
1167609983,24563;529.152:782.406
1167609983,28278;545.184:780.084
1167609983,32645;562.368:751.464
1167609983,3635;571.104:760.212
1167609983,40075;564.192:733.05
1167609983,43775;679.2:768.42
1167609983,47716;529.824:779.652
1167609983,51222;584.928:725.598
1167609983,55116;
1167609983,5882;588.576:729.648
1167609983,6212;
1167609983,65813;
1167609983,68461;570.816:714.258
1167609983,72328;599.136:716.202
1167609983,75937;611.328:718.092
1167609983,79627;620.832:732.348
1167609983,83367;602.4:717.444
1167609983,87083;619.488:722.52
1167609983,90797;610.368:715.176
1167609983,94917;594.816:761.184
1167609983,98726;585.792:760.104
1167609984,02877;619.008:731.052
1167609984,06678;618.624:717.606
1167609984,11042;609.792:751.68
1167609984,14861;600.384:740.934
1167609984,19015;511.488:721.656
1167609984,22766;438.144:662.634
1167609984,27117;426.912:646.92
1167609984,30925;442.368:662.958
1167609984,35268;442.272:666.414
1167609984,39012;163.872:638.658
1167609984,43313;137.856:613.71
1167609984,47256;162.432:623.646
1167609984,51611;171.648:614.088
1167609984,55516;183.84:618.786
1167609984,59815;171.744:613.494
1167609984,6363;172.32:642.762
1167609984,67472;168.96:636.822
1167609984,71269;143.424:626.616
1167609984,75075;146.208:620.514
1167609984,78906;119.904:608.958
1167609984,82729;147.84:628.128
1167609984,86608;147.264:622.188
1167609984,90418;372.096:433.512
1167609984,94263;378.816:327.456
1167609984,98037;379.488:325.944
1167609985,0179;371.136:347.814
1167609985,05724;344.16:328.806
1167609985,0958;344.352:351.594
1167609985,13471;354.144:335.178
1167609985,17308;354.432:314.172
1167609985,212;400.992:306.126
1167609985,25048;466.944:350.514
1167609985,28871;468.48:341.28
1167609985,32796;440.544:324.378
1167609985,36635;475.392:340.794
1167609985,40463;464.928:348.408
1167609985,44324;528.48:279.828
1167609985,4819;261.888:212.868
1167609985,52088;272.256:219.24
1167609985,55971;325.632:243.324
1167609985,59799;318.624:251.694
1167609985,63649;
1167609985,67899;124.416:636.498
1167609985,71313;134.688:630.504
1167609985,75249;151.008:649.944
1167609985,79793;102.24:623.754
1167609985,83665;134.208:631.638
1167609985,87835;121.44:638.442
1167609985,91676;1075.008:409.05
1167609985,9593;1123.488:370.278
1167609985,99925;1131.936:403.65
1167609986,04339;1127.424:415.422
1167609986,08191;1106.784:404.352
1167609986,12529;1153.92:380.97
1167609986,1632;1117.536:396.738
1167609986,2066;1535.52:560.034
1167609986,24528;1514.88:584.388
1167609986,28879;1530.144:567.324
1167609986,32612;1525.824:563.328
1167609986,36842;1409.568:545.184
1167609986,40808;1399.296:573.21
1167609986,44887;1432.512:548.046
1167609986,48671;1354.944:513.702
1167609986,52822;1355.904:511.434
1167609986,56483;1375.68:544.86
1167609986,60149;1373.184:526.662
1167609986,63828;1367.808:547.344
1167609986,67516;1368.768:535.842
1167609986,71159;1371.072:530.658
1167609986,74827;1384.224:545.454
1167609986,7848;1357.824:529.146
1167609986,82131;1350.528:531.09
1167609986,85779;1374.528:526.392
1167609986,89427;1361.568:510.57
1167609986,93109;1358.592:532.548
1167609986,96796;1343.808:527.148
1167609987,00497;1384.032:543.294
1167609987,04197;1388.352:544.536
1167609987,07895;1380.288:538.92
1167609987,11612;1421.184:546.588
1167609987,15314;1494.528:616.68
1167609987,1901;1470.816:631.53
1167609987,22684;1493.664:632.286
1167609987,26348;1470.528:644.382
1167609987,30019;1476.864:641.034
1167609987,33678;1637.856:739.53
1167609987,37335;1668.672:749.466
1167609987,41012;1653.024:738.126
1167609987,44662;1664.448:739.098
1167609987,48334;1636.896:741.96
1167609987,5201;1642.848:743.904
1167609987,55568;1646.112:739.314
1167609987,59206;1656.0:746.928
1167609987,63054;1626.912:754.65
1167609987,66719;1622.976:763.236
1167609987,70378;1626.528:771.984
1167609987,74023;1653.024:775.71
1167609987,77662;1630.368:768.744
1167609987,81711;1646.4:765.936
1167609987,85446;1630.176:777.006
1167609987,89547;1633.728:748.656
1167609987,93314;1611.072:749.196
1167609987,9701;1398.336:930.798
1167609988,01137;1352.832:920.214
1167609988,04936;1374.528:918.486
1167609988,09096;1382.4:919.08
1167609988,12805;1386.624:916.434
1167609988,17073;1402.656:911.574
1167609988,20839;1169.952:856.764
1167609988,2507;1171.68:855.522
1167609988,2884;1170.336:863.19
1167609988,33041;1192.704:853.902
1167609988,36951;1203.456:856.224
1167609988,41212;1186.656:844.83
1167609988,45007;775.392:901.476
1167609988,49192;700.416:926.856
1167609988,52881;768.864:891.486
1167609988,56631;745.344:907.254
1167609988,60259;765.504:896.292
1167609988,63957;739.488:903.42
1167609988,67716;703.968:935.442
1167609988,71527;1208.544:373.356
1167609988,75323;1569.408:278.424
1167609988,79138;1594.752:298.134
1167609988,82872;1599.84:285.282
1167609988,86616;1595.808:320.544
1167609988,90348;1609.824:284.148
1167609988,94089;1789.344:256.77
1167609988,97959;1810.368:278.964
1167609989,01688;1795.008:238.248
1167609989,05469;1812.0:214.164
1167609989,09633;1809.216:224.748
1167609989,13415;1796.544:221.994
1167609989,17294;
1167609989,21157;
1167609989,23917;
1167609989,26715;1344.576:349.596
1167609989,30108;1322.208:336.096
1167609989,33843;1328.448:372.114
1167609989,37811;1295.52:359.91
1167609989,41815;1309.92:338.364
1167609989,46446;510.72:239.112
1167609989,50443;373.824:265.626
1167609989,5437;342.816:272.754
1167609989,58761;369.888:269.838
1167609989,62526;371.328:276.642
1167609989,66388;326.112:280.098
1167609989,7025;88.032:351.81
1167609989,74069;92.544:352.674
1167609989,7826;136.992:284.256
1167609989,82247;158.592:305.802
1167609989,86764;138.048:333.072
1167609989,90668;294.432:981.666
1167609989,95185;340.512:952.236
1167609989,9961;327.456:1011.636
1167609990,04239;
1167609990,08284;
1167609990,11932;478.752:967.626
1167609990,15783;
1167609990,20534;
1167609990,23973;
1167609990,27123;
1167609990,30571;
1167609990,34765;
1167609990,38315;
1167609990,42322;271.776:721.494
1167609990,46694;340.8:757.134
1167609990,50164;301.632:742.5
1167609990,5386;290.592:733.32
1167609990,57559;76.032:750.654
1167609990,61234;97.824:766.098
1167609990,65018;110.976:777.33
1167609990,68693;107.424:769.284
1167609990,72361;161.088:792.936
1167609990,76112;834.336:854.604
1167609990,79754;866.304:837.864
1167609990,83397;833.28:850.122
1167609990,87105;836.352:863.028
1167609990,90728;833.76:833.868
1167609990,94344;822.912:861.57
1167609990,9808;
1167609991,01788;921.696:877.068
1167609991,0509;
1167609991,08744;
1167609991,1137;900.0:822.798
1167609991,13951;933.504:813.888
1167609991,17806;921.6:817.83
1167609991,2148;921.408:810.324
1167609991,25146;920.352:800.064
1167609991,2887;884.16:815.508
1167609991,32526;910.272:818.532
1167609991,36184;911.808:820.638
1167609991,39833;1356.672:955.692
1167609991,43505;1335.936:957.636
1167609991,47159;1341.984:968.22
1167609991,51097;1361.184:987.984
1167609991,54615;1324.128:975.186
1167609991,58214;1350.24:967.896
1167609991,62057;
1167609991,65705;
1167609991,69962;954.24:1172.34
1167609991,74576;
1167609991,79121;
1167609991,82064;975.552:1076.382
1167609991,85622;986.976:1104.084
1167609991,89228;957.312:1086.21
1167609991,93471;968.352:1087.83
1167609991,97715;966.816:1099.602
1167609992,02253;909.984:1005.156
1167609992,06212;876.288:865.728
1167609992,1076;909.216:877.824
1167609992,14854;893.088:900.666
1167609992,19014;875.424:885.708
1167609992,22769;848.16:876.744
1167609992,27091;958.464:781.164
1167609992,30822;965.664:693.36
1167609992,34967;951.168:698.058
