Timestamp;GazePoint
636189740367,554;
1167610060,28119;896.832:550.854
1167610060,31517;891.168:557.388
1167610060,35139;901.344:544.32
1167610060,38818;888.96:560.682
1167610060,42315;889.344:566.406
1167610060,45825;899.232:577.098
1167610060,49335;888.672:580.77
1167610060,52737;877.248:584.928
1167610060,56533;897.024:549.936
1167610060,60138;725.664:551.718
1167610060,64086;538.464:529.632
1167610060,67617;551.808:526.446
1167610060,71682;557.76:528.066
1167610060,75191;540.96:522.234
1167610060,79109;553.344:521.64
1167610060,8257;555.744:524.07
1167610060,86614;633.024:602.1
1167610060,90134;616.32:622.674
1167610060,94032;613.824:648.702
1167610060,97506;563.52:676.566
1167610061,01425;664.224:618.84
1167610061,04927;665.856:618.732
1167610061,08917;681.312:635.364
1167610061,12427;677.664:628.398
1167610061,16351;679.008:606.258
1167610061,19751;669.984:645.894
1167610061,23273;674.112:616.248
1167610061,26797;659.136:632.394
1167610061,30345;657.024:642.654
1167610061,3389;333.504:676.08
1167610061,37412;336.384:685.908
1167610061,41013;327.552:668.25
1167610061,4461;358.368:669.06
1167610061,4818;348.96:673.92
1167610061,51814;358.656:669.222
1167610061,55441;362.4:694.332
1167610061,591;327.072:695.898
1167610061,62737;526.272:594.108
1167610061,66399;527.808:559.386
1167610061,70085;507.36:595.728
1167610061,7378;524.352:575.262
1167610061,77481;498.048:584.064
1167610061,81157;524.256:596.808
1167610061,84863;656.256:587.79
1167610061,88555;668.64:605.178
1167610061,92261;657.408:634.878
1167610061,95972;
1167610061,99718;
1167610062,02451;689.376:585.468
1167610062,0519;691.392:565.164
1167610062,08874;674.4:581.094
1167610062,12639;
1167610062,16433;671.712:603.558
1167610062,19177;655.296:606.636
1167610062,22939;671.712:604.044
1167610062,2716;678.048:613.764
1167610062,30934;688.32:601.776
1167610062,34733;693.12:610.686
1167610062,3853;519.552:501.174
1167610062,42331;270.048:230.364
1167610062,46586;285.024:196.614
1167610062,50583;301.728:220.752
1167610062,54867;292.896:215.352
1167610062,58792;291.36:233.658
1167610062,63243;662.592:147.474
1167610062,67161;655.104:133.866
1167610062,71443;673.344:127.332
1167610062,75289;657.408:128.358
1167610062,79734;800.832:134.082
1167610062,83666;1434.24:198.99
1167610062,87956;1459.008:180.306
1167610062,91835;1447.296:219.564
1167610062,96112;1460.544:230.688
