Timestamp;Action;ActionArgs;LeftEye;RightEye
703,3049;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,3487;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,38665;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,43036;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,47409;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,51479;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,55448;EyeTracking;OnlyRightEyeTracked;[-,-];[0,0383,0,2816]
1167609703,81973;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609703,87844;EyeTracking;OnlyRightEyeTracked;[-,-];[0,0675,0,4360]
1167609704,01116;EyeTracking;OnlyRightEyeTracked;[-,-];[0,0717,0,3983]
1167609704,17512;EyeTracking;BothEyesTracked;[0,1699,0,4378];[0,1456,0,4667]
1167609704,33697;EyeTracking;BothEyesTracked;[0,1538,0,4211];[0,1303,0,4445]
1167609704,46814;EyeTracking;BothEyesTracked;[0,1461,0,4470];[0,1175,0,4577]
1167609704,60036;EyeTracking;BothEyesTracked;[0,1572,0,4564];[0,1615,0,4529]
1167609704,68183;EyeTracking;BothEyesTracked;[0,1834,0,3946];[0,1854,0,4113]
1167609704,75645;EyeTracking;BothEyesTracked;[0,1916,0,4230];[0,1906,0,3060]
1167609704,81575;EyeTracking;BothEyesTracked;[0,1887,0,4033];[0,1670,0,4596]
1167609704,88027;EyeTracking;BothEyesTracked;[0,1861,0,3968];[0,1637,0,4258]
1167609704,94136;EyeTracking;BothEyesTracked;[0,1844,0,4410];[0,1506,0,4293]
1167609705,00781;EyeTracking;BothEyesTracked;[0,1723,0,4434];[0,1485,0,4275]
1167609705,06788;EyeTracking;BothEyesTracked;[0,1857,0,4102];[0,1852,0,2128]
1167609705,13927;EyeTracking;BothEyesTracked;[0,1797,0,3366];[0,1698,0,4492]
1167609705,19869;EyeTracking;BothEyesTracked;[0,1782,0,4358];[0,1647,0,4688]
1167609705,2723;EyeTracking;BothEyesTracked;[0,1800,0,4254];[0,2033,0,3004]
1167609705,33463;EyeTracking;BothEyesTracked;[0,1901,0,4184];[0,1791,0,3809]
1167609705,40329;EyeTracking;BothEyesTracked;[0,1891,0,3808];[0,1741,0,4249]
1167609705,46606;EyeTracking;BothEyesTracked;[0,1815,0,4785];[0,1665,0,4309]
1167609705,52985;EyeTracking;BothEyesTracked;[0,1996,0,4384];[0,1650,0,4019]
1167609705,59341;EyeTracking;BothEyesTracked;[0,1855,0,3968];[0,1481,0,3744]
1167609705,64032;EyeTracking;BothEyesTracked;[0,1825,0,3656];[0,1616,0,3954]
1167609705,67981;EyeTracking;BothEyesTracked;[0,1864,0,3824];[0,1515,0,3955]
1167609705,72456;EyeTracking;BothEyesTracked;[0,1889,0,3600];[0,1467,0,3974]
1167609705,77168;EyeTracking;BothEyesTracked;[0,1880,0,3715];[0,1631,0,3546]
1167609705,81945;EyeTracking;BothEyesTracked;[0,1977,0,4047];[0,1656,0,3719]
1167609705,85979;EyeTracking;BothEyesTracked;[0,1926,0,3898];[0,1674,0,3457]
1167609705,90075;EyeTracking;BothEyesTracked;[0,1902,0,4060];[0,1638,0,3677]
1167609705,94139;EyeTracking;BothEyesTracked;[0,1966,0,3872];[0,1684,0,3449]
1167609705,98319;EyeTracking;BothEyesTracked;[0,1951,0,3518];[0,1749,0,3436]
1167609706,02411;EyeTracking;BothEyesTracked;[0,1972,0,4044];[0,1630,0,3430]
1167609706,06491;EyeTracking;BothEyesTracked;[0,2404,0,4196];[0,2503,0,3551]
1167609706,10597;EyeTracking;BothEyesTracked;[0,3195,0,4722];[0,3001,0,4446]
1167609706,14813;EyeTracking;BothEyesTracked;[0,3117,0,4495];[0,3247,0,4034]
1167609706,18921;EyeTracking;BothEyesTracked;[0,3157,0,4696];[0,3106,0,4197]
1167609706,23133;EyeTracking;BothEyesTracked;[0,2957,0,4750];[0,2867,0,4294]
1167609706,2732;EyeTracking;BothEyesTracked;[0,3182,0,4649];[0,3173,0,4093]
1167609706,31417;EyeTracking;BothEyesTracked;[0,3238,0,4816];[0,3225,0,4156]
1167609706,35545;EyeTracking;BothEyesTracked;[0,3135,0,4407];[0,3212,0,4354]
1167609706,39733;EyeTracking;BothEyesTracked;[0,3835,0,4409];[0,3804,0,4484]
1167609706,43918;EyeTracking;BothEyesTracked;[0,4055,0,4453];[0,3843,0,4018]
1167609706,49062;EyeTracking;BothEyesTracked;[0,3882,0,4591];[0,3868,0,4415]
1167609706,53362;EyeTracking;BothEyesTracked;[0,3815,0,4583];[0,3853,0,4108]
1167609706,5848;EyeTracking;BothEyesTracked;[0,3671,0,4629];[0,3830,0,3985]
1167609706,62766;EyeTracking;BothEyesTracked;[0,3874,0,4273];[0,3910,0,4391]
1167609706,67173;EyeTracking;BothEyesTracked;[0,3950,0,4536];[0,4047,0,4044]
1167609706,7144;EyeTracking;OnlyLeftEyeTracked;[0,3959,0,4503];[-,-]
1167609706,75591;EyeTracking;OnlyLeftEyeTracked;[0,3972,0,4574];[-,-]
1167609706,78487;EyeTracking;OnlyLeftEyeTracked;[0,4085,0,4498];[-,-]
1167609706,81925;EyeTracking;OnlyLeftEyeTracked;[0,3954,0,4313];[-,-]
1167609706,84954;EyeTracking;OnlyLeftEyeTracked;[0,4030,0,4645];[-,-]
1167609706,88135;EyeTracking;OnlyLeftEyeTracked;[0,3988,0,4654];[-,-]
1167609706,92218;EyeTracking;OnlyLeftEyeTracked;[0,3951,0,4846];[-,-]
1167609706,96421;EyeTracking;OnlyLeftEyeTracked;[0,4038,0,4695];[-,-]
1167609707,00598;EyeTracking;OnlyLeftEyeTracked;[0,3979,0,5019];[-,-]
1167609707,05031;EyeTracking;OnlyLeftEyeTracked;[0,4064,0,4949];[-,-]
1167609707,09081;EyeTracking;OnlyLeftEyeTracked;[0,4111,0,4999];[-,-]
1167609707,14414;EyeTracking;BothEyesTracked;[0,4659,0,3392];[0,4560,0,2931]
1167609707,19343;EyeTracking;BothEyesTracked;[0,4607,0,3657];[0,4443,0,3184]
1167609707,23945;EyeTracking;BothEyesTracked;[0,4583,0,3771];[0,4552,0,3194]
