Timestamp;GazePoint
636214846175,915;
1167609892,06181;166.848:10.692
1167609892,1111;151.488:9.558
1167609892,15213;
1167609892,19906;358.08:80.892
1167609892,2377;884.352:345.168
1167609892,27998;898.656:330.912
1167609892,32507;875.808:354.024
1167609892,37131;887.712:344.466
1167609892,42052;826.176:387.288
1167609892,46662;748.896:435.942
1167609892,51616;748.896:435.726
1167609892,56568;743.616:439.02
1167609892,61449;748.32:438.642
1167609892,66284;603.648:415.422
1167609892,7127;595.488:423.63
1167609892,75284;587.136:418.878
1167609892,79864;596.544:429.786
1167609892,84088;580.704:424.008
1167609892,88152;604.992:427.842
1167609892,92544;605.376:422.118
1167609892,96571;544.032:150.066
1167609893,00688;551.52:140.076
1167609893,05227;554.4:154.98
1167609893,09269;544.128:154.602
1167609893,13314;563.328:155.574
1167609893,17475;549.024:171.558
1167609893,21551;548.256:165.618
1167609893,25933;557.376:158.652
1167609893,30198;375.456:162.648
1167609893,34144;253.632:141.264
1167609893,38125;243.36:161.568
1167609893,4257;243.552:146.556
1167609893,47166;244.128:141.534
1167609893,51673;234.72:153.36
1167609893,56585;209.568:155.736
1167609893,61136;199.872:167.562
1167609893,66594;217.92:151.956
1167609893,71125;225.312:141.804
1167609893,76072;494.496:108.054
1167609893,80562;518.784:111.078
1167609893,85799;522.624:97.308
1167609893,89952;510.528:114.048
1167609893,94782;531.744:159.138
1167609893,99279;543.552:148.176
1167609894,04698;535.776:164.592
1167609894,09353;527.712:160.65
1167609894,14555;536.448:147.906
1167609894,19718;556.896:249.156
1167609894,25471;
1167609894,29648;559.584:543.834
1167609894,34309;524.928:219.456
1167609894,3924;511.2:206.334
1167609894,44352;514.272:196.452
1167609894,49286;519.936:195.48
1167609894,54311;523.68:140.184
1167609894,58444;529.248:142.992
1167609894,63174;525.984:146.286
1167609894,68021;528.384:141.426
1167609894,72624;1279.392:226.746
1167609894,77493;1488.576:204.768
1167609894,82384;1486.464:216.756
1167609894,8751;1501.92:211.14
1167609894,9232;1497.408:215.622
1167609894,97215;1640.64:55.89
1167609895,02089;1604.544:84.132
1167609895,06943;1598.016:148.716
1167609895,11749;1599.264:164.646
1167609895,16771;1593.024:178.524
1167609895,21587;
1167609895,2656;
1167609895,31478;
1167609895,36956;
1167609895,41841;
1167609895,46622;1513.152:360.72
1167609895,51816;1517.184:343.44
1167609895,56546;1503.936:333.72
1167609895,61552;1538.208:342.144
1167609895,66487;1530.912:347.976
1167609895,71128;1530.912:347.976
1167609895,76442;1524.096:341.226
1167609895,81208;1534.176:334.584
1167609895,86299;1549.344:316.818
1167609895,91206;1548.864:317.034
1167609895,96581;1539.36:328.752
1167609896,01113;1552.032:364.284
1167609896,06296;1549.824:332.1
1167609896,1087;1558.176:334.206
1167609896,16017;1574.016:411.426
1167609896,21133;1553.184:348.084
1167609896,29325;1405.632:684.396
1167609896,3437;1398.528:728.676
1167609896,39323;1382.88:732.564
1167609896,44156;1388.448:754.326
1167609896,51174;1396.128:728.784
1167609896,57393;1345.92:718.956
1167609896,63509;1342.944:726.084
1167609896,68466;1339.872:728.136
1167609896,73483;1328.544:644.544
1167609896,7825;1320.192:638.442
1167609896,82587;1321.248:658.53
1167609896,87425;1316.256:655.506
1167609896,91795;1322.496:662.634
1167609896,96067;1287.264:592.056
1167609897,00617;1242.432:583.47
1167609897,04918;1240.224:555.984
1167609897,09011;1240.32:561.492
1167609897,13183;1243.2:565.272
1167609897,17212;1159.2:437.454
1167609897,21276;1049.376:294.948
1167609897,25568;1047.072:308.61
1167609897,29641;1042.464:297.486
1167609897,33726;1056.96:303.102
1167609897,3782;1063.008:302.886
1167609897,42133;1041.696:235.116
1167609897,46779;1035.168:237.276
1167609897,5099;1073.088:296.082
1167609897,55291;1203.84:407.106
1167609897,59263;1201.344:439.776
1167609897,63325;1196.544:417.366
1167609897,67864;1196.832:424.764
1167609897,71841;1141.824:415.206
1167609897,76706;1139.808:399.438
1167609897,81292;1141.92:407.7
1167609897,85896;1139.52:395.766
1167609897,90266;1150.464:405.216
1167609897,94973;1152.96:399.708
1167609897,9952;1119.264:312.066
1167609898,04363;1098.24:158.49
1167609898,08756;1107.072:152.874
1167609898,13421;1105.248:153.738
1167609898,18055;1101.312:150.066
1167609898,23043;1044.576:154.386
1167609898,2761;
1167609898,32515;193.728:41.472
1167609898,36011;228.384:91.8
1167609898,40628;231.168:100.71
1167609898,45544;198.816:150.39
1167609898,4984;203.328:177.984
1167609898,54158;202.848:171.342
1167609898,58519;189.792:181.278
1167609898,62882;187.584:181.926
1167609898,67457;199.104:162.648
1167609898,71744;180.48:167.562
