Timestamp;GazePoint
636214845506,447;
1167609825,12915;965.184:460.836
1167609825,17606;954.624:460.296
1167609825,22405;958.56:459.0
1167609825,27369;954.24:459.486
1167609825,31429;959.328:460.296
1167609825,3571;583.488:441.882
1167609825,40023;559.104:441.396
1167609825,43912;549.216:442.584
1167609825,48247;561.6:443.178
1167609825,52514;546.912:443.934
1167609825,56621;555.84:403.164
1167609825,61052;560.064:414.18
1167609825,65183;556.128:421.308
1167609825,69477;558.432:417.528
1167609825,73947;555.936:417.852
1167609825,78247;437.568:572.454
1167609825,82653;431.52:573.48
1167609825,86951;429.024:580.662
1167609825,90767;425.856:580.878
1167609825,94546;412.608:607.014
1167609825,98733;413.184:603.126
1167609826,0299;404.16:600.642
1167609826,07112;407.328:597.78
1167609826,11238;398.304:601.992
1167609826,15199;404.928:609.822
1167609826,19486;444.864:267.732
1167609826,23762;443.424:141.858
1167609826,27998;448.704:136.188
1167609826,32211;442.752:230.256
1167609826,36667;444.48:132.3
1167609826,41014;433.344:76.194
1167609826,45437;440.736:148.446
1167609826,49717;441.984:80.73
1167609826,54374;434.112:81.972
1167609826,58819;438.72:79.434
1167609826,63557;434.4:81.378
1167609826,67997;425.664:108.27
1167609826,72757;425.28:98.388
1167609826,77472;
1167609826,82313;
1167609826,86676;428.352:120.096
1167609826,92107;417.504:104.166
1167609826,96194;
1167609827,01898;
1167609827,0632;489.504:146.988
1167609827,11315;463.392:145.044
1167609827,17219;459.264:149.58
1167609827,22936;465.024:140.508
1167609827,28011;458.688:150.444
1167609827,33611;477.024:138.294
1167609827,38756;429.696:141.912
1167609827,4335;369.024:273.726
1167609827,48386;364.224:250.29
1167609827,5273;365.184:235.224
1167609827,57249;354.72:244.134
1167609827,6175;
1167609827,66325;
1167609827,68918;
1167609827,71594;620.736:1067.04
1167609827,76105;591.072:568.404
1167609827,81339;
1167609827,8576;573.984:452.898
1167609827,88525;544.32:429.894
1167609827,94275;557.184:413.208
1167609827,99161;562.464:426.06
1167609828,04199;544.704:436.806
1167609828,09015;627.648:405.594
1167609828,13612;1652.16:291.384
1167609828,1817;1584.672:274.158
1167609828,2256;1559.52:305.046
1167609828,27241;1563.36:315.792
1167609828,31955;1550.496:340.578
1167609828,36531;1495.2:454.896
1167609828,41711;1497.12:463.374
1167609828,46008;1503.36:470.34
1167609828,50417;1487.808:481.194
1167609828,54784;1484.928:427.68
1167609828,59128;1482.912:431.622
1167609828,63662;1471.2:455.49
1167609828,67929;1467.168:403.812
1167609828,72897;1390.368:219.834
1167609828,77099;1391.232:225.396
1167609828,81521;1383.168:214.11
1167609828,86276;1389.984:226.206
1167609828,91024;1375.968:237.492
1167609828,95397;1372.032:232.362
1167609829,00598;1375.488:232.848
1167609829,04813;1380.288:229.23
1167609829,09674;1383.552:227.826
1167609829,13757;1375.296:238.95
1167609829,19157;1376.736:232.092
1167609829,2382;1383.648:238.194
1167609829,28461;1382.688:229.986
1167609829,3315;1383.744:243.0
1167609829,38161;1518.72:539.136
1167609829,42736;1519.008:570.24
1167609829,47239;1518.144:558.198
1167609829,51961;1530.528:540.432
1167609829,56638;1505.472:535.356
1167609829,60949;1507.296:518.022
1167609829,65574;1505.472:531.576
1167609829,69847;1515.936:518.994
1167609829,74609;1511.904:519.966
1167609829,78857;1512.288:520.29
1167609829,83592;1506.336:525.096
1167609829,87928;1500.096:526.932
1167609829,92711;1497.024:500.256
1167609829,97455;1495.296:497.664
1167609830,0211;
1167609830,06653;1494.816:481.032
1167609830,10771;1462.56:431.298
1167609830,15221;1460.256:448.47
1167609830,19648;1463.808:447.606
1167609830,24076;1467.744:445.77
1167609830,28612;1476.576:435.996
1167609830,33149;1452.96:426.816
1167609830,37662;1391.616:264.546
1167609830,42157;1387.392:229.392
1167609830,46915;1384.704:226.206
1167609830,51235;1381.056:219.024
1167609830,55611;1379.52:216.162
1167609830,59956;1392.192:223.938
1167609830,64408;1385.28:223.29
1167609830,68988;1392.864:219.564
1167609830,73379;855.456:213.192
1167609830,78106;
1167609830,82544;
1167609830,86771;484.512:229.608
1167609830,90547;476.256:223.614
1167609830,96063;332.256:156.492
1167609831,00544;335.232:194.886
1167609831,05406;315.36:311.526
1167609831,09775;
1167609831,14822;318.72:292.194
1167609831,18028;
1167609831,22744;310.464:314.01
1167609831,25856;
1167609831,30937;263.808:380.538
1167609831,36151;253.728:396.09
1167609831,41132;266.208:377.946
1167609831,45527;245.664:358.938
1167609831,50433;252.0:366.012
1167609831,54919;251.616:365.958
1167609831,59443;271.776:336.528
1167609831,63982;315.456:215.622
1167609831,68587;330.912:209.088
