Timestamp;GazePoint
636214846659,533;
1167609940,40889;955.776:542.43
1167609940,45135;955.008:533.466
1167609940,49734;953.568:528.66
1167609940,53752;925.824:511.002
1167609940,585;938.496:524.016
1167609940,62729;942.816:527.742
1167609940,67544;624.768:533.196
1167609940,71732;508.224:545.184
1167609940,76915;516.384:548.262
1167609940,80713;513.408:531.792
1167609940,85051;512.352:535.95
1167609940,88821;357.408:739.044
1167609940,92981;330.528:760.212
1167609940,96945;341.952:758.16
1167609941,0123;346.848:767.016
1167609941,05213;
1167609941,09454;
1167609941,1273;158.976:693.36
1167609941,15826;157.728:688.014
1167609941,19625;142.08:658.8
1167609941,23515;146.784:697.896
1167609941,28016;
1167609941,33154;
1167609941,36837;160.608:688.068
1167609941,4043;124.128:617.058
1167609941,44813;131.232:636.66
1167609941,49292;129.024:638.442
1167609941,5402;130.848:669.978
1167609941,58294;116.256:666.522
1167609941,63476;129.696:617.274
1167609941,6852;130.368:408.024
1167609941,73035;163.008:423.036
1167609941,78224;148.416:676.296
1167609941,8315;467.712:692.334
1167609941,88255;602.688:743.742
1167609941,9281;579.264:764.208
1167609941,9693;572.64:774.36
1167609942,01322;589.92:761.184
1167609942,0567;
1167609942,09561;
1167609942,12393;
1167609942,15279;
1167609942,19031;
1167609942,21836;587.424:766.26
1167609942,25188;594.144:766.206
1167609942,3021;593.76:770.472
1167609942,35092;1289.088:565.758
1167609942,40107;1284.96:563.436
1167609942,45794;1288.8:575.1
1167609942,50627;1303.968:565.434
1167609942,5641;1410.72:551.286
1167609942,61878;1410.528:544.104
1167609942,67318;1409.952:567.378
1167609942,7265;1424.448:553.878
1167609942,78653;1393.92:429.732
1167609942,82742;1434.72:545.94
1167609942,88037;1411.584:566.082
1167609942,92314;1413.6:552.906
1167609942,96849;1413.792:569.16
1167609943,01309;1411.872:562.788
1167609943,05952;1421.76:546.696
1167609943,10209;1657.632:724.626
1167609943,14714;1656.576:712.044
1167609943,19018;1665.312:724.842
1167609943,23614;1683.936:730.08
1167609943,27732;1656.48:730.026
1167609943,31829;1671.36:733.59
1167609943,36069;1680.576:754.488
1167609943,40224;1686.912:745.416
1167609943,44325;1702.752:734.832
1167609943,48422;1700.736:751.464
1167609943,52551;1682.112:750.924
1167609943,56638;1682.88:746.226
1167609943,60697;1693.536:743.634
1167609943,64822;1691.808:760.752
1167609943,68873;1706.304:753.462
1167609943,72949;1698.72:754.218
1167609943,7691;1627.296:507.276
1167609943,80929;1617.12:475.416
1167609943,84809;1616.832:476.442
1167609943,8881;1633.728:481.14
1167609943,92747;1577.952:499.392
1167609943,96727;1548.096:538.758
1167609944,00574;1506.816:535.14
1167609944,04806;1516.608:543.834
1167609944,09324;1532.832:541.836
1167609944,13277;1546.56:543.132
1167609944,17089;1502.016:539.352
1167609944,21086;
1167609944,25021;1404.768:568.08
1167609944,28377;1395.072:542.916
1167609944,32313;1409.28:551.664
1167609944,36157;1149.216:1177.254
1167609944,40108;
1167609944,4415;
1167609944,46923;856.992:1118.07
1167609944,52665;892.896:1040.472
1167609944,57474;921.888:989.82
1167609944,62084;892.8:1053.054
1167609944,65999;897.504:1006.128
1167609944,70713;678.624:1235.304
