Timestamp;GazePoint
636214847332,171;
1167610007,65927;742.272:410.13
1167610007,69815;829.536:474.282
1167610007,73694;923.904:506.574
1167610007,78271;936.96:519.102
1167610007,8287;939.744:509.868
1167610007,87584;932.64:505.332
1167610007,92262;520.992:543.726
1167610007,96212;497.568:552.312
1167610008,00515;486.24:540.162
1167610008,05432;486.24:551.394
1167610008,09616;481.632:515.484
1167610008,14148;476.928:553.284
1167610008,18768;363.84:394.578
1167610008,23065;330.624:276.912
1167610008,27271;351.648:281.232
1167610008,3112;343.392:305.424
1167610008,35158;
1167610008,39795;615.264:375.084
1167610008,43752;648.0:357.534
1167610008,49334;619.392:351.972
1167610008,53607;631.872:330.534
1167610008,59116;473.664:176.526
1167610008,63264;460.224:295.38
1167610008,69073;468.96:280.908
1167610008,7457;457.344:287.604
1167610008,79285;474.624:291.006
1167610008,83859;467.904:284.526
1167610008,88992;667.488:637.686
1167610008,93286;
1167610008,98697;680.256:625.86
1167610009,0195;669.792:568.944
1167610009,0735;683.616:620.136
1167610009,11858;681.792:634.554
1167610009,17913;675.648:364.716
1167610009,22939;672.096:353.43
1167610009,2791;672.192:349.002
1167610009,32941;681.984:336.96
1167610009,38027;665.664:340.902
1167610009,42013;664.416:629.694
1167610009,46182;757.92:647.082
1167610009,50874;746.304:800.712
1167610009,55064;751.104:816.696
1167610009,60039;748.128:802.332
1167610009,65392;762.624:801.36
1167610009,70214;775.296:666.792
1167610009,7451;806.784:518.724
1167610009,80251;788.64:658.53
1167610009,85233;809.184:661.446
1167610009,90407;1265.568:590.166
1167610009,95058;1270.56:599.94
1167610009,99773;1292.64:580.23
1167610010,05439;1275.552:580.554
1167610010,10076;1239.072:559.278
1167610010,15484;1244.256:554.364
1167610010,19816;1252.896:575.046
1167610010,24447;1247.232:578.988
1167610010,2884;1277.28:399.06
1167610010,33455;1275.456:403.056
1167610010,3769;1270.176:411.264
1167610010,41551;1267.008:410.4
1167610010,46739;1264.992:406.08
1167610010,50938;1529.856:298.35
