Timestamp;Action;ActionArgs;LeftEye;RightEye
9747,47151;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,51528;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,55327;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,59705;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,64093;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,68479;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609747,72393;EyeTracking;OnlyLeftEyeTracked;[0,1880,0,1694];[-,-]
1167609747,76331;EyeTracking;OnlyRightEyeTracked;[-,-];[0,1586,0,3181]
1167609747,82563;EyeTracking;BothEyesTracked;[0,1099,0,3107];[0,1406,0,2849]
1167609747,8765;EyeTracking;BothEyesTracked;[0,1683,0,3065];[0,1388,0,3164]
1167609747,9207;EyeTracking;BothEyesTracked;[0,2470,0,0768];[0,1404,0,3098]
1167609747,97741;EyeTracking;BothEyesTracked;[0,2008,0,3040];[0,1418,0,3201]
1167609748,03237;EyeTracking;BothEyesTracked;[0,2006,0,3026];[0,1355,0,3057]
1167609748,09515;EyeTracking;BothEyesTracked;[0,2085,0,2834];[0,1406,0,3264]
1167609748,15608;EyeTracking;BothEyesTracked;[0,1946,0,2939];[0,1416,0,3311]
1167609748,2161;EyeTracking;BothEyesTracked;[0,2024,0,2684];[0,1431,0,3141]
1167609748,27706;EyeTracking;BothEyesTracked;[0,2019,0,3020];[0,1322,0,2903]
1167609748,33395;EyeTracking;BothEyesTracked;[0,2061,0,2787];[0,1528,0,3203]
1167609748,39447;EyeTracking;BothEyesTracked;[0,1969,0,2572];[0,1361,0,3200]
1167609748,45954;EyeTracking;BothEyesTracked;[0,2056,0,3013];[0,1472,0,3262]
1167609748,51516;EyeTracking;BothEyesTracked;[0,2027,0,2737];[0,1442,0,3086]
1167609748,57949;EyeTracking;BothEyesTracked;[0,1947,0,2847];[0,1616,0,3043]
1167609748,63421;EyeTracking;BothEyesTracked;[0,2105,0,2634];[0,1467,0,3364]
1167609748,69912;EyeTracking;BothEyesTracked;[0,2107,0,2601];[0,1450,0,3148]
1167609748,75469;EyeTracking;BothEyesTracked;[0,2000,0,2763];[0,1437,0,3303]
1167609748,81566;EyeTracking;BothEyesTracked;[0,1988,0,2558];[0,1477,0,3371]
1167609748,87813;EyeTracking;BothEyesTracked;[0,1962,0,2486];[0,1463,0,3360]
1167609748,93915;EyeTracking;BothEyesTracked;[0,1864,0,2528];[0,1363,0,3287]
1167609748,97747;EyeTracking;BothEyesTracked;[0,2857,0,3483];[0,2395,0,3867]
1167609749,01756;EyeTracking;BothEyesTracked;[0,3177,0,3717];[0,2886,0,4103]
1167609749,0563;EyeTracking;BothEyesTracked;[0,3140,0,4176];[0,2891,0,4387]
1167609749,09397;EyeTracking;BothEyesTracked;[0,3154,0,3871];[0,2843,0,4274]
1167609749,13718;EyeTracking;BothEyesTracked;[0,3259,0,3659];[0,2891,0,4170]
1167609749,17412;EyeTracking;BothEyesTracked;[0,3230,0,3926];[0,2930,0,4157]
1167609749,21119;EyeTracking;BothEyesTracked;[0,3202,0,4217];[0,2928,0,4340]
1167609749,24819;EyeTracking;BothEyesTracked;[0,3117,0,4149];[0,2807,0,4248]
1167609749,29214;EyeTracking;BothEyesTracked;[0,3222,0,4154];[0,2961,0,4136]
1167609749,33517;EyeTracking;BothEyesTracked;[0,3321,0,3846];[0,2901,0,4279]
1167609749,37837;EyeTracking;BothEyesTracked;[0,3211,0,3786];[0,2807,0,4310]
1167609749,42237;EyeTracking;BothEyesTracked;[0,3240,0,3873];[0,2810,0,4047]
1167609749,45975;EyeTracking;BothEyesTracked;[0,3217,0,3906];[0,2706,0,4471]
1167609749,49706;EyeTracking;BothEyesTracked;[0,3242,0,3761];[0,2689,0,4222]
1167609749,53437;EyeTracking;BothEyesTracked;[0,3177,0,3810];[0,2757,0,4250]
1167609749,57262;EyeTracking;BothEyesTracked;[0,4435,0,4064];[0,4096,0,4399]
1167609749,60996;EyeTracking;BothEyesTracked;[0,4584,0,4318];[0,4144,0,4726]
1167609749,64822;EyeTracking;BothEyesTracked;[0,4560,0,4444];[0,4188,0,4688]
1167609749,69155;EyeTracking;BothEyesTracked;[0,4438,0,4276];[0,4034,0,4744]
1167609749,73058;EyeTracking;BothEyesTracked;[0,4596,0,4322];[0,4033,0,4698]
1167609749,77362;EyeTracking;BothEyesTracked;[0,4497,0,4248];[0,4137,0,4590]
1167609749,81719;EyeTracking;BothEyesTracked;[0,4588,0,4429];[0,4176,0,4880]
1167609749,85785;EyeTracking;BothEyesTracked;[0,4538,0,4371];[0,4179,0,4513]
1167609749,90024;EyeTracking;BothEyesTracked;[0,4525,0,4376];[0,3963,0,4720]
1167609749,93981;EyeTracking;BothEyesTracked;[0,4562,0,4489];[0,3986,0,4841]
1167609749,9834;EyeTracking;BothEyesTracked;[0,4485,0,4475];[0,4178,0,4658]
1167609750,02846;EyeTracking;BothEyesTracked;[0,4558,0,4471];[0,4069,0,4790]
1167609750,06658;EyeTracking;BothEyesTracked;[0,4550,0,4395];[0,4100,0,4755]
1167609750,10774;EyeTracking;BothEyesTracked;[0,4416,0,4715];[0,4203,0,4793]
1167609750,14583;EyeTracking;BothEyesTracked;[0,4166,0,4799];[0,3886,0,4797]
1167609750,1913;EyeTracking;BothEyesTracked;[0,4206,0,4672];[0,3916,0,4866]
1167609750,23962;EyeTracking;BothEyesTracked;[0,4232,0,4755];[0,3841,0,4569]
1167609750,28061;EyeTracking;BothEyesTracked;[0,4167,0,4655];[0,3796,0,4531]
1167609750,3241;EyeTracking;BothEyesTracked;[0,2847,0,2917];[0,2605,0,2574]
1167609750,3657;EyeTracking;BothEyesTracked;[0,2287,0,2604];[0,1935,0,2556]
1167609750,41126;EyeTracking;BothEyesTracked;[0,2196,0,2850];[0,1975,0,2699]
1167609750,4502;EyeTracking;BothEyesTracked;[0,2382,0,2673];[0,1908,0,2564]
1167609750,49821;EyeTracking;BothEyesTracked;[0,2303,0,2552];[0,1876,0,2333]
1167609750,5355;EyeTracking;BothEyesTracked;[0,2314,0,2404];[0,1918,0,2526]
1167609750,57881;EyeTracking;BothEyesTracked;[0,1965,0,2149];[0,1470,0,2201]
1167609750,61638;EyeTracking;BothEyesTracked;[0,1995,0,1968];[0,1512,0,2135]
1167609750,65793;EyeTracking;BothEyesTracked;[0,2024,0,2015];[0,1508,0,1973]
1167609750,69513;EyeTracking;BothEyesTracked;[0,1908,0,2461];[0,1581,0,2236]
1167609750,73345;EyeTracking;BothEyesTracked;[0,1974,0,2355];[0,1575,0,2115]
1167609750,77548;EyeTracking;BothEyesTracked;[0,2012,0,2105];[0,1610,0,2162]
1167609750,81443;EyeTracking;BothEyesTracked;[0,2033,0,1971];[0,1404,0,2016]
1167609750,85678;EyeTracking;BothEyesTracked;[0,1968,0,2095];[0,1475,0,1980]
1167609750,89423;EyeTracking;BothEyesTracked;[0,1120,0,0933];[0,0576,0,1208]
1167609750,93535;EyeTracking;BothEyesTracked;[0,1244,-0,2410];[0,0596,0,1522]
1167609750,97168;EyeTracking;BothEyesTracked;[0,1126,0,1467];[0,0584,0,1346]
1167609751,00878;EyeTracking;BothEyesTracked;[0,1169,0,1145];[0,0495,0,1261]
1167609751,05365;EyeTracking;BothEyesTracked;[0,1027,0,1318];[0,0539,0,1212]
1167609751,09098;EyeTracking;BothEyesTracked;[0,1091,0,1422];[0,0558,0,1527]
1167609751,13337;EyeTracking;BothEyesTracked;[0,0875,0,0437];[0,0242,0,0922]
1167609751,17555;EyeTracking;BothEyesTracked;[0,0877,0,0372];[0,0458,0,0769]
1167609751,21298;EyeTracking;BothEyesTracked;[0,0782,0,0637];[0,0340,0,0733]
1167609751,25172;EyeTracking;BothEyesTracked;[0,0770,0,0776];[0,0333,0,0894]
1167609751,29561;EyeTracking;BothEyesTracked;[0,0828,0,0238];[0,0335,0,0890]
1167609751,33976;EyeTracking;BothEyesTracked;[0,0952,0,0401];[0,0366,0,0816]
1167609751,37868;EyeTracking;BothEyesTracked;[0,0587,0,0315];[0,0107,0,0968]
1167609751,41745;EyeTracking;BothEyesTracked;[0,0566,0,0240];[0,0045,0,1001]
1167609751,45652;EyeTracking;BothEyesTracked;[0,0537,0,0527];[-0,0009,0,0878]
1167609751,49568;EyeTracking;BothEyesTracked;[0,0698,-0,3553];[0,0042,0,1033]
1167609751,53746;EyeTracking;BothEyesTracked;[0,0588,0,0048];[-0,0065,0,0879]
1167609751,58256;EyeTracking;BothEyesTracked;[0,0403,0,0083];[-0,0150,0,0786]
1167609751,62368;EyeTracking;BothEyesTracked;[0,0506,0,0107];[-0,0136,0,0796]
1167609751,66296;EyeTracking;BothEyesTracked;[0,0390,0,0711];[-0,0042,0,0669]
1167609751,70322;EyeTracking;BothEyesTracked;[0,0519,0,0140];[-0,0079,0,0848]
1167609751,74588;EyeTracking;BothEyesTracked;[0,0442,0,0666];[-0,0164,0,0806]
1167609751,78622;EyeTracking;BothEyesTracked;[0,0407,0,0661];[-0,0080,0,0815]
1167609751,82917;EyeTracking;BothEyesTracked;[0,0731,-0,4096];[-0,0117,0,0870]
1167609751,8716;EyeTracking;BothEyesTracked;[0,0474,0,0640];[-0,0202,0,0640]
1167609751,91193;EyeTracking;BothEyesTracked;[0,0983,-0,3969];[-0,0075,0,0702]
1167609751,95827;EyeTracking;BothEyesTracked;[0,0506,0,0175];[-0,0081,0,0797]
1167609752,00431;EyeTracking;BothEyesTracked;[0,0898,0,0724];[0,0536,0,0668]
1167609752,05074;EyeTracking;BothEyesTracked;[0,1007,-0,1586];[0,0609,0,0906]
