Timestamp;GazePoint
636216488923,632;
1167610018,69337;1029.024:530.712
1167610018,72892;1044.576:535.086
1167610018,76496;1051.008:546.21
1167610018,80065;1047.648:544.212
1167610018,8363;1058.304:543.888
1167610018,87191;1057.248:533.844
1167610018,90762;1020.576:541.566
1167610018,94293;1051.68:534.276
1167610018,9781;1036.512:539.298
1167610019,01344;874.464:512.136
1167610019,05409;856.896:521.694
1167610019,08909;888.864:531.576
1167610019,12997;1305.696:587.952
1167610019,16525;1489.824:593.892
1167610019,20629;1497.504:592.65
1167610019,24122;1504.8:588.438
1167610019,27632;1495.2:587.088
1167610019,31135;1485.792:594.108
1167610019,34669;1489.92:605.394
1167610019,382;1507.584:595.728
1167610019,41758;1522.08:428.706
1167610019,45319;1549.056:410.454
1167610019,48907;1556.736:401.922
1167610019,52489;1554.144:414.612
1167610019,56096;1560.672:411.75
1167610019,59725;1516.8:412.452
1167610019,63931;1278.528:400.032
1167610019,68126;1286.592:416.178
1167610019,71785;1276.032:414.666
1167610019,75732;1262.208:405.918
1167610019,79311;1288.512:410.832
1167610019,82998;1285.056:414.882
1167610019,86764;
1167610019,91088;1172.352:438.912
1167610019,94024;1191.648:435.402
1167610019,98014;1197.12:434.106
1167610020,02228;1195.872:437.022
1167610020,06024;1188.192:437.886
1167610020,11041;1128.864:440.424
1167610020,15487;724.416:448.848
1167610020,1981;714.432:430.488
1167610020,2363;716.16:436.32
1167610020,28779;715.104:436.482
1167610020,32635;733.92:432.864
1167610020,36884;658.368:392.742
1167610020,40714;627.552:283.5
1167610020,44954;599.232:272.16
1167610020,48878;610.176:260.928
1167610020,5287;619.392:265.842
1167610020,57173;616.992:243.81
1167610020,61068;629.28:265.248
1167610020,654;636.288:273.672
1167610020,69252;558.336:317.466
1167610020,73071;369.504:363.528
1167610020,7702;361.056:360.018
1167610020,80842;346.272:361.314
1167610020,84635;339.264:358.074
1167610020,88414;339.936:356.832
1167610020,9221;356.256:352.674
1167610020,9598;347.904:352.728
1167610021,0043;353.568:367.524
1167610021,04839;318.912:370.818
1167610021,08616;201.12:293.652
1167610021,12408;206.592:286.956
1167610021,16189;177.408:292.356
1167610021,19949;169.536:281.394
1167610021,23864;166.368:251.37
1167610021,27568;174.144:274.158
1167610021,31358;170.208:186.57
1167610021,35106;173.76:199.152
1167610021,38846;179.136:195.966
1167610021,42599;188.064:201.906
1167610021,47011;1094.112:181.494
1167610021,5072;1526.304:187.056
1167610021,54479;1567.488:197.532
1167610021,58213;1550.784:183.438
1167610021,61923;1562.208:201.636
1167610021,65627;1559.712:198.342
1167610021,69309;1659.36:376.326
1167610021,73362;1683.264:1072.224
1167610021,77008;1669.44:1080.756
1167610021,80664;1657.632:1090.26
1167610021,84293;1652.256:1104.516
1167610021,8786;1644.0:1088.316
1167610021,91467;1662.048:1090.908
1167610021,95406;1709.472:1073.952
1167610021,99026;1722.624:1073.682
1167610022,02987;1720.608:1081.35
1167610022,06548;1409.664:911.142
1167610022,10641;1349.376:861.138
1167610022,14223;1351.2:864.918
1167610022,18157;1349.856:871.668
1167610022,21644;1344.288:854.712
1167610022,25711;1367.52:869.13
1167610022,2924;1356.768:875.07
1167610022,3318;1314.24:928.26
1167610022,36666;1299.936:935.874
1167610022,40598;1312.896:939.222
1167610022,44133;1285.248:946.512
1167610022,48122;1310.784:939.816
1167610022,51656;1331.712:691.092
1167610022,55554;1347.552:662.688
1167610022,59011;1342.752:667.062
1167610022,62449;1348.8:676.026
1167610022,6593;1335.456:662.256
1167610022,69384;1335.552:662.796
1167610022,72857;1467.936:482.49
1167610022,76331;1494.24:444.042
1167610022,79863;1485.408:452.79
1167610022,83463;1482.816:462.834
1167610022,87028;1468.608:449.712
1167610022,90542;1488.576:448.2
1167610022,94088;1205.28:469.26
1167610022,97642;1197.984:472.014
1167610023,01218;1198.848:483.138
1167610023,0488;1196.352:482.382
1167610023,08511;1187.424:478.386
1167610023,12155;1450.272:393.498
1167610023,15826;1496.064:359.424
1167610023,19406;1490.4:362.988
1167610023,2301;1487.52:375.57
1167610023,26654;1387.872:400.464
1167610023,3031;1161.6:492.318
1167610023,33987;1141.44:511.38
1167610023,37679;1152.48:507.33
1167610023,41336;1137.12:514.674
1167610023,45076;1132.992:503.658
1167610023,48829;1200.48:457.434
1167610023,52554;1203.936:465.696
1167610023,5625;1233.504:463.158
1167610023,59931;1219.2:452.628
1167610023,63712;1222.176:462.024
1167610023,6763;1206.432:465.804
1167610023,71265;1215.264:458.784
1167610023,74965;1060.416:492.858
1167610023,78642;775.488:502.092
1167610023,82339;783.072:494.046
1167610023,86459;777.696:485.136
1167610023,90241;771.744:514.512
1167610023,94351;697.344:520.128
1167610023,98123;568.704:542.808
1167610024,02424;568.608:540.0
1167610024,06214;571.68:531.738
1167610024,10409;581.088:539.082
1167610024,1412;481.824:560.088
1167610024,1829;497.28:564.192
1167610024,22064;494.976:565.758
1167610024,26167;496.416:565.704
1167610024,29813;488.064:569.322
1167610024,33837;491.04:560.736
1167610024,37522;804.672:544.212
1167610024,41624;813.12:534.87
1167610024,45266;811.776:544.752
1167610024,49265;813.984:549.18
1167610024,52828;815.712:551.934
1167610024,56478;801.792:539.946
1167610024,60126;656.16:378.594
1167610024,63693;653.376:382.212
1167610024,67308;659.52:380.592
1167610024,70991;659.424:382.05
1167610024,74613;605.376:354.294
1167610024,78226;529.152:272.646
1167610024,81829;522.144:268.596
1167610024,85421;519.648:268.92
1167610024,89073;525.312:267.138
1167610024,92727;519.552:266.004
1167610024,964;521.568:282.096
1167610025,00686;338.496:914.49
1167610025,04339;332.064:937.764
1167610025,08359;329.472:938.412
1167610025,11989;329.184:958.446
1167610025,15922;334.176:953.964
