Timestamp;GazePoint
636216487885,553;
1167609914,91151;963.84:661.662
1167609914,9482;950.592:653.076
1167609914,98489;981.12:647.46
1167609915,02182;960.192:661.23
1167609915,05893;973.536:661.77
1167609915,09547;951.264:664.308
1167609915,13225;986.592:642.6
1167609915,16894;982.368:656.262
1167609915,20577;986.016:659.664
1167609915,24263;976.608:663.714
1167609915,27949;901.152:622.188
1167609915,31655;907.584:645.084
1167609915,35368;902.304:631.53
1167609915,39099;906.528:639.522
1167609915,42811;910.08:647.676
1167609915,46519;823.296:571.428
1167609915,50317;740.448:528.444
1167609915,54029;732.288:527.796
1167609915,57823;738.816:521.424
1167609915,61812;744.96:532.872
1167609915,65516;754.368:522.99
1167609915,69243;733.824:526.122
1167609915,72962;739.2:522.558
1167609915,76711;796.032:538.92
1167609915,80858;1245.792:506.682
1167609915,84669;1168.608:458.244
1167609915,88874;1272.096:517.536
1167609915,92727;1255.68:526.446
1167609915,97094;1222.08:501.39
1167609916,00933;1266.816:516.618
1167609916,05222;1244.448:617.49
1167609916,0901;1131.936:952.614
1167609916,13335;1125.12:961.146
1167609916,17569;1126.752:964.656
1167609916,22067;1137.024:958.77
1167609916,26039;1115.808:957.852
1167609916,30578;896.832:866.7
1167609916,35076;925.632:871.074
1167609916,40045;915.84:876.204
1167609916,44429;907.68:867.402
1167609916,49277;802.272:984.582
1167609916,53563;804.48:991.926
1167609916,57969;809.664:1004.67
1167609916,62214;795.456:986.85
1167609916,66559;808.896:985.284
1167609916,70845;609.888:800.82
1167609916,75198;591.744:813.402
1167609916,79297;579.264:832.248
1167609916,83773;606.624:822.636
1167609916,87814;587.904:799.254
1167609916,92033;991.104:544.374
1167609916,96548;1115.424:497.178
1167609917,00966;1142.112:497.826
1167609917,05143;1147.488:496.584
1167609917,08936;1190.496:518.994
1167609917,1274;1171.776:517.482
1167609917,16943;1182.528:522.774
1167609917,21121;1188.672:510.084
1167609917,24866;1195.296:518.994
1167609917,29322;1207.776:512.892
1167609917,33426;1176.096:529.632
1167609917,37192;749.472:494.1
1167609917,40942;745.824:508.086
1167609917,44669;720.384:482.976
1167609917,48396;726.816:500.742
1167609917,52116;730.368:492.102
1167609917,56179;729.12:496.746
1167609917,59865;753.6:411.912
1167609917,63593;748.224:417.96
1167609917,673;754.944:415.8
1167609917,71013;748.512:425.574
1167609917,74713;972.0:411.912
1167609917,78837;1343.328:399.33
1167609917,82625;1344.48:376.164
1167609917,86813;1350.432:383.454
1167609917,9064;1344.288:397.602
1167609917,94992;1340.352:386.316
1167609917,98832;1329.504:390.636
1167609918,0317;1330.56:401.166
1167609918,07009;1641.024:330.858
1167609918,11343;1623.936:336.636
1167609918,15205;1624.32:333.18
1167609918,19215;1628.448:333.018
1167609918,23367;1623.552:328.536
1167609918,27157;1519.488:353.214
1167609918,31409;1533.696:368.928
1167609918,3526;1524.672:366.228
1167609918,39594;1530.912:356.238
1167609918,43429;1682.976:424.224
1167609918,4764;1780.896:426.114
1167609918,52047;1773.408:431.946
1167609918,56118;1831.968:424.872
1167609918,60254;1802.784:434.322
1167609918,64707;1825.44:421.956
1167609918,69455;1805.28:435.942
1167609918,73613;1431.552:529.74
1167609918,77821;1100.352:752.004
1167609918,82024;1098.624:766.422
1167609918,86456;1110.624:774.738
1167609918,9078;1106.016:773.766
1167609918,95113;747.936:822.582
1167609918,99443;749.664:837.918
1167609919,03856;744.288:831.33
1167609919,08224;739.68:835.002
1167609919,12581;603.072:711.018
1167609919,16945;507.168:619.92
1167609919,21338;496.608:620.244
1167609919,25457;502.368:617.328
1167609919,29616;536.832:628.02
1167609919,3373;503.04:619.164
1167609919,3791;380.544:621.162
1167609919,42023;371.712:631.422
1167609919,46112;360.48:620.406
1167609919,50162;1050.048:679.212
1167609919,54272;1040.736:690.66
1167609919,59045;1061.088:678.24
1167609919,63273;1064.64:688.014
1167609919,67736;1065.024:688.932
1167609919,72227;1257.216:680.13
1167609919,77013;1262.592:681.372
1167609919,81167;1281.216:702.108
1167609919,86213;1265.952:677.106
1167609919,90038;1288.8:692.82
1167609919,94774;1278.24:691.74
1167609919,98568;1134.24:687.15
1167609920,02852;973.152:683.856
1167609920,07541;991.008:682.182
1167609920,12205;983.904:697.464
1167609920,16236;977.376:671.652
1167609920,20455;965.472:686.826
1167609920,24527;1163.616:727.11
1167609920,28912;1433.472:739.476
1167609920,32984;1444.32:736.398
1167609920,37153;1420.224:735.696
1167609920,41722;1439.904:732.618
1167609920,45775;1448.448:729.378
1167609920,50237;1269.6:1026.486
1167609920,54251;1260.192:1007.316
1167609920,58253;1263.072:1000.35
1167609920,6216;1258.656:1010.988
1167609920,66437;1090.08:599.886
1167609920,70744;1031.904:611.28
1167609920,74741;1019.712:615.762
1167609920,78515;1033.248:626.778
1167609920,82767;1034.688:621.27
1167609920,86592;1045.536:632.664
1167609920,90431;1030.944:635.04
1167609920,943;1034.688:647.352
1167609920,98205;1036.128:626.94
1167609921,02924;965.952:609.984
1167609921,06875;464.832:434.484
1167609921,10734;469.44:448.47
1167609921,14996;492.672:463.914
1167609921,18721;454.464:439.452
1167609921,22583;477.024:436.266
1167609921,27119;285.408:447.12
1167609921,31525;308.064:460.728
1167609921,35968;243.168:443.664
1167609921,39788;245.088:436.752
1167609921,43675;243.744:432.162
1167609921,47364;233.664:433.728
1167609921,5107;754.848:436.212
1167609921,5557;780.384:449.388
1167609921,59546;770.4:466.452
1167609921,63225;769.632:447.768
1167609921,66917;769.728:455.922
1167609921,70612;715.392:455.976
1167609921,74335;728.352:442.368
1167609921,78405;734.208:457.272
1167609921,82135;739.776:474.12
1167609921,86244;732.576:451.494
1167609921,90014;712.32:456.84
1167609921,94332;735.36:466.56
1167609921,98353;727.008:454.734
1167609922,0251;737.856:462.24
1167609922,06229;729.12:465.588
1167609922,10522;747.168:455.166
1167609922,14278;1281.888:431.622
1167609922,18763;1280.64:431.082
1167609922,22487;1277.376:437.346
1167609922,26625;1290.72:434.106
1167609922,30357;1298.304:431.568
1167609922,34609;1295.616:448.092
1167609922,38384;1292.448:433.674
1167609922,42561;1299.264:387.774
1167609922,46241;1301.76:406.134
1167609922,49941;1282.656:396.9
1167609922,53638;1302.912:408.834
1167609922,57348;1296.672:410.94
1167609922,61066;1536.96:373.302
1167609922,64783;1518.336:361.476
1167609922,68484;1536.864:366.012
1167609922,72193;1530.336:370.494
1167609922,75899;1547.808:351.108
1167609922,7962;1502.4:372.654
1167609922,83328;1515.456:367.686
1167609922,87037;1543.776:379.944
1167609922,90748;1511.904:380.862
1167609922,94493;1526.976:379.62
1167609922,98225;1527.072:369.846
1167609923,01967;1509.6:372.978
1167609923,05715;1522.944:352.296
1167609923,09428;1613.472:337.338
1167609923,13152;1610.112:327.24
1167609923,16886;1607.808:341.658
1167609923,20723;1601.664:337.608
1167609923,24572;
1167609923,28315;1887.168:359.262
1167609923,31042;1860.672:342.306
1167609923,34807;1851.648:345.87
1167609923,39389;1862.784:334.044
1167609923,43536;1868.928:349.596
1167609923,47813;1840.704:260.928
1167609923,52413;1845.024:247.32
1167609923,56508;1862.112:258.822
1167609923,60826;1874.592:248.076
1167609923,65056;1049.088:221.508
1167609923,69272;293.568:207.252
1167609923,73845;303.936:216.324
1167609923,77828;250.464:232.848
1167609923,82172;260.64:235.764
1167609923,8725;260.256:218.106
1167609923,91578;
1167609923,95607;135.744:300.132
1167609924,00414;131.04:310.122
1167609924,04162;137.088:310.014
1167609924,08555;124.992:303.048
1167609924,1235;119.328:298.944
1167609924,17057;
1167609924,21432;
1167609924,25987;165.408:303.264
1167609924,30114;365.28:366.552
1167609924,34713;338.688:357.534
1167609924,38499;367.968:365.85
1167609924,43418;346.944:359.1
1167609924,47162;358.752:358.668
1167609924,51113;373.824:357.372
1167609924,55063;273.024:348.516
1167609924,59007;253.824:346.626
1167609924,62923;249.792:342.738
1167609924,67533;256.992:347.598
1167609924,72134;339.168:349.92
1167609924,75958;1281.216:343.386
1167609924,79893;1327.68:342.198
1167609924,83641;1339.296:338.202
1167609924,87848;
1167609924,9207;1343.136:348.948
1167609924,94836;1559.712:352.674
1167609924,98557;890.592:502.362
1167609925,02306;1641.888:358.938
1167609925,06771;1696.32:373.086
1167609925,11212;1681.632:369.198
1167609925,14954;1674.048:356.076
1167609925,18678;1774.176:367.902
1167609925,22406;1763.136:382.05
1167609925,26117;1788.192:366.282
1167609925,29818;1801.152:355.212
1167609925,34156;1793.76:354.402
1167609925,38147;1816.032:346.14
1167609925,42257;1814.016:353.754
1167609925,46549;1812.768:365.04
1167609925,51143;1306.656:340.578
1167609925,55247;470.016:354.78
1167609925,59015;467.328:343.062
1167609925,63581;465.792:353.7
1167609925,67455;443.328:336.636
1167609925,71723;448.704:329.076
1167609925,7647;355.776:348.408
1167609925,81596;338.688:370.44
1167609925,86012;356.736:359.586
1167609925,90497;343.872:364.932
1167609925,95144;354.144:371.034
1167609926,00165;329.856:366.93
1167609926,03945;389.088:369.468
1167609926,08974;561.504:381.51
1167609926,12827;532.512:372.492
1167609926,17248;535.008:370.44
1167609926,21128;528.864:369.468
1167609926,25513;558.624:373.248
1167609926,29474;526.464:362.718
1167609926,33947;546.72:369.954
1167609926,37864;
1167609926,42211;538.752:367.632
1167609926,46974;534.528:361.368
1167609926,51083;443.04:341.928
1167609926,55257;421.536:327.78
1167609926,59172;424.128:346.626
1167609926,63114;438.336:357.858
1167609926,67037;426.048:328.428
1167609926,70959;439.488:338.526
1167609926,74898;424.896:347.004
1167609926,78823;411.936:337.392
1167609926,82754;408.672:374.436
1167609926,86659;513.6:689.472
1167609926,90539;503.04:708.534
1167609926,94868;473.856:709.074
1167609926,98573;502.56:728.136
1167609927,02409;516.288:717.714
1167609927,06162;491.424:715.608
1167609927,10018;518.592:731.16
1167609927,1385;534.912:713.772
1167609927,17809;501.024:715.284
1167609927,21676;507.072:597.942
1167609927,25541;463.008:400.14
1167609927,29819;451.872:414.504
1167609927,33567;451.968:411.534
1167609927,37474;462.528:410.238
1167609927,41362;384.672:343.116
1167609927,45371;383.808:335.232
1167609927,49246;373.536:335.772
1167609927,54056;383.808:350.892
1167609927,58467;797.472:309.366
1167609927,62195;1371.552:307.746
1167609927,66097;1386.72:303.426
1167609927,70394;1381.44:284.04
1167609927,7424;1405.44:313.146
1167609927,78577;1382.976:305.478
1167609927,82435;1670.112:258.768
1167609927,86861;1685.28:250.02
1167609927,90716;1677.984:268.596
1167609927,95029;1714.176:252.288
1167609927,98826;1681.536:259.47
1167609928,03254;1684.416:255.744
1167609928,07415;1656.096:260.55
1167609928,12036;1660.032:267.246
1167609928,16211;1665.216:274.914
1167609928,20866;1637.952:222.966
1167609928,2504;1647.552:233.442
1167609928,29713;1646.4:231.12
1167609928,33837;1639.488:232.038
1167609928,38942;1644.96:229.986
1167609928,43326;1658.304:228.204
1167609928,47413;833.952:186.624
1167609928,51506;691.392:193.86
1167609928,55915;699.936:183.924
1167609928,6021;694.368:182.844
1167609928,64495;695.52:187.11
1167609928,68841;464.928:272.214
1167609928,73336;467.52:284.526
1167609928,77849;465.216:287.766
1167609928,82362;444.0:302.238
1167609928,86494;1432.32:229.176
1167609928,90945;1642.56:211.248
1167609928,95388;1632.48:209.466
1167609928,9942;1643.232:211.086
1167609929,03351;1637.472:202.554
1167609929,07348;1633.632:220.212
1167609929,11326;1678.944:218.16
1167609929,15344;1660.992:219.132
1167609929,19343;1679.52:221.454
1167609929,23413;1668.576:229.23
1167609929,27509;1685.088:228.96
1167609929,31629;1685.952:225.666
1167609929,35821;1690.08:230.634
1167609929,40009;1691.712:216.054
1167609929,44074;1683.168:227.07
1167609929,48732;1682.592:215.19
1167609929,52909;1862.208:398.25
1167609929,57177;1873.056:391.014
1167609929,61324;1835.52:414.072
