Timestamp;GazePoint
636216488569,502;
1167609983,29091;1312.8:1243.242
1167609983,33305;1276.032:1229.094
1167609983,37499;1289.856:1233.954
1167609983,41397;1282.56:1239.084
1167609983,45322;1276.416:1233.792
1167609983,49236;1277.664:1231.848
1167609983,53156;1211.52:917.784
1167609983,57098;1121.28:531.036
1167609983,61231;1114.56:533.682
1167609983,65055;1144.128:493.236
1167609983,69866;1128.48:516.564
1167609983,73652;693.504:489.132
1167609983,77895;569.856:505.602
1167609983,82544;555.552:520.938
1167609983,86775;575.04:500.634
1167609983,91595;557.088:505.44
1167609983,95717;568.512:523.098
1167609983,99814;436.032:485.892
1167609984,03569;464.16:487.62
1167609984,07699;440.64:495.45
1167609984,1144;441.504:490.86
1167609984,15612;675.552:453.33
1167609984,19516;700.224:454.14
1167609984,24325;685.44:449.496
1167609984,28008;703.872:458.676
1167609984,32319;696.768:475.146
1167609984,36107;683.328:451.71
1167609984,404;694.56:441.072
1167609984,44658;688.896:454.68
1167609984,49026;1156.992:467.262
1167609984,53337;1425.792:471.258
1167609984,57814;1431.744:469.53
1167609984,62355;1420.32:475.524
1167609984,67313;1480.032:455.76
1167609984,71913;1481.184:456.84
1167609984,76169;828.384:750.33
1167609984,79971;1342.368:258.444
1167609984,84271;1260.096:214.434
1167609984,88098;1256.832:203.796
1167609984,91844;1243.68:206.658
1167609984,95627;1231.584:225.288
1167609985,00076;
1167609985,04512;814.656:175.338
1167609985,09028;803.232:186.678
1167609985,12836;813.696:177.282
1167609985,17364;803.808:181.656
1167609985,2181;676.992:207.9
1167609985,26214;662.304:232.092
1167609985,30091;664.608:234.306
1167609985,34742;672.96:238.356
1167609985,39309;683.136:222.156
1167609985,438;654.72:245.808
1167609985,47548;336.288:386.046
1167609985,51313;362.784:379.35
1167609985,55558;355.296:378.702
1167609985,59453;361.152:396.36
1167609985,63342;348.192:389.502
1167609985,6764;352.512:387.018
1167609985,71966;219.648:433.08
1167609985,76224;251.616:433.188
1167609985,80115;232.704:425.898
1167609985,83916;227.52:420.174
1167609985,8773;229.824:430.11
1167609985,92674;228.96:434.862
1167609985,96415;624.672:428.814
1167609986,00192;642.624:425.142
1167609986,03937;642.912:423.09
1167609986,07675;632.736:429.3
1167609986,12425;644.928:426.168
1167609986,16876;639.264:431.784
1167609986,21035;646.368:439.668
1167609986,24826;905.856:588.924
1167609986,29256;1312.608:630.99
1167609986,3375;1263.168:654.75
1167609986,38014;1257.984:655.668
1167609986,42249;1263.168:651.564
