Timestamp;Action;ActionArgs;LeftEye;RightEye
824,49736;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,54109;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,5791;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,62287;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,66664;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,70586;EyeTracking;BothEyesTracked;[0,2229,0,2806];[0,1173,0,2715]
1167609824,74516;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,80833;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,87907;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609824,91794;EyeTracking;BothEyesTracked;[0,4511,0,9545];[0,2900,0,6122]
1167609825,00091;EyeTracking;BothEyesTracked;[0,4240,0,6415];[0,2904,0,5967]
1167609825,0745;EyeTracking;BothEyesTracked;[0,4272,0,5825];[0,2899,0,6076]
1167609825,13158;EyeTracking;OnlyRightEyeTracked;[-,-];[0,2939,0,5874]
1167609825,18637;EyeTracking;BothEyesTracked;[0,4197,0,6017];[0,2997,0,5878]
1167609825,2458;EyeTracking;BothEyesTracked;[0,4217,0,5590];[0,2945,0,6011]
1167609825,29156;EyeTracking;BothEyesTracked;[0,4064,0,6031];[0,2918,0,5214]
1167609825,34983;EyeTracking;BothEyesTracked;[0,4097,0,5595];[0,3067,0,5937]
1167609825,40314;EyeTracking;BothEyesTracked;[0,4386,0,6151];[0,3217,0,5569]
1167609825,46019;EyeTracking;BothEyesTracked;[0,4443,0,5808];[0,3119,0,5470]
1167609825,51213;EyeTracking;BothEyesTracked;[0,4284,0,6096];[0,3117,0,5340]
1167609825,56396;EyeTracking;BothEyesTracked;[0,4343,0,6179];[0,3049,0,5790]
1167609825,61622;EyeTracking;BothEyesTracked;[0,4397,0,6037];[0,3074,0,5630]
1167609825,66846;EyeTracking;BothEyesTracked;[0,4285,0,5846];[0,3398,0,5488]
1167609825,72028;EyeTracking;BothEyesTracked;[0,4335,0,5126];[0,3253,0,5824]
1167609825,77145;EyeTracking;BothEyesTracked;[0,4206,0,6174];[0,3124,0,5959]
1167609825,82312;EyeTracking;BothEyesTracked;[0,4295,0,5770];[0,3114,0,5777]
1167609825,87483;EyeTracking;BothEyesTracked;[0,4471,0,5833];[0,3290,0,5369]
1167609825,9253;EyeTracking;BothEyesTracked;[0,4119,0,5829];[0,3177,0,5335]
1167609825,97656;EyeTracking;BothEyesTracked;[0,4036,0,5800];[0,2579,0,6509]
1167609826,03071;EyeTracking;BothEyesTracked;[0,4122,0,5823];[0,2656,0,6341]
1167609826,06567;EyeTracking;BothEyesTracked;[0,4145,0,5745];[0,2699,0,6160]
1167609826,1004;EyeTracking;BothEyesTracked;[0,4129,0,5852];[0,2743,0,6323]
1167609826,13454;EyeTracking;BothEyesTracked;[0,5157,0,4184];[0,3828,0,4757]
1167609826,1691;EyeTracking;BothEyesTracked;[0,5522,0,3775];[0,3890,0,4028]
1167609826,2029;EyeTracking;BothEyesTracked;[0,5459,0,3904];[0,4023,0,4140]
1167609826,23724;EyeTracking;BothEyesTracked;[0,5421,0,3715];[0,3926,0,4215]
1167609826,27184;EyeTracking;BothEyesTracked;[0,5450,0,3677];[0,3986,0,4311]
1167609826,30588;EyeTracking;BothEyesTracked;[0,5375,0,3785];[0,3979,0,4226]
1167609826,34015;EyeTracking;BothEyesTracked;[0,5414,0,3794];[0,3903,0,4086]
1167609826,37441;EyeTracking;BothEyesTracked;[0,5456,0,3908];[0,3909,0,4201]
1167609826,40908;EyeTracking;BothEyesTracked;[0,5424,0,3848];[0,3851,0,4158]
1167609826,4432;EyeTracking;BothEyesTracked;[0,5475,0,3919];[0,3987,0,4243]
1167609826,47782;EyeTracking;BothEyesTracked;[0,5476,0,3779];[0,3828,0,4142]
1167609826,51241;EyeTracking;BothEyesTracked;[0,4973,0,3940];[0,3497,0,4156]
1167609826,55076;EyeTracking;BothEyesTracked;[0,2634,0,3509];[0,0831,0,3778]
1167609826,58477;EyeTracking;BothEyesTracked;[0,2508,0,3549];[0,0905,0,3798]
1167609826,62547;EyeTracking;BothEyesTracked;[0,2542,0,3412];[0,0980,0,3838]
1167609826,66033;EyeTracking;BothEyesTracked;[0,2527,0,3628];[0,1018,0,3814]
1167609826,69611;EyeTracking;BothEyesTracked;[0,2497,0,3469];[0,1031,0,3924]
1167609826,73555;EyeTracking;BothEyesTracked;[0,2570,0,3575];[0,0980,0,3757]
1167609826,77147;EyeTracking;BothEyesTracked;[0,2538,0,3612];[0,0872,0,3756]
1167609826,81055;EyeTracking;BothEyesTracked;[0,2549,0,3454];[0,0856,0,3780]
1167609826,85251;EyeTracking;BothEyesTracked;[0,2635,0,3665];[0,1029,0,3873]
1167609826,89934;EyeTracking;BothEyesTracked;[0,2526,0,3488];[0,0970,0,3773]
1167609826,93521;EyeTracking;BothEyesTracked;[0,2599,0,3577];[0,0952,0,3859]
1167609826,97467;EyeTracking;BothEyesTracked;[0,2480,0,3568];[0,1045,0,3897]
1167609827,01622;EyeTracking;BothEyesTracked;[0,2554,0,3489];[0,1103,0,3728]
1167609827,05713;EyeTracking;BothEyesTracked;[0,2550,0,3657];[0,0949,0,3680]
1167609827,09324;EyeTracking;BothEyesTracked;[0,2557,0,3580];[0,0980,0,3936]
1167609827,13344;EyeTracking;BothEyesTracked;[0,2450,0,3542];[0,1008,0,3731]
1167609827,16918;EyeTracking;BothEyesTracked;[0,2589,0,3525];[0,1064,0,3827]
1167609827,21494;EyeTracking;BothEyesTracked;[0,2543,0,3522];[0,1039,0,3794]
1167609827,25112;EyeTracking;BothEyesTracked;[0,2443,0,3495];[0,1063,0,3797]
1167609827,29712;EyeTracking;BothEyesTracked;[0,2535,0,3519];[0,0989,0,3695]
1167609827,33314;EyeTracking;BothEyesTracked;[0,2340,0,3490];[0,1114,0,3607]
1167609827,37288;EyeTracking;BothEyesTracked;[0,2663,0,3560];[0,1148,0,3602]
1167609827,40821;EyeTracking;BothEyesTracked;[0,2491,0,3449];[0,0929,0,3708]
1167609827,44457;EyeTracking;BothEyesTracked;[0,2509,0,3612];[0,0873,0,3646]
1167609827,48114;EyeTracking;BothEyesTracked;[0,2557,0,3558];[0,0932,0,3686]
1167609827,52354;EyeTracking;BothEyesTracked;[0,2559,0,3441];[0,0911,0,3631]
1167609827,55986;EyeTracking;BothEyesTracked;[0,2508,0,3674];[0,1026,0,3846]
1167609827,60258;EyeTracking;BothEyesTracked;[0,2466,0,3573];[0,0986,0,3633]
1167609827,63917;EyeTracking;BothEyesTracked;[0,2559,0,3638];[0,1067,0,3622]
1167609827,67595;EyeTracking;BothEyesTracked;[0,2511,0,3591];[0,0999,0,3643]
1167609827,71243;EyeTracking;BothEyesTracked;[0,2356,0,3532];[0,0919,0,3580]
1167609827,75511;EyeTracking;BothEyesTracked;[0,2458,0,3465];[0,1030,0,3658]
1167609827,79158;EyeTracking;BothEyesTracked;[0,2415,0,3464];[0,0964,0,3584]
1167609827,82828;EyeTracking;BothEyesTracked;[0,2453,0,3590];[0,0938,0,3526]
1167609827,87143;EyeTracking;BothEyesTracked;[0,2578,0,3556];[0,1184,0,3580]
1167609827,91413;EyeTracking;BothEyesTracked;[0,2379,0,3454];[0,0944,0,3433]
1167609827,95088;EyeTracking;BothEyesTracked;[0,2459,0,3411];[0,1025,0,3457]
1167609827,99385;EyeTracking;BothEyesTracked;[0,2640,0,3599];[0,1099,0,3442]
1167609828,03098;EyeTracking;BothEyesTracked;[0,3430,0,3675];[0,1927,0,3859]
1167609828,07448;EyeTracking;BothEyesTracked;[0,3634,0,3919];[0,2059,0,3755]
1167609828,11131;EyeTracking;BothEyesTracked;[0,3549,0,3769];[0,1973,0,3797]
1167609828,14811;EyeTracking;BothEyesTracked;[0,3493,0,3864];[0,2053,0,3765]
1167609828,18508;EyeTracking;BothEyesTracked;[0,3659,0,3801];[0,1943,0,3891]
1167609828,22168;EyeTracking;BothEyesTracked;[0,3467,0,3682];[0,2089,0,3912]
1167609828,25843;EyeTracking;BothEyesTracked;[0,3508,0,3821];[0,2069,0,3810]
1167609828,29538;EyeTracking;BothEyesTracked;[0,3497,0,3891];[0,2116,0,3741]
1167609828,33236;EyeTracking;BothEyesTracked;[0,3975,0,3432];[0,2635,0,3364]
1167609828,36915;EyeTracking;BothEyesTracked;[0,4216,0,3115];[0,2636,0,2966]
1167609828,40605;EyeTracking;BothEyesTracked;[0,4086,0,3014];[0,2884,0,3021]
1167609828,44943;EyeTracking;BothEyesTracked;[0,4068,0,3034];[0,2964,0,3244]
1167609828,4899;EyeTracking;BothEyesTracked;[0,4162,0,3159];[0,2766,0,2998]
1167609828,52655;EyeTracking;BothEyesTracked;[0,4061,0,3047];[0,2778,0,3169]
1167609828,56346;EyeTracking;BothEyesTracked;[0,4107,0,3251];[0,2749,0,3127]
1167609828,60022;EyeTracking;BothEyesTracked;[0,4085,0,3054];[0,2797,0,3274]
1167609828,637;EyeTracking;BothEyesTracked;[0,4157,0,3121];[0,2705,0,3231]
1167609828,6767;EyeTracking;BothEyesTracked;[0,4127,0,3113];[0,2839,0,3222]
1167609828,71411;EyeTracking;BothEyesTracked;[0,4206,0,3055];[0,2728,0,3289]
1167609828,7549;EyeTracking;BothEyesTracked;[0,4199,0,3262];[0,2687,0,3270]
1167609828,79221;EyeTracking;BothEyesTracked;[0,4153,0,3284];[0,2773,0,3148]
1167609828,84138;EyeTracking;BothEyesTracked;[0,4285,0,3175];[0,2936,0,3356]
1167609828,87832;EyeTracking;BothEyesTracked;[0,4813,0,3360];[0,3395,0,3456]
1167609828,91984;EyeTracking;BothEyesTracked;[0,4987,0,3449];[0,3396,0,3507]
1167609828,95671;EyeTracking;BothEyesTracked;[0,5021,0,3495];[0,3340,0,3572]
1167609828,99844;EyeTracking;BothEyesTracked;[0,4888,0,3567];[0,3463,0,3546]
1167609829,0354;EyeTracking;BothEyesTracked;[0,4938,0,3540];[0,3402,0,3621]
1167609829,07643;EyeTracking;BothEyesTracked;[0,4891,0,3474];[0,3425,0,3528]
