Timestamp;GazePoint
636217373099,051;
1167610207,74848;892.608:575.856
1167610207,79518;
1167610207,84154;
1167610207,88833;
1167610207,92998;
1167610207,97184;
1167610208,0156;802.176:417.258
1167610208,05918;836.928:476.334
1167610208,11614;840.48:444.042
1167610208,16184;832.704:462.726
1167610208,20235;831.84:467.694
1167610208,25494;753.696:482.274
1167610208,30472;757.056:469.152
1167610208,35584;746.976:492.426
1167610208,39682;1005.504:458.082
1167610208,44631;1409.28:543.726
1167610208,48715;1383.072:563.436
1167610208,53481;1394.112:524.448
1167610208,58934;1398.432:528.444
1167610208,63767;1403.04:523.422
1167610208,6831;1133.28:407.484
1167610208,7275;1148.16:419.526
1167610208,77586;1142.592:399.708
1167610208,82839;1137.504:431.568
1167610208,8731;1159.296:410.508
1167610208,92727;1074.816:381.996
1167610208,97646;1086.624:389.124
1167610209,02722;1084.128:387.126
1167610209,07244;820.896:298.89
1167610209,11848;445.728:247.59
1167610209,15869;433.44:244.836
1167610209,21106;456.48:237.978
1167610209,25584;440.256:252.288
1167610209,29985;432.384:254.826
1167610209,34075;437.856:259.47
1167610209,38182;351.744:259.146
1167610209,42354;119.904:263.574
1167610209,4652;96.288:246.24
1167610209,50692;85.824:240.354
1167610209,54728;95.904:270.27
1167610209,5879;104.448:257.31
1167610209,62821;99.264:254.556
1167610209,66793;135.744:236.898
1167610209,70852;1028.64:510.3
1167610209,75006;1444.32:624.834
1167610209,78789;1444.416:623.97
1167610209,82742;1441.92:605.988
1167610209,87185;1448.448:604.044
1167610209,91219;1450.656:627.588
1167610209,95295;1445.952:631.638
1167610209,99739;1448.448:624.726
1167610210,04283;1371.648:876.42
1167610210,09011;1344.768:880.902
1167610210,13181;1355.712:880.2
1167610210,16958;1337.664:875.448
1167610210,20825;1345.248:870.75
1167610210,24681;1353.792:874.53
1167610210,28514;1371.84:888.462
1167610210,32565;1346.208:874.098
1167610210,36667;1338.624:863.568
1167610210,40985;1334.88:874.746
1167610210,44952;1373.472:898.668
1167610210,4945;1382.208:884.088
