Timestamp;GazePoint
636217372420,862;
1167610139,96922;936.672:602.532
1167610140,00567;937.728:602.478
1167610140,04293;935.808:583.848
1167610140,08027;932.064:590.706
1167610140,11749;940.416:575.802
1167610140,15971;936.96:570.294
1167610140,19778;509.664:540.216
1167610140,23578;522.336:553.608
1167610140,27227;535.392:547.182
1167610140,30793;520.512:541.566
1167610140,34788;537.696:552.15
1167610140,38412;537.888:548.1
1167610140,42135;529.92:547.776
1167610140,4581;528.48:548.37
1167610140,49456;522.432:538.758
1167610140,53157;539.712:522.99
1167610140,57111;550.56:524.772
1167610140,60816;536.736:547.722
1167610140,65064;549.984:527.58
1167610140,68834;500.544:507.816
1167610140,73276;514.464:482.166
1167610140,77057;501.888:500.634
1167610140,81332;503.232:498.42
1167610140,85045;519.744:479.682
1167610140,89365;500.928:494.424
1167610140,9314;505.632:507.762
1167610140,97373;514.08:479.034
1167610141,01124;939.168:455.112
1167610141,05338;1376.928:419.418
1167610141,09535;1356.288:450.468
1167610141,14635;1368.768:427.842
1167610141,19705;1381.44:436.968
1167610141,2426;1454.208:481.788
1167610141,28641;1478.112:476.982
1167610141,33054;1474.56:495.072
1167610141,36895;1476.672:474.606
1167610141,40726;1471.584:499.554
1167610141,44565;1471.392:477.846
1167610141,48927;1444.032:472.986
1167610141,52764;1461.216:487.08
1167610141,57264;1464.768:486.054
1167610141,61678;1453.536:489.186
1167610141,66124;1439.712:497.556
1167610141,71199;1378.944:249.696
1167610141,76368;1396.416:215.568
1167610141,80716;1370.208:210.87
1167610141,84512;1381.728:201.69
1167610141,88312;1349.856:216.972
1167610141,9215;1338.816:234.036
1167610141,95915;1348.416:218.052
1167610142,00222;1348.128:220.482
1167610142,04019;1341.312:211.572
1167610142,07839;711.744:319.14
1167610142,11595;465.312:378.486
1167610142,15622;456.672:374.274
1167610142,20047;456.576:390.42
1167610142,24465;459.744:369.63
1167610142,29213;463.968:389.934
1167610142,33415;
1167610142,37057;507.744:477.36
1167610142,39812;498.528:483.354
1167610142,44155;497.568:497.124
1167610142,47989;496.32:487.35
1167610142,52679;498.048:493.182
1167610142,5656;483.36:512.514
1167610142,60874;320.832:712.044
1167610142,6479;307.104:721.224
1167610142,70197;302.88:712.8
1167610142,74281;292.896:741.744
1167610142,78951;303.168:709.344
1167610142,84115;312.576:718.47
1167610142,88806;519.744:502.308
1167610142,92774;524.928:510.948
1167610142,97223;513.792:520.182
1167610143,01349;502.368:527.634
1167610143,05845;518.688:500.04
1167610143,10564;517.056:512.406
1167610143,15031;516.864:507.492
1167610143,19199;307.872:745.686
1167610143,23679;312.096:741.258
1167610143,27867;310.176:744.876
1167610143,32561;297.408:727.596
1167610143,37342;290.88:745.092
1167610143,4208;277.728:737.64
1167610143,46906;300.864:735.48
1167610143,50826;295.008:731.538
1167610143,55521;295.872:730.188
1167610143,59412;274.176:744.552
1167610143,63882;280.608:716.256
1167610143,68478;301.44:716.742
1167610143,7264;308.352:709.128
1167610143,76757;302.976:734.778
1167610143,80685;299.232:726.948
1167610143,84696;296.16:722.952
1167610143,89415;346.272:560.898
1167610143,93362;418.656:529.146
1167610143,97307;411.264:542.916
1167610144,02066;408.48:521.748
1167610144,06783;484.896:480.924
1167610144,11566;506.88:475.524
1167610144,15607;505.056:478.98
1167610144,20274;499.584:468.936
1167610144,24344;501.984:488.106
1167610144,28482;521.184:468.342
1167610144,33611;490.56:503.874
1167610144,37566;490.272:485.784
1167610144,42915;489.408:253.476
1167610144,47652;
1167610144,52096;484.608:242.406
1167610144,57295;483.168:225.882
1167610144,6185;477.216:250.074
1167610144,66042;469.344:253.908
1167610144,70829;546.144:261.09
1167610144,7512;543.168:257.85
1167610144,7981;550.368:266.814
1167610144,83855;542.88:259.74
1167610144,88485;533.856:267.246
1167610144,92575;506.112:256.338
1167610144,97864;426.816:121.122
1167610145,02732;425.76:139.482
1167610145,07384;427.2:116.91
1167610145,11437;422.592:140.616
1167610145,1598;424.32:143.316
1167610145,20185;247.968:185.598
