Timestamp;GazePoint
636217374018,644;
1167610299,73471;924.576:580.446
1167610299,77031;943.776:589.194
1167610299,81178;944.64:593.028
1167610299,84775;945.12:591.84
1167610299,88776;937.728:587.52
1167610299,92335;951.648:599.886
1167610299,96368;952.704:571.698
1167610300,00008;949.344:580.662
1167610300,04134;936.48:607.554
1167610300,07822;943.008:583.686
1167610300,12374;719.424:484.542
1167610300,15941;692.448:456.354
1167610300,19636;672.864:508.356
1167610300,23262;680.448:493.398
1167610300,27415;686.4:461.052
1167610300,31551;666.24:485.136
1167610300,35172;681.6:488.754
1167610300,38808;684.768:483.138
1167610300,42451;488.736:511.326
1167610300,4608;501.696:508.896
1167610300,49632;491.232:523.314
1167610300,53185;486.816:525.042
1167610300,5679;487.68:526.608
1167610300,60417;568.128:501.984
1167610300,63998;552.768:522.774
1167610300,67619;558.624:534.006
1167610300,71246;542.688:515.97
1167610300,7541;569.184:875.124
1167610300,79034;556.992:888.624
1167610300,82651;565.824:892.62
1167610300,86286;570.24:882.36
1167610300,89932;533.28:902.34
1167610300,93558;525.984:891.918
1167610300,97248;517.632:889.65
1167610301,00932;527.808:901.314
1167610301,04621;528.288:882.738
1167610301,08327;530.208:890.244
1167610301,12029;527.904:884.628
1167610301,15728;513.12:888.354
1167610301,19414;526.752:925.452
1167610301,23411;525.888:930.636
1167610301,2704;518.016:919.836
1167610301,30717;519.744:919.188
1167610301,34411;548.736:925.992
1167610301,37965;541.44:923.832
1167610301,41986;544.128:914.544
1167610301,45735;536.352:837.918
1167610301,49928;537.696:825.768
1167610301,53744;540.096:834.03
1167610301,58047;547.68:828.684
1167610301,61876;551.616:835.812
1167610301,66118;531.744:842.94
1167610301,69808;534.72:824.796
1167610301,74143;528.864:832.302
1167610301,78013;555.552:824.634
1167610301,82261;533.664:834.3
1167610301,86071;535.968:838.998
1167610301,90357;536.64:835.056
1167610301,94322;519.36:829.71
1167610301,98786;537.024:818.424
1167610302,02783;532.032:824.364
1167610302,0705;524.352:830.736
1167610302,1088;525.408:827.442
1167610302,14751;525.6:827.01
1167610302,18623;539.616:844.452
1167610302,2242;535.2:827.118
1167610302,26242;546.336:820.746
1167610302,30028;542.304:844.83
1167610302,33917;315.744:802.818
1167610302,37716;101.568:696.438
1167610302,42138;62.016:721.98
1167610302,46619;83.616:691.902
1167610302,51673;64.512:728.082
1167610302,56033;85.824:739.692
1167610302,60863;
1167610302,65313;91.872:716.58
1167610302,68583;98.304:695.79
1167610302,72869;79.392:731.106
1167610302,77279;81.504:726.462
1167610302,82313;100.32:711.072
1167610302,87338;146.688:605.61
1167610302,91718;
1167610302,9557;
1167610302,99023;122.976:676.998
1167610303,01897;558.816:553.068
1167610303,06947;930.816:521.046
1167610303,11509;921.6:570.078
1167610303,15715;940.896:548.208
1167610303,20878;985.824:512.082
1167610303,25319;1207.68:509.598
1167610303,29758;1216.8:518.184
1167610303,34754;
1167610303,39212;1216.416:504.252
1167610303,42395;1230.816:489.888
1167610303,46369;1153.44:475.308
1167610303,50881;1177.152:457.164
1167610303,55384;1178.496:439.398
1167610303,5971;
1167610303,64147;1161.504:449.442
1167610303,68162;1351.296:495.558
1167610303,73252;1319.136:539.514
1167610303,7762;1517.952:622.674
1167610303,82082;1507.2:651.294
1167610303,86434;
1167610303,90876;
1167610303,93478;
1167610303,96132;
1167610303,98731;
1167610304,0139;
1167610304,04122;
