Timestamp;GazePoint
636217372757,441;
1167610173,68038;
1167610173,72532;
1167610173,7704;
1167610173,81537;
1167610173,85912;
1167610173,89713;
1167610173,94092;
1167610173,97505;
1167610174,01337;
1167610174,05873;460.896:600.75
1167610174,09728;
1167610174,1345;
1167610174,16173;
1167610174,19432;233.952:641.952
1167610174,22336;244.512:629.532
1167610174,26012;240.288:629.478
1167610174,29965;226.656:634.824
1167610174,33877;221.184:645.084
1167610174,37728;124.032:678.024
1167610174,42165;123.168:674.946
1167610174,46074;134.016:672.516
1167610174,49868;144.864:699.3
1167610174,53724;147.264:675.162
1167610174,58043;139.008:671.544
1167610174,61761;140.448:679.752
1167610174,65446;132.192:678.348
1167610174,6919;650.4:917.622
1167610174,7292;845.952:942.894
1167610174,76553;851.904:958.284
1167610174,80243;826.752:953.748
1167610174,83874;804.864:978.858
1167610174,8756;811.488:973.674
1167610174,91205;809.568:969.678
1167610174,94742;1084.032:767.826
1167610174,98435;1440.288:581.148
1167610175,0225;1424.928:585.576
1167610175,06064;1426.56:577.152
1167610175,10063;1420.512:578.178
1167610175,13927;1417.824:575.964
1167610175,17629;1426.56:574.398
1167610175,21365;1428.0:579.906
1167610175,25031;1437.984:563.22
1167610175,2916;1368.288:630.612
1167610175,32875;1360.8:632.502
1167610175,36438;1350.528:639.9
1167610175,40073;1349.568:625.968
1167610175,43767;1228.032:592.164
1167610175,4783;1213.536:579.96
1167610175,51722;1229.184:584.658
1167610175,56071;1223.52:587.844
1167610175,59898;1235.424:589.032
1167610175,64469;1228.512:568.998
1167610175,68471;1226.976:586.71
1167610175,72868;1224.576:572.4
1167610175,76825;1219.008:585.036
1167610175,813;1222.944:561.06
1167610175,85297;1331.328:595.674
1167610175,89767;1319.232:591.03
1167610175,9425;1318.272:586.602
1167610175,99208;1321.824:581.472
1167610176,03749;1471.2:578.556
1167610176,08763;1459.2:581.364
1167610176,12763;1471.008:569.214
1167610176,16976;1457.664:571.212
1167610176,20837;1411.968:603.666
1167610176,24728;1425.216:610.956
1167610176,28593;1419.84:598.968
1167610176,32407;1415.424:608.04
1167610176,36097;1399.968:611.28
1167610176,39857;1522.272:591.732
1167610176,43645;1528.992:592.812
1167610176,47463;1526.784:593.946
1167610176,51329;1521.408:588.654
1167610176,55098;1520.256:592.704
1167610176,5898;1525.536:583.848
1167610176,62968;1529.184:595.404
1167610176,66773;1526.208:587.952
1167610176,70637;1515.264:600.372
1167610176,74583;888.288:561.546
1167610176,78353;371.424:616.032
1167610176,82814;356.736:625.212
1167610176,87307;368.256:610.038
1167610176,91658;360.864:619.056
1167610176,9618;377.76:617.004
