Timestamp;Action;ActionArgs;LeftEye;RightEye
9956,80462;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609956,84713;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609956,89135;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609956,92977;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609956,97397;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609957,01819;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609957,05778;EyeTracking;BothEyesTracked;[0,0653,0,3775];[0,0475,0,4127]
1167609957,09651;EyeTracking;BothEyesTracked;[0,0447,0,4209];[0,0246,0,3932]
1167609957,21036;EyeTracking;BothEyesTracked;[0,0800,0,3513];[0,0403,0,4161]
1167609957,2862;EyeTracking;BothEyesTracked;[0,0550,0,3653];[0,0537,0,3924]
1167609957,35188;EyeTracking;BothEyesTracked;[0,0518,0,3716];[0,0384,0,4255]
1167609957,41185;EyeTracking;BothEyesTracked;[0,0622,0,3877];[0,0476,0,4181]
1167609957,48861;EyeTracking;BothEyesTracked;[0,0731,0,3692];[0,0476,0,4184]
1167609957,55132;EyeTracking;BothEyesTracked;[0,0758,0,3634];[0,0528,0,4019]
1167609957,62006;EyeTracking;BothEyesTracked;[0,0843,0,4130];[0,0401,0,4368]
1167609957,70483;EyeTracking;BothEyesTracked;[0,2410,0,3631];[0,2697,0,3739]
1167609957,772;EyeTracking;BothEyesTracked;[0,3463,0,4179];[0,3182,0,4153]
1167609957,83233;EyeTracking;BothEyesTracked;[0,3510,0,4062];[0,3321,0,4207]
1167609957,90826;EyeTracking;BothEyesTracked;[0,3469,0,4035];[0,3235,0,4408]
1167609957,96944;EyeTracking;BothEyesTracked;[0,3149,0,3879];[0,3358,0,4046]
1167609958,03079;EyeTracking;BothEyesTracked;[0,2620,0,4047];[0,2694,0,4434]
1167609958,10597;EyeTracking;BothEyesTracked;[0,2236,0,3659];[0,2526,0,3991]
1167609958,17187;EyeTracking;BothEyesTracked;[0,2476,0,3996];[0,2434,0,3897]
1167609958,2358;EyeTracking;BothEyesTracked;[0,2728,0,3839];[0,2628,0,4088]
1167609958,29972;EyeTracking;BothEyesTracked;[0,2443,0,4038];[0,2441,0,3773]
1167609958,36342;EyeTracking;BothEyesTracked;[0,0609,0,4384];[0,0527,0,4037]
1167609958,42621;EyeTracking;BothEyesTracked;[0,0381,0,4280];[0,0045,0,4401]
1167609958,49248;EyeTracking;BothEyesTracked;[0,0373,0,4085];[0,0156,0,4359]
1167609958,54369;EyeTracking;BothEyesTracked;[0,0330,0,4110];[0,0109,0,4342]
1167609958,58325;EyeTracking;BothEyesTracked;[0,0270,0,4176];[0,0203,0,4295]
1167609958,62472;EyeTracking;BothEyesTracked;[0,0425,0,4258];[0,0128,0,4259]
1167609958,66498;EyeTracking;BothEyesTracked;[0,0324,0,4173];[-0,0031,0,4282]
1167609958,70575;EyeTracking;BothEyesTracked;[0,0222,0,4196];[-0,0065,0,4433]
1167609958,75352;EyeTracking;BothEyesTracked;[0,0289,0,4312];[-0,0006,0,4265]
1167609958,79458;EyeTracking;BothEyesTracked;[0,0294,0,4323];[0,0075,0,4327]
1167609958,83853;EyeTracking;BothEyesTracked;[0,0268,0,4395];[-0,0060,0,4321]
1167609958,8798;EyeTracking;OnlyLeftEyeTracked;[0,0281,0,4250];[-,-]
1167609958,92105;EyeTracking;OnlyLeftEyeTracked;[0,0265,0,4384];[-,-]
1167609958,95675;EyeTracking;OnlyLeftEyeTracked;[0,0262,0,4346];[-,-]
1167609958,99363;EyeTracking;OnlyLeftEyeTracked;[0,0324,0,4192];[-,-]
1167609959,02617;EyeTracking;OnlyLeftEyeTracked;[0,0294,0,4235];[-,-]
1167609959,06012;EyeTracking;OnlyLeftEyeTracked;[0,0377,0,4290];[-,-]
1167609959,09324;EyeTracking;OnlyLeftEyeTracked;[0,0307,0,4389];[-,-]
1167609959,13106;EyeTracking;OnlyLeftEyeTracked;[0,0212,0,4451];[-,-]
1167609959,17308;EyeTracking;BothEyesTracked;[0,2825,0,4026];[0,2639,0,3776]
1167609959,22038;EyeTracking;BothEyesTracked;[0,2847,0,3818];[0,2609,0,3999]
1167609959,25983;EyeTracking;BothEyesTracked;[0,2858,0,4102];[0,2632,0,3932]
1167609959,30693;EyeTracking;BothEyesTracked;[0,2788,0,3925];[0,2558,0,4089]
1167609959,34958;EyeTracking;BothEyesTracked;[0,2868,0,3723];[0,2618,0,3936]
1167609959,39915;EyeTracking;BothEyesTracked;[0,2800,0,3828];[0,2601,0,3921]
1167609959,44214;EyeTracking;BothEyesTracked;[0,2824,0,3740];[0,2626,0,4115]
1167609959,49065;EyeTracking;BothEyesTracked;[0,2200,0,4025];[0,2165,0,3777]
1167609959,53316;EyeTracking;BothEyesTracked;[0,2219,0,4065];[0,2001,0,4103]
1167609959,58187;EyeTracking;BothEyesTracked;[0,2212,0,3951];[0,1943,0,3958]
1167609959,62577;EyeTracking;BothEyesTracked;[0,1977,0,4228];[0,1990,0,4008]
1167609959,67536;EyeTracking;BothEyesTracked;[0,2227,0,4132];[0,1920,0,4001]
1167609959,72687;EyeTracking;BothEyesTracked;[0,2154,0,4035];[0,1968,0,3933]
1167609959,77426;EyeTracking;BothEyesTracked;[0,2309,0,3937];[0,1928,0,3857]
1167609959,81655;EyeTracking;BothEyesTracked;[0,1541,0,4059];[0,1307,0,4458]
1167609959,85859;EyeTracking;BothEyesTracked;[0,0449,0,4532];[0,0096,0,4735]
1167609959,9019;EyeTracking;BothEyesTracked;[0,0455,0,4697];[0,0150,0,4772]
1167609959,9519;EyeTracking;BothEyesTracked;[0,0454,0,4684];[0,0105,0,4911]
1167609959,99333;EyeTracking;BothEyesTracked;[0,0392,0,4550];[0,0107,0,4681]
1167609960,03508;EyeTracking;BothEyesTracked;[0,0430,0,4821];[0,0086,0,4682]
1167609960,07771;EyeTracking;BothEyesTracked;[0,0416,0,4737];[0,0136,0,4713]
1167609960,12161;EyeTracking;BothEyesTracked;[0,0471,0,4676];[0,0179,0,4685]
1167609960,16292;EyeTracking;BothEyesTracked;[0,0524,0,4898];[0,0031,0,4703]
1167609960,20442;EyeTracking;BothEyesTracked;[0,0454,0,5079];[0,0097,0,4934]
1167609960,24981;EyeTracking;BothEyesTracked;[0,0439,0,5050];[0,0084,0,4628]
1167609960,29986;EyeTracking;BothEyesTracked;[0,0393,0,4649];[0,0034,0,4529]
1167609960,34928;EyeTracking;BothEyesTracked;[0,0352,0,4737];[-0,0098,0,4904]
1167609960,39116;EyeTracking;BothEyesTracked;[0,0391,0,4583];[-0,0004,0,5013]
1167609960,43415;EyeTracking;BothEyesTracked;[0,0411,0,4681];[-0,0022,0,4787]
1167609960,47897;EyeTracking;BothEyesTracked;[0,0316,0,4922];[0,0013,0,4794]
1167609960,52182;EyeTracking;BothEyesTracked;[0,0296,0,4504];[0,0132,0,4679]
1167609960,57224;EyeTracking;BothEyesTracked;[0,0277,0,4516];[0,0068,0,4601]
1167609960,61585;EyeTracking;OnlyRightEyeTracked;[-,-];[0,0108,0,4711]
1167609960,66048;EyeTracking;BothEyesTracked;[0,0411,0,4901];[0,0128,0,4634]
1167609960,70867;EyeTracking;BothEyesTracked;[0,0280,0,4823];[-0,4546,0,4587]
1167609960,76157;EyeTracking;BothEyesTracked;[0,0838,0,4642];[0,0405,0,4650]
1167609960,81311;EyeTracking;BothEyesTracked;[0,0831,0,4491];[0,0375,0,4788]
1167609960,86244;EyeTracking;BothEyesTracked;[0,0675,0,4703];[0,0267,0,4711]
1167609960,90522;EyeTracking;BothEyesTracked;[0,0640,0,4616];[0,0386,0,4644]
1167609960,95235;EyeTracking;BothEyesTracked;[0,0791,0,4603];[0,0399,0,4724]
1167609960,99857;EyeTracking;BothEyesTracked;[0,0558,0,4414];[0,0365,0,4646]
1167609961,04921;EyeTracking;BothEyesTracked;[0,0892,0,4659];[0,0546,0,4834]
1167609961,09585;EyeTracking;BothEyesTracked;[0,1040,0,4600];[0,0842,0,4735]
1167609961,14686;EyeTracking;BothEyesTracked;[0,0925,0,4634];[0,0861,0,4623]
1167609961,19371;EyeTracking;BothEyesTracked;[0,0980,0,4578];[0,0791,0,4867]
1167609961,24515;EyeTracking;BothEyesTracked;[0,1045,0,4456];[0,0865,0,4824]
1167609961,2901;EyeTracking;BothEyesTracked;[0,1588,0,4254];[0,1593,0,4291]
1167609961,34066;EyeTracking;BothEyesTracked;[0,1882,0,4246];[0,1562,0,4464]
1167609961,3871;EyeTracking;BothEyesTracked;[0,1835,0,4202];[0,1621,0,4288]
1167609961,43981;EyeTracking;BothEyesTracked;[0,1799,0,4423];[0,1686,0,4323]
1167609961,48533;EyeTracking;BothEyesTracked;[0,1873,0,4106];[0,1538,0,4371]
1167609961,53685;EyeTracking;BothEyesTracked;[0,1934,0,4157];[0,1736,0,4137]
1167609961,58927;EyeTracking;BothEyesTracked;[0,1891,0,4143];[0,1738,0,4145]
1167609961,63959;EyeTracking;BothEyesTracked;[0,1550,0,4214];[0,1343,0,4402]
1167609961,68424;EyeTracking;BothEyesTracked;[0,1598,0,4318];[0,1383,0,4320]
1167609961,73565;EyeTracking;BothEyesTracked;[0,1608,0,4324];[0,1303,0,4324]
1167609961,7802;EyeTracking;BothEyesTracked;[0,1602,0,4212];[0,1365,0,4482]
1167609961,83021;EyeTracking;BothEyesTracked;[0,1549,0,4233];[0,1246,0,4646]
1167609961,87261;EyeTracking;BothEyesTracked;[0,1636,0,4307];[0,1499,0,4344]
1167609961,92454;EyeTracking;BothEyesTracked;[0,1459,0,4518];[0,1273,0,4400]
1167609961,96936;EyeTracking;BothEyesTracked;[0,1585,0,4449];[0,1419,0,4338]
1167609962,02018;EyeTracking;BothEyesTracked;[0,1605,0,4410];[0,1411,0,4281]
1167609962,06312;EyeTracking;BothEyesTracked;[0,1548,0,4344];[0,1406,0,4428]
1167609962,10794;EyeTracking;BothEyesTracked;[0,1653,0,4408];[0,1223,0,4594]
1167609962,15219;EyeTracking;BothEyesTracked;[0,1441,0,4429];[0,1213,0,4549]
1167609962,20334;EyeTracking;BothEyesTracked;[0,1376,0,4455];[0,1109,0,4488]
1167609962,24718;EyeTracking;BothEyesTracked;[0,1373,0,4464];[0,1190,0,4469]
1167609962,29185;EyeTracking;BothEyesTracked;[0,1298,0,4523];[0,1176,0,4493]
1167609962,33672;EyeTracking;BothEyesTracked;[0,1404,0,4375];[0,0957,0,4662]
1167609962,37919;EyeTracking;BothEyesTracked;[0,1372,0,4509];[0,1146,0,4400]
1167609962,43143;EyeTracking;BothEyesTracked;[0,1407,0,4465];[0,1003,0,4721]
1167609962,47683;EyeTracking;BothEyesTracked;[0,1428,0,4403];[0,1190,0,4528]
1167609962,52933;EyeTracking;BothEyesTracked;[0,1397,0,4293];[0,1069,0,4685]
1167609962,5746;EyeTracking;BothEyesTracked;[0,1349,0,4555];[0,0983,0,4684]
1167609962,62624;EyeTracking;BothEyesTracked;[0,1307,0,4592];[0,1197,0,4554]
1167609962,67809;EyeTracking;BothEyesTracked;[0,1525,0,4614];[0,0711,0,6996]
1167609962,72012;EyeTracking;BothEyesTracked;[0,1660,0,4266];[0,1391,0,4248]
1167609962,76193;EyeTracking;BothEyesTracked;[0,1607,0,4093];[0,1421,0,4196]
1167609962,80474;EyeTracking;BothEyesTracked;[0,1493,0,4302];[0,1352,0,4336]
1167609962,8475;EyeTracking;BothEyesTracked;[0,1620,0,4280];[0,1366,0,4312]
1167609962,89229;EyeTracking;BothEyesTracked;[0,1672,0,4286];[0,1241,0,4421]
1167609962,93809;EyeTracking;BothEyesTracked;[0,1649,0,4421];[0,1421,0,4194]
1167609962,9893;EyeTracking;BothEyesTracked;[0,1697,0,4407];[0,1451,0,4211]
1167609963,03357;EyeTracking;BothEyesTracked;[0,1649,0,4189];[0,1311,0,4330]
1167609963,07732;EyeTracking;BothEyesTracked;[0,1673,0,4370];[0,1258,0,4410]
1167609963,13435;EyeTracking;BothEyesTracked;[0,1589,0,4370];[0,1256,0,4514]
1167609963,18666;EyeTracking;BothEyesTracked;[0,1701,0,4355];[0,1351,0,4206]
1167609963,24358;EyeTracking;BothEyesTracked;[0,1635,0,4403];[0,1427,0,4422]
