Timestamp;GazePoint
636214851816,688;
1167610456,03516;942.432:565.002
1167610456,06941;958.464:572.67
1167610456,10388;933.312:568.566
1167610456,13823;934.08:575.964
1167610456,17242;932.064:574.182
1167610456,20708;943.68:576.774
1167610456,24473;930.72:563.274
1167610456,2789;926.304:575.64
1167610456,31292;931.008:575.532
1167610456,34696;874.08:498.852
1167610456,38094;833.568:504.414
1167610456,41497;852.48:449.982
1167610456,45277;840.864:467.478
1167610456,48783;847.584:482.76
1167610456,52618;826.464:476.874
1167610456,56116;1315.008:542.754
1167610456,60127;1416.384:574.884
1167610456,63575;1407.456:584.496
1167610456,67346;1393.92:610.308
1167610456,70741;1403.808:599.562
1167610456,74652;1423.008:585.306
1167610456,78109;1420.32:602.532
1167610456,81889;1419.456:455.49
1167610456,85216;1453.056:436.32
1167610456,89492;1488.288:415.206
1167610456,92952;1469.76:411.156
1167610456,96799;1481.76:418.23
1167610457,00384;1473.792:430.056
1167610457,04199;1497.888:426.978
1167610457,07475;1493.184:410.616
1167610457,10818;1468.608:428.004
1167610457,14164;1474.368:422.874
1167610457,17496;1487.52:422.82
1167610457,20838;1491.648:421.308
1167610457,24233;1492.896:419.85
1167610457,27573;1467.36:437.886
1167610457,31292;1497.792:416.286
1167610457,34629;1434.336:506.898
1167610457,37977;1293.6:828.414
1167610457,41317;1295.232:896.454
1167610457,44744;1303.104:860.922
1167610457,48059;1326.432:845.208
1167610457,51329;1328.16:862.326
1167610457,54644;1302.528:874.692
1167610457,58046;1288.992:875.664
1167610457,61417;1305.888:881.442
1167610457,64844;1304.352:875.232
1167610457,68263;1312.992:882.36
1167610457,71605;1314.624:881.82
1167610457,74946;1337.376:885.276
1167610457,783;1324.8:895.158
1167610457,81652;1306.944:936.576
1167610457,85008;
1167610457,88338;
1167610457,90849;
1167610457,93359;
1167610457,95895;
1167610457,98455;
1167610458,01027;
1167610458,03592;
1167610458,05995;
1167610458,08743;1428.48:457.38
1167610458,10858;1470.816:447.714
1167610458,1475;1473.312:367.47
1167610458,18049;1460.064:459.378
1167610458,21452;1465.44:461.376
1167610458,24861;1487.232:413.424
1167610458,28287;1485.984:409.374
1167610458,31691;1511.904:408.942
1167610458,35376;1504.992:404.19
1167610458,38897;1481.856:418.23
1167610458,4276;1483.872:413.478
1167610458,4629;1500.864:430.272
1167610458,50325;1495.872:418.23
1167610458,53913;1485.888:357.696
1167610458,57918;1491.072:359.532
1167610458,61356;1460.064:384.318
1167610458,65421;1482.624:359.478
1167610458,68912;1491.648:348.462
1167610458,7281;1484.64:353.106
1167610458,76254;1483.776:337.176
1167610458,80447;1535.328:295.92
1167610458,84007;1532.16:289.602
1167610458,87942;1556.256:273.402
1167610458,91431;1523.328:279.504
1167610458,95326;1545.312:119.016
1167610458,98772;1529.76:134.352
1167610459,02347;1563.264:110.592
1167610459,05763;1531.68:119.772
1167610459,09216;1545.696:120.96
1167610459,12645;1573.44:108.594
1167610459,16154;1106.4:141.21
1167610459,19559;435.744:148.284
1167610459,22971;388.608:166.374
1167610459,26364;384.288:190.89
1167610459,29737;387.936:174.798
1167610459,33129;383.904:181.926
1167610459,36531;375.552:187.434
1167610459,39926;381.6:217.242
1167610459,43315;138.912:134.568
1167610459,46808;
