Timestamp;GazePoint
636214851128,978;
1167610387,26992;932.736:576.72
1167610387,30314;970.752:555.876
1167610387,34048;961.056:551.934
1167610387,37332;938.784:581.094
1167610387,41008;942.912:576.99
1167610387,44213;959.04:559.71
1167610387,47931;967.488:567.918
1167610387,54145;950.88:574.776
1167610387,63398;537.408:365.364
1167610387,71322;537.024:372.114
1167610387,82194;475.776:225.828
1167610387,88998;481.728:199.314
1167610387,94122;484.896:196.83
1167610387,97378;484.992:187.272
1167610388,00625;500.448:207.144
1167610388,0399;488.544:187.218
1167610388,07249;487.584:197.208
1167610388,1056;493.344:184.194
1167610388,1385;489.984:213.678
1167610388,17118;576.384:507.654
1167610388,20432;592.512:522.882
1167610388,23769;614.784:530.766
1167610388,27083;598.752:543.456
1167610388,30389;578.4:561.276
1167610388,33667;582.624:547.776
1167610388,37059;603.36:526.932
1167610388,40374;591.264:542.376
1167610388,43665;606.24:528.552
1167610388,46982;588.576:550.476
1167610388,50325;589.152:548.964
1167610388,53646;588.096:538.272
1167610388,56949;624.192:593.892
1167610388,60284;629.76:627.912
1167610388,63588;640.224:590.868
1167610388,67264;631.392:612.684
1167610388,70538;635.04:609.984
1167610388,73946;637.344:610.686
1167610388,77292;606.528:642.816
1167610388,806;634.368:616.734
1167610388,83907;817.152:583.686
1167610388,87532;1414.176:589.086
1167610388,90882;1464.288:578.826
1167610388,94549;1466.688:568.998
1167610388,97837;1487.52:566.838
1167610389,01818;
1167610389,05185;1484.16:579.744
1167610389,08036;1492.032:581.526
1167610389,1133;1501.056:580.77
1167610389,15141;1472.928:513.216
1167610389,18597;1474.752:512.73
1167610389,2233;1485.216:512.622
1167610389,25621;1469.472:514.512
1167610389,29333;1488.384:511.218
1167610389,3269;1432.8:488.376
1167610389,36515;1448.544:477.306
1167610389,40248;1430.496:486.54
1167610389,43989;1449.216:472.122
1167610389,47321;1440.192:479.25
1167610389,50718;1436.352:491.832
1167610389,54145;1427.808:489.456
1167610389,57494;748.512:526.014
1167610389,60863;518.592:524.988
1167610389,64298;477.504:537.948
1167610389,67713;
1167610389,71128;482.112:533.574
1167610389,73634;487.296:536.598
1167610389,76882;478.368:523.476
1167610389,80226;476.256:520.344
1167610389,83564;493.536:514.35
1167610389,8679;569.28:537.894
1167610389,90126;569.664:550.854
1167610389,93446;
1167610389,96825;567.456:526.77
1167610389,99331;568.608:544.05
1167610390,02682;575.136:538.326
1167610390,06074;574.464:549.828
1167610390,09476;370.944:617.814
1167610390,1287;367.2:620.73
1167610390,16291;363.648:647.352
1167610390,19689;362.88:656.1
1167610390,23099;360.96:639.09
1167610390,26496;346.176:633.69
1167610390,29898;353.28:641.358
1167610390,333;365.76:639.198
1167610390,36696;356.064:652.536
1167610390,40111;363.264:642.816
1167610390,43507;366.72:648.594
1167610390,46916;366.816:656.586
1167610390,50334;272.736:674.622
1167610390,54092;185.376:742.122
1167610390,57495;192.48:727.542
1167610390,60954;197.568:730.242
1167610390,64381;184.608:720.576
1167610390,67807;190.56:733.968
1167610390,712;200.736:729.378
1167610390,74879;197.184:757.728
1167610390,78329;202.56:739.044
1167610390,8211;190.56:727.704
1167610390,85636;206.208:763.938
1167610390,89686;204.48:762.426
1167610390,93125;189.024:741.852
1167610390,96993;166.56:743.85
1167610391,00407;195.84:734.616
1167610391,0435;185.76:726.57
1167610391,07799;200.256:744.552
1167610391,11615;172.704:748.98
1167610391,14981;506.112:822.96
1167610391,18774;550.56:889.056
1167610391,22196;553.056:887.328
1167610391,26022;556.512:896.13
1167610391,29415;561.792:852.768
1167610391,33125;549.888:910.764
1167610391,36382;558.144:905.418
1167610391,39752;546.72:912.708
1167610391,43131;553.152:896.346
1167610391,46525;556.032:885.384
1167610391,49913;562.944:862.542
1167610391,53297;542.496:888.84
1167610391,56649;485.664:548.262
1167610391,60066;528.864:464.454
1167610391,63475;514.848:424.17
1167610391,6688;518.784:439.776
1167610391,7028;529.152:443.016
1167610391,73545;511.2:437.022
1167610391,7695;509.952:444.096
1167610391,80369;536.832:487.998
1167610391,83789;535.2:496.152
1167610391,87213;540.864:483.678
1167610391,90613;547.776:480.708
1167610391,94012;528.384:485.136
1167610391,97435;765.888:406.08
1167610392,00874;1434.72:334.962
1167610392,04351;1533.408:313.848
1167610392,07889;1518.24:312.606
1167610392,113;1518.048:313.146
1167610392,14712;1521.6:328.59
1167610392,18125;1499.904:318.492
1167610392,21611;1526.496:315.738
1167610392,25013;1527.744:320.058
1167610392,28415;1542.528:211.572
1167610392,31831;1536.96:169.83
1167610392,35306;1546.752:164.862
1167610392,38719;1529.952:175.878
1167610392,4248;1537.152:167.022
1167610392,46229;1542.528:180.9
1167610392,49769;1538.592:183.978
1167610392,53206;1542.24:179.55
1167610392,56999;1661.184:275.616
1167610392,60396;1705.344:360.072
1167610392,64076;1688.544:349.704
1167610392,6752;1701.504:335.394
1167610392,71539;1694.016:368.55
1167610392,74992;1694.592:357.588
1167610392,7894;1681.44:368.334
1167610392,82407;1686.144:352.674
1167610392,8634;1671.264:284.094
1167610392,89789;1684.32:296.73
1167610392,9374;1665.216:269.622
1167610392,97239;1684.704:275.508
1167610393,01137;1674.912:287.226
1167610393,04593;1680.96:275.832
1167610393,08439;1676.64:266.004
1167610393,11955;1684.8:272.916
1167610393,15911;1421.184:469.098
1167610393,19429;1394.208:483.192
1167610393,23363;1400.544:490.806
1167610393,26808;1407.168:485.73
1167610393,30262;1402.464:489.24
1167610393,33741;1394.976:484.866
1167610393,37208;1407.456:495.288
1167610393,40682;1422.912:501.93
1167610393,44191;1417.824:487.566
1167610393,47661;1413.12:510.246
1167610393,51218;1412.544:502.632
1167610393,54745;1418.304:504.09
1167610393,58282;1428.192:502.47
1167610393,61724;1432.992:509.166
1167610393,65239;1421.376:502.146
1167610393,68683;1423.776:503.604
1167610393,72213;1417.44:484.11
1167610393,75743;1430.304:489.834
1167610393,79273;1425.12:479.736
1167610393,82834;1415.52:500.526
1167610393,8627;1418.112:495.504
1167610393,89857;1429.248:491.022
1167610393,93358;1440.576:486.864
1167610393,96844;1423.68:480.492
1167610394,00315;1433.088:485.298
1167610394,03789;1441.824:485.838
1167610394,07267;1424.448:492.642
1167610394,10677;1431.84:482.976
1167610394,14159;1590.528:455.922
1167610394,17653;1700.736:471.636
1167610394,21081;1712.544:483.516
1167610394,2458;1717.92:462.726
1167610394,28075;1711.776:460.134
1167610394,31833;1694.976:478.008
1167610394,35276;1695.072:479.574
1167610394,38755;1693.632:474.822
1167610394,42244;1694.976:481.734
1167610394,45737;1710.048:490.536
1167610394,49238;1701.888:465.804
1167610394,53099;1702.272:484.38
1167610394,56634;1705.632:484.164
1167610394,60534;1700.256:489.078
1167610394,64111;1710.144:462.672
1167610394,6821;1455.648:474.984
1167610394,71714;1423.008:502.848
1167610394,75335;1435.2:479.79
1167610394,79014;1418.4:506.844
1167610394,82456;1422.048:499.23
1167610394,86484;1436.544:502.47
1167610394,89926;1439.424:489.024
1167610394,93747;1426.752:503.55
1167610394,97147;1426.944:506.412
1167610395,01053;1439.52:513.594
1167610395,04525;1443.168:487.728
1167610395,08536;1577.472:453.384
1167610395,1211;1690.944:435.564
1167610395,15958;1687.584:433.89
1167610395,19482;1690.176:437.724
1167610395,22916;1690.272:432.108
1167610395,26354;1684.416:456.084
1167610395,29813;1702.368:444.042
1167610395,33272;1675.68:452.628
1167610395,3671;1689.024:431.406
1167610395,40234;1680.192:451.116
1167610395,43647;1689.6:443.016
1167610395,47171;1480.224:498.96
1167610395,50709;1520.928:619.002
1167610395,54111;1533.216:638.01
1167610395,5771;1533.6:647.19
1167610395,61211;1523.616:644.598
1167610395,64643;1526.976:653.94
1167610395,68089;1518.048:651.942
1167610395,71531;1511.04:661.986
1167610395,75128;1450.368:887.058
1167610395,78677;1453.824:931.878
1167610395,82127;1456.128:915.732
1167610395,85616;1442.88:982.8
1167610395,89013;1510.752:940.248
1167610395,9246;1472.544:976.752
1167610395,9586;1473.888:974.052
1167610395,99412;1478.592:961.092
1167610396,02925;1466.304:966.114
1167610396,06433;1465.152:967.842
1167610396,09861;1477.92:977.886
1167610396,13358;1463.712:916.974
1167610396,16776;1504.608:873.828
1167610396,20173;1441.152:883.818
1167610396,23951;1472.832:873.126
1167610396,2738;1453.152:871.722
1167610396,30792;1460.928:852.876
