Timestamp;GazePoint
636214850771,008;
1167610351,49059;938.592:540.81
1167610351,52206;927.168:561.276
1167610351,55345;920.352:569.106
1167610351,58475;930.048:555.552
1167610351,61639;946.368:533.466
1167610351,64786;939.84:555.282
1167610351,679;930.72:571.536
1167610351,71042;936.768:553.932
1167610351,74307;957.888:494.046
1167610351,77661;946.944:521.1
1167610351,82063;935.904:574.56
1167610351,8635;945.12:573.588
1167610351,90775;804.384:545.616
1167610351,95126;679.776:483.57
1167610351,99585;688.896:496.638
1167610352,04098;678.24:493.128
1167610352,08578;665.856:503.55
1167610352,13043;681.024:516.834
1167610352,17469;683.712:496.206
1167610352,21843;674.784:508.626
1167610352,26243;665.472:518.994
1167610352,3064;615.552:488.592
1167610352,35384;583.296:503.82
1167610352,39669;585.216:469.044
1167610352,44032;575.424:489.942
1167610352,48412;570.72:451.008
1167610352,52828;568.128:450.9
1167610352,57542;570.24:472.23
1167610352,61878;566.688:456.894
1167610352,66825;564.672:475.2
1167610352,70188;560.736:475.74
1167610352,7392;571.968:477.576
1167610352,77127;573.024:465.966
1167610352,80752;568.992:499.824
1167610352,8391;626.784:503.01
1167610352,87623;916.896:618.624
1167610352,90775;935.136:630.126
1167610352,94569;942.72:625.374
1167610352,97693;928.992:628.344
1167610353,01294;944.832:631.098
1167610353,04443;931.008:629.694
1167610353,08113;919.872:628.776
1167610353,11315;922.464:628.29
1167610353,14951;930.048:627.318
1167610353,18088;945.696:619.488
1167610353,21299;942.144:608.742
1167610353,2452;906.528:690.228
1167610353,27734;889.92:787.428
1167610353,30936;899.232:778.086
1167610353,34227;873.024:792.072
1167610353,37446;888.288:794.988
1167610353,40667;895.2:782.136
1167610353,43855;876.192:798.876
1167610353,47014;882.24:793.26
1167610353,50155;878.784:797.742
1167610353,53288;891.456:779.76
1167610353,56427;808.992:563.976
1167610353,5961;645.408:458.298
1167610353,62854;644.544:462.618
1167610353,66069;645.12:468.45
1167610353,69269;644.352:468.396
1167610353,72489;640.032:481.356
1167610353,75683;626.016:477.846
1167610353,7895;643.68:487.188
1167610353,82151;630.528:482.868
