Timestamp;GazePoint
636214853185,386;
1167610592,88607;981.888:562.464
1167610592,92258;979.2:545.994
1167610592,96268;984.768:542.106
1167610592,99747;968.448:551.07
1167610593,03314;974.592:570.078
1167610593,06981;970.272:562.14
1167610593,10534;956.832:559.116
1167610593,1411;955.968:561.762
1167610593,17625;954.816:566.892
1167610593,21237;980.16:555.498
1167610593,24726;1368.96:484.434
1167610593,28213;1403.328:519.48
1167610593,31616;1389.888:521.046
1167610593,35065;1345.344:525.366
1167610593,38552;1375.392:516.348
1167610593,41995;1392.0:520.992
1167610593,4538;1373.76:527.148
1167610593,48838;1389.312:505.008
1167610593,52287;1332.288:409.536
1167610593,55742;1384.8:353.214
1167610593,59275;1411.104:349.272
1167610593,62849;1405.632:397.818
1167610593,66353;1396.032:382.914
1167610593,69882;1452.384:338.904
1167610593,73358;1465.056:317.196
1167610593,76861;1454.784:332.856
1167610593,80438;1453.728:331.776
1167610593,8431;1443.168:324.81
1167610593,88167;1469.376:326.376
1167610593,91709;1452.576:339.066
1167610593,95205;1463.904:336.636
1167610593,98765;1217.28:547.884
1167610594,02283;1193.76:571.968
1167610594,06196;1193.184:573.642
1167610594,09645;1204.608:581.094
1167610594,13194;1189.536:586.278
1167610594,16729;1189.248:585.522
1167610594,20296;1195.968:608.31
1167610594,24215;1198.56:595.08
1167610594,27886;1229.184:590.868
1167610594,3218;872.064:447.498
1167610594,35775;670.08:446.418
1167610594,39918;671.808:439.506
1167610594,43697;670.08:440.856
1167610594,47645;678.72:446.526
1167610594,5121;
1167610594,55237;659.328:434.16
1167610594,57911;675.552:430.488
1167610594,61826;676.032:458.028
1167610594,65388;662.976:429.948
1167610594,69367;689.568:622.404
1167610594,7293;667.104:654.21
1167610594,77023;686.4:648.648
1167610594,80599;663.744:651.186
1167610594,8458;665.184:656.424
1167610594,88126;666.144:647.406
1167610594,91712;
1167610594,95286;638.304:845.262
1167610594,9802;614.4:425.844
1167610595,01686;636.0:417.528
1167610595,05299;653.472:422.82
1167610595,08898;651.264:420.228
1167610595,12545;656.16:423.846
1167610595,16185;658.08:411.264
1167610595,19794;643.488:412.776
1167610595,23432;651.936:418.5
1167610595,27009;648.864:415.098
1167610595,30652;652.992:409.212
1167610595,3423;660.576:413.262
1167610595,37831;656.16:414.828
1167610595,41427;658.848:421.47
1167610595,45034;657.216:420.822
1167610595,48638;666.432:423.9
1167610595,52315;636.384:369.414
1167610595,55885;644.16:396.684
1167610595,59537;651.936:396.9
1167610595,63313;650.784:386.046
1167610595,67077;660.0:393.12
1167610595,70759;649.824:392.742
1167610595,74416;676.128:398.52
1167610595,78123;664.896:396.792
1167610595,81773;657.216:409.104
1167610595,85476;660.192:394.092
1167610595,89134;669.696:416.988
1167610595,93212;680.928:391.446
1167610595,96837;654.72:390.852
1167610596,00622;765.312:575.046
1167610596,04292;
1167610596,08022;704.064:636.768
1167610596,10629;726.144:624.564
1167610596,14795;701.376:652.212
1167610596,19078;703.104:654.858
1167610596,2332;700.704:650.16
1167610596,27132;706.176:656.964
1167610596,31475;688.896:634.5
1167610596,35242;709.344:649.35
1167610596,39376;717.312:651.78
1167610596,43606;700.416:687.744
1167610596,48269;693.6:670.626
1167610596,52065;710.688:658.368
1167610596,56256;947.04:516.132
1167610596,60235;1233.984:446.634
1167610596,64026;1219.68:437.616
1167610596,68162;1257.888:435.618
1167610596,72847;1233.888:442.8
1167610596,77037;1260.192:441.126
1167610596,81262;
1167610596,85459;1463.04:350.298
1167610596,88682;
1167610596,92427;1487.232:325.944
1167610596,95214;1470.048:331.128
1167610596,98857;1429.536:352.89
1167610597,02481;1477.536:343.062
1167610597,06591;1469.088:340.2
1167610597,10164;1447.2:339.984
1167610597,13836;1431.36:336.96
1167610597,17891;
1167610597,21983;1223.424:598.698
1167610597,24754;1240.704:580.608
1167610597,28387;1240.992:582.93
1167610597,32012;1230.624:568.512
1167610597,35723;1245.12:592.488
1167610597,39839;1234.08:604.476
1167610597,4355;1235.808:597.132
1167610597,47147;1225.632:597.51
1167610597,50875;
1167610597,54854;1227.744:609.336
1167610597,57576;1213.536:607.554
1167610597,61188;1237.44:606.582
1167610597,65224;1233.504:603.936
1167610597,68847;1232.832:606.42
1167610597,72461;1221.984:599.4
1167610597,76152;1245.888:605.232
1167610597,79791;1233.408:609.984
1167610597,83493;1262.304:595.134
1167610597,87165;1248.384:584.388
1167610597,90879;1247.424:600.264
1167610597,94887;1252.416:616.626
1167610597,98584;1459.008:796.338
1167610598,02234;1490.496:775.71
1167610598,05853;1513.152:785.592
1167610598,09446;1497.216:794.286
1167610598,1344;1498.272:781.218
1167610598,17152;1502.976:778.464
1167610598,21177;1513.248:783.054
1167610598,24862;1527.168:776.25
1167610598,29198;1503.84:778.464
1167610598,33344;1457.856:886.194
1167610598,3762;1456.608:903.15
1167610598,41282;1443.072:907.632
1167610598,45418;1449.6:919.566
1167610598,49065;1445.76:900.774
1167610598,53052;1427.616:916.758
1167610598,56628;1453.824:898.452
1167610598,60612;1468.128:900.234
1167610598,64278;
1167610598,6826;
1167610598,70848;
1167610598,73517;
1167610598,76263;
1167610598,79064;
1167610598,81877;
1167610598,84724;
1167610598,88393;
1167610598,91698;1421.184:842.778
1167610598,943;1347.456:810.27
1167610598,97975;1335.936:809.568
1167610599,01538;1359.648:779.22
1167610599,05169;1353.408:790.722
1167610599,08724;1348.992:785.7
1167610599,12279;1335.84:789.858
1167610599,15839;1288.416:801.63
1167610599,19414;1293.792:817.992
1167610599,23054;1262.976:810.378
1167610599,26687;1288.8:800.928
1167610599,30527;1279.008:805.788
1167610599,34658;1286.4:807.516
1167610599,38661;1294.176:806.814
1167610599,43279;1306.752:821.88
1167610599,47849;1303.2:808.758
1167610599,51597;1281.216:815.886
1167610599,553;1146.24:893.484
1167610599,59206;1145.184:908.172
1167610599,62978;1158.048:932.31
1167610599,66797;1150.848:926.046
1167610599,70461;1140.0:949.59
1167610599,7432;1134.048:940.734
1167610599,7816;1148.832:967.302
1167610599,82225;1157.856:942.57
1167610599,85813;1228.128:761.292
1167610599,89284;1459.68:629.802
1167610599,92938;1441.824:636.066
1167610599,96549;
1167610600,00363;1439.136:620.838
1167610600,03419;1455.456:645.03
1167610600,07174;1436.064:625.104
1167610600,11377;1430.4:624.726
1167610600,15196;1436.832:626.832
1167610600,19483;1442.496:624.402
1167610600,23218;1435.488:637.794
1167610600,27458;1412.064:701.244
1167610600,31175;1423.584:834.084
1167610600,35488;1441.728:836.028
1167610600,39182;1429.152:860.652
1167610600,43297;1448.64:834.84
1167610600,47012;1448.544:856.332
1167610600,51212;1444.8:842.886
1167610600,55119;1418.784:859.842
1167610600,5998;1444.224:847.314
1167610600,6383;1424.544:854.28
1167610600,67917;1437.504:836.838
1167610600,71555;1271.328:882.738
1167610600,75722;1210.368:883.98
1167610600,80133;1207.776:901.746
1167610600,84165;1202.304:889.002
1167610600,87987;1213.248:903.582
1167610600,91747;1209.312:917.19
1167610600,95571;1217.472:902.124
1167610600,99324;1157.184:811.512
1167610601,03068;1131.552:712.854
1167610601,0679;1177.824:677.7
1167610601,10414;1171.104:680.022
1167610601,14014;1176.0:685.368
1167610601,17621;1156.032:692.172
1167610601,21192;1145.376:712.098
1167610601,24747;1678.272:479.412
1167610601,28221;
1167610601,31654;
1167610601,34747;
1167610601,37368;
1167610601,40512;
1167610601,4331;
1167610601,46414;
1167610601,49091;
1167610601,5334;
1167610601,5826;
1167610601,61337;
1167610601,64797;
1167610601,67848;
1167610601,71575;
1167610601,75922;
1167610601,80495;
1167610601,84441;
1167610601,88382;
1167610601,92326;
1167610601,94689;
1167610601,98194;
1167610602,01887;
1167610602,06236;
1167610602,10158;1267.872:698.544
1167610602,14613;1249.728:738.612
1167610602,18159;1252.32:742.446
1167610602,22711;1240.608:770.256
1167610602,27464;1244.352:720.252
1167610602,32272;1132.032:597.24
1167610602,36044;1188.672:564.462
1167610602,40309;1184.256:540.54
1167610602,4413;1188.48:569.106
1167610602,48293;1199.424:587.952
1167610602,52736;1200.0:579.96
1167610602,57639;1185.504:571.212
1167610602,62148;1178.208:552.636
1167610602,66415;1198.944:583.254
1167610602,70087;1179.84:560.142
1167610602,74318;1208.16:595.188
1167610602,78408;1212.768:582.336
1167610602,82915;1218.144:606.258
1167610602,86628;1219.968:596.592
1167610602,90797;1216.128:582.984
1167610602,9536;1211.232:603.396
1167610602,99009;1209.792:588.816
1167610603,03207;1202.88:592.65
1167610603,07346;1222.272:589.572
1167610603,11453;1190.304:592.218
1167610603,15041;1182.144:548.316
1167610603,19313;1203.936:594.054
1167610603,23025;1198.56:599.454
1167610603,26753;1216.128:605.286
1167610603,31045;1205.184:604.044
1167610603,35614;1390.848:919.728
1167610603,39269;1402.848:1161.918
1167610603,42906;1391.04:1133.73
1167610603,46619;1408.224:1147.878
1167610603,50506;1403.808:1156.896
1167610603,54293;1417.536:1139.238
1167610603,58029;1388.064:1167.048
1167610603,61795;1423.776:1226.718
1167610603,65599;
1167610603,69387;1421.664:1224.612
1167610603,7265;
1167610603,76719;
1167610603,79996;
1167610603,83561;
1167610603,87026;
1167610603,90468;1444.32:1224.936
1167610603,95039;1417.248:1220.778
1167610603,99027;1442.208:1217.808
1167610604,0328;1537.728:1245.24
1167610604,07136;2049.792:1251.288
1167610604,11572;2110.08:1257.876
1167610604,15464;2087.232:1244.97
1167610604,19766;2105.664:1242.918
1167610604,23563;2084.544:1231.308
1167610604,27941;2075.808:1238.922
1167610604,31838;2321.28:1043.928
1167610604,36187;
1167610604,39732;
1167610604,44124;2393.856:487.404
1167610604,48599;
1167610604,55595;
1167610604,59816;
1167610604,62782;1913.088:75.762
1167610604,65929;
1167610604,69442;
1167610604,72547;1622.976:141.696
1167610604,75219;1553.664:180.414
1167610604,78872;1446.336:193.914
1167610604,82458;
1167610604,86363;1296.192:228.582
1167610604,89313;1212.768:268.758
1167610604,92787;861.12:454.788
1167610604,96289;661.056:510.516
1167610605,00679;531.648:585.63
1167610605,0421;479.04:605.502
1167610605,08116;430.368:651.672
1167610605,1201;388.992:676.08
1167610605,16328;382.08:667.98
1167610605,20177;351.36:716.094
1167610605,23564;350.784:697.518
1167610605,27355;387.168:718.794
1167610605,30738;361.536:671.328
1167610605,34193;371.712:681.318
1167610605,37667;409.248:685.692
1167610605,41125;412.512:696.384
1167610605,44951;468.96:677.484
1167610605,48475;551.616:683.964
1167610605,52348;661.536:693.036
1167610605,55865;724.992:670.302
1167610605,59262;754.752:654.804
1167610605,62591;830.688:631.638
1167610605,6593;908.736:664.254
1167610605,69241;980.064:623.592
1167610605,72992;1067.04:620.136
1167610605,76242;1159.872:674.028
1167610605,79605;1212.576:677.322
1167610605,82965;1259.616:691.2
1167610605,86265;1287.936:695.412
1167610605,89551;1284.768:692.928
1167610605,93215;1279.488:744.39
1167610605,96536;1259.424:714.906
1167610606,00218;1244.544:686.772
1167610606,03571;1260.672:715.608
1167610606,07414;1249.824:707.886
1167610606,10747;1249.92:715.878
1167610606,1448;1364.928:774.954
1167610606,17779;1503.84:799.524
1167610606,21591;
1167610606,24981;
1167610606,27849;
1167610606,30396;1408.896:1067.094
1167610606,33319;1425.216:1101.816
1167610606,36835;1416.384:1105.812
1167610606,40615;
1167610606,44192;
1167610606,47242;1421.472:1093.662
1167610606,49776;1398.432:1139.184
1167610606,53071;1439.136:1183.14
1167610606,56514;1436.352:1173.096
1167610606,59882;1426.368:1129.41
1167610606,63327;1425.312:1169.37
1167610606,66811;1454.016:1175.796
1167610606,70262;1431.552:1173.366
1167610606,73925;1426.848:1191.294
1167610606,77576;1435.008:1177.47
1167610606,81231;1420.704:1176.12
1167610606,84857;1423.968:1186.758
1167610606,88413;1407.936:1189.944
1167610606,92143;
1167610606,95922;
1167610606,99724;1445.952:1179.468
1167610607,03631;1010.208:1210.518
1167610607,07019;
1167610607,10642;
1167610607,13781;997.44:1225.26
1167610607,17431;
1167610607,2111;987.552:1199.448
1167610607,24333;
1167610607,28037;
1167610607,31308;
1167610607,34534;
1167610607,37888;
1167610607,41189;
1167610607,44667;
1167610607,48169;
1167610607,51762;1008.768:1196.694
1167610607,55407;1001.088:1188.972
1167610607,59561;1020.768:1210.464
1167610607,63174;980.448:1006.992
1167610607,66996;973.344:989.982
1167610607,70763;971.136:976.752
1167610607,74452;981.216:975.618
1167610607,78436;960.096:925.128
1167610607,82264;975.168:986.256
1167610607,86247;972.288:964.548
1167610607,90363;993.6:972.756
1167610607,94592;994.752:984.258
1167610607,98447;1013.664:994.788
1167610608,02959;1001.952:975.996
1167610608,0673;993.312:972.378
1167610608,10986;990.528:972.378
1167610608,15164;1003.68:972.972
1167610608,19247;957.984:1205.982
1167610608,22899;956.64:1239.192
1167610608,27079;957.408:1247.886
1167610608,30923;952.608:1234.278
1167610608,35012;962.496:1244.862
1167610608,38746;956.544:1243.134
1167610608,42863;
1167610608,46548;
1167610608,49795;
1167610608,53174;
1167610608,56695;
1167610608,60199;
1167610608,6381;
1167610608,67975;
1167610608,72006;
1167610608,75747;
1167610608,79707;555.936:1191.834
1167610608,84198;
1167610608,88729;566.208:1194.102
1167610608,92144;572.064:1198.908
1167610608,95959;
1167610608,99735;579.744:1199.61
1167610609,03134;
1167610609,06951;
1167610609,10189;
1167610609,13575;
1167610609,17;
1167610609,2046;
1167610609,23974;
1167610609,28036;
1167610609,32269;
1167610609,36871;
1167610609,41194;
1167610609,45423;
1167610609,49359;
1167610609,55054;
1167610609,60918;
1167610609,64893;
1167610609,68794;
1167610609,72734;
1167610609,76623;
1167610609,80778;
1167610609,84667;
1167610609,8872;
1167610609,93026;
1167610609,97088;
1167610610,0136;
1167610610,0525;
1167610610,15322;892.128:824.958
1167610610,19218;868.32:823.176
1167610610,23716;885.024:833.706
1167610610,27197;865.824:942.408
1167610610,31158;850.56:950.076
1167610610,34747;855.936:943.65
1167610610,38735;861.696:961.416
1167610610,42383;862.368:937.656
1167610610,4625;859.2:943.488
1167610610,49706;852.192:949.752
1167610610,53171;864.288:949.482
1167610610,56657;854.688:952.074
1167610610,6015;956.928:979.128
1167610610,63626;999.744:974.808
1167610610,67114;990.816:979.614
1167610610,70657;999.936:984.204
1167610610,74399;1001.952:986.256
1167610610,77838;993.504:979.236
1167610610,81339;1009.728:979.02
1167610610,84962;1005.312:968.058
1167610610,88461;996.96:985.446
1167610610,92097;1007.52:996.138
1167610610,95684;994.368:981.234
1167610610,99157;1001.088:989.55
1167610611,0268;1002.72:987.282
1167610611,06273;1024.896:992.196
1167610611,09852;1011.744:994.95
1167610611,13338;1122.816:921.024
1167610611,16895;1165.632:920.322
1167610611,2047;1185.408:923.832
1167610611,23938;1170.912:922.05
1167610611,27387;1174.656:943.38
1167610611,30981;1167.072:933.714
1167610611,3441;1187.52:932.688
1167610611,38062;1168.416:933.066
1167610611,41614;1209.504:934.308
1167610611,45315;1187.424:947.052
1167610611,48817;1305.024:954.342
1167610611,52371;1339.2:977.508
1167610611,56232;1320.096:961.254
1167610611,59782;1347.744:966.924
1167610611,63338;1348.608:984.312
1167610611,66942;1332.0:992.844
1167610611,70429;1319.232:984.636
1167610611,74315;1321.152:993.222
1167610611,78016;1333.824:973.836
1167610611,81881;1326.24:988.848
1167610611,85381;1330.176:977.886
1167610611,89468;1342.752:973.404
1167610611,93035;1328.256:972.486
1167610611,96923;1348.032:975.942
1167610612,00521;1344.0:1003.644
1167610612,04516;1338.528:973.296
1167610612,08176;1328.352:982.368
1167610612,1202;1358.208:998.406
1167610612,15456;1338.24:984.042
