Timestamp;Action;ActionArgs;LeftEye;RightEye
0281,27261;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,31519;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,35855;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,39626;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,43959;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,48291;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610281,50938;EyeTracking;BothEyesTracked;[0,4481,0,3974];[0,3707,0,3504]
1167610281,53907;EyeTracking;BothEyesTracked;[0,4390,0,4246];[0,3699,0,3908]
1167610281,71247;EyeTracking;BothEyesTracked;[0,4378,0,4174];[0,3748,0,3930]
1167610281,76392;EyeTracking;BothEyesTracked;[0,4377,0,4264];[0,3726,0,3765]
1167610281,8542;EyeTracking;BothEyesTracked;[0,4372,0,4349];[0,3561,0,3648]
1167610281,90277;EyeTracking;BothEyesTracked;[0,4466,0,3931];[0,3698,0,3796]
1167610281,9512;EyeTracking;BothEyesTracked;[0,4409,0,4178];[0,3626,0,3774]
1167610281,99964;EyeTracking;BothEyesTracked;[0,4314,0,4573];[0,3585,0,3951]
1167610282,04848;EyeTracking;BothEyesTracked;[0,4486,0,4309];[0,3693,0,3444]
1167610282,096;EyeTracking;BothEyesTracked;[0,4398,0,4461];[0,3684,0,3311]
1167610282,14766;EyeTracking;BothEyesTracked;[0,3691,0,4410];[0,3138,0,3785]
1167610282,19543;EyeTracking;BothEyesTracked;[0,2461,0,4748];[0,1690,0,4436]
1167610282,24382;EyeTracking;BothEyesTracked;[0,2568,0,4690];[0,1719,0,4286]
1167610282,29191;EyeTracking;BothEyesTracked;[0,2571,0,4823];[0,1724,0,4389]
1167610282,34234;EyeTracking;BothEyesTracked;[0,2548,0,4717];[0,1626,0,4405]
1167610282,38995;EyeTracking;BothEyesTracked;[0,2592,0,4796];[0,1773,0,3743]
1167610282,44033;EyeTracking;BothEyesTracked;[0,2521,0,4730];[0,1584,0,4379]
1167610282,48688;EyeTracking;BothEyesTracked;[0,2579,0,4881];[0,1764,0,4866]
1167610282,53943;EyeTracking;BothEyesTracked;[0,2638,0,4628];[0,1770,0,4475]
1167610282,58583;EyeTracking;BothEyesTracked;[0,2662,0,4778];[0,1803,0,3843]
1167610282,6361;EyeTracking;BothEyesTracked;[0,2725,0,4907];[0,1564,0,4113]
1167610282,68315;EyeTracking;BothEyesTracked;[0,2632,0,4796];[0,1516,0,4019]
1167610282,7225;EyeTracking;BothEyesTracked;[0,2563,0,4890];[0,1711,0,4304]
1167610282,75477;EyeTracking;BothEyesTracked;[0,2655,0,4674];[0,1658,0,4282]
1167610282,79179;EyeTracking;BothEyesTracked;[0,2576,0,4661];[0,1691,0,4234]
1167610282,82378;EyeTracking;BothEyesTracked;[0,2704,0,4706];[0,1723,0,4038]
1167610282,86016;EyeTracking;BothEyesTracked;[0,2661,0,4822];[0,1812,0,3965]
1167610282,89221;EyeTracking;BothEyesTracked;[0,2597,0,4858];[0,1644,0,4300]
1167610282,92947;EyeTracking;BothEyesTracked;[0,2647,0,4882];[0,1594,0,4205]
1167610282,96154;EyeTracking;BothEyesTracked;[0,2580,0,4940];[0,1542,0,4471]
1167610282,99773;EyeTracking;BothEyesTracked;[0,2616,0,4787];[0,1664,0,4444]
1167610283,02894;EyeTracking;BothEyesTracked;[0,2683,0,4865];[0,1627,0,4474]
1167610283,06059;EyeTracking;BothEyesTracked;[0,2665,0,4763];[0,1728,0,4269]
1167610283,09162;EyeTracking;BothEyesTracked;[0,2731,0,4885];[0,1560,0,4201]
1167610283,12296;EyeTracking;BothEyesTracked;[0,2618,0,4954];[0,1583,0,4286]
1167610283,15427;EyeTracking;BothEyesTracked;[0,2617,0,4799];[0,1681,0,4446]
1167610283,18535;EyeTracking;BothEyesTracked;[0,2710,0,5065];[0,1720,0,4175]
1167610283,21656;EyeTracking;BothEyesTracked;[0,2672,0,5140];[0,1618,0,4633]
1167610283,24768;EyeTracking;BothEyesTracked;[0,2686,0,4968];[0,1728,0,4364]
1167610283,2787;EyeTracking;BothEyesTracked;[0,2703,0,4900];[0,1573,0,4374]
1167610283,30999;EyeTracking;BothEyesTracked;[0,2691,0,4912];[0,1738,0,4298]
1167610283,341;EyeTracking;BothEyesTracked;[0,2667,0,4992];[0,1733,0,4478]
1167610283,37213;EyeTracking;BothEyesTracked;[0,2604,0,5022];[0,1511,0,4010]
1167610283,4036;EyeTracking;BothEyesTracked;[0,2679,0,4944];[0,1658,0,3957]
1167610283,43457;EyeTracking;BothEyesTracked;[0,2739,0,5105];[0,1547,0,4409]
1167610283,46556;EyeTracking;BothEyesTracked;[0,2723,0,4944];[0,1518,0,4354]
1167610283,49657;EyeTracking;BothEyesTracked;[0,2666,0,4960];[0,1494,0,4396]
1167610283,52724;EyeTracking;BothEyesTracked;[0,2655,0,4917];[0,1512,0,4394]
1167610283,55828;EyeTracking;BothEyesTracked;[0,2736,0,4921];[0,1653,0,4233]
1167610283,58934;EyeTracking;BothEyesTracked;[0,2724,0,4928];[0,1614,0,4485]
1167610283,62025;EyeTracking;BothEyesTracked;[0,2703,0,4944];[0,1631,0,4054]
1167610283,65151;EyeTracking;BothEyesTracked;[0,2726,0,5088];[0,1716,0,4250]
1167610283,68273;EyeTracking;BothEyesTracked;[0,2757,0,4830];[0,1541,0,4504]
1167610283,71388;EyeTracking;BothEyesTracked;[0,2697,0,5073];[0,1700,0,4073]
1167610283,74499;EyeTracking;BothEyesTracked;[0,2709,0,4869];[0,1736,0,4273]
1167610283,77644;EyeTracking;BothEyesTracked;[0,2604,0,4919];[0,1678,0,4435]
1167610283,80764;EyeTracking;BothEyesTracked;[0,2682,0,4905];[0,1747,0,4478]
1167610283,83914;EyeTracking;BothEyesTracked;[0,2548,0,4797];[0,1705,0,4369]
1167610283,87053;EyeTracking;BothEyesTracked;[0,2727,0,4900];[0,1742,0,4199]
1167610283,90235;EyeTracking;BothEyesTracked;[0,2656,0,4892];[0,1635,0,4177]
1167610283,93367;EyeTracking;BothEyesTracked;[0,2674,0,4859];[0,1727,0,4441]
1167610283,96555;EyeTracking;BothEyesTracked;[0,2686,0,4983];[0,1701,0,4525]
1167610283,99637;EyeTracking;BothEyesTracked;[0,2736,0,4676];[0,1548,0,4340]
1167610284,02828;EyeTracking;BothEyesTracked;[0,2690,0,4823];[0,1727,0,4373]
1167610284,05916;EyeTracking;BothEyesTracked;[0,2639,0,5046];[0,1683,0,4445]
1167610284,09472;EyeTracking;BothEyesTracked;[0,2709,0,5041];[0,1712,0,4562]
1167610284,12595;EyeTracking;BothEyesTracked;[0,2724,0,4907];[0,1692,0,4516]
1167610284,15761;EyeTracking;BothEyesTracked;[0,2665,0,4970];[0,1743,0,4346]
1167610284,18906;EyeTracking;BothEyesTracked;[0,2699,0,4943];[0,1580,0,4499]
1167610284,22119;EyeTracking;BothEyesTracked;[0,2695,0,4787];[0,1576,0,4464]
1167610284,25252;EyeTracking;BothEyesTracked;[0,2646,0,4969];[0,1590,0,4235]
1167610284,28789;EyeTracking;BothEyesTracked;[0,2645,0,4936];[0,1608,0,4542]
1167610284,31995;EyeTracking;BothEyesTracked;[0,2639,0,5122];[0,1631,0,4696]
1167610284,35595;EyeTracking;BothEyesTracked;[0,2640,0,5026];[0,1535,0,4387]
1167610284,38795;EyeTracking;BothEyesTracked;[0,2655,0,4912];[0,1612,0,4399]
1167610284,42562;EyeTracking;BothEyesTracked;[0,2622,0,4956];[0,1624,0,4440]
1167610284,45763;EyeTracking;BothEyesTracked;[0,2632,0,4947];[0,1772,0,4406]
1167610284,49388;EyeTracking;BothEyesTracked;[0,2646,0,4951];[0,1627,0,4386]
1167610284,52549;EyeTracking;BothEyesTracked;[0,2663,0,5015];[0,1711,0,4631]
1167610284,5629;EyeTracking;BothEyesTracked;[0,2691,0,4950];[0,1683,0,4625]
1167610284,59495;EyeTracking;BothEyesTracked;[0,2665,0,5023];[0,1727,0,4431]
1167610284,63148;EyeTracking;BothEyesTracked;[0,2653,0,5015];[0,1579,0,4380]
1167610284,66307;EyeTracking;BothEyesTracked;[0,2785,0,5105];[0,1619,0,4529]
1167610284,69935;EyeTracking;BothEyesTracked;[0,2688,0,4990];[0,1614,0,4428]
1167610284,73142;EyeTracking;BothEyesTracked;[0,2726,0,5047];[0,1660,0,4563]
1167610284,76764;EyeTracking;BothEyesTracked;[0,2624,0,5191];[0,1733,0,4509]
1167610284,79961;EyeTracking;BothEyesTracked;[0,2655,0,5056];[0,1690,0,4511]
1167610284,83599;EyeTracking;BothEyesTracked;[0,2643,0,5071];[0,1676,0,4382]
1167610284,86712;EyeTracking;BothEyesTracked;[0,2779,0,5014];[0,1711,0,4368]
1167610284,89951;EyeTracking;BothEyesTracked;[0,2668,0,5039];[0,1665,0,4489]
1167610284,93177;EyeTracking;BothEyesTracked;[0,2698,0,5020];[0,1656,0,4475]
1167610284,96362;EyeTracking;BothEyesTracked;[0,2725,0,5061];[0,1695,0,4664]
1167610284,99599;EyeTracking;BothEyesTracked;[0,2734,0,4835];[0,1707,0,4546]
1167610285,02875;EyeTracking;BothEyesTracked;[0,2714,0,5030];[0,1779,0,4504]
1167610285,06148;EyeTracking;BothEyesTracked;[0,2740,0,5020];[0,1747,0,4608]
1167610285,09464;EyeTracking;BothEyesTracked;[0,2760,0,5169];[0,1655,0,4402]
1167610285,12781;EyeTracking;BothEyesTracked;[0,2729,0,5017];[0,1754,0,4349]
