Timestamp;GazePoint
636215522167,75;
1167610524,90509;
1167610524,93259;
1167610524,95431;985.44:614.466
1167610524,98499;988.128:572.67
1167610525,01921;996.768:553.338
1167610525,05285;982.752:553.824
1167610525,08721;1004.352:547.02
1167610525,12162;1000.896:547.182
1167610525,15498;988.32:556.632
1167610525,18889;978.24:550.584
1167610525,22361;1129.728:577.908
1167610525,25759;1121.472:544.32
1167610525,29068;1131.744:571.05
1167610525,32333;1140.576:573.318
1167610525,35689;1133.472:561.654
1167610525,3908;1164.864:560.034
1167610525,42468;1405.536:563.922
1167610525,45845;1413.888:570.186
1167610525,49078;1403.328:597.024
1167610525,52237;1434.528:543.186
1167610525,55394;1405.248:554.364
1167610525,58536;1391.232:532.602
1167610525,61694;1421.376:532.008
1167610525,64809;1421.28:543.186
1167610525,6791;1319.232:663.984
1167610525,70995;1319.04:664.308
1167610525,74171;1328.256:685.746
1167610525,77307;1325.952:666.738
1167610525,80412;1298.688:664.416
1167610525,83542;1309.92:682.938
1167610525,86654;1331.328:668.412
1167610525,89788;1360.128:804.978
1167610525,93295;1335.936:785.916
1167610525,96398;1346.4:817.56
1167610525,99529;1339.008:810.486
1167610526,02637;1345.92:813.51
1167610526,058;1349.472:814.104
1167610526,0895;1383.936:827.334
1167610526,12216;1340.064:838.89
1167610526,15615;1370.4:825.444
1167610526,18853;1365.792:808.812
1167610526,22476;1389.312:811.566
1167610526,25681;1415.232:833.814
1167610526,29483;1344.288:805.788
1167610526,32695;1361.472:840.348
1167610526,36351;1334.112:827.982
1167610526,39511;1342.368:828.738
1167610526,43313;1280.736:637.254
1167610526,46541;1292.064:669.384
1167610526,50192;1284.096:649.188
1167610526,5339;1278.24:658.908
1167610526,57088;1275.36:651.834
1167610526,60337;1275.264:661.338
1167610526,64113;1296.576:648.756
1167610526,67394;1307.52:633.366
1167610526,71075;1318.176:652.806
1167610526,74242;1292.16:630.504
1167610526,77484;1297.632:638.064
1167610526,80756;1296.0:635.04
1167610526,84018;1282.176:650.646
1167610526,87315;1306.656:649.458
1167610526,90581;1305.984:637.308
1167610526,93891;1300.512:634.716
1167610526,97208;1466.88:511.11
1167610527,00494;1460.064:405.378
1167610527,03827;1457.952:507.87
1167610527,07127;1455.84:488.646
1167610527,10518;1463.04:485.352
1167610527,1386;1500.384:287.604
1167610527,17184;1528.416:308.286
1167610527,20499;1521.024:329.832
1167610527,23783;1517.568:280.53
1167610527,2708;1528.896:311.526
1167610527,30934;1515.264:283.824
1167610527,34191;1524.288:276.318
1167610527,37481;1520.064:280.044
1167610527,4072;1490.208:362.826
1167610527,43966;1506.528:354.078
1167610527,47251;1508.16:333.72
1167610527,50618;1497.6:372.816
1167610527,5392;1512.096:352.188
1167610527,57258;1495.968:353.808
1167610527,60596;1508.64:351.594
1167610527,63976;1507.968:343.98
1167610527,67375;1512.864:358.56
1167610527,70752;1501.152:344.466
1167610527,74117;1506.816:327.78
1167610527,77491;1504.608:349.866
1167610527,81244;1509.504:350.19
1167610527,84612;1510.272:348.678
1167610527,87995;1521.12:336.042
1167610527,91385;1452.0:519.426
1167610527,94737;1452.288:553.068
1167610527,98076;1453.632:553.986
1167610528,01738;1458.528:554.094
1167610528,05126;1443.264:553.392
1167610528,08876;1433.28:553.662
1167610528,12281;1433.664:552.852
1167610528,16212;1402.56:631.044
1167610528,19612;1288.512:702.378
1167610528,23391;1293.024:724.41
1167610528,26724;1276.128:722.844
1167610528,30673;1287.36:733.644
1167610528,3417;1301.76:645.354
1167610528,38037;1289.952:649.728
1167610528,41483;1290.048:657.45
1167610528,45391;1289.952:654.264
1167610528,4888;1282.656:654.858
1167610528,52783;1287.744:637.848
1167610528,5622;1282.56:635.04
1167610528,60012;1293.408:643.518
1167610528,6336;1285.152:642.222
1167610528,66791;1289.28:628.02
1167610528,70124;1281.408:623.106
1167610528,73457;1308.576:654.75
1167610528,76837;1442.4:451.17
1167610528,80221;1480.416:353.538
1167610528,83518;1509.792:325.35
1167610528,86816;1509.984:313.362
1167610528,90181;1522.176:304.992
1167610528,93559;1493.952:297.918
1167610528,96868;1504.608:298.188
1167610529,00192;1512.384:260.118
1167610529,0358;1505.568:362.826
1167610529,06932;1502.4:348.84
1167610529,10299;1513.824:340.092
1167610529,13626;1494.816:320.598
1167610529,16871;1527.264:335.934
1167610529,20229;1510.464:333.72
1167610529,23598;1292.448:176.796
1167610529,26911;1238.976:149.904
1167610529,30287;1231.104:139.59
1167610529,33774;1228.32:135.864
1167610529,37178;1235.904:147.258
1167610529,40532;1293.024:121.77
1167610529,43885;1292.256:130.464
1167610529,4723;1311.648:133.65
1167610529,50628;1287.744:149.094
1167610529,54025;821.088:100.818
